Japan, Life tables (period 1x1), Females     Last modified: 12-Mar-2014, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08656  0.08158  0.30  100000    8158   94252  5367736  53.68
  1947           1     0.03303  0.03249  0.50   91842    2984   90350  5273485  57.42
  1947           2     0.01682  0.01668  0.50   88858    1482   88117  5183134  58.33
  1947           3     0.01158  0.01151  0.50   87376    1006   86873  5095018  58.31
  1947           4     0.00689  0.00687  0.50   86370     593   86073  5008145  57.98
  1947           5     0.00492  0.00490  0.50   85777     421   85566  4922072  57.38
  1947           6     0.00366  0.00365  0.50   85356     312   85200  4836506  56.66
  1947           7     0.00288  0.00288  0.50   85044     245   84922  4751305  55.87
  1947           8     0.00216  0.00216  0.50   84800     183   84708  4666384  55.03
  1947           9     0.00206  0.00206  0.50   84617     174   84530  4581675  54.15
  1947          10     0.00180  0.00180  0.50   84442     152   84366  4497146  53.26
  1947          11     0.00173  0.00173  0.50   84290     146   84218  4412779  52.35
  1947          12     0.00183  0.00183  0.50   84145     154   84068  4328562  51.44
  1947          13     0.00190  0.00190  0.50   83991     159   83911  4244494  50.54
  1947          14     0.00239  0.00239  0.50   83832     200   83732  4160583  49.63
  1947          15     0.00318  0.00317  0.50   83631     265   83499  4076851  48.75
  1947          16     0.00366  0.00365  0.50   83366     304   83214  3993352  47.90
  1947          17     0.00444  0.00443  0.50   83062     368   82877  3910138  47.08
  1947          18     0.00528  0.00527  0.50   82693     436   82476  3827261  46.28
  1947          19     0.00625  0.00623  0.50   82258     513   82001  3744785  45.52
  1947          20     0.00703  0.00700  0.50   81745     572   81459  3662784  44.81
  1947          21     0.00737  0.00734  0.50   81173     596   80875  3581325  44.12
  1947          22     0.00734  0.00731  0.50   80577     589   80282  3500450  43.44
  1947          23     0.00779  0.00776  0.50   79988     620   79678  3420168  42.76
  1947          24     0.00783  0.00780  0.50   79368     619   79058  3340490  42.09
  1947          25     0.00767  0.00764  0.50   78748     601   78447  3261432  41.42
  1947          26     0.00733  0.00730  0.50   78147     571   77861  3182985  40.73
  1947          27     0.00734  0.00731  0.50   77576     567   77292  3105123  40.03
  1947          28     0.00715  0.00712  0.50   77009     548   76735  3027831  39.32
  1947          29     0.00732  0.00730  0.50   76461     558   76182  2951096  38.60
  1947          30     0.00721  0.00719  0.50   75903     546   75630  2874914  37.88
  1947          31     0.00708  0.00705  0.50   75357     532   75091  2799285  37.15
  1947          32     0.00701  0.00699  0.50   74825     523   74564  2724193  36.41
  1947          33     0.00711  0.00709  0.50   74303     527   74039  2649629  35.66
  1947          34     0.00696  0.00694  0.50   73776     512   73520  2575590  34.91
  1947          35     0.00695  0.00693  0.50   73264     508   73010  2502070  34.15
  1947          36     0.00706  0.00704  0.50   72756     512   72501  2429060  33.39
  1947          37     0.00720  0.00717  0.50   72245     518   71985  2356559  32.62
  1947          38     0.00713  0.00711  0.50   71726     510   71471  2284574  31.85
  1947          39     0.00750  0.00747  0.50   71217     532   70950  2213103  31.08
  1947          40     0.00753  0.00751  0.50   70684     531   70419  2142152  30.31
  1947          41     0.00777  0.00774  0.50   70154     543   69882  2071733  29.53
  1947          42     0.00826  0.00822  0.50   69611     573   69324  2001851  28.76
  1947          43     0.00791  0.00788  0.50   69038     544   68766  1932526  27.99
  1947          44     0.00801  0.00798  0.50   68494     547   68221  1863760  27.21
  1947          45     0.00825  0.00821  0.50   67947     558   67668  1795539  26.43
  1947          46     0.00864  0.00860  0.50   67389     580   67099  1727871  25.64
  1947          47     0.00922  0.00918  0.50   66810     613   66503  1660772  24.86
  1947          48     0.00945  0.00940  0.50   66197     622   65885  1594269  24.08
  1947          49     0.01063  0.01057  0.50   65574     693   65228  1528383  23.31
  1947          50     0.01128  0.01121  0.50   64881     727   64517  1463155  22.55
  1947          51     0.01169  0.01162  0.50   64154     746   63781  1398638  21.80
  1947          52     0.01239  0.01232  0.50   63408     781   63018  1334857  21.05
  1947          53     0.01317  0.01309  0.50   62627     820   62217  1271840  20.31
  1947          54     0.01379  0.01369  0.50   61807     846   61384  1209623  19.57
  1947          55     0.01430  0.01420  0.50   60961     866   60528  1148238  18.84
  1947          56     0.01550  0.01538  0.50   60096     924   59633  1087710  18.10
  1947          57     0.01692  0.01678  0.50   59171     993   58675  1028076  17.37
  1947          58     0.01893  0.01875  0.50   58178    1091   57633   969401  16.66
  1947          59     0.01950  0.01931  0.50   57087    1102   56536   911769  15.97
  1947          60     0.02332  0.02305  0.50   55985    1290   55340   855232  15.28
  1947          61     0.02427  0.02398  0.50   54695    1311   54039   799893  14.62
  1947          62     0.02692  0.02656  0.50   53383    1418   52674   745854  13.97
  1947          63     0.02920  0.02878  0.50   51965    1496   51218   693180  13.34
  1947          64     0.03150  0.03101  0.50   50470    1565   49687   641962  12.72
  1947          65     0.03383  0.03327  0.50   48905    1627   48091   592275  12.11
  1947          66     0.03725  0.03657  0.50   47277    1729   46413   544184  11.51
  1947          67     0.03964  0.03887  0.50   45549    1771   44663   497771  10.93
  1947          68     0.04484  0.04385  0.50   43778    1920   42818   453107  10.35
  1947          69     0.04851  0.04737  0.50   41858    1983   40867   410289   9.80
  1947          70     0.05539  0.05389  0.50   39876    2149   38801   369422   9.26
  1947          71     0.06070  0.05891  0.50   37726    2222   36615   330621   8.76
  1947          72     0.06367  0.06170  0.50   35504    2191   34409   294006   8.28
  1947          73     0.07241  0.06988  0.50   33313    2328   32149   259597   7.79
  1947          74     0.07735  0.07447  0.50   30985    2307   29832   227448   7.34
  1947          75     0.08604  0.08249  0.50   28678    2366   27495   197616   6.89
  1947          76     0.09289  0.08876  0.50   26312    2336   25145   170121   6.47
  1947          77     0.10553  0.10024  0.50   23977    2404   22775   144977   6.05
  1947          78     0.11873  0.11208  0.50   21573    2418   20364   122202   5.66
  1947          79     0.13290  0.12462  0.50   19155    2387   17962   101837   5.32
  1947          80     0.14359  0.13397  0.50   16768    2246   15645    83875   5.00
  1947          81     0.15459  0.14350  0.50   14522    2084   13480    68230   4.70
  1947          82     0.17108  0.15760  0.50   12438    1960   11458    54751   4.40
  1947          83     0.19985  0.18169  0.50   10478    1904    9526    43293   4.13
  1947          84     0.19244  0.17555  0.50    8574    1505    7821    33767   3.94
  1947          85     0.21408  0.19338  0.50    7069    1367    6385    25945   3.67
  1947          86     0.23608  0.21115  0.50    5702    1204    5100    19560   3.43
  1947          87     0.25245  0.22415  0.50    4498    1008    3994    14460   3.21
  1947          88     0.27572  0.24232  0.50    3490     846    3067    10466   3.00
  1947          89     0.31043  0.26872  0.50    2644     711    2289     7399   2.80
  1947          90     0.34029  0.29081  0.50    1934     562    1652     5111   2.64
  1947          91     0.34528  0.29445  0.50    1371     404    1169     3458   2.52
  1947          92     0.38598  0.32354  0.50     967     313     811     2289   2.37
  1947          93     0.41611  0.34444  0.50     654     225     542     1478   2.26
  1947          94     0.41139  0.34121  0.50     429     146     356      936   2.18
  1947          95     0.45034  0.36757  0.50     283     104     231      580   2.05
  1947          96     0.47672  0.38496  0.50     179      69     144      350   1.96
  1947          97     0.50323  0.40207  0.50     110      44      88      205   1.87
  1947          98     0.52973  0.41880  0.50      66      28      52      117   1.78
  1947          99     0.55606  0.43509  0.50      38      17      30       65   1.71
  1947         100     0.58207  0.45086  0.50      22      10      17       35   1.64
  1947         101     0.60764  0.46605  0.50      12       6       9       19   1.58
  1947         102     0.63263  0.48061  0.50       6       3       5       10   1.53
  1947         103     0.65693  0.49450  0.50       3       2       2        5   1.48
  1947         104     0.68043  0.50770  0.50       2       1       1        2   1.43
  1947         105     0.70305  0.52019  0.50       1       0       1        1   1.39
  1947         106     0.72472  0.53196  0.50       0       0       0        1   1.35
  1947         107     0.74538  0.54301  0.50       0       0       0        0   1.32
  1947         108     0.76499  0.55334  0.50       0       0       0        0   1.29
  1947         109     0.78353  0.56298  0.50       0       0       0        0   1.26
  1947         110+    0.80099  1.00000  1.25       0       0       0        0   1.25
  1948           0     0.05937  0.05674  0.22  100000    5674   95570  5866253  58.66
  1948           1     0.01938  0.01920  0.50   94326    1811   93420  5770683  61.18
  1948           2     0.00953  0.00949  0.50   92515     878   92076  5677263  61.37
  1948           3     0.00675  0.00673  0.50   91637     616   91329  5585187  60.95
  1948           4     0.00500  0.00499  0.50   91021     454   90794  5493858  60.36
  1948           5     0.00318  0.00318  0.50   90567     288   90423  5403064  59.66
  1948           6     0.00254  0.00254  0.50   90279     229   90165  5312641  58.85
  1948           7     0.00211  0.00210  0.50   90050     189   89955  5222476  58.00
  1948           8     0.00179  0.00179  0.50   89861     161   89780  5132521  57.12
  1948           9     0.00149  0.00149  0.50   89700     134   89633  5042741  56.22
  1948          10     0.00149  0.00149  0.50   89566     133   89500  4953108  55.30
  1948          11     0.00141  0.00141  0.50   89433     126   89370  4863608  54.38
  1948          12     0.00147  0.00147  0.50   89307     131   89241  4774238  53.46
