Japan, Life tables (period 1x1), Males     Last modified: 12-Mar-2014, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09845  0.09218  0.31  100000    9218   93632  4981260  49.81
  1947           1     0.03429  0.03371  0.50   90782    3060   89252  4887628  53.84
  1947           2     0.01675  0.01661  0.50   87722    1457   86993  4798376  54.70
  1947           3     0.01168  0.01161  0.50   86264    1002   85763  4711383  54.62
  1947           4     0.00732  0.00730  0.50   85263     622   84952  4625620  54.25
  1947           5     0.00520  0.00519  0.50   84640     439   84421  4540668  53.65
  1947           6     0.00391  0.00391  0.50   84201     329   84037  4456248  52.92
  1947           7     0.00333  0.00333  0.50   83872     279   83733  4372211  52.13
  1947           8     0.00243  0.00243  0.50   83593     203   83492  4288478  51.30
  1947           9     0.00226  0.00226  0.50   83390     189   83296  4204987  50.43
  1947          10     0.00197  0.00197  0.50   83202     164   83120  4121691  49.54
  1947          11     0.00177  0.00177  0.50   83038     147   82964  4038571  48.64
  1947          12     0.00171  0.00171  0.50   82891     142   82820  3955607  47.72
  1947          13     0.00181  0.00181  0.50   82749     150   82674  3872787  46.80
  1947          14     0.00207  0.00206  0.50   82599     170   82514  3790112  45.89
  1947          15     0.00269  0.00268  0.50   82429     221   82319  3707598  44.98
  1947          16     0.00322  0.00322  0.50   82208     265   82076  3625279  44.10
  1947          17     0.00420  0.00419  0.50   81943     343   81772  3543204  43.24
  1947          18     0.00547  0.00546  0.50   81600     445   81378  3461432  42.42
  1947          19     0.00677  0.00674  0.50   81155     547   80881  3380054  41.65
  1947          20     0.00764  0.00761  0.50   80607     613   80301  3299173  40.93
  1947          21     0.00839  0.00836  0.50   79994     668   79660  3218872  40.24
  1947          22     0.00878  0.00874  0.50   79326     694   78979  3139213  39.57
  1947          23     0.00921  0.00917  0.50   78632     721   78271  3060234  38.92
  1947          24     0.00915  0.00911  0.50   77911     710   77556  2981962  38.27
  1947          25     0.00911  0.00907  0.50   77201     700   76851  2904406  37.62
  1947          26     0.00886  0.00882  0.50   76501     675   76163  2827555  36.96
