Age,US_Standard_2000,US_Pop_Census_2000,US_Standard_1990,US_Standard_1980,US_Standard_1970,US_Standard_1960,US_Standard_1950,US_Standard_1940,
00 years,13818,3794901,12936,15598,17151,22930,20882,15343,
01-04 years,55317,15191619,60863,56565,67265,90390,86376,64718,
05-09 years,72533,19919840,72772,73716,98204,104235,87591,81147,
10-14 years,73032,20056779,68812,80523,102304,93538,73785,89208,
15-19 years,72169,19819518,71384,93439,93845,73717,70450,93670,
20-24 years,66478,18257225,76476,94103,80561,60231,76191,88007,
25-29 years,64529,17722067,85694,86168,66320,60612,81237,84277,
30-34 years,71044,19511370,87905,77516,56249,66635,76425,77789,
35-39 years,80762,22179956,80267,61644,54656,69601,74629,72495,
40-44 years,81851,22479229,70829,51510,58958,64689,67712,66742,
45-49 years,72118,19805793,55778,48951,59622,60670,60190,62697,
50-54 years,62716,17224359,45638,51689,54643,53568,54893,55114,
55-59 years,48454,13307234,42345,51271,49077,47009,48011,44383,
60-64 years,38793,10654272,42685,44528,42403,39830,40210,35911,
65-69 years,34264,9409940,40657,38767,34406,34897,33199,28911,
70-74 years,31773,8725574,32145,30008,26789,26427,22641,19515,
75-79 years,26999,7414559,24612,21160,18871,17028,14283,11422,
80-84 years,17842,4900234,15817,12956,11241,8811,7467,5881,
85+ years,15508,4259173,12385,9888,7435,5182,3828,2770,
Total,1000000,274633642,1000000,1000000,1000000,1000000,1000000,1000000,
