"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"State"	"State Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"California"	"06"	4013	1274187	314.9	441.6
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Florida"	"12"	3378	1255363	269.1	400.7
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Illinois"	"17"	3066	1020831	300.3	400.6
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"New York"	"36"	4838	1835692	263.6	343.6
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Texas"	"48"	3862	1273788	303.2	425.7
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"California"	"06"	44296	13203242	335.5	300.3
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Florida"	"12"	30598	6629027	461.6	257.7
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Illinois"	"17"	20185	5045484	400.1	292.0
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"New York"	"36"	34138	7318698	466.4	314.4
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Texas"	"48"	26488	8716280	303.9	297.3
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"California"	"06"	3507	1228282	285.5	557.1
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Florida"	"12"	2830	1163720	243.2	507.8
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Illinois"	"17"	2907	902429	322.1	574.9
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"New York"	"36"	3782	1575076	240.1	460.1
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Texas"	"48"	3348	1187505	281.9	574.6
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"California"	"06"	38492	13289192	289.6	408.2
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"Florida"	"12"	29222	6349696	460.2	370.1
