"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"State"	"State Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"California"	"06"	369	1274187	29.0	30.5
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Florida"	"12"	351	1255363	28.0	30.9
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Illinois"	"17"	406	1020831	39.8	42.5
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"New York"	"36"	380	1835692	20.7	22.3
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Texas"	"48"	367	1273788	28.8	31.6
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"California"	"06"	3375	13203242	25.6	25.2
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Florida"	"12"	2454	6629027	37.0	31.9
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Illinois"	"17"	1461	5045484	29.0	26.0
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"New York"	"36"	1811	7318698	24.7	21.0
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Texas"	"48"	2930	8716280	33.6	33.6
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"California"	"06"	1084	1228282	88.3	95.7
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Florida"	"12"	1040	1163720	89.4	101.6
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Illinois"	"17"	1253	902429	138.8	148.9
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"New York"	"36"	1070	1575076	67.9	72.4
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Texas"	"48"	967	1187505	81.4	91.8
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"California"	"06"	8907	13289192	67.0	70.8
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"Florida"	"12"	5290	6349696	83.3	80.0
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"Illinois"	"17"	3243	4906281	66.1	69.4
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"New York"	"36"	3774	6917065	54.6	55.6
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"Texas"	"48"	6501	8642333	75.2	81.6
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"California"	"06"	334	1282820	26.0	27.7
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"Florida"	"12"	352	1280913	27.5	29.9
