"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"State"	"State Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"California"	"06"	1920	1274187	150.7	201.1
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Florida"	"12"	1548	1255363	123.3	172.9
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Illinois"	"17"	1842	1020831	180.4	229.8
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"New York"	"36"	2648	1835692	144.3	176.0
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Texas"	"48"	1956	1273788	153.6	212.7
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"California"	"06"	22651	13203242	171.6	167.7
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Florida"	"12"	16508	6629027	249.0	160.3
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Illinois"	"17"	10684	5045484	211.8	177.1
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"New York"	"36"	16548	7318698	226.1	177.3
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Texas"	"48"	13639	8716280	156.5	161.2
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"California"	"06"	2113	1228282	172.0	317.5
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Florida"	"12"	1980	1163720	170.1	327.9
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Illinois"	"17"	1913	902429	212.0	367.8
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"New York"	"36"	2405	1575076	152.7	273.8
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Texas"	"48"	2267	1187505	190.9	370.6
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"California"	"06"	23452	13289192	176.5	231.2
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"Florida"	"12"	19161	6349696	301.8	236.1
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"Illinois"	"17"	10916	4906281	222.5	261.2
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"New York"	"36"	16125	6917065	233.1	247.2
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"Texas"	"48"	15224	8642333	176.2	246.5
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"California"	"06"	1940	1282820	151.2	198.6
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"Florida"	"12"	1672	1280913	130.5	179.9
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"Illinois"	"17"	1871	1026401	182.3	229.2
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"New York"	"36"	2579	1849457	139.4	167.5
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"Texas"	"48"	1951	1287939	151.5	207.9
	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"California"	"06"	23003	13341153	172.4	167.9
	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"Florida"	"12"	16718	6705029	249.3	160.2
	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"Illinois"	"17"	10887	5056749	215.3	180.7
	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"New York"	"36"	16423	7336494	223.9	173.9
	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"Texas"	"48"	13959	8815254	158.4	162.9
	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	"California"	"06"	2055	1234115	166.5	302.4
	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	"Florida"	"12"	1944	1187565	163.7	314.5
	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	"Illinois"	"17"	1956	907401	215.6	373.8
	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	"New York"	"36"	2435	1585127	153.6	269.4
	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	"Texas"	"48"	2256	1201820	187.7	363.6
	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"California"	"06"	23059	13407838	172.0	225.3
	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"Florida"	"12"	19598	6427061	304.9	239.0
	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"Illinois"	"17"	10974	4924771	222.8	260.5
	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"New York"	"36"	15778	6927047	227.8	240.8
	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"Texas"	"48"	15516	8760224	177.1	247.2
	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	"California"	"06"	2005	1296780	154.6	200.2
	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	"Florida"	"12"	1632	1324608	123.2	168.9
	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	"Illinois"	"17"	1842	1029945	178.8	223.8
	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	"New York"	"36"	2715	1860551	145.9	171.8
	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	"Texas"	"48"	2010	1319089	152.4	209.2
	"2001"	"2001"	"Female"	"F"	"White"	"2106-3"	"California"	"06"	23093	13505365	171.0	165.9
	"2001"	"2001"	"Female"	"F"	"White"	"2106-3"	"Florida"	"12"	16814	6833739	246.0	159.5
	"2001"	"2001"	"Female"	"F"	"White"	"2106-3"	"Illinois"	"17"	10385	5069579	204.8	172.1
	"2001"	"2001"	"Female"	"F"	"White"	"2106-3"	"New York"	"36"	16142	7338431	220.0	170.0
	"2001"	"2001"	"Female"	"F"	"White"	"2106-3"	"Texas"	"48"	13890	8985946	154.6	159.0
	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	"California"	"06"	2163	1251049	172.9	311.6
	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	"Florida"	"12"	1928	1228606	156.9	297.8
	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	"Illinois"	"17"	1918	910304	210.7	361.3
	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	"New York"	"36"	2387	1597107	149.5	261.9
	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	"Texas"	"48"	2225	1232556	180.5	347.6
	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"California"	"06"	23349	13592819	171.8	222.7
	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"Florida"	"12"	19577	6559116	298.5	233.9
	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"Illinois"	"17"	10950	4945920	221.4	257.3
	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"New York"	"36"	15686	6942969	225.9	236.5
	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	"Texas"	"48"	15729	8936085	176.0	243.1
	"2002"	"2002"	"Female"	"F"	"Black or African American"	"2054-5"	"California"	"06"	1998	1306520	152.9	196.3
	"2002"	"2002"	"Female"	"F"	"Black or African American"	"2054-5"	"Florida"	"12"	1758	1363767	128.9	175.4
	"2002"	"2002"	"Female"	"F"	"Black or African American"	"2054-5"	"Illinois"	"17"	1930	1030826	187.2	229.8
	"2002"	"2002"	"Female"	"F"	"Black or African American"	"2054-5"	"New York"	"36"	2570	1865067	137.8	159.3
	"2002"	"2002"	"Female"	"F"	"Black or African American"	"2054-5"	"Texas"	"48"	2006	1344674	149.2	204.9
	"2002"	"2002"	"Female"	"F"	"White"	"2106-3"	"California"	"06"	23025	13611768	169.2	162.9
	"2002"	"2002"	"Female"	"F"	"White"	"2106-3"	"Florida"	"12"	16763	6948991	241.2	156.2
	"2002"	"2002"	"Female"	"F"	"White"	"2106-3"	"Illinois"	"17"	10420	5074378	205.3	171.4
	"2002"	"2002"	"Female"	"F"	"White"	"2106-3"	"New York"	"36"	16022	7330648	218.6	167.9
	"2002"	"2002"	"Female"	"F"	"White"	"2106-3"	"Texas"	"48"	14238	9118467	156.1	160.3
	"2002"	"2002"	"Male"	"M"	"Black or African American"	"2054-5"	"California"	"06"	2138	1260806	169.6	299.7
	"2002"	"2002"	"Male"	"M"	"Black or African American"	"2054-5"	"Florida"	"12"	1904	1263764	150.7	285.0
	"2002"	"2002"	"Male"	"M"	"Black or African American"	"2054-5"	"Illinois"	"17"	1852	911417	203.2	337.9
	"2002"	"2002"	"Male"	"M"	"Black or African American"	"2054-5"	"New York"	"36"	2438	1602183	152.2	256.1
