"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"State"	"State Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"California"	"06"	3993	1177469	339.1	452.0
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Florida"	"12"	3309	1202879	275.1	407.2
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Illinois"	"17"	3021	1001033	301.8	398.1
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"New York"	"36"	4671	1580377	295.6	363.7
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Texas"	"48"	3841	1234134	311.2	427.7
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"California"	"06"	39715	8288635	479.2	307.9
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Florida"	"12"	27886	5410896	515.4	261.5
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Illinois"	"17"	19780	4387592	450.8	293.6
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"New York"	"36"	32014	6181876	517.9	311.6
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Texas"	"48"	22888	5626100	406.8	305.2
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"California"	"06"	3490	1134641	307.6	571.4
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Florida"	"12"	2720	1110039	245.0	508.9
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Illinois"	"17"	2860	882914	323.9	571.4
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"New York"	"36"	3559	1345900	264.4	478.5
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Texas"	"48"	3327	1149221	289.5	577.4
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"California"	"06"	33680	8101479	415.7	419.6
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"Florida"	"12"	26659	5141610	518.5	374.6
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"Illinois"	"17"	16725	4165065	401.6	444.0
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"New York"	"36"	24845	5802855	428.2	432.3
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"Texas"	"48"	19304	5443239	354.6	423.6
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"California"	"06"	3772	1185531	318.2	416.1
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"Florida"	"12"	3151	1226416	256.9	375.5
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"Illinois"	"17"	2946	1005955	292.9	381.4
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"New York"	"36"	4644	1595038	291.2	352.1
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"Texas"	"48"	3887	1246994	311.7	428.5
	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"California"	"06"	37769	8285504	455.8	287.8
	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"Florida"	"12"	27420	5431826	504.8	253.9
