"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","age.std.mortality.rate_LCL","age.std.mortality.rate_med","age.std.mortality.rate_UCL","Census_Division","Census_Region","stabbrs","rate.per.100k","state.reorder"
"1",0,1,0,0,"All other causes","White","Male","Alabama",1969,0.00183329181367592,0.00190486137266843,0.00185654681405706,"East South Central","South","AL",190.486137266843,"Alabama"
"2",0,1,0,0,"Cancers","White","Male","Alabama",1969,0.00225770093566289,0.00232650443233567,0.00228145354185765,"East South Central","South","AL",232.650443233567,"Alabama"
"3",0,1,0,0,"Cardiovascular","White","Male","Alabama",1969,0.00899574106532704,0.00919739262765656,0.00906816678235376,"East South Central","South","AL",919.739262765656,"Alabama"
"4",0,1,0,0,"Communicable","White","Male","Alabama",1969,0.000608101366899184,0.000655123258157815,0.000622003068176995,"East South Central","South","AL",65.5123258157815,"Alabama"
"5",0,1,0,0,"Injuries","White","Male","Alabama",1969,0.00143232253378394,0.00148256816842891,0.00144691591278467,"East South Central","South","AL",148.256816842891,"Alabama"
"6",0,1,0,0,"Non-communicable","White","Male","Alabama",1969,0.000883287286556213,0.000925429695790567,0.000895923192727417,"East South Central","South","AL",92.5429695790567,"Alabama"
"7",0,1,0,1,"All other causes","White","Female","Alabama",1969,0.00111996565807421,0.00116732688169845,0.0011356587725483,"East South Central","South","AL",116.732688169845,"Alabama"
"8",0,1,0,1,"Cancers","White","Female","Alabama",1969,0.0013511599140354,0.00139491788101105,0.00136828696077642,"East South Central","South","AL",139.491788101105,"Alabama"
"9",0,1,0,1,"Cardiovascular","White","Female","Alabama",1969,0.00551725504845286,0.00566134364535293,0.00556804249975772,"East South Central","South","AL",566.134364535293,"Alabama"
"10",0,1,0,1,"Communicable","White","Female","Alabama",1969,0.000371217939102578,0.000399986947824725,0.000379678463721013,"East South Central","South","AL",39.9986947824725,"Alabama"
"11",0,1,0,1,"Injuries","White","Female","Alabama",1969,0.000492389556340577,0.00051745150970489,0.000501030675098263,"East South Central","South","AL",51.745150970489,"Alabama"
"12",0,1,0,1,"Non-communicable","White","Female","Alabama",1969,0.000410466973182877,0.000437829420393316,0.000420225551052033,"East South Central","South","AL",43.7829420393316,"Alabama"
"13",0,1,1,0,"All other causes","Black","Male","Alabama",1969,0.00341961541993244,0.00356776085323017,0.00345848370496028,"East South Central","South","AL",356.776085323017,"Alabama"
"14",0,1,1,0,"Cancers","Black","Male","Alabama",1969,0.00229908763303144,0.00241280564905801,0.00233079702579714,"East South Central","South","AL",241.280564905801,"Alabama"
"15",0,1,1,0,"Cardiovascular","Black","Male","Alabama",1969,0.00857162084833238,0.00884948334183292,0.00866289411099276,"East South Central","South","AL",884.948334183292,"Alabama"
"16",0,1,1,0,"Communicable","Black","Male","Alabama",1969,0.00100535895666654,0.0010950341402082,0.001031131116056,"East South Central","South","AL",109.50341402082,"Alabama"
"17",0,1,1,0,"Injuries","Black","Male","Alabama",1969,0.00239342384426563,0.00251722589621453,0.00243696068310684,"East South Central","South","AL",251.722589621453,"Alabama"
"18",0,1,1,0,"Non-communicable","Black","Male","Alabama",1969,0.000876861879722927,0.000935737006503363,0.000898598159633363,"East South Central","South","AL",93.5737006503363,"Alabama"
"19",0,1,1,1,"All other causes","Black","Female","Alabama",1969,0.00235183235705457,0.00246157333591473,0.00238781678247902,"East South Central","South","AL",246.157333591473,"Alabama"
"20",0,1,1,1,"Cancers","Black","Female","Alabama",1969,0.00154289198307319,0.0016125081094635,0.00156523865038616,"East South Central","South","AL",161.25081094635,"Alabama"
"21",0,1,1,1,"Cardiovascular","Black","Female","Alabama",1969,0.00684326284650239,0.00709063771094022,0.00693330948415926,"East South Central","South","AL",709.063771094022,"Alabama"
"22",0,1,1,1,"Communicable","Black","Female","Alabama",1969,0.000460791865376519,0.000503750256489627,0.000475049021033393,"East South Central","South","AL",50.3750256489627,"Alabama"
"23",0,1,1,1,"Injuries","Black","Female","Alabama",1969,0.000611979108317452,0.000656632358683042,0.000625401948990181,"East South Central","South","AL",65.6632358683042,"Alabama"
"24",0,1,1,1,"Non-communicable","Black","Female","Alabama",1969,0.000718495998078207,0.000766825183089136,0.000733117404628694,"East South Central","South","AL",76.6825183089136,"Alabama"
"25",0,2,0,0,"All other causes","White","Male","Alabama",1970,0.00180593919206259,0.00186699628067743,0.00182673168334293,"East South Central","South","AL",186.699628067743,"Alabama"
"26",0,2,0,0,"Cancers","White","Male","Alabama",1970,0.00227217332271058,0.00233506624378083,0.0022957240164145,"East South Central","South","AL",233.506624378083,"Alabama"
"27",0,2,0,0,"Cardiovascular","White","Male","Alabama",1970,0.00895962160472595,0.00914981941562581,0.00902437566737936,"East South Central","South","AL",914.981941562581,"Alabama"
"28",0,2,0,0,"Communicable","White","Male","Alabama",1970,0.000626838180153327,0.000673596921003978,0.000642752847473559,"East South Central","South","AL",67.3596921003978,"Alabama"
"29",0,2,0,0,"Injuries","White","Male","Alabama",1970,0.00143532530532209,0.00147908683647508,0.00144986864805836,"East South Central","South","AL",147.908683647508,"Alabama"
"30",0,2,0,0,"Non-communicable","White","Male","Alabama",1970,0.000890216462703936,0.000925808770888557,0.000903150880941523,"East South Central","South","AL",92.5808770888557,"Alabama"
"31",0,2,0,1,"All other causes","White","Female","Alabama",1970,0.00110835138604622,0.00114908753525481,0.00112147535851373,"East South Central","South","AL",114.908753525481,"Alabama"
"32",0,2,0,1,"Cancers","White","Female","Alabama",1970,0.00135538984594573,0.00139005276437823,0.00136660831061778,"East South Central","South","AL",139.005276437823,"Alabama"
"33",0,2,0,1,"Cardiovascular","White","Female","Alabama",1970,0.00550624859938135,0.00562246175665156,0.0055432141895061,"East South Central","South","AL",562.246175665156,"Alabama"
"34",0,2,0,1,"Communicable","White","Female","Alabama",1970,0.000350475140962127,0.00037749655725076,0.000359211798479767,"East South Central","South","AL",37.749655725076,"Alabama"
"35",0,2,0,1,"Injuries","White","Female","Alabama",1970,0.000489631350374901,0.000511275545506908,0.000496770433936766,"East South Central","South","AL",51.1275545506908,"Alabama"
"36",0,2,0,1,"Non-communicable","White","Female","Alabama",1970,0.000409347768957925,0.000430988501221018,0.000416477538841151,"East South Central","South","AL",43.0988501221018,"Alabama"
"37",0,2,1,0,"All other causes","Black","Male","Alabama",1970,0.00329252624927908,0.00342716975899666,0.00333899226980264,"East South Central","South","AL",342.716975899666,"Alabama"
"38",0,2,1,0,"Cancers","Black","Male","Alabama",1970,0.00232204294342013,0.00242182255588238,0.00235423065496957,"East South Central","South","AL",242.182255588238,"Alabama"
"39",0,2,1,0,"Cardiovascular","Black","Male","Alabama",1970,0.00847325134787391,0.0087008394873005,0.00854525216177192,"East South Central","South","AL",870.08394873005,"Alabama"
"40",0,2,1,0,"Communicable","Black","Male","Alabama",1970,0.000968000703315727,0.00104558574805794,0.000990101850288254,"East South Central","South","AL",104.558574805794,"Alabama"
