"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","sex","state","year","Census_Division","Census_Region","stabbrs","state.reorder"
"1",15,1,0,"All other causes",44.5292586774048,77.7147325094651,121.483107131573,"Male","Iowa",1969,"West North Central","Midwest","IA","Iowa"
"2",15,1,0,"Cancers",30.8718983735743,94.8966163067007,202.75426460812,"Male","Iowa",1969,"West North Central","Midwest","IA","Iowa"
"3",15,1,0,"Cardiovascular",-13.5510311812183,112.044292020413,270.24541409154,"Male","Iowa",1969,"West North Central","Midwest","IA","Iowa"
"4",15,1,0,"Communicable",17.3534993874552,48.9765959647717,97.1398238634043,"Male","Iowa",1969,"West North Central","Midwest","IA","Iowa"
"5",15,1,0,"Injuries",59.7860761267619,103.641605309061,172.0197153795,"Male","Iowa",1969,"West North Central","Midwest","IA","Iowa"
"6",15,1,0,"Non-communicable",3.0502364350474,36.5992015001501,66.9478568576012,"Male","Iowa",1969,"West North Central","Midwest","IA","Iowa"
"7",15,1,1,"All other causes",40.5361879012756,67.6605278362212,114.888833713028,"Female","Iowa",1969,"West North Central","Midwest","IA","Iowa"
"8",15,1,1,"Cancers",17.4630888369852,49.5987541514767,99.3015513827728,"Female","Iowa",1969,"West North Central","Midwest","IA","Iowa"
"9",15,1,1,"Cardiovascular",64.3156024085485,162.488753315491,288.286093650532,"Female","Iowa",1969,"West North Central","Midwest","IA","Iowa"
"10",15,1,1,"Communicable",4.63815814532105,19.4673468468096,45.2147074732344,"Female","Iowa",1969,"West North Central","Midwest","IA","Iowa"
"11",15,1,1,"Injuries",-6.44482331888418,2.64198245878087,22.8142613053858,"Female","Iowa",1969,"West North Central","Midwest","IA","Iowa"
"12",15,1,1,"Non-communicable",40.1277350208253,60.3952275104535,87.0211885641894,"Female","Iowa",1969,"West North Central","Midwest","IA","Iowa"
"13",15,2,0,"All other causes",44.1000252760098,76.8611240482021,120.492596496908,"Male","Iowa",1970,"West North Central","Midwest","IA","Iowa"
"14",15,2,0,"Cancers",33.5396797304341,93.9362467988347,186.851606978228,"Male","Iowa",1970,"West North Central","Midwest","IA","Iowa"
"15",15,2,0,"Cardiovascular",-30.8670054689611,85.1021513627015,225.314905330483,"Male","Iowa",1970,"West North Central","Midwest","IA","Iowa"
"16",15,2,0,"Communicable",18.9393228935844,46.5409315116338,87.5134650192087,"Male","Iowa",1970,"West North Central","Midwest","IA","Iowa"
"17",15,2,0,"Injuries",60.6495640368761,100.632610062952,166.890126525701,"Male","Iowa",1970,"West North Central","Midwest","IA","Iowa"
"18",15,2,0,"Non-communicable",2.42581372244184,34.1824431691734,64.1678629437662,"Male","Iowa",1970,"West North Central","Midwest","IA","Iowa"
