"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.736436567829801,0.0194829597607723,0.976886798294603,0.0474190912677368,-0.0328875262511851,0.424115639518495,0.933264282365835,0.433919819931638,0.316901019040852,0.774577879165186,1.1687893687979,0.763297024164383,-5.99017614331485,0.22054566304492,4.59265328159003,-0.293586291565659,-8.95902235959236,0.681893798709832,11.8100378139328,0.178970754707845,0.194364568205432,0.410082551566764,0.747810539959207,0.426063249868114,-1.04368456241,0.358051722934,1.77910368023863,0.362749060271711,-0.649541314805689,0.247687671949631,1.2200043541766,0.267495147899638,0.895377155720318,1.88465368482202,2.8217830930716,1.88232480639092,"Male","Arizona"
"2","Cancers",-0.550928592647795,-0.15571122269671,0.238545677829236,-0.155740689655741,-0.526196729555986,-0.128613143463263,0.268048427902607,-0.119651039684098,0.128409822648277,0.514916436406351,0.901792023586645,0.512470924115546,-3.87235078546509,-0.0455934522580758,4.32538894897436,-0.493146275718464,-4.75224745670576,0.0197863972564631,5.01525135542136,1.1035261447566,0.0733638992566753,0.275381259443111,0.556752848646635,0.283974949008588,-1.04368456241,0.358051722934,1.77910368023863,0.362749060271711,-0.649541314805689,0.247687671949631,1.2200043541766,0.267495147899638,0.895377155720318,1.88465368482202,2.8217830930716,1.88232480639092,"Male","Arizona"
"3","Cardiovascular",-1.23627120950983,-0.574488471998163,0.0892623008822016,-0.570583787730199,-0.911027544600162,-0.327670038089341,0.192852717488175,-0.336570739777323,-0.444175647954013,0.0512193439518664,0.612828992547819,0.0567356684284265,-9.38073162217659,-0.331579531548972,15.0618126357808,-2.67520971795282,-11.5231071439916,-0.168142176643757,12.5475421868051,0.461912250003441,-0.357709240696732,0.0279163235952134,0.280101267429418,0.00699800540068195,-1.04368456241,0.358051722934,1.77910368023863,0.362749060271711,-0.649541314805689,0.247687671949631,1.2200043541766,0.267495147899638,0.895377155720318,1.88465368482202,2.8217830930716,1.88232480639092,"Male","Arizona"
"4","Communicable",-0.412433053043374,-0.138469183061532,0.366060697794666,-0.107758618425459,0.279156455682692,0.481056699507686,0.704607407214092,0.484389320054492,-0.643380410305494,-0.401233256943243,-0.111585017252572,-0.387888891707751,-2.6746505256121,-0.0442782191525631,3.81335185405739,0.0838813740048526,-12.1060518841917,0.690463350783586,16.0649467934861,0.644836501594162,-0.577807656061746,-0.211307576227916,-0.0509221445964939,-0.233076271195348,-1.04368456241,0.358051722934,1.77910368023863,0.362749060271711,-0.649541314805689,0.247687671949631,1.2200043541766,0.267495147899638,0.895377155720318,1.88465368482202,2.8217830930716,1.88232480639092,"Male","Arizona"
"5","Injuries",0.472160114415164,1.38611201383531,2.44830976982247,1.40186349915801,-0.565889986681181,-0.112347521914631,0.383235853618206,-0.115892780535893,0.592023844685737,1.05874676741323,1.49898181126425,1.05923980502361,-27.3138173036976,1.44669416761934,22.3240219906045,5.67278960801636,-6.4210728987037,0.0475241093642009,5.6650945935437,-1.30304452162041,0.344143815555058,0.565804265233733,1.0483667374758,0.595089999623175,-1.04368456241,0.358051722934,1.77910368023863,0.362749060271711,-0.649541314805689,0.247687671949631,1.2200043541766,0.267495147899638,0.895377155720318,1.88465368482202,2.8217830930716,1.88232480639092,"Male","Arizona"
"6","Non-communicable",-0.508857804088016,-0.26796797415963,0.0739589691534358,-0.252450434342634,-0.321443771576024,-0.0816325842456779,0.166716365629038,-0.0786994320891769,-0.417707030872713,-0.120588075751145,0.18033387271727,-0.121529723633292,-4.57087690222807,-0.187751984158993,7.44036747196093,-1.29472869678427,-3.12236804123051,-0.024606130986707,3.21683310660093,-0.0862011294416338,-0.326012396960364,-0.0651025466528234,0.0856724251507712,-0.0790499327052113,-1.04368456241,0.358051722934,1.77910368023863,0.362749060271711,-0.649541314805689,0.247687671949631,1.2200043541766,0.267495147899638,0.895377155720318,1.88465368482202,2.8217830930716,1.88232480639092,"Male","Arizona"
"7","All other causes",-0.885452562192043,-0.201348073738528,0.64000172914076,-0.186383822002099,-0.12419206912864,0.30900731807963,0.827880843331344,0.317351248040727,-0.0983092379266184,0.406267152795002,0.922214215904474,0.402200077315132,-2.18305877543192,0.197646727967744,3.30761243585425,0.0124387549580634,-10.1253802882029,0.391357076979603,9.9042661203935,10.0133852677242,-2.38706845578954,0.552419028791302,3.54058977730099,0.466950177657204,-2.87870679922513,-1.06139197707621,0.679129470597033,-1.08080712533995,-0.876327895397199,0.143213171787239,1.2219448831237,0.151597179898804,-0.466882626622655,0.594367223817815,1.67525020308645,0.604598029856585,"Female","Arizona"
"8","Cancers",-0.177358494619478,0.190540998214403,0.696531096539147,0.206695164716068,-0.243536473464879,0.0939071078814422,0.503483875774827,0.101265546551169,-0.729767610946353,-0.356475463625896,0.0238578511600279,-0.354479389143814,-2.77170327845584,-0.13116625740038,2.24416937374877,1.79040918187217,-5.98060835788736,0.157853807085052,3.959089796944,12.7973083105557,-5.51284942072085,-0.423200354661371,6.27638270787465,-0.0881413963727392,-2.87870679922513,-1.06139197707621,0.679129470597033,-1.08080712533995,-0.876327895397199,0.143213171787239,1.2219448831237,0.151597179898804,-0.466882626622655,0.594367223817815,1.67525020308645,0.604598029856585,"Female","Arizona"
"9","Cardiovascular",-2.70890925028094,-1.37764426131765,-0.268180378823423,-1.40618233703345,-1.0232032182365,-0.318401663598563,0.412624558695525,-0.309256452230464,-0.0823647496411897,0.478447289892952,1.15097308929819,0.487755253449326,-7.11526021342434,1.13343397366669,8.68415587573612,0.132741660472333,-15.326006631261,0.199695122241363,13.6302474035675,-21.1615551142815,-3.58384381421976,0.666867166133299,4.52232183800261,0.879885796734101,-2.87870679922513,-1.06139197707621,0.679129470597033,-1.08080712533995,-0.876327895397199,0.143213171787239,1.2219448831237,0.151597179898804,-0.466882626622655,0.594367223817815,1.67525020308645,0.604598029856585,"Female","Arizona"
"10","Communicable",-0.309400614842309,-0.016663961421888,0.45525438855444,0.0147440561055356,-0.0799261521432919,0.107973616225057,0.288318702561011,0.107018721993024,-0.422074007724374,-0.193830245282455,0.039004407978455,-0.194833818998071,-1.53012510176782,0.0119496996166439,1.05245831968282,0.166830352929653,-4.59463501348592,0.106418369599478,3.15529272444511,6.20923137493123,-2.9246224388471,-0.223543280999347,2.6307463001316,-0.334243260611136,-2.87870679922513,-1.06139197707621,0.679129470597033,-1.08080712533995,-0.876327895397199,0.143213171787239,1.2219448831237,0.151597179898804,-0.466882626622655,0.594367223817815,1.67525020308645,0.604598029856585,"Female","Arizona"
