"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.360292174130409,0.278749004320522,1.30549989712834,0.341453470402773,-0.658435026213506,-0.229431655247054,0.217712641443019,-0.225090795248002,0.306416835100398,0.744322363712765,1.22414684854507,0.747474455051657,-12.4063528132985,0.194790106406904,9.51599429501822,-0.142589001970868,-2.17463405507802,0.371942996376368,2.36828195570478,-0.324912821537554,0.24882026639242,0.504108737162448,1.05884204037426,0.55211984670713,-1.44531374257512,-0.0861014028582796,1.2818810563164,-0.102889562322322,-1.48298767002366,-0.562245025160305,0.317637961447127,-0.555144292036711,0.57235948921884,1.47053405581042,2.42710918523647,1.48504887452658,"Male","Colorado"
"2","Cancers",-0.683872013719517,-0.259011581244275,0.17658651794836,-0.260925493010902,-0.164063986641127,0.202852276784169,0.574106948076392,0.204745587863761,-0.416478185476935,-0.0480852309637287,0.347719721829728,-0.0417076269720588,-7.48960855722612,0.159485418703528,6.4972173022964,-0.132292139987354,-4.91766778090428,-0.230316081571858,4.15578907582472,0.987107817252423,-0.471975434463352,-0.0330666917439548,0.214351422976935,-0.0554616523808844,-1.44531374257512,-0.0861014028582796,1.2818810563164,-0.102889562322322,-1.48298767002366,-0.562245025160305,0.317637961447127,-0.555144292036711,0.57235948921884,1.47053405581042,2.42710918523647,1.48504887452658,"Male","Colorado"
"3","Cardiovascular",-1.1459033912547,-0.42821599250829,0.338378874926876,-0.423972773428948,-0.869958647183778,-0.409225794165614,0.0533693630847531,-0.409018274761603,-0.401237807530306,0.0763727082136416,0.566948809748243,0.0796126974560285,-8.24865825961969,0.461491868452925,11.5975659943001,0.229746495293552,-3.32534273061172,0.618938321716695,4.93832947487571,-0.574382282195597,-0.431689043520944,0.0530630275499485,0.325436027313852,0.0115991895967478,-1.44531374257512,-0.0861014028582796,1.2818810563164,-0.102889562322322,-1.48298767002366,-0.562245025160305,0.317637961447127,-0.555144292036711,0.57235948921884,1.47053405581042,2.42710918523647,1.48504887452658,"Male","Colorado"
"4","Communicable",-0.42463704664371,0.0260134601882949,0.678785249706585,0.0563735624202322,-0.218393461140364,0.141419297559847,0.448307112563759,0.139098051824125,-0.170870763695229,0.137503145364572,0.50695202665661,0.144296075255078,-4.58337715352144,0.140456659389546,6.22148653989418,0.807487922200136,-3.43922479395375,-0.154388654809629,2.73824035709344,0.564724986268079,-0.199178994638486,0.0941303607009499,0.346414904950766,0.0911072786531057,-1.44531374257512,-0.0861014028582796,1.2818810563164,-0.102889562322322,-1.48298767002366,-0.562245025160305,0.317637961447127,-0.555144292036711,0.57235948921884,1.47053405581042,2.42710918523647,1.48504887452658,"Male","Colorado"
"5","Injuries",-0.349581154221995,0.127033102598575,0.716983428826476,0.140286297556748,-0.594604703866761,-0.247796879171224,0.108088840562308,-0.246628545696362,0.292906772144255,0.629586018834484,0.968176421270231,0.631156548331018,-6.21034457379622,0.0573498798755193,6.33707989335347,-0.060200424780984,-2.25165472146695,0.363426081941374,3.66195492621034,0.227906553521838,0.210050026423394,0.428874000839709,0.923758533705936,0.470512458509254,-1.44531374257512,-0.0861014028582796,1.2818810563164,-0.102889562322322,-1.48298767002366,-0.562245025160305,0.317637961447127,-0.555144292036711,0.57235948921884,1.47053405581042,2.42710918523647,1.48504887452658,"Male","Colorado"
"6","Non-communicable",-0.202685840132386,0.0417294178627444,0.322341474721529,0.043895373737774,-0.249805791192637,-0.0191299776371897,0.213425768655868,-0.0182503160186301,-0.365643103893092,-0.076166530950593,0.214847779469865,-0.0757832745951407,-3.01683515390327,0.00677761179072056,2.67310404858598,0.297847149245518,-1.29538471633114,0.0407890968641451,1.26181665086079,0.119555746690811,-0.407243791997469,-0.0549500412388936,0.140031529106451,-0.0698771210853529,-1.44531374257512,-0.0861014028582796,1.2818810563164,-0.102889562322322,-1.48298767002366,-0.562245025160305,0.317637961447127,-0.555144292036711,0.57235948921884,1.47053405581042,2.42710918523647,1.48504887452658,"Male","Colorado"
"7","All other causes",-0.800862943944009,-0.263418017304564,0.462874782179736,-0.242637248889579,-0.388696368682794,0.0532206165974207,0.526293817154406,0.0597606114652385,0.220027277552012,0.709248639584288,1.17741989708958,0.70627210592676,-8.30586688901071,-0.0975441786662805,5.09782943979337,-0.3364485765703,-6.29650474241866,0.143237976690301,5.67624217392048,-0.0636521361873128,0.188100396556921,0.456876755468433,1.03839723526811,0.499696123724058,-0.857851642758279,0.415798403693354,1.76581098089014,0.416264813358642,-1.15235284906434,-0.162028591172912,0.854072029068264,-0.170093796243617,0.574721505398455,1.52867406130108,2.54356342685161,1.53283227847674,"Female","Colorado"
"8","Cancers",-0.323800506778052,0.0542263832587115,0.446478115128324,0.0559702952074672,-0.414579055864697,-0.0141781042771842,0.353550760304921,-0.0175050303529718,-0.40303389253122,-0.00626216381725767,0.392704265705301,-0.00409001916779184,-2.79040664418566,0.088105358468004,3.54991652310996,0.0759421374610608,-4.68696276510045,0.124916653286589,4.53382992390224,0.203336701185045,-0.466630755156182,-0.00404702369637215,0.272092324151839,-0.0456526348961228,-0.857851642758279,0.415798403693354,1.76581098089014,0.416264813358642,-1.15235284906434,-0.162028591172912,0.854072029068264,-0.170093796243617,0.574721505398455,1.52867406130108,2.54356342685161,1.53283227847674,"Female","Colorado"
"9","Cardiovascular",-0.687308584812769,0.184540256164861,1.10252151997702,0.184740769573716,-1.00888254066686,-0.339063438008495,0.312356637611915,-0.33767374313797,-0.223859269441559,0.37142458863226,0.933142207675911,0.358652899027784,-3.85977687201773,0.416919869042061,6.3499010289702,0.489882445780584,-8.34562886355746,0.689917922198172,11.8694404948187,1.22887498135227,-0.258352455435892,0.233723862309286,0.596519934248066,0.207413122931302,-0.857851642758279,0.415798403693354,1.76581098089014,0.416264813358642,-1.15235284906434,-0.162028591172912,0.854072029068264,-0.170093796243617,0.574721505398455,1.52867406130108,2.54356342685161,1.53283227847674,"Female","Colorado"
"10","Communicable",-0.185915953660817,0.0548837148289818,0.362236723321659,0.0652091915463967,-0.225268117979038,-0.0232765304768549,0.162593454201239,-0.02829279343016,-0.176975914552172,0.017259961299493,0.252834415572138,0.0205838889753853,-1.3569225450765,0.0815555145784656,2.50480953539274,0.125569790295214,-2.18628000431698,0.0389281482979222,2.66138155910758,0.0896043998100144,-0.21568196779957,0.0112543094496916,0.17906361827043,0.001938726029147,-0.857851642758279,0.415798403693354,1.76581098089014,0.416264813358642,-1.15235284906434,-0.162028591172912,0.854072029068264,-0.170093796243617,0.574721505398455,1.52867406130108,2.54356342685161,1.53283227847674,"Female","Colorado"
"11","Injuries",-0.139632663347081,0.274911569744305,0.912817345174449,0.304795182778479,-0.224224193916879,0.0232617567170325,0.257674306621875,0.022639753057037,0.122652383013875,0.429782845617965,0.712950812248496,0.42523472510693,-3.00129076084532,0.357601250021935,5.37589527497793,0.720085626762263,-3.02355527492303,0.0569570986243739,2.92698240348545,0.171863435051913,0.0931991608993917,0.271748769855259,0.770917214375146,0.335095670848513,-0.857851642758279,0.415798403693354,1.76581098089014,0.416264813358642,-1.15235284906434,-0.162028591172912,0.854072029068264,-0.170093796243617,0.574721505398455,1.52867406130108,2.54356342685161,1.53283227847674,"Female","Colorado"
"12","Non-communicable",-0.194487520703958,0.0364363137336957,0.352582711851194,0.0481866231421625,-0.109197164402279,0.12970248218862,0.381500188810848,0.130977406155209,-0.306927582511872,0.022923607082238,0.37812178285026,0.0261786786076761,-1.98620208627584,0.0454707046775991,2.13517858026829,-0.0750314237288221,-6.30309036476566,-0.0664865576101704,3.93927210853994,-0.630027381211926,-0.292461583092046,0.0159555109444905,0.229956367504852,0.00150899136310228,-0.857851642758279,0.415798403693354,1.76581098089014,0.416264813358642,-1.15235284906434,-0.162028591172912,0.854072029068264,-0.170093796243617,0.574721505398455,1.52867406130108,2.54356342685161,1.53283227847674,"Female","Colorado"
