"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",0.290466076013572,0.616376819739634,0.913110512547671,0.62113496973493,0.482019562771901,0.693751482444453,0.903168813852298,0.695449178307924,0.601413656407748,0.774460575301001,0.953793419679084,0.773169027343198,0.203927747330672,0.370918540389982,0.555539552796793,0.373060893668584,-5.39858442522709,-1.33096695912296,-0.613049255822983,-1.73210448559475,0.114705026290332,0.143018416135524,0.173909466205002,0.143262564666879,1.19267731480784,1.66567873403015,2.19531671068921,1.6732121345231,-0.870298598941848,-0.511823908724126,-0.124113487815602,-0.514513576223519,5.00590807732502,5.39224298833392,5.79492426913021,5.39370957670722,"Male","Florida"
"2","Cancers",-0.828200406228219,-0.665383888501844,-0.509829579137421,-0.667187774399326,-0.0389643351178291,0.115277298715527,0.258734271533777,0.114297115874189,0.739638488567755,0.893565384861319,1.04750503262527,0.893224621749921,-0.639926438488856,-0.400488857468828,-0.271149847296356,-0.410491796885879,-1.10742898252006,-0.214578801612501,0.0926753509343536,-0.296176799192407,0.139672255199853,0.165061590376031,0.192296711761222,0.165613754686524,1.19267731480784,1.66567873403015,2.19531671068921,1.6732121345231,-0.870298598941848,-0.511823908724126,-0.124113487815602,-0.514513576223519,5.00590807732502,5.39224298833392,5.79492426913021,5.39370957670722,"Male","Florida"
"3","Cardiovascular",-0.605183948073143,-0.354267535489164,-0.0911454616724244,-0.352219650036176,-0.0762931501432444,0.123413684976293,0.31736685852458,0.122245861148517,0.523556729936524,0.713801270056651,0.914574858073031,0.715463836564676,-0.457045632524554,-0.209119479076939,-0.0470135345379303,-0.22122396997617,-1.38216671029616,-0.236500695191854,0.161946510579253,-0.366278398734974,0.0993738489114326,0.132133389553594,0.165172894955906,0.13249892849351,1.19267731480784,1.66567873403015,2.19531671068921,1.6732121345231,-0.870298598941848,-0.511823908724126,-0.124113487815602,-0.514513576223519,5.00590807732502,5.39224298833392,5.79492426913021,5.39370957670722,"Male","Florida"
"4","Communicable",0.411031987042288,0.577933965525358,0.728503821936743,0.577384615218082,-1.7735396500539,-1.59296560040857,-1.43522841878922,-1.59350543181946,1.46063750015767,1.62495961355815,1.79526846157163,1.6242505129862,0.236246033868699,0.346200065863867,0.492138275710887,0.35161883944581,1.8375416913928,3.05502058906827,10.7679177373762,3.7797992726887,0.271183697824894,0.300956401586762,0.331477958299292,0.301314292408885,1.19267731480784,1.66567873403015,2.19531671068921,1.6732121345231,-0.870298598941848,-0.511823908724126,-0.124113487815602,-0.514513576223519,5.00590807732502,5.39224298833392,5.79492426913021,5.39370957670722,"Male","Florida"
"5","Injuries",1.29367023849225,1.593864574298,1.90136319936847,1.59635500572849,-0.146691544157086,0.056715506085842,0.259773407095568,0.0564939767626298,1.03232654930228,1.20123884659808,1.3721207304552,1.20130293612599,0.742606975334312,0.957328227380317,1.30283412677225,0.970404531503927,-1.04494936598694,-0.106690896820827,0.257694038477978,-0.16059806013426,0.193457261867274,0.22227083245017,0.25379277031033,0.222803950979723,1.19267731480784,1.66567873403015,2.19531671068921,1.6732121345231,-0.870298598941848,-0.511823908724126,-0.124113487815602,-0.514513576223519,5.00590807732502,5.39224298833392,5.79492426913021,5.39370957670722,"Male","Florida"
"6","Non-communicable",-0.204372070333437,-0.100837565372508,-0.00745450948385222,-0.102255031722905,0.0076655716245448,0.0903013325498838,0.174030654165377,0.0905057235026798,0.0830312024383522,0.188052260623204,0.292863630148375,0.186298641937237,-0.140418093803557,-0.0609222678199486,-0.00383579758323497,-0.063368497756273,-0.71981535437136,-0.171676308935426,-0.000306491397676698,-0.224641529032305,0.0156036426337729,0.0348888404292904,0.0538552457835388,0.0345065087644795,1.19267731480784,1.66567873403015,2.19531671068921,1.6732121345231,-0.870298598941848,-0.511823908724126,-0.124113487815602,-0.514513576223519,5.00590807732502,5.39224298833392,5.79492426913021,5.39370957670722,"Male","Florida"
"7","All other causes",0.663675583154256,0.976611807117323,1.2868354129917,0.974909483178057,0.306124990753037,0.509438093150916,0.703813215095355,0.507842921425176,0.6078854201096,0.806564887310282,0.988895297777877,0.803351555292212,0.265207903252621,0.370505778464816,0.484404416055572,0.37092346233002,-6.6554762367131,-1.0615764762317,-0.361688565539225,-1.91250327179952,0.140836110294055,0.17757911887389,0.213640803799101,0.177075198453839,2.04290974335752,2.65304992416339,3.26919430858629,2.64255425405601,-0.853229982227312,-0.470859123660187,-0.0294034728875227,-0.462745546024384,4.1286378660194,4.53906248184327,4.91243188867485,4.53387286837681,"Female","Florida"
"8","Cancers",-0.260111821164492,-0.102471815009224,0.0573250696822138,-0.102046982405789,-0.187543313744705,-0.0481013921924842,0.0975874292460326,-0.0482568536772954,0.274994508086315,0.430780589298863,0.576840618109506,0.427317740094338,-0.114802456395305,-0.0392493127858338,0.0203089928741197,-0.0405031754876941,-0.535243353128201,0.103874125223162,0.74005451347723,0.142291237088044,0.0608602046843184,0.0943190656350506,0.123564011033935,0.0941556322755565,2.04290974335752,2.65304992416339,3.26919430858629,2.64255425405601,-0.853229982227312,-0.470859123660187,-0.0294034728875227,-0.462745546024384,4.1286378660194,4.53906248184327,4.91243188867485,4.53387286837681,"Female","Florida"
"9","Cardiovascular",0.0187961662097866,0.423698479960489,0.847577894508029,0.42916566668109,-0.18234632505316,0.135882205300363,0.414905543125881,0.125298651873594,1.1289298937567,1.35822173686827,1.58016438619562,1.3557780055437,0.0076850067922391,0.160571344921263,0.28214617061536,0.157266380682086,-3.7103413454837,-0.26894609178242,0.322805984567019,-0.889219070475572,0.25774159031182,0.299315324614514,0.338136377322004,0.298953995181252,2.04290974335752,2.65304992416339,3.26919430858629,2.64255425405601,-0.853229982227312,-0.470859123660187,-0.0294034728875227,-0.462745546024384,4.1286378660194,4.53906248184327,4.91243188867485,4.53387286837681,"Female","Florida"
"10","Communicable",0.455245352046121,0.60509858893996,0.780247158807285,0.607231186166295,-1.27393662903978,-1.14619892372514,-1.01969414584346,-1.14655475848572,0.860260161270275,0.986358914504776,1.11809154625238,0.989527788738987,0.168110955547712,0.228195831165972,0.309436778938269,0.232187289948506,1.21347698409967,2.42209641634649,12.9335560818144,4.04670350105187,0.190373148346554,0.217786868142044,0.248228463271153,0.218457650722844,2.04290974335752,2.65304992416339,3.26919430858629,2.64255425405601,-0.853229982227312,-0.470859123660187,-0.0294034728875227,-0.462745546024384,4.1286378660194,4.53906248184327,4.91243188867485,4.53387286837681,"Female","Florida"
"11","Injuries",0.344308871023604,0.497757333001958,0.665451521508853,0.499368186990911,-0.0804993213167069,0.0131646886608204,0.115853117966778,0.0143032953727184,0.446722599700788,0.533602865795842,0.622138386502458,0.533451366963766,0.13106159906916,0.189093465718488,0.266385202154194,0.190774196874963,-0.50645056381409,-0.0250781058816097,0.25720064615123,-0.0523252370872207,0.0984406813029209,0.117090012463046,0.137847410268334,0.117771312607966,2.04290974335752,2.65304992416339,3.26919430858629,2.64255425405601,-0.853229982227312,-0.470859123660187,-0.0294034728875227,-0.462745546024384,4.1286378660194,4.53906248184327,4.91243188867485,4.53387286837681,"Female","Florida"
