"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.13429275964499,0.240443088063046,0.662755122868828,0.244705166046224,-0.46979542226039,-0.183521374518216,0.10341977197398,-0.183377353012165,0.650624312120443,0.926847110660423,1.21306666552155,0.930090680597274,-12.5030160338684,0.0175451649490343,11.2444185454157,-0.0358954145631375,-0.127986973924964,0.175435150936118,0.410234273233198,0.166131547444245,0.302667394597784,0.404803482052422,0.540372284681647,0.40828557352622,-0.728951062761129,-0.0573154359416868,0.625483547368093,-0.0543726888148322,-1.54148426334613,-1.05994719048445,-0.504039590093651,-1.05265927028662,1.75080160038095,2.27990078323038,2.87588613433985,2.29314241333901,"Male","Indiana"
"2","Cancers",-0.757092325339613,-0.516987128764213,-0.318295365066846,-0.523822614558664,-0.0937085624911336,0.13145668739503,0.341950966524283,0.125230432622116,0.332281735156999,0.567549788008362,0.789889794084867,0.565744639142464,-25.3528749696244,0.966366123955901,23.3323773056423,2.0563386384987,-0.491356840661604,-0.123978437545841,0.0787108152680495,-0.142782249842506,0.152532299695717,0.248253358254582,0.35437520072983,0.248204200830282,-0.728951062761129,-0.0573154359416868,0.625483547368093,-0.0543726888148322,-1.54148426334613,-1.05994719048445,-0.504039590093651,-1.05265927028662,1.75080160038095,2.27990078323038,2.87588613433985,2.29314241333901,"Male","Indiana"
"3","Cardiovascular",-0.768033238062735,-0.417145774658181,-0.0653766499579295,-0.418017336156854,-0.648333187744378,-0.353481587171528,-0.0884476487035414,-0.356423701461136,-0.345774419541914,-0.0874433131454918,0.205751477313633,-0.0839387757393535,-18.7684019220724,0.819766802576495,18.0857158258518,-2.42137055289522,0.0981534757972442,0.336096912088831,0.669924812332055,0.34785303412025,-0.177038077323498,-0.0380179278272163,0.0786306781933797,-0.0406778348117661,-0.728951062761129,-0.0573154359416868,0.625483547368093,-0.0543726888148322,-1.54148426334613,-1.05994719048445,-0.504039590093651,-1.05265927028662,1.75080160038095,2.27990078323038,2.87588613433985,2.29314241333901,"Male","Indiana"
"4","Communicable",0.1838845765547,0.409726148407988,0.673641389894221,0.415641163137706,-0.305442746942597,-0.146371701389911,0.00759008641927177,-0.144917154484687,0.0447859030635717,0.212478479135369,0.361379950678806,0.209866009428455,-18.3957458433324,-0.562976892177177,21.2050476096603,-0.111790942321842,-0.00982122158452694,0.13717212065873,0.335642913589021,0.143424737320947,0.0204437106646828,0.0923359856059448,0.161818164527645,0.0920349446823232,-0.728951062761129,-0.0573154359416868,0.625483547368093,-0.0543726888148322,-1.54148426334613,-1.05994719048445,-0.504039590093651,-1.05265927028662,1.75080160038095,2.27990078323038,2.87588613433985,2.29314241333901,"Male","Indiana"
"5","Injuries",-0.0532705452244687,0.302949914667264,0.670665685970099,0.29941172328302,-0.669365250937008,-0.390640568754489,-0.12070346654156,-0.39211107479522,0.380822945136255,0.727833721498353,1.01657667183094,0.722483116242203,-10.740615985911,-0.108486081736595,17.1968528338021,0.531328438519318,0.140791539680405,0.37529899720889,0.692349268424365,0.383595110564084,0.195342188288093,0.315261983262475,0.440887551266707,0.315880114307774,-0.728951062761129,-0.0573154359416868,0.625483547368093,-0.0543726888148322,-1.54148426334613,-1.05994719048445,-0.504039590093651,-1.05265927028662,1.75080160038095,2.27990078323038,2.87588613433985,2.29314241333901,"Male","Indiana"
"6","Non-communicable",-0.190766554739279,-0.070390705103381,0.0403479269967947,-0.0722907905662639,-0.202673401837993,-0.102259568514757,0.00179582585019179,-0.101060419155532,-0.205411068600212,-0.0492086303068699,0.0920937355353576,-0.0511032563320305,-4.49465069997095,0.058430112604607,3.60114739956015,0.981389832762167,-0.00208145623838313,0.0960203539176243,0.242179170247672,0.101777820392979,-0.0983117033162718,-0.021468259163861,0.0403947419160479,-0.0237269985348331,-0.728951062761129,-0.0573154359416868,0.625483547368093,-0.0543726888148322,-1.54148426334613,-1.05994719048445,-0.504039590093651,-1.05265927028662,1.75080160038095,2.27990078323038,2.87588613433985,2.29314241333901,"Male","Indiana"
"7","All other causes",-0.334518923957768,-0.00707873604163134,0.346620541472569,0.00387623844729711,-0.4373241890598,-0.170986827433974,0.0938017560331029,-0.169455129108053,0.493018147142133,0.770048320871009,1.06289659458291,0.773407400331768,-0.451084103248282,-0.00670129112777214,0.264129274060663,-0.0234615584706211,-0.316407763300596,0.279910353677766,1.13340981357211,0.205006651240624,0.232678000734081,0.333703694780609,0.451162161639501,0.333822929358736,0.535991495498703,1.20858924040558,1.94856994463864,1.2211045406972,-1.19168745383787,-0.5871317413939,-0.0281441057540845,-0.588264717151614,1.80026857996088,2.32143588096992,2.82774546098446,2.32216415592054,"Female","Indiana"
"8","Cancers",-0.367492532336084,-0.141561410119725,0.0926818704277548,-0.139466652433267,-0.223757689777955,-0.0138765387452691,0.190828446705781,-0.0162110781815559,-0.100633844869387,0.108570605801146,0.326871945566045,0.113565014516981,-0.542638387475484,-0.113087622992745,0.0668199224679903,-0.140306863902686,-0.802708444879775,0.0295028895045407,0.687063442882077,0.0560685814099043,-0.0470713533740742,0.0476580330095894,0.135113623177588,0.0474200779722418,0.535991495498703,1.20858924040558,1.94856994463864,1.2211045406972,-1.19168745383787,-0.5871317413939,-0.0281441057540845,-0.588264717151614,1.80026857996088,2.32143588096992,2.82774546098446,2.32216415592054,"Female","Indiana"
"9","Cardiovascular",0.595231926724423,1.08654213285451,1.62616544151946,1.09659124952441,-0.737047343743693,-0.332314129142866,0.0372105357035232,-0.339990094836851,0.374381413976863,0.681732229611469,1.00315584502538,0.68399372579432,0.601682710554769,0.904087831300076,1.57682683429602,0.944887025617065,-0.242522425489208,0.583322333068021,1.70320589362921,0.630634345948723,0.179102384761073,0.294298864684186,0.406893977192675,0.293867092144865,0.535991495498703,1.20858924040558,1.94856994463864,1.2211045406972,-1.19168745383787,-0.5871317413939,-0.0281441057540845,-0.588264717151614,1.80026857996088,2.32143588096992,2.82774546098446,2.32216415592054,"Female","Indiana"
"10","Communicable",0.0472138324439404,0.209879609734566,0.41078807920202,0.214688773728532,-0.134222608014865,-0.000951147424577636,0.107246212035456,-0.00327264176265626,-0.0221595207162973,0.0987959825463647,0.238420034128859,0.102970734461724,0.0437483201736669,0.170074380916626,0.439481223824878,0.189955013982209,-0.474837165580029,0.00305599269265448,0.340818819545296,0.00159773096504361,-0.0087109640339574,0.042735453958926,0.10014979198689,0.0441557509397683,0.535991495498703,1.20858924040558,1.94856994463864,1.2211045406972,-1.19168745383787,-0.5871317413939,-0.0281441057540845,-0.588264717151614,1.80026857996088,2.32143588096992,2.82774546098446,2.32216415592054,"Female","Indiana"
"11","Injuries",-0.208037973910365,-0.0406341367855291,0.143994440431103,-0.0375290102773099,-0.161293548768868,-0.028478415689672,0.0954993036007041,-0.0293498514733606,0.207023776280852,0.353300925564155,0.511334379366343,0.354034102381133,-0.273545600079355,-0.0328513875199992,0.119972958339206,-0.0444962330535849,-0.339158470065907,0.0496221048551118,0.438645138741434,0.045122667022565,0.0895388653559163,0.152248374060978,0.223778807767568,0.153601535941804,0.535991495498703,1.20858924040558,1.94856994463864,1.2211045406972,-1.19168745383787,-0.5871317413939,-0.0281441057540845,-0.588264717151614,1.80026857996088,2.32143588096992,2.82774546098446,2.32216415592054,"Female","Indiana"
"12","Non-communicable",-0.0660647175498376,0.0804742992703985,0.244686518916527,0.0829439417075314,-0.162882803050788,-0.0312696675555664,0.110912269774179,-0.029985921789138,0.110559258943633,0.295683535091167,0.468917642576028,0.294193178434617,-0.053145636520851,0.0668555852858138,0.24732739320215,0.073422615827618,-0.363451590039782,0.0541691428769385,0.482932826508844,0.0615700234131394,0.0516391011569408,0.128326778849965,0.204150781392838,0.127132613642585,0.535991495498703,1.20858924040558,1.94856994463864,1.2211045406972,-1.19168745383787,-0.5871317413939,-0.0281441057540845,-0.588264717151614,1.80026857996088,2.32143588096992,2.82774546098446,2.32216415592054,"Female","Indiana"
