"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.992628649265775,-0.352582422008433,0.451911816536428,-0.329257459119997,-0.4548646937216,0.0669017252167745,0.572553829179683,0.063105418092313,0.222449148596868,0.746159336934473,1.34455893105276,0.769465300321271,-5.57319511976619,-0.187746344293448,3.78806231750789,-0.135304527368285,-2.88009550534593,0.0903521753643249,3.95556109095735,0.313421875084134,0.12749786749671,0.36787264466016,1.1015909652832,0.759896826310042,-0.749304186054697,1.08814210251566,3.10577772346377,1.08513007601676,-1.38541936561657,-0.217920253797147,1.0843305476102,-0.200203982414612,0.557717764821035,2.07023166129632,3.53646240942502,2.06231666772973,"Male","Iowa"
"2","Cancers",-0.761739129901806,-0.14979305487952,0.542105498176723,-0.136791727728376,-0.874933894364761,-0.24150696182995,0.352147725814362,-0.24650961137255,-0.348935506017477,0.290500433668486,1.04621562000127,0.313294752011544,-3.67524979302158,-0.0636377482666296,2.2281112660033,-0.129104961447861,-4.81430828940439,0.295492813794273,5.26708580144182,0.408329759711518,-0.348317509601046,0.144170662053661,0.550965749151036,0.102861163757241,-0.749304186054697,1.08814210251566,3.10577772346377,1.08513007601676,-1.38541936561657,-0.217920253797147,1.0843305476102,-0.200203982414612,0.557717764821035,2.07023166129632,3.53646240942502,2.06231666772973,"Male","Iowa"
"3","Cardiovascular",-0.431764499152023,0.730679189321846,2.05642736181829,0.756983891072585,-1.19828921130682,-0.334732449150759,0.542991123703656,-0.323614877066579,-0.485281166999599,0.369412496004549,1.31039856154374,0.385437468586127,-2.41017027594288,0.586970558531986,6.1910878080911,0.724373981276349,-5.34256552430414,0.516622333610877,4.81888395296964,0.499458366344544,-0.490150243986555,0.188564461018762,0.597739348978561,-0.130926018951295,-0.749304186054697,1.08814210251566,3.10577772346377,1.08513007601676,-1.38541936561657,-0.217920253797147,1.0843305476102,-0.200203982414612,0.557717764821035,2.07023166129632,3.53646240942502,2.06231666772973,"Male","Iowa"
"4","Communicable",-0.157443692868297,0.19363130419264,1.14651535494275,0.26171253922245,-0.292795439310091,-0.0146742693084316,0.198411245751534,-0.0216206829258467,-0.558513414299801,-0.164523922118346,0.183017069383443,-0.1631547374951,-1.31567458737028,0.140421575503653,2.10357936631428,0.1337606356765,-1.82467756474235,0.0386975702743336,1.71654830831764,0.00691638306697496,-0.528794524253919,-0.0786759369655402,0.0929718897308315,-0.1600762837862,-0.749304186054697,1.08814210251566,3.10577772346377,1.08513007601676,-1.38541936561657,-0.217920253797147,1.0843305476102,-0.200203982414612,0.557717764821035,2.07023166129632,3.53646240942502,2.06231666772973,"Male","Iowa"
"5","Injuries",-0.481082882399121,0.503396211297992,1.86298863202444,0.552406626470929,-0.20400746945146,0.365643022572735,0.951809719520245,0.360458818617908,0.0333314968352566,0.670416130287157,1.3265872908768,0.668826612774182,-2.48771129088557,0.43218904218137,4.4116141469653,0.464910314432083,-8.31139167827991,-0.0785645193564359,8.67590191549832,-0.328547641306427,0.0361547702187404,0.31960375264308,0.895501824667971,0.460268721388591,-0.749304186054697,1.08814210251566,3.10577772346377,1.08513007601676,-1.38541936561657,-0.217920253797147,1.0843305476102,-0.200203982414612,0.557717764821035,2.07023166129632,3.53646240942502,2.06231666772973,"Male","Iowa"
"6","Non-communicable",-0.27768390708812,-0.0284792693166649,0.296511428306226,-0.0199237939008307,-0.258035183760201,-0.0240682314733115,0.165358174602305,-0.0320230477598578,-0.307999188712305,0.10177467231217,0.465707838671533,0.0884472715317064,-1.33060283856294,-0.0113520346984439,0.992017850696222,-0.0586354425687856,-1.51528643505825,0.0281015215422914,1.88000478391023,0.100421257099257,-0.259584344345173,0.0480752746134307,0.307680556976422,-0.032024408718379,-0.749304186054697,1.08814210251566,3.10577772346377,1.08513007601676,-1.38541936561657,-0.217920253797147,1.0843305476102,-0.200203982414612,0.557717764821035,2.07023166129632,3.53646240942502,2.06231666772973,"Male","Iowa"
"7","All other causes",-0.927128494573975,-0.206834312407106,0.694551176877769,-0.188269700305611,-0.47093414306321,0.0945055097694703,0.640717549740919,0.0960130335183507,-0.206560687879497,0.412518986843226,0.998719534138489,0.404104851389721,-6.90144645287459,0.140082490504429,6.95979923358486,0.463934698667697,-4.77410722804471,0.221600625171445,4.4225305577871,-0.215112607699994,-2.20184635692477,0.41993388191657,4.1486703779391,0.540694496845841,-1.40548377860743,0.148029511462271,1.6747497277417,0.145626526147022,-1.02080802396457,0.271707435663524,1.45533028248189,0.270973125587848,-0.530420787213156,0.853922391417347,2.24600646770371,0.845429356070429,"Female","Iowa"
"8","Cancers",-0.597244723847886,-0.0339959299811687,0.620023706997266,-0.0229344848904591,-0.531416752618245,-0.000693805283370874,0.711857041389315,0.0131494686593895,-0.774095263838449,-0.0676540040727435,0.769892906453234,-0.0421011385373744,-3.9960122396081,0.0892449206829078,4.55123723385364,-0.100300724412357,-4.12590017652308,0.169225242505261,3.24218825117944,-0.366518733256586,-3.74737156220643,0.0304462416644384,3.64191075292339,0.00114662428615716,-1.40548377860743,0.148029511462271,1.6747497277417,0.145626526147022,-1.02080802396457,0.271707435663524,1.45533028248189,0.270973125587848,-0.530420787213156,0.853922391417347,2.24600646770371,0.845429356070429,"Female","Iowa"
"9","Cardiovascular",-0.847903826839877,0.235308237375077,1.4623313372507,0.259239942220972,-0.809754479891638,0.138278658316305,1.01731685902524,0.112946930617356,-0.526077710017492,0.302004863554331,1.14816694542514,0.300672254830174,-6.22941821489677,0.606060692222641,8.66483053236464,0.701320289648947,-6.39362994028429,0.429528630541475,5.896860276189,0.851536989803958,-2.76656977304103,0.352445171551271,2.78129692015402,0.276401975529714,-1.40548377860743,0.148029511462271,1.6747497277417,0.145626526147022,-1.02080802396457,0.271707435663524,1.45533028248189,0.270973125587848,-0.530420787213156,0.853922391417347,2.24600646770371,0.845429356070429,"Female","Iowa"
"10","Communicable",-0.215690837993346,0.119382565694801,0.780806722663396,0.162812918495182,-0.142197786760068,0.089478483394145,0.2989804979495,0.0858872866827187,-0.406641094417616,-0.0764899027604929,0.207799118575257,-0.080942367096897,-3.69579691289119,0.0897043174859494,5.32938853491066,0.211335823129206,-2.08871907348358,0.0729741822595983,2.55712960284412,-0.175185641491273,-1.68503546792737,-0.0512546124393372,1.14830729843492,-0.0175837319823001,-1.40548377860743,0.148029511462271,1.6747497277417,0.145626526147022,-1.02080802396457,0.271707435663524,1.45533028248189,0.270973125587848,-0.530420787213156,0.853922391417347,2.24600646770371,0.845429356070429,"Female","Iowa"
