"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-1.07687717594598,-0.319550631890024,0.523849908125738,-0.306184585655342,-0.171920502467702,0.353774481143402,0.861362869258579,0.345290836608148,0.679534029325335,1.1839147498725,1.7661739386685,1.20251857977352,-1.07591450386857,0.193229990361004,0.839728461654785,0.0340310125981369,-2.50660767182977,-0.253263331916501,0.141100250333389,1.62616763586068,0.190772018813854,0.322211718135422,0.498514642506685,0.329392361616155,-3.18161000550889,-1.68372429240613,-0.0295321560153193,-1.65485234025133,-2.42108998982382,-1.29442961626877,-0.114529227879341,-1.28634751133114,2.50201060799558,3.68412437252136,5.01741154367384,3.7033033404317,"Male","Minnesota"
"2","Cancers",-0.838522590530551,-0.196271116440375,0.560030049892538,-0.174798483945258,-0.827451128899942,-0.287708747821567,0.233697830767644,-0.290697234232971,0.395512197486504,0.929049836166108,1.48969271717178,0.931380869217663,-0.533939070876464,0.123318505778595,0.86851223310484,-0.350372408312923,-0.304978661867998,0.222328778913272,0.996056606048075,-1.02143514953326,0.120921202734041,0.249332145746524,0.407190523442972,0.252941920798442,-3.18161000550889,-1.68372429240613,-0.0295321560153193,-1.65485234025133,-2.42108998982382,-1.29442961626877,-0.114529227879341,-1.28634751133114,2.50201060799558,3.68412437252136,5.01741154367384,3.7033033404317,"Male","Minnesota"
"3","Cardiovascular",-1.72453140427007,-0.679610402660175,0.430644262355544,-0.682897861064316,-1.56672232918081,-0.871377120410737,-0.165447172536045,-0.872330298235326,-0.246715844146939,0.383036305581797,1.06372013054027,0.387120163084067,-0.714560446955624,0.424186162044437,1.26883492118926,0.86144470341011,0.183165894460056,0.671621147614079,2.42481400239137,1.83013581384452,-0.082822593073878,0.100782643987873,0.247008880391374,0.097416400760065,-3.18161000550889,-1.68372429240613,-0.0295321560153193,-1.65485234025133,-2.42108998982382,-1.29442961626877,-0.114529227879341,-1.28634751133114,2.50201060799558,3.68412437252136,5.01741154367384,3.7033033404317,"Male","Minnesota"
"4","Communicable",-0.382910246346403,-0.104057596506826,0.293946133268164,-0.0895725691185806,-0.55051234012517,-0.23237290410018,0.0579343190250819,-0.238461318160835,-0.135859629761793,0.24323969101301,0.612942605533372,0.243992359852375,-0.362301530636196,0.060209276629011,0.409090067706912,0.122860713685886,-0.087378897869137,0.177603670452193,0.857884082739922,-0.460159340260069,-0.0361043750293102,0.0646727941031769,0.158964775932115,0.0649140678231212,-3.18161000550889,-1.68372429240613,-0.0295321560153193,-1.65485234025133,-2.42108998982382,-1.29442961626877,-0.114529227879341,-1.28634751133114,2.50201060799558,3.68412437252136,5.01741154367384,3.7033033404317,"Male","Minnesota"
"5","Injuries",-0.926652579256753,-0.314121897489531,0.38309947421634,-0.311084757058879,-0.621227880455578,-0.169400267842487,0.223652650005776,-0.176784622333665,0.485031591590589,0.858467260118621,1.28581423578469,0.873071759349375,-0.567604127641291,0.184803766545121,0.995284781142587,0.204572370403138,-0.455210155679232,0.131233353756989,0.652259295023016,-1.58077968759925,0.140094363475394,0.233435172763973,0.371965134878476,0.239464316060821,-3.18161000550889,-1.68372429240613,-0.0295321560153193,-1.65485234025133,-2.42108998982382,-1.29442961626877,-0.114529227879341,-1.28634751133114,2.50201060799558,3.68412437252136,5.01741154367384,3.7033033404317,"Male","Minnesota"
"6","Non-communicable",-0.268714170780643,-0.0868927979662959,0.0788091139062283,-0.090314083408954,-0.243872259309397,-0.0485299840833934,0.119706529184441,-0.0533648749764956,-0.233794413380351,0.0640045653855229,0.366569826798717,0.0652196091546969,-0.148823488092605,0.0526973595999,0.377354093522722,0.127463608215652,-0.177397385520437,0.035483058783076,0.320842928640612,0.606070727687381,-0.0745326568381205,0.0174828532081681,0.094161925655088,0.0158709329413962,-3.18161000550889,-1.68372429240613,-0.0295321560153193,-1.65485234025133,-2.42108998982382,-1.29442961626877,-0.114529227879341,-1.28634751133114,2.50201060799558,3.68412437252136,5.01741154367384,3.7033033404317,"Male","Minnesota"
"7","All other causes",-0.824103200994639,-0.148607285505877,0.667809414203025,-0.124733610312097,-0.402010865364119,0.195763293161184,0.705526645559706,0.187392243962046,0.020403959477622,0.622904127153113,1.23289115462155,0.632213259011318,-1.76444338280158,0.11361417764635,2.43188895390957,-0.565077069354075,-2.81005930512965,0.19598790922971,1.98301125209983,-0.0533395213401441,-0.131849164172108,0.414185576401132,1.71070873507954,0.284875134080507,-3.12004059954252,-1.26130052242677,0.57520210116278,-1.25628010888291,-0.384447198581375,0.838791681885767,2.19636519352179,0.847312186788368,0.143661366496738,1.47475996010484,2.82131611894934,1.48931411211029,"Female","Minnesota"
"8","Cancers",-0.51462534875106,0.120760309424627,0.841546495016614,0.129954801558089,-0.334252004056842,0.165764565617622,0.753500403875691,0.181231638684087,-0.425979890460839,0.126507487781119,0.722514335169089,0.134278312605182,-2.15593503061003,-0.0475188554495654,2.21056778315306,3.6340863474611,-1.43396418658485,0.197224618524649,2.77024991448361,0.17700397120346,-0.778678210778194,0.089924909731581,0.698995780012397,0.0438045977288919,-3.12004059954252,-1.26130052242677,0.57520210116278,-1.25628010888291,-0.384447198581375,0.838791681885767,2.19636519352179,0.847312186788368,0.143661366496738,1.47475996010484,2.82131611894934,1.48931411211029,"Female","Minnesota"
"9","Cardiovascular",-2.75884421025799,-1.14309154778634,0.347362710220033,-1.15901481705201,-0.642734387956451,0.325776846176672,1.26215483175247,0.318140038856583,-0.679538077329102,0.163007296019428,0.937442999956015,0.159455454162822,-2.49814809727988,0.852046186203587,3.66075529857104,-3.59484639770478,-1.51733992775344,0.419107875769497,3.9565186900222,0.83337710117939,-1.52040918509601,0.11632532900461,0.621246385301088,0.473443108266468,-3.12004059954252,-1.26130052242677,0.57520210116278,-1.25628010888291,-0.384447198581375,0.838791681885767,2.19636519352179,0.847312186788368,0.143661366496738,1.47475996010484,2.82131611894934,1.48931411211029,"Female","Minnesota"
"10","Communicable",-0.235648660102775,0.0467276823546886,0.530246295994951,0.0732773229012643,-0.292014698412465,0.00598411837230095,0.25605172969267,-3.33747697574292e-05,-0.345325644484668,-0.0311850057683572,0.310451256470476,-0.0225098529253315,-1.32253433788596,-0.0184276325557376,1.30353276488033,0.670690611826993,-1.02083889707065,0.0225605968135655,2.10561513170984,0.0642520351553185,-0.539263733181856,-0.0188772662344466,0.285315023298917,0.136481147005522,-3.12004059954252,-1.26130052242677,0.57520210116278,-1.25628010888291,-0.384447198581375,0.838791681885767,2.19636519352179,0.847312186788368,0.143661366496738,1.47475996010484,2.82131611894934,1.48931411211029,"Female","Minnesota"
