"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",0.581141820970696,0.934183069277443,1.32950607146405,0.934672364120664,0.568589819272268,0.815338886836188,1.05867411790478,0.815099888620998,0.222346777416101,0.473110938146259,0.721548347794355,0.47172069251718,0.379594408118271,0.540369861293662,0.788713523260035,0.551049713555495,-1.03318246864177,-0.551851054555375,-0.326927219340549,-0.579156869885782,0.0984054946849831,0.199382403416823,0.28860716564998,0.199299618909417,1.12573054234142,1.72054350785443,2.33844701012211,1.7208097695962,-1.94074518764124,-1.48268984267692,-0.953454093325438,-1.47500476715832,1.82932018498882,2.36262584969207,2.86064554488417,2.35988509377254,"Male","Mississippi"
"2","Cancers",-0.598678976533161,-0.452433846193599,-0.302696870982401,-0.452676764071779,-0.718808870626221,-0.540955760627783,-0.368936473115003,-0.541840351571619,0.00952471122460997,0.200556380208378,0.396555780889174,0.201115422945573,-0.464253554124162,-0.261575674773325,-0.152890977571554,-0.274487637856573,0.247810651302547,0.368457135473162,0.545649892333009,0.375574708474813,0.00404466648006571,0.0851837311020277,0.16467141644472,0.0846993493362696,1.12573054234142,1.72054350785443,2.33844701012211,1.7208097695962,-1.94074518764124,-1.48268984267692,-0.953454093325438,-1.47500476715832,1.82932018498882,2.36262584969207,2.86064554488417,2.35988509377254,"Male","Mississippi"
"3","Cardiovascular",-0.615909783396868,-0.324930712015714,-0.0436761478891658,-0.324676840315837,-1.24989516987606,-0.99048604462058,-0.721433728708314,-0.988089627607555,0.0660123672627625,0.311866143446858,0.58956308240603,0.311114884793661,-0.494836796049622,-0.1875515557109,-0.0227260435190137,-0.204342618571069,0.489319266341546,0.671212965146416,0.940175994115943,0.682908367827133,0.0319765506868454,0.130911393978539,0.227975409327585,0.130169936248053,1.12573054234142,1.72054350785443,2.33844701012211,1.7208097695962,-1.94074518764124,-1.48268984267692,-0.953454093325438,-1.47500476715832,1.82932018498882,2.36262584969207,2.86064554488417,2.35988509377254,"Male","Mississippi"
"4","Communicable",0.427133579178547,0.587821733471989,0.755436361342075,0.590626176654545,-0.376744375245909,-0.266834973736728,-0.153769609502083,-0.266748436876852,-0.0125695857655793,0.120761902659694,0.254909568466099,0.121228292006322,0.230193244970838,0.342146287975607,0.528470009158093,0.353938591774591,0.108780061590952,0.179209933454979,0.292722818476008,0.185239324259256,-0.00608226478942573,0.051281488047216,0.107851432246178,0.0512054707207177,1.12573054234142,1.72054350785443,2.33844701012211,1.7208097695962,-1.94074518764124,-1.48268984267692,-0.953454093325438,-1.47500476715832,1.82932018498882,2.36262584969207,2.86064554488417,2.35988509377254,"Male","Mississippi"
"5","Injuries",0.640863167675236,1.00078617653393,1.35124359518347,1.00170734681739,-0.653852801336669,-0.381175710804052,-0.120652707411098,-0.385465038055611,1.21784805959475,1.48827070119954,1.76493818360255,1.49041037243855,0.411543821663584,0.581514341221454,0.840371450657791,0.592023322919767,0.0968971412455588,0.260917786623905,0.419162616006723,0.2610258784243,0.517315413876999,0.630282848399937,0.78983173518691,0.636555710107064,1.12573054234142,1.72054350785443,2.33844701012211,1.7208097695962,-1.94074518764124,-1.48268984267692,-0.953454093325438,-1.47500476715832,1.82932018498882,2.36262584969207,2.86064554488417,2.35988509377254,"Male","Mississippi"
"6","Non-communicable",-0.114246307511795,-0.0279320824292318,0.0546531489753299,-0.028842513608787,-0.191824808563536,-0.107087885996055,-0.0260910327360416,-0.107961201667682,-0.365621930580112,-0.234853328910456,-0.117347618711588,-0.235704570928751,-0.0734962045508082,-0.0161691060129503,0.0314283880242546,-0.0181813718222102,0.0180396564993057,0.0721637526505846,0.141065515877061,0.0744085909002791,-0.171314170918207,-0.100055868732024,-0.0453555412610216,-0.101930085321521,1.12573054234142,1.72054350785443,2.33844701012211,1.7208097695962,-1.94074518764124,-1.48268984267692,-0.953454093325438,-1.47500476715832,1.82932018498882,2.36262584969207,2.86064554488417,2.35988509377254,"Male","Mississippi"
"7","All other causes",0.819359055497226,1.19473630348146,1.58794378319675,1.19842761790234,0.551259089809014,0.816917917565889,1.08107623311377,0.817932428753706,0.208528600339362,0.482320466093368,0.743998869352812,0.481062543049833,0.285684757471214,0.381263252117443,0.480889599016135,0.381276638452208,-49.2581594914047,-2.28875462595695,42.2390075356981,0.636615403708154,0.0832958479852063,0.183047897659788,0.26332088394259,0.182388803208966,2.56546821318404,3.14001618544436,3.72216977127056,3.14163191976509,-0.70042230554532,-0.214470408655702,0.201159677615969,-0.221874884098661,2.11436502437882,2.61276590481399,3.13099797638522,2.61872862729844,"Female","Mississippi"
"8","Cancers",-0.242870073369928,-0.0965952070335925,0.0571156307513501,-0.0929187204890453,-0.381369323312842,-0.222171619165434,-0.0713867764498051,-0.222891397509195,-0.0971709765845893,0.0694040581453095,0.241478229412364,0.0672579765907724,-0.0844991359049671,-0.0303931312621677,0.0180607626780444,-0.0304848608444512,-8.80727138740821,0.672227182048708,12.81960194694,0.471089297213266,-0.0400462605033947,0.0258678536180695,0.0896620872306932,0.0248172989517847,2.56546821318404,3.14001618544436,3.72216977127056,3.14163191976509,-0.70042230554532,-0.214470408655702,0.201159677615969,-0.221874884098661,2.11436502437882,2.61276590481399,3.13099797638522,2.61872862729844,"Female","Mississippi"
"9","Cardiovascular",0.502542052021556,0.86259219234868,1.2238960341479,0.867276819347461,-0.980454470440911,-0.644830578675647,-0.358214668828513,-0.653743157987175,1.01170587706413,1.30710923848414,1.58854368189917,1.30786624029287,0.173053179889469,0.277937903398561,0.371456245070528,0.275538853286034,-25.4301951164524,2.04594110910412,36.5861489903905,0.487932748913835,0.406881797532173,0.500450294825246,0.600242952997402,0.501099235906397,2.56546821318404,3.14001618544436,3.72216977127056,3.14163191976509,-0.70042230554532,-0.214470408655702,0.201159677615969,-0.221874884098661,2.11436502437882,2.61276590481399,3.13099797638522,2.61872862729844,"Female","Mississippi"
"10","Communicable",0.522973796612312,0.659218050197293,0.834993513583326,0.661419742052035,-0.147131439189501,-0.0592822442932687,0.0321382019012063,-0.0580983177484123,-0.22262338787528,-0.110384061861426,0.00191377060593261,-0.109779284656315,0.161668574270071,0.21042174609767,0.273859360013199,0.211923652330562,-2.20624530069443,0.164613358670131,3.47030165389598,-0.0916457822424944,-0.09252404888187,-0.0423374442062271,0.000591962790611617,-0.0428348413669455,2.56546821318404,3.14001618544436,3.72216977127056,3.14163191976509,-0.70042230554532,-0.214470408655702,0.201159677615969,-0.221874884098661,2.11436502437882,2.61276590481399,3.13099797638522,2.61872862729844,"Female","Mississippi"
