"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",0.12100914595865,0.444661462119215,0.802708412885151,0.449736847565067,-0.199115074512491,0.0686208427355226,0.342716922308927,0.0695414855822217,0.995876756634777,1.24835424351722,1.48578284630047,1.24709305330477,0.0807745344565236,0.271159921578101,0.450521454843272,0.268931324205094,-0.145666772379851,-0.0265433983944258,0.0696610270040288,-0.029066589908388,0.190554703297859,0.229481729438833,0.270166633412358,0.229283713748734,1.08522259478263,1.66016924999843,2.19744839393084,1.66140736818213,-3.08476434523997,-2.63412541596484,-2.13867570010038,-2.63235323752068,4.88524173319049,5.44041444545202,5.94610165969775,5.43893073226889,"Male","New Jersey"
"2","Cancers",-0.726801672267544,-0.53844041709824,-0.359659749640588,-0.540941123482746,-0.117625990432788,0.0591157916342194,0.24337750405748,0.0605417150249298,0.513890498218212,0.700451476632903,0.889328946203149,0.699164005459651,-0.573589874559644,-0.324089256992714,-0.18965795054616,-0.33924499770698,-0.0994190887717558,-0.0227760236235526,0.0420758241399089,-0.0240664966686924,0.0946848188308847,0.129152359861818,0.161544949186181,0.128576814018058,1.08522259478263,1.66016924999843,2.19744839393084,1.66140736818213,-3.08476434523997,-2.63412541596484,-2.13867570010038,-2.63235323752068,4.88524173319049,5.44041444545202,5.94610165969775,5.43893073226889,"Male","New Jersey"
"3","Cardiovascular",0.0711622514617795,0.383517449766061,0.693382346967417,0.382210667502725,-0.253341719844174,-0.0282983998973362,0.201588309783527,-0.0277141818323104,-0.213034138820445,0.0162374085588118,0.255544651464709,0.0160575177074979,0.0458873833677789,0.230533319760857,0.393788592423707,0.228098973574864,-0.0870205797524189,0.0104057872523499,0.0935848953248806,0.00838200155368848,-0.0415053875592419,0.00293792364676255,0.044149185580576,0.00242810406829425,1.08522259478263,1.66016924999843,2.19744839393084,1.66140736818213,-3.08476434523997,-2.63412541596484,-2.13867570010038,-2.63235323752068,4.88524173319049,5.44041444545202,5.94610165969775,5.43893073226889,"Male","New Jersey"
"4","Communicable",0.106473155248296,0.273922662912601,0.469184138087863,0.280284344017243,-2.94435306161829,-2.71183509050578,-2.44945666779814,-2.70817151151318,2.56978711296857,2.82001272898906,3.06988359299378,2.81749358111417,0.0644756713401092,0.168572209461793,0.300305564217469,0.171577864616243,0.883521151938721,1.0269510988329,1.23707812370585,1.03602287565555,0.46972766848554,0.518454300837095,0.571859903137712,0.518744793769693,1.08522259478263,1.66016924999843,2.19744839393084,1.66140736818213,-3.08476434523997,-2.63412541596484,-2.13867570010038,-2.63235323752068,4.88524173319049,5.44041444545202,5.94610165969775,5.43893073226889,"Male","New Jersey"
"5","Injuries",0.858796084392149,1.12103649138652,1.37191718510032,1.12012003228993,-0.209434110433551,-0.0426730658594761,0.129525102223378,-0.044635499197625,0.316892456005716,0.51309330174963,0.716332461656435,0.511403056573279,0.49039766185856,0.67618831972058,0.976463565643488,0.691018149477601,-0.0518266545362327,0.0162280263643821,0.0767150060321068,0.0160789851440118,0.0605483692467264,0.0941672676982057,0.129505062641095,0.0938868019455383,1.08522259478263,1.66016924999843,2.19744839393084,1.66140736818213,-3.08476434523997,-2.63412541596484,-2.13867570010038,-2.63235323752068,4.88524173319049,5.44041444545202,5.94610165969775,5.43893073226889,"Male","New Jersey"
"6","Non-communicable",-0.148727369954588,-0.0296466496478823,0.0849156543777552,-0.0300033997100869,-0.0848773270362207,0.0178202854410309,0.125461668500906,0.0180847544152898,0.0218078883950531,0.147890121223715,0.276238128342575,0.147719518109522,-0.102996010352494,-0.0184135003781016,0.0491803741868939,-0.0203813141668214,-0.0520642104600557,-0.00676378330425376,0.031716651373265,-0.00735077577616815,0.00417454996780668,0.0270071962020093,0.0494152806383095,0.0270797724496817,1.08522259478263,1.66016924999843,2.19744839393084,1.66140736818213,-3.08476434523997,-2.63412541596484,-2.13867570010038,-2.63235323752068,4.88524173319049,5.44041444545202,5.94610165969775,5.43893073226889,"Male","New Jersey"
"7","All other causes",-0.0785816450537185,0.230552206876083,0.539733174003597,0.223975833370595,-0.156438259143916,0.0777776434387764,0.306607055776345,0.0725752711109273,0.620817653407602,0.840272171206277,1.06578984005187,0.84259640033091,-0.107658089022142,0.195347804777921,0.422839229604031,0.186846266443913,-0.278276843371559,-0.0549489082902597,0.0973210229101684,-0.0614547323734356,0.18414859245125,0.240141780351204,0.298728979387591,0.239962931431825,0.524725021764836,1.15790209930933,1.71728693650923,1.14987469512864,-1.87935733166312,-1.39487494851646,-0.908673662913545,-1.39684134920421,3.06028353024862,3.50864780183292,3.99033794366284,3.51235275193627,"Female","New Jersey"
"8","Cancers",-0.330626804144771,-0.157661030433895,0.00988902605569374,-0.157244114481535,-0.272654365156537,-0.0958849284807788,0.0749489666405884,-0.0947168027614479,0.0337236792915946,0.209880419058356,0.403775074663536,0.213433630920083,-0.435297500028827,-0.134069078869785,0.00942293892842483,-0.154732767368376,-0.0635110175407333,0.0690373842143141,0.183310730391715,0.0651412050261488,0.0106034586861381,0.0609298305012474,0.108342171594782,0.060263955090728,0.524725021764836,1.15790209930933,1.71728693650923,1.14987469512864,-1.87935733166312,-1.39487494851646,-0.908673662913545,-1.39684134920421,3.06028353024862,3.50864780183292,3.99033794366284,3.51235275193627,"Female","New Jersey"
"9","Cardiovascular",0.235917283249013,0.647632762988851,1.01295403191477,0.637945250902071,-0.17166617449253,0.136685266619322,0.429846324843297,0.129335896048027,0.146127823184405,0.408423589912313,0.672401071364441,0.411191862265958,0.299371330190104,0.556195696641223,0.891106935431694,0.563171548222191,-0.410914654967162,-0.0963807498811187,0.106892873855261,-0.110703670149129,0.0463509890683362,0.116756952731465,0.180107463464346,0.116019012079744,0.524725021764836,1.15790209930933,1.71728693650923,1.14987469512864,-1.87935733166312,-1.39487494851646,-0.908673662913545,-1.39684134920421,3.06028353024862,3.50864780183292,3.99033794366284,3.51235275193627,"Female","New Jersey"
"10","Communicable",0.0591693240873592,0.225669971571233,0.409997483609025,0.22829802352552,-1.7246181023639,-1.53899744017199,-1.37098827498128,-1.54394684101568,1.16117013468864,1.34300126424905,1.54324241094543,1.34465993630873,0.0531737682676049,0.197809771825288,0.413042043392332,0.20650197535984,0.845564242756212,1.10323953539239,1.63828093679618,1.13973172537213,0.328649162958754,0.383238341879633,0.444532303500725,0.383948690689696,0.524725021764836,1.15790209930933,1.71728693650923,1.14987469512864,-1.87935733166312,-1.39487494851646,-0.908673662913545,-1.39684134920421,3.06028353024862,3.50864780183292,3.99033794366284,3.51235275193627,"Female","New Jersey"
