"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",1.5578508333137,1.81228964402153,2.07475087706657,1.8146131656149,0.489068825172494,0.669167763188725,0.872365791466111,0.670022712527724,1.27389377646987,1.45101521578915,1.62263497770734,1.4539177112235,0.640111574776892,0.728792229425856,0.829944031688249,0.730695191407139,-1.13717322367201,-0.647942014444919,-0.373984257731216,-0.686085285681127,0.207911385450343,0.234171200084302,0.257777700334796,0.234272250977982,2.0961618241733,2.48953224234474,2.90107928355552,2.49123812282561,-1.40342946997253,-1.01912124229885,-0.673808225850413,-1.02513464284214,5.80586446536499,6.20658500587238,6.5812782932147,6.20692087180716,"Male","New York"
"2","Cancers",-0.429940324031278,-0.316856772975606,-0.210026621913297,-0.317092818613165,0.17599766027705,0.282574881169882,0.397992789783349,0.285838808402087,0.306195203850537,0.445053554718479,0.583481325127271,0.446491960863331,-0.18933970290819,-0.127394701498742,-0.0796424662445904,-0.128605538236926,-0.501034916987657,-0.283502163390424,-0.149088823614021,-0.2911198544511,0.0496926228569293,0.072167477850422,0.0918139494766916,0.0718817429874718,2.0961618241733,2.48953224234474,2.90107928355552,2.49123812282561,-1.40342946997253,-1.01912124229885,-0.673808225850413,-1.02513464284214,5.80586446536499,6.20658500587238,6.5812782932147,6.20692087180716,"Male","New York"
"3","Cardiovascular",-0.373252215503433,-0.192823178329261,0.0131566485664276,-0.190166494018602,-0.289681808310168,-0.101993131293736,0.0635472100753662,-0.102551564432833,0.201264694104485,0.383767289987992,0.577295498146164,0.384819524786334,-0.165045956329678,-0.0776466956596464,0.00496956420374698,-0.0785425979286684,-0.076724825657945,0.0990362760509612,0.24623021469995,0.0948215002254882,0.0338689601724583,0.0618600414305876,0.0901370867161893,0.0617676316951977,2.0961618241733,2.48953224234474,2.90107928355552,2.49123812282561,-1.40342946997253,-1.01912124229885,-0.673808225850413,-1.02513464284214,5.80586446536499,6.20658500587238,6.5812782932147,6.20692087180716,"Male","New York"
"4","Communicable",0.27897851789862,0.395504542046212,0.517481570757021,0.396012133815692,-2.01585948134561,-1.87567243585489,-1.7263866624362,-1.87374730376938,1.92985622313274,2.07726159842071,2.22560492716252,2.07975441038569,0.110407997841843,0.15967972346378,0.206948583515642,0.159605421188925,1.37946204876922,1.82576969408696,2.69865634480349,1.88510625943227,0.310935498460299,0.33520855397192,0.360424435916453,0.335238640628782,2.0961618241733,2.48953224234474,2.90107928355552,2.49123812282561,-1.40342946997253,-1.01912124229885,-0.673808225850413,-1.02513464284214,5.80586446536499,6.20658500587238,6.5812782932147,6.20692087180716,"Male","New York"
"5","Injuries",0.155328991578983,0.32604707153964,0.507122383222565,0.327869675845685,-0.651691607885801,-0.500326480121267,-0.346298331010028,-0.498961368873034,1.46754211286527,1.61979880623741,1.75952565197969,1.61976353132421,0.0650828462952257,0.132452093897573,0.196465818585372,0.131420614518659,0.33408380084325,0.485367946501004,0.726665217792271,0.497952558877742,0.238054551026652,0.26138166243094,0.285302734001879,0.261081752353439,2.0961618241733,2.48953224234474,2.90107928355552,2.49123812282561,-1.40342946997253,-1.01912124229885,-0.673808225850413,-1.02513464284214,5.80586446536499,6.20658500587238,6.5812782932147,6.20692087180716,"Male","New York"
"6","Non-communicable",0.340619012345165,0.458611153119122,0.580017136670257,0.460002460181096,0.413061916084912,0.495624983151376,0.5711884730426,0.494264073303294,0.129485318686193,0.222877765389755,0.312925768705887,0.222173733224092,0.141381915118827,0.183696988093205,0.238740912106546,0.185426909050871,-0.779369145722254,-0.481699456434371,-0.318380829659865,-0.500675178403271,0.0212679555518197,0.0359530174171606,0.0502050173888816,0.0357579813571274,2.0961618241733,2.48953224234474,2.90107928355552,2.49123812282561,-1.40342946997253,-1.01912124229885,-0.673808225850413,-1.02513464284214,5.80586446536499,6.20658500587238,6.5812782932147,6.20692087180716,"Male","New York"
"7","All other causes",0.802666355461466,1.05035297346713,1.28114143764162,1.04950638278132,0.244111568838837,0.436781947011496,0.618672508854212,0.434959634900881,0.971993574613378,1.1326056259996,1.31301859576623,1.13562463948985,0.415004676419505,0.516637678035726,0.635878778920094,0.519595785788705,-18.0501598270651,-1.52572165774586,21.0421746648066,-1.51505819586667,0.264201542278278,0.298265471270433,0.335975637668252,0.299583021739304,1.62731651733299,2.02152055713423,2.40382471809323,2.02786811065786,-0.578819840555642,-0.24048648793943,0.0856104978538989,-0.232699683803555,3.45347985998359,3.79459945339232,4.12228613093186,3.79154405534643,"Female","New York"
"8","Cancers",-0.165124813776597,-0.0565116939171477,0.0507410116120681,-0.0578404873053617,0.000803655039068352,0.104539564219396,0.221762201620663,0.106508848334533,0.0696324478160381,0.187527645776845,0.319950597421478,0.189686912913924,-0.0919047426280479,-0.0280875741478931,0.0242719082692369,-0.0296169317389463,-4.94518259278884,-0.342410411780852,5.61800923454739,-0.149197908341067,0.0184714811438172,0.0491935475879486,0.0819788819045601,0.0498613371554858,1.62731651733299,2.02152055713423,2.40382471809323,2.02786811065786,-0.578819840555642,-0.24048648793943,0.0856104978538989,-0.232699683803555,3.45347985998359,3.79459945339232,4.12228613093186,3.79154405534643,"Female","New York"
"9","Cardiovascular",-0.231732310328221,0.0459459125510528,0.325841891878456,0.0401773261984453,-0.21741560323422,-0.0166054441922558,0.206415144018817,-0.0129580272093004,0.504918187887353,0.703295204641493,0.890775802224481,0.704402012094392,-0.129112376965597,0.0231707816341578,0.137123014928489,0.0153291031291873,-3.40454463219352,0.152046413519411,4.42907553619459,0.468792673934146,0.14166492657316,0.185348164654208,0.22610702125158,0.185382728474261,1.62731651733299,2.02152055713423,2.40382471809323,2.02786811065786,-0.578819840555642,-0.24048648793943,0.0856104978538989,-0.232699683803555,3.45347985998359,3.79459945339232,4.12228613093186,3.79154405534643,"Female","New York"
"10","Communicable",0.325576519114321,0.429107422554613,0.53583605524247,0.429732983786399,-1.11221315632242,-1.00371317001411,-0.902992762408074,-1.00537567950057,0.932460849613675,1.03104133538196,1.13957898798029,1.03117554392453,0.156476605700509,0.212073226251302,0.272594568535245,0.213427811167873,-42.4159152128234,3.57534449762369,35.7820298086436,2.61511248626685,0.242916651176292,0.271540807724737,0.303874167272777,0.27231056645045,1.62731651733299,2.02152055713423,2.40382471809323,2.02786811065786,-0.578819840555642,-0.24048648793943,0.0856104978538989,-0.232699683803555,3.45347985998359,3.79459945339232,4.12228613093186,3.79154405534643,"Female","New York"
