"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",0.0843214623863783,0.36012782563163,0.650756829353037,0.360889715386729,-0.00466728334526305,0.218226977523099,0.42923188504675,0.217233962646115,0.434005306760443,0.643007520073606,0.844636824651774,0.643794590495519,0.0498348675834092,0.191276193553542,0.325141333220349,0.191865595433556,-0.340968774059962,-0.14547447080828,0.00240464219897663,-0.151352057114442,0.115586050217554,0.166859801118591,0.212958372493749,0.166087468925675,1.36663547414005,1.87067491749962,2.36574820469043,1.86015346840631,-1.9143785377929,-1.51763695585798,-1.11147247315733,-1.51767214264456,3.45914391393245,3.86750660063651,4.28758200672728,3.87087546980826,"Male","North Carolina"
"2","Cancers",-0.766695561646762,-0.629071989212189,-0.485300656737979,-0.62632370595115,-0.347484994108766,-0.198385754916046,-0.0475400230573886,-0.201555061650942,0.260075113909963,0.410643230453529,0.573671836855652,0.413738452227285,-0.503568676302051,-0.334465145838896,-0.231976808412549,-0.344855729795661,0.0344150374467138,0.13127830553643,0.231140137603914,0.133302260731235,0.0703936381147027,0.106918370503488,0.143786774656853,0.106769417452496,1.36663547414005,1.87067491749962,2.36574820469043,1.86015346840631,-1.9143785377929,-1.51763695585798,-1.11147247315733,-1.51767214264456,3.45914391393245,3.86750660063651,4.28758200672728,3.87087546980826,"Male","North Carolina"
"3","Cardiovascular",-0.0232596034688905,0.229679152373126,0.521289087112151,0.233514137581325,-0.510785985234187,-0.296721617258573,-0.0764971014700505,-0.29667030069982,0.417728528172227,0.611604692521651,0.821781502100597,0.614662002952761,-0.0158672701048698,0.122677589466511,0.253532203195688,0.122447647093609,0.0624001824435799,0.195968427246814,0.31742116080186,0.193548536105847,0.112099894433424,0.158685915736701,0.203578241769894,0.158578515918048,1.36663547414005,1.87067491749962,2.36574820469043,1.86015346840631,-1.9143785377929,-1.51763695585798,-1.11147247315733,-1.51767214264456,3.45914391393245,3.86750660063651,4.28758200672728,3.87087546980826,"Male","North Carolina"
"4","Communicable",0.396427806283659,0.533676373872726,0.695287418799321,0.540308218133325,-0.989887736491266,-0.858391525444544,-0.7410091282541,-0.858193377574529,0.759563532362589,0.891885864600441,1.02621017501523,0.88966144964027,0.207192265162889,0.292181038193371,0.408556457024251,0.294996780040414,0.436266031718968,0.56540267266991,0.763743834554611,0.575225250693518,0.196238362121988,0.230482902742602,0.265422149998351,0.230223369063403,1.36663547414005,1.87067491749962,2.36574820469043,1.86015346840631,-1.9143785377929,-1.51763695585798,-1.11147247315733,-1.51767214264456,3.45914391393245,3.86750660063651,4.28758200672728,3.87087546980826,"Male","North Carolina"
"5","Injuries",1.07150432152162,1.34132478766018,1.60588961035294,1.33866688648385,-0.48285446578042,-0.289464411752096,-0.0949593436420466,-0.289443141824777,1.1192914200812,1.29968324137191,1.47424173256845,1.29770502061351,0.566691204048573,0.724354933937072,0.932664022796209,0.728868775593982,0.07517787037105,0.191304703063809,0.308055843346456,0.190090631378967,0.293314765820412,0.334206924935401,0.383357121027197,0.33563733119521,1.36663547414005,1.87067491749962,2.36574820469043,1.86015346840631,-1.9143785377929,-1.51763695585798,-1.11147247315733,-1.51767214264456,3.45914391393245,3.86750660063651,4.28758200672728,3.87087546980826,"Male","North Carolina"
"6","Non-communicable",-0.0820933230913,0.0104444250030036,0.108433523613883,0.0130982167722279,-0.179924543494123,-0.0890458213366072,-0.00427729044945578,-0.0890442235406043,-0.106609975156764,0.0115952614157191,0.122655801097091,0.0113139538789162,-0.0444909487182557,0.00546685145478369,0.0608080235492295,0.00667693163410026,0.00337321568089651,0.057616652376048,0.116219789664982,0.0591853782048741,-0.0281528344345858,0.00294666774534832,0.0308750499189497,0.00270389744516743,1.36663547414005,1.87067491749962,2.36574820469043,1.86015346840631,-1.9143785377929,-1.51763695585798,-1.11147247315733,-1.51767214264456,3.45914391393245,3.86750660063651,4.28758200672728,3.87087546980826,"Male","North Carolina"
"7","All other causes",0.516123651257627,0.808920808783917,1.11967188678231,0.814803948518773,-0.176036049214043,0.0387944929370679,0.263120949105933,0.0402842899990424,0.354284354321889,0.56984589098867,0.769910878546735,0.565651559292104,0.200775709195065,0.291230896767485,0.388800253358474,0.29154892783821,-6.31388602538804,0.246259577682692,5.67056542758526,1.14124296139884,0.139496473550003,0.209123338893895,0.273385052086734,0.207853741873203,2.26041392447353,2.7970298830437,3.33305466314873,2.79533965344983,-0.402028832061738,0.0191630750091516,0.449113046779645,0.0211230391656383,2.35019817202034,2.71452613911885,3.10144812327448,2.71631494007458,"Female","North Carolina"
"8","Cancers",-0.234426098958762,-0.0845207391387651,0.0565489063329228,-0.084277653429107,-0.13369257348825,0.0077597617185089,0.140316097149532,0.00695052423408025,-0.0618361904433742,0.0918625457848183,0.237831349932187,0.0920955477219051,-0.0939261373294923,-0.03021105974471,0.0197145281693566,-0.0312457727267067,-3.50963391750675,0.143363766208047,4.4498555190658,-0.166832056075641,-0.0225492757914079,0.0336208310445605,0.0854056825629495,0.0332790650554525,2.26041392447353,2.7970298830437,3.33305466314873,2.79533965344983,-0.402028832061738,0.0191630750091516,0.449113046779645,0.0211230391656383,2.35019817202034,2.71452613911885,3.10144812327448,2.71631494007458,"Female","North Carolina"
"9","Cardiovascular",0.684090491599527,1.04787254224113,1.40479407968868,1.0509395305706,-0.154311513755524,0.122742062674946,0.410744853168748,0.124848711435134,0.675495131742514,0.882843215373617,1.11536042609392,0.884877487914628,0.274312997927657,0.375030534215106,0.47230870222028,0.375152391657078,-8.19414121624589,0.511379052952944,11.5902620795358,1.27460580069487,0.263828648356876,0.324370514623058,0.393058857654804,0.325647248398474,2.26041392447353,2.7970298830437,3.33305466314873,2.79533965344983,-0.402028832061738,0.0191630750091516,0.449113046779645,0.0211230391656383,2.35019817202034,2.71452613911885,3.10144812327448,2.71631494007458,"Female","North Carolina"
"10","Communicable",0.342386543139994,0.488958008975319,0.65003511454604,0.48979626224474,-0.297367643807758,-0.205654240195117,-0.115737246746043,-0.205291596641408,0.157676822441818,0.247051009772706,0.330055517190464,0.247568607166427,0.122982353861529,0.1745475253716,0.239119885253184,0.176269054098116,-16.5233856862037,-0.379169516771826,17.5580923184262,-1.63188674081177,0.0604678110337836,0.0912410713481319,0.124451878963868,0.0913542074660201,2.26041392447353,2.7970298830437,3.33305466314873,2.79533965344983,-0.402028832061738,0.0191630750091516,0.449113046779645,0.0211230391656383,2.35019817202034,2.71452613911885,3.10144812327448,2.71631494007458,"Female","North Carolina"
