"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.063718986301318,0.242532426411772,0.511782781536347,0.241892070314081,0.0293855973139212,0.230059169562094,0.454871525760387,0.232756630628307,0.414162866602193,0.62371725401933,0.830129594076373,0.627718446194679,-0.110011303839422,0.302312050512757,0.65256739992174,0.300111021893879,-0.763862481111097,-0.245297408193729,-0.0237007115258437,-0.27434457504824,0.197635638811425,0.281582879867335,0.369227795160706,0.283284562384798,0.309203507932873,0.792349995659416,1.29879122792707,0.798319528938491,-1.35221085734541,-0.955685999645322,-0.535240230086398,-0.949765060878542,1.80935015188894,2.2260388396675,2.60477217751261,2.21937908338674,"Male","Ohio"
"2","Cancers",-0.641035717225195,-0.481091499401545,-0.324386710841576,-0.481804634169653,-0.167895413352083,-0.00256283377726518,0.149518485831277,-0.00380625636999708,0.437273282326966,0.59877218788101,0.782479573296122,0.599250663121249,-1.81132333181839,-0.599507070921295,-0.305685814544421,-0.712439531433869,-0.223798944203439,0.00307267134455802,0.162911782358259,-0.00441899111056668,0.200100201457834,0.268349903026073,0.355372353983925,0.271077006905211,0.309203507932873,0.792349995659416,1.29879122792707,0.798319528938491,-1.35221085734541,-0.955685999645322,-0.535240230086398,-0.949765060878542,1.80935015188894,2.2260388396675,2.60477217751261,2.21937908338674,"Male","Ohio"
"3","Cardiovascular",-0.531670658141372,-0.302730808758878,-0.0694255813086642,-0.302749988873837,-0.584725261676105,-0.382753060554687,-0.175949328131619,-0.383944662582694,-0.13890811978945,0.0643508654125191,0.255706094176198,0.0614238786186022,-1.43418956030272,-0.379137491057919,-0.0669337162644294,-0.473127719660346,0.227586516602326,0.399830339128845,0.654251050064999,0.411993824844052,-0.0684744925028108,0.0292261914042055,0.111470944103366,0.0260398641256493,0.309203507932873,0.792349995659416,1.29879122792707,0.798319528938491,-1.35221085734541,-0.955685999645322,-0.535240230086398,-0.949765060878542,1.80935015188894,2.2260388396675,2.60477217751261,2.21937908338674,"Male","Ohio"
"4","Communicable",0.0477630091978179,0.162632405518293,0.291788859044874,0.166054312505393,-0.570449558458068,-0.454901394503775,-0.345190766367547,-0.455790187767242,0.318114089053899,0.427864177098476,0.540301391734218,0.429619160342868,0.062554628785542,0.207862269191047,0.511497103739036,0.230780938740692,0.324346408222465,0.4781658007523,0.841583558723921,0.503138430447566,0.142848693430796,0.192976353491443,0.251753199585416,0.194596962882348,0.309203507932873,0.792349995659416,1.29879122792707,0.798319528938491,-1.35221085734541,-0.955685999645322,-0.535240230086398,-0.949765060878542,1.80935015188894,2.2260388396675,2.60477217751261,2.21937908338674,"Male","Ohio"
"5","Injuries",0.857783693822936,1.12162748067021,1.39481618557441,1.12748756902127,-0.493177198169436,-0.32201651751557,-0.128667655572395,-0.319059650648821,0.284168379261033,0.510596498590848,0.724013540500661,0.507079601867568,0.928160442731154,1.41162411224924,3.4873422860369,1.59006470302708,0.149896365406975,0.336316623496325,0.573283941332479,0.343493925865341,0.137839133913616,0.228762693244474,0.311547393464047,0.228165317724439,0.309203507932873,0.792349995659416,1.29879122792707,0.798319528938491,-1.35221085734541,-0.955685999645322,-0.535240230086398,-0.949765060878542,1.80935015188894,2.2260388396675,2.60477217751261,2.21937908338674,"Male","Ohio"
"6","Non-communicable",-0.0453655007145008,0.0470194198864696,0.141248880404421,0.0474402001412366,-0.100090206067485,-0.0203915086671752,0.0620047810885102,-0.0199209341380948,-0.115424441018734,-0.0070423698740589,0.106460594341299,-0.00571266675822611,-0.0648087143238134,0.0600771836506816,0.247677940675092,0.0646105874325635,-0.0755095188373278,0.0207146923811209,0.116646933647186,0.0201373850018481,-0.0541316043861811,-0.00316974746169996,0.0469881508492866,-0.00316371402244603,0.309203507932873,0.792349995659416,1.29879122792707,0.798319528938491,-1.35221085734541,-0.955685999645322,-0.535240230086398,-0.949765060878542,1.80935015188894,2.2260388396675,2.60477217751261,2.21937908338674,"Male","Ohio"
"7","All other causes",0.0281487854788306,0.278014122805805,0.535771587738246,0.278914660269346,-0.0499206067899946,0.131090773567755,0.338303448797736,0.132434708102692,0.265227984843811,0.457427062801854,0.666482219523634,0.461628729745918,0.042372602295575,0.337859129336416,0.69152638553612,0.341984758086509,-5.51840055053902,0.561407305347759,8.40043430245755,0.369823322883346,0.15986290338562,0.262730371201539,0.366379832463177,0.262205137036775,0.374959872461443,0.81695294935537,1.3247663561049,0.831252493540428,-0.237812611451113,0.172901648855632,0.53548363437099,0.168778927797912,1.35117178722499,1.77131562729678,2.14798977490969,1.75822745550222,"Female","Ohio"
"8","Cancers",-0.493042120443067,-0.320608275398969,-0.15656868333734,-0.322936616817949,-0.13498776591561,0.0167474661333899,0.166240959578131,0.0167245499764889,0.100990874892704,0.255737988761022,0.402482180906697,0.254052896714124,-1.09876933389122,-0.390867240324926,-0.151647120725792,-0.446896877180834,-3.23966241525454,0.123964644110514,3.70905586349205,0.398708259901628,0.0582968096053683,0.14436039399093,0.227236896532847,0.144264718443502,0.374959872461443,0.81695294935537,1.3247663561049,0.831252493540428,-0.237812611451113,0.172901648855632,0.53548363437099,0.168778927797912,1.35117178722499,1.77131562729678,2.14798977490969,1.75822745550222,"Female","Ohio"
"9","Cardiovascular",0.235244398287178,0.544814132178316,0.870538135283023,0.545066096803112,-0.28613013018236,-0.00704164523426776,0.243170478482714,-0.00970413186864776,0.248562878388351,0.476082564151986,0.711671151690045,0.476738882315071,0.366263736138883,0.656741691779528,1.18457062383682,0.681984054884237,-7.06026105746637,0.166555102292649,6.35640907787079,-0.0752537305242545,0.160042471519929,0.270714619573275,0.369552551595987,0.270154378562194,0.374959872461443,0.81695294935537,1.3247663561049,0.831252493540428,-0.237812611451113,0.172901648855632,0.53548363437099,0.168778927797912,1.35117178722499,1.77131562729678,2.14798977490969,1.75822745550222,"Female","Ohio"
"10","Communicable",-0.0560016262473812,0.0359396681715591,0.133965445782282,0.0361857962419397,-0.0974426829828294,-0.0314411372279564,0.0372612692196179,-0.0306720703449644,-0.0094285463414693,0.0637246522218063,0.141745681275266,0.0638010659644538,-0.0914202231015961,0.0442233075835226,0.178880708656771,0.0426645006420091,-2.32453142240789,-0.0881032953483781,2.34045010597484,-0.0333830180311189,-0.00600983208369737,0.0362273273883956,0.0830892636158479,0.0363898584710506,0.374959872461443,0.81695294935537,1.3247663561049,0.831252493540428,-0.237812611451113,0.172901648855632,0.53548363437099,0.168778927797912,1.35117178722499,1.77131562729678,2.14798977490969,1.75822745550222,"Female","Ohio"
