"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.184105520720919,0.334143800408998,0.865971600614151,0.330210477830844,-0.315988534355888,0.0269268895242452,0.362512055753532,0.0280294112027787,-0.13951128819694,0.203105671973816,0.576704606756256,0.208805338398804,-0.648182933103394,0.339137943187623,1.72100412949092,0.506796574374945,-4.18881653281122,0.213074772313583,6.39191678721132,2.75468778817199,-1.33129353896992,0.369034109976607,2.5421690301131,0.464641490074628,0.000941967198688471,0.961271630398539,1.90849787610196,0.958412871468017,-0.737589304876772,-0.055969582089042,0.587081170664883,-0.0542961247190468,-0.125974314727574,0.536888375276725,1.20001900009674,0.53409600422115,"Male","Oklahoma"
"2","Cancers",-0.479196556023117,-0.254199399649772,-0.0103009214040428,-0.25078092175868,-0.323391459976807,-0.104812338320548,0.117391302963842,-0.107723611644856,-0.160424218523998,0.0988308724571619,0.358825696850093,0.0948786620926241,-1.87316710484238,-0.246393357719554,0.548300933530591,-0.414753503992925,-4.57519750261932,0.159322146195976,5.10694431318605,-1.83480873033897,-1.3007278171989,0.15927412215961,1.74920578141415,0.138011062184757,0.000941967198688471,0.961271630398539,1.90849787610196,0.958412871468017,-0.737589304876772,-0.055969582089042,0.587081170664883,-0.0542961247190468,-0.125974314727574,0.536888375276725,1.20001900009674,0.53409600422115,"Male","Oklahoma"
"3","Cardiovascular",-0.822118057649176,-0.365040109847842,0.0873847798633191,-0.363066878860929,-0.697369133281673,-0.337488860217338,0.0296234003388261,-0.336821051571889,-0.192840477548933,0.188543619764941,0.548426183978394,0.182429819124047,-4.63245906941715,-0.354036279575685,0.318675756193033,-1.01506570196055,-15.5819701731531,0.662787200526279,13.2211969353816,-4.64164498630954,-1.99546629845325,0.339967731284269,2.38071684359611,0.284983316721378,0.000941967198688471,0.961271630398539,1.90849787610196,0.958412871468017,-0.737589304876772,-0.055969582089042,0.587081170664883,-0.0542961247190468,-0.125974314727574,0.536888375276725,1.20001900009674,0.53409600422115,"Male","Oklahoma"
"4","Communicable",-0.196408578977817,0.00798744774004506,0.261440979865951,0.0165386829846376,-0.0673017933513654,0.134903090810646,0.308818436703521,0.131323923257779,-0.26584380545858,-0.0605312631277118,0.172807341008854,-0.0566900752659023,-0.527622989844659,0.011507622630838,0.535279881656704,-0.0819768177139268,-6.23055876612426,-0.0395019396388301,5.32179026494833,1.3169415879688,-1.82612704790985,-0.0877171824614631,1.74926575757065,-0.0554587652836951,0.000941967198688471,0.961271630398539,1.90849787610196,0.958412871468017,-0.737589304876772,-0.055969582089042,0.587081170664883,-0.0542961247190468,-0.125974314727574,0.536888375276725,1.20001900009674,0.53409600422115,"Male","Oklahoma"
"5","Injuries",0.631489122498633,1.16982275980261,1.7555901560104,1.16881789118321,-0.14684288114953,0.207797701763575,0.580744428524841,0.211690045603699,-0.0894242288976143,0.272436345247598,0.610004734835046,0.268406255537222,0.191134362043116,1.19296945147203,7.02669051294628,1.7743662854584,-9.26099237561714,0.0679369368031277,9.81676780947742,2.51023362049359,-2.04350757683842,0.469551781803172,2.89437441844646,0.440890682372623,0.000941967198688471,0.961271630398539,1.90849787610196,0.958412871468017,-0.737589304876772,-0.055969582089042,0.587081170664883,-0.0542961247190468,-0.125974314727574,0.536888375276725,1.20001900009674,0.53409600422115,"Male","Oklahoma"
"6","Non-communicable",-0.145199159650904,0.0524270387517285,0.27255628582892,0.0566936200889346,-0.134505632386508,0.0178622391443657,0.172686642841374,0.0192051584334405,-0.39208898513756,-0.166965389517233,0.0483984994620571,-0.163733995665645,-0.357467975804434,0.0547774948223498,0.511763098717514,0.230633163834058,-3.21691588011458,0.060010748375458,3.43358999614272,0.894590720014117,-2.76509310353024,-0.272230404894095,2.42429124744488,-0.273067786069691,0.000941967198688471,0.961271630398539,1.90849787610196,0.958412871468017,-0.737589304876772,-0.055969582089042,0.587081170664883,-0.0542961247190468,-0.125974314727574,0.536888375276725,1.20001900009674,0.53409600422115,"Male","Oklahoma"
"7","All other causes",-0.315781578445357,0.142988225854224,0.630955462537477,0.150277129597219,-0.0765301589942468,0.213626522765129,0.537715716554478,0.213883213713179,-0.0889428026408934,0.240594573621216,0.553044285470686,0.242157937797063,-8.71523005445871,0.179711415071786,6.99981771396379,0.0772855215337162,-2.79741966718926,0.463416382995239,2.91836036360058,-0.277115368434043,-0.0804548482610028,0.179379563062722,0.378550177998167,0.172460674767116,-0.884518586797403,-0.0884603413988962,0.740688899408333,-0.0845118273962069,-0.165620282148714,0.379555231464563,0.952436744334763,0.387589300626478,0.719535199252446,1.35872947493159,2.00661986022637,1.35748345053531,"Female","Oklahoma"
"8","Cancers",-0.402373001798321,-0.160134843774664,0.0742083055898164,-0.159888704263784,-0.231149708236882,-0.0141035690860747,0.199841087133973,-0.0142605986492028,-0.149495192144818,0.0934610767005692,0.360364408634443,0.0942710489074102,-6.16394967828694,0.207905526912908,7.17503227847096,0.0974735930840639,-2.81185957431708,0.0138489299632894,2.32146957446958,0.716794089461559,-0.154534682624121,0.0682908128885206,0.269746240145448,0.0640557738401753,-0.884518586797403,-0.0884603413988962,0.740688899408333,-0.0845118273962069,-0.165620282148714,0.379555231464563,0.952436744334763,0.387589300626478,0.719535199252446,1.35872947493159,2.00661986022637,1.35748345053531,"Female","Oklahoma"
"9","Cardiovascular",-0.7347709262899,-0.228615194922462,0.331411677638675,-0.219556480279091,-0.203148886226724,0.187966514070569,0.597202419990493,0.191795293500637,-0.0600055640414985,0.315968174902527,0.713733266140599,0.320854994646864,-8.14839348131566,0.545111955235447,11.017547077569,0.923329575238622,-1.8216864813337,0.4978943949899,3.53097717067456,0.863583710902389,-0.066126623210449,0.239868539043636,0.466852776146992,0.230277851671275,-0.884518586797403,-0.0884603413988962,0.740688899408333,-0.0845118273962069,-0.165620282148714,0.379555231464563,0.952436744334763,0.387589300626478,0.719535199252446,1.35872947493159,2.00661986022637,1.35748345053531,"Female","Oklahoma"
"10","Communicable",-0.141969194943111,-0.021038153687376,0.122453491722635,-0.0171683289602088,-0.0845286298542155,0.0390618258744278,0.137613949244664,0.0343675444954953,-0.0838989124224063,0.0598164330072655,0.221213865962523,0.0603632793591169,-2.12523976616004,0.0381186709260732,2.73829634027602,0.100956471492766,-1.12816742235136,0.0770269794984028,1.27953142316118,-0.410724782656932,-0.0727682902722105,0.0436604604224902,0.162239310612594,0.0433846867249436,-0.884518586797403,-0.0884603413988962,0.740688899408333,-0.0845118273962069,-0.165620282148714,0.379555231464563,0.952436744334763,0.387589300626478,0.719535199252446,1.35872947493159,2.00661986022637,1.35748345053531,"Female","Oklahoma"
