"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-1.03677928560048,-0.247934098238236,0.852821728485585,-0.20271453797303,-0.789870963008799,-0.0923820680738737,0.634294926984801,-0.102001527420021,0.64857721595066,1.39116003956044,2.16753657772394,1.40536299748396,-5.90657340803033,0.196802582134893,4.67297096217547,0.14262024403075,-3.73983435502046,0.0866112585574308,5.14425436293855,0.245590664556658,0.2527908852611,0.500097631770325,0.961991566567381,0.523026885555937,-2.0517859792701,0.043123545791885,2.41318732659743,0.0787467959193065,-1.03626900807822,0.514579734181538,2.00419171707727,0.485751781029335,1.38597422208078,2.85003723489328,4.41534693515898,2.83812369936336,"Male","Oregon"
"2","Cancers",-0.648809790848814,-0.0812418122751147,0.469806056013543,-0.0828250646876413,-0.3763768968209,0.159144851126406,0.70545491465361,0.164838871565322,-0.974246758579805,-0.352783857649436,0.345624333395895,-0.347195993452194,-3.10608660223724,0.0248947968354445,2.95356472408264,-0.095838760916745,-3.3680866733013,0.197338509436429,3.6087715308537,0.378169174285005,-0.508228435540507,-0.126269177827329,0.106737827124493,-0.150133748506485,-2.0517859792701,0.043123545791885,2.41318732659743,0.0787467959193065,-1.03626900807822,0.514579734181538,2.00419171707727,0.485751781029335,1.38597422208078,2.85003723489328,4.41534693515898,2.83812369936336,"Male","Oregon"
"3","Cardiovascular",-1.86359062585209,-0.589397199525846,0.690552428670054,-0.607628965540234,-0.857214859883658,0.0960379235995231,1.02726459210184,0.0873145339690934,-0.227214406403146,0.584728243535976,1.43200093474608,0.584914719065946,-9.79318871414137,0.323283443288568,9.81736075998349,0.859666487680955,-4.07168962752905,0.275750424119141,4.26096919823867,0.268280451453516,-0.101166235584901,0.205188934081326,0.477921520044051,0.201223246310405,-2.0517859792701,0.043123545791885,2.41318732659743,0.0787467959193065,-1.03626900807822,0.514579734181538,2.00419171707727,0.485751781029335,1.38597422208078,2.85003723489328,4.41534693515898,2.83812369936336,"Male","Oregon"
"4","Communicable",-0.316175396750564,0.0773912842223712,0.880253116457149,0.14042333227274,-0.577944725987028,0.0148871389216099,0.33133395568873,-0.0171480771462197,-0.182637823668896,0.214717540692322,0.802453550634535,0.239050804634284,-3.36075588077224,0.0541477586341343,3.18006524105239,0.285091627870027,-2.27498977320671,0.0662595411225513,3.46379732756387,-0.0840997896152291,-0.0879675031710026,0.0767510349929248,0.29062571586888,0.083853328231678,-2.0517859792701,0.043123545791885,2.41318732659743,0.0787467959193065,-1.03626900807822,0.514579734181538,2.00419171707727,0.485751781029335,1.38597422208078,2.85003723489328,4.41534693515898,2.83812369936336,"Male","Oregon"
"5","Injuries",-0.564602689053102,0.525751369207422,2.02358269351153,0.574689087412886,-0.520156697465408,0.201768040640082,0.971200758929559,0.199435881767881,0.121761202457396,0.819793082102459,1.47316442329007,0.812468505956884,-7.86743994418141,0.282841556614053,10.2068836480686,0.212253838353485,-2.5021249370846,0.257816185342671,5.72731326163097,0.13556105798164,0.0489858731527825,0.288675186021538,0.632772861124834,0.297934118969283,-2.0517859792701,0.043123545791885,2.41318732659743,0.0787467959193065,-1.03626900807822,0.514579734181538,2.00419171707727,0.485751781029335,1.38597422208078,2.85003723489328,4.41534693515898,2.83812369936336,"Male","Oregon"
"6","Non-communicable",-0.319985034142668,0.231338907572374,0.94925722076677,0.256802944434585,-0.232398591551631,0.149630898593723,0.581490697347023,0.15331209829328,-0.440760357547004,0.154155538135509,0.689199630323856,0.143522665674485,-4.73856217535603,0.0376172526561226,3.88795106598351,-0.403793437018473,-2.69208842088138,0.12891611739099,2.56572016924814,0.0564984413384099,-0.225437338619928,0.0546450783173821,0.26358278855191,0.0440961694391813,-2.0517859792701,0.043123545791885,2.41318732659743,0.0787467959193065,-1.03626900807822,0.514579734181538,2.00419171707727,0.485751781029335,1.38597422208078,2.85003723489328,4.41534693515898,2.83812369936336,"Male","Oregon"
"7","All other causes",-0.771913062425755,0.103163197043772,1.34576599178545,0.14278333016805,-0.252825464966621,0.395042638043499,1.0095976912882,0.3942916319602,-0.298066737053195,0.527727016489573,1.33004911104986,0.531679378358213,-6.63747868007906,0.0278259652760735,5.14311022047695,-7.14245853973373,-3.52836008099934,0.441933974207711,5.24705465620827,0.254166265582192,-1.90182323855452,0.441150821380734,3.12626506865113,-0.494488841482544,-3.35889637962102,-1.13762414002298,0.959808597608254,-1.15015578873964,-0.653547677576275,0.660070966389059,2.01194464119235,0.65573566478759,-0.495629420451489,1.10123564871138,2.62412685739876,1.10426307389575,"Female","Oregon"
"8","Cancers",-0.102037653499987,0.335020277324468,0.759202077331318,0.326793228517263,-0.09246267226436,0.279238012306916,0.638642536071892,0.274087816916925,-1.13546539417939,-0.569512664373075,-0.0429026809678728,-0.570153210306972,-3.24613298725136,-0.186012223489472,3.95994614608162,7.87064728461382,-3.59069704523255,0.283347118361385,4.15489061131649,0.213694264626243,-4.76228704801309,-0.401867189750517,4.68008101383869,-2.99202438290286,-3.35889637962102,-1.13762414002298,0.959808597608254,-1.15015578873964,-0.653547677576275,0.660070966389059,2.01194464119235,0.65573566478759,-0.495629420451489,1.10123564871138,2.62412685739876,1.10426307389575,"Female","Oregon"
"9","Cardiovascular",-3.70098253283393,-1.71645639684718,-0.189012948594455,-1.78363750664208,-1.21056682609611,-0.150428441605084,0.868364261752035,-0.170888831852111,0.0481979880530587,0.991407008504869,2.07374712600883,1.02327222196351,-8.52337370961204,1.25227485186577,14.4072877911231,-22.1143134281416,-8.88195778647286,0.0388105538514067,8.53691518666167,0.266614918430551,-3.65577170474808,0.807529732699081,5.50862539638783,4.86278227191123,-3.35889637962102,-1.13762414002298,0.959808597608254,-1.15015578873964,-0.653547677576275,0.660070966389059,2.01194464119235,0.65573566478759,-0.495629420451489,1.10123564871138,2.62412685739876,1.10426307389575,"Female","Oregon"
"10","Communicable",-0.234343640406775,-0.0541744727358062,0.197567227674844,-0.0430860691820144,-0.158065305522092,0.0351157608719451,0.171206416399323,0.0294963350594396,-0.319575795061802,-0.125835462010586,0.0847478759397696,-0.124168252328766,-0.744702190324844,0.0343587849372336,0.853321450968845,15.8835197654835,-0.983492284247271,0.0455596387452788,0.827756908452392,0.0130011219655698,-1.36979058154814,-0.0855367713986448,1.20015535948161,-0.917057489064167,-3.35889637962102,-1.13762414002298,0.959808597608254,-1.15015578873964,-0.653547677576275,0.660070966389059,2.01194464119235,0.65573566478759,-0.495629420451489,1.10123564871138,2.62412685739876,1.10426307389575,"Female","Oregon"
"11","Injuries",-0.401596878408489,-0.0202080641111784,0.605513552297305,0.0121771012609839,-0.17285199647049,0.0829760488192215,0.375349882059926,0.0873671270946,-0.207052104347767,0.203314881904205,0.48816543653511,0.189044845582514,-2.38124231572877,0.0316311142491758,2.24844897344907,1.16699855803008,-1.88383458449754,0.0865664568906165,2.12443266106235,0.241863852635765,-1.147285596947,0.148721647642798,1.84919614561492,0.61515268320991,-3.35889637962102,-1.13762414002298,0.959808597608254,-1.15015578873964,-0.653547677576275,0.660070966389059,2.01194464119235,0.65573566478759,-0.495629420451489,1.10123564871138,2.62412685739876,1.10426307389575,"Female","Oregon"
"12","Non-communicable",-0.175132793858274,0.187432858370938,0.661624358138277,0.194814127138155,-0.384767692493029,0.0569730867650049,0.394227455915764,0.0413815856085367,-0.509986776963814,0.0466746689289479,0.687402820963997,0.0545880906272581,-2.5097851997814,-0.0957121912223524,1.80057013937221,5.33560635974785,-2.41367384912548,0.0836951588521452,2.31348393024726,0.0106595767596798,-1.61785455450053,0.0635306397754018,1.47101937991757,-0.0743642416715751,-3.35889637962102,-1.13762414002298,0.959808597608254,-1.15015578873964,-0.653547677576275,0.660070966389059,2.01194464119235,0.65573566478759,-0.495629420451489,1.10123564871138,2.62412685739876,1.10426307389575,"Female","Oregon"
