"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.534861873781575,-0.2325194781439,0.0606364559496337,-0.227751632123507,-0.0250355862055143,0.214441873137919,0.454001092446124,0.213094134010934,0.628406036326226,0.86625004749731,1.08437116492685,0.864473725137441,-0.599295149323777,-0.162963280463237,0.0421639601623894,-0.186799325609916,-0.642420870245736,-0.200183988428479,0.019571455741845,-0.231032992393636,0.220082874758063,0.291496215676082,0.361623943813288,0.292742285076055,0.759125275566537,1.42393201908371,2.00964695467475,1.41238972308618,-1.54599737398392,-1.07616656912629,-0.590771617174938,-1.07569752854487,2.52216699428905,2.95104003828989,3.40281816439332,2.95766588530194,"Male","South Carolina"
"2","Cancers",-0.82639162947559,-0.656639615990645,-0.498126699579031,-0.656744391642409,-0.428060156584635,-0.252352440009834,-0.0743501863151108,-0.253610417077135,0.23525506341672,0.420727485177692,0.596221677310189,0.418155642344603,-0.898598995956593,-0.461008608165839,-0.276394135355772,-0.501600694064837,0.0822635781979185,0.236744832101087,0.440692694715425,0.244924439674917,0.0821953527392428,0.142565633296893,0.198404329858527,0.141298057390203,0.759125275566537,1.42393201908371,2.00964695467475,1.41238972308618,-1.54599737398392,-1.07616656912629,-0.590771617174938,-1.07569752854487,2.52216699428905,2.95104003828989,3.40281816439332,2.95766588530194,"Male","South Carolina"
"3","Cardiovascular",-0.303832751769436,0.0461765636994238,0.426136601064412,0.0486370477303925,-0.316375853244976,-0.0470314121575437,0.230126822051691,-0.0476540589164617,-0.0615442027970636,0.19801306699832,0.435188292881767,0.197887460804598,-0.310340066765558,0.0328847455829229,0.254073696534057,0.012407207225651,-0.302496940696032,0.0440217338605405,0.248971226089911,0.0224103613340911,-0.0230967154398874,0.0669701401762955,0.13699123173583,0.0657108480045595,0.759125275566537,1.42393201908371,2.00964695467475,1.41238972308618,-1.54599737398392,-1.07616656912629,-0.590771617174938,-1.07569752854487,2.52216699428905,2.95104003828989,3.40281816439332,2.95766588530194,"Male","South Carolina"
"4","Communicable",0.424690224021652,0.610406165755091,0.796982900188071,0.609866524357424,-0.816829421378924,-0.687128092021903,-0.549856990326622,-0.687758296188422,0.473594340795879,0.616629428461523,0.764726449446764,0.615583931458636,0.294397481447522,0.430142637142401,0.776904549967167,0.454517916448974,0.428985004975756,0.6434496499119,1.12252260740037,0.681566445826695,0.158150080824187,0.208160368189349,0.262845900037198,0.20888808410202,0.759125275566537,1.42393201908371,2.00964695467475,1.41238972308618,-1.54599737398392,-1.07616656912629,-0.590771617174938,-1.07569752854487,2.52216699428905,2.95104003828989,3.40281816439332,2.95766588530194,"Male","South Carolina"
"5","Injuries",1.37342916605477,1.6805219043745,1.9867951040594,1.67999699469292,-0.409967540532619,-0.17682700933012,0.0378580327981512,-0.17549885590058,0.627320396149346,0.847063128141331,1.0851015156049,0.851327786718606,0.866546164784802,1.17942115854563,2.06451920940529,1.25449391946743,-0.0464989732917962,0.162849764714739,0.368689581705487,0.160589593994794,0.219947219272463,0.287664919293421,0.355737632512404,0.288218993773377,0.759125275566537,1.42393201908371,2.00964695467475,1.41238972308618,-1.54599737398392,-1.07616656912629,-0.590771617174938,-1.07569752854487,2.52216699428905,2.95104003828989,3.40281816439332,2.95766588530194,"Male","South Carolina"
"6","Non-communicable",-0.132542078234857,-0.0405656596224817,0.049352369657239,-0.0416148199286374,-0.215271647374145,-0.123194715837906,-0.0421714295595887,-0.124270034473209,-0.108675342570019,0.00912860643284757,0.139380835552196,0.0102373388380525,-0.117183166792121,-0.0288468919634422,0.0330117623729463,-0.0330190234673046,0.0381671642619057,0.115541581476786,0.231569966846392,0.12154215156314,-0.0382690330202724,0.00320704070277042,0.0449797870608279,0.00314173165378525,0.759125275566537,1.42393201908371,2.00964695467475,1.41238972308618,-1.54599737398392,-1.07616656912629,-0.590771617174938,-1.07569752854487,2.52216699428905,2.95104003828989,3.40281816439332,2.95766588530194,"Male","South Carolina"
"7","All other causes",-0.332749935071005,-0.00572360061220145,0.3086022562534,-0.00680166643780944,0.223537863237879,0.471379610324756,0.722909593845729,0.472834119280336,0.157293578537114,0.427578381044421,0.680941265637995,0.430174729922529,-0.168588794876614,-0.00220326103729744,0.115724777030784,-0.00789041714010424,-9.02420811788842,1.3258083879779,16.2302599137489,5.8617893950736,0.0755166617488126,0.177151525502969,0.265181007291439,0.176705721857164,1.68371336838916,2.34688484638006,3.05280954226315,2.35527157657614,-0.249230529234709,0.259597781007797,0.74787340918279,0.259016024046376,1.952059517326,2.42194932491427,2.88442132118033,2.41946656771096,"Female","South Carolina"
"8","Cancers",-0.266432857410617,-0.105779409067307,0.058163037293409,-0.104512417047575,-0.25499296553514,-0.0995445556151099,0.079710836820867,-0.0963851695769899,-0.111078063798834,0.0628235063480117,0.243247455966719,0.0681692959580159,-0.129180258377406,-0.0444169003390842,0.0214705159101078,-0.0467450619696829,-6.80612034568071,-0.205753861345183,3.33922381734273,-1.30104047370209,-0.0484981244044144,0.0257864689006594,0.0930883808289413,0.0270514810643462,1.68371336838916,2.34688484638006,3.05280954226315,2.35527157657614,-0.249230529234709,0.259597781007797,0.74787340918279,0.259016024046376,1.952059517326,2.42194932491427,2.88442132118033,2.41946656771096,"Female","South Carolina"
"9","Cardiovascular",0.790583521836546,1.27208998366444,1.74842312504881,1.27391382014212,-0.35585528831016,0.00883644089252278,0.372012739935475,0.00651695722358683,0.486830515929545,0.767260621619517,1.05371150520457,0.769318441868836,0.386998125041299,0.540108919718039,0.683700023539689,0.540620567390455,-5.54844570437926,0.204535637063658,3.71341280939163,-1.68158915796681,0.226763316245786,0.319411582247857,0.4038182644276,0.317556898483391,1.68371336838916,2.34688484638006,3.05280954226315,2.35527157657614,-0.249230529234709,0.259597781007797,0.74787340918279,0.259016024046376,1.952059517326,2.42194932491427,2.88442132118033,2.41946656771096,"Female","South Carolina"
"10","Communicable",0.490383687858125,0.656751034502304,0.839606593979303,0.658520430101101,-0.323835512449443,-0.226694957101104,-0.116287862337094,-0.226688435616303,0.0874891907864576,0.199959349827772,0.2899770863914,0.196349617682671,0.198714810918448,0.280912358754315,0.39060438940953,0.284566295624013,-11.1531682457091,-0.595465496884729,5.8243549988739,-3.04915095262047,0.0399866177096289,0.0813882687338129,0.121827183035835,0.0814742530954263,1.68371336838916,2.34688484638006,3.05280954226315,2.35527157657614,-0.249230529234709,0.259597781007797,0.74787340918279,0.259016024046376,1.952059517326,2.42194932491427,2.88442132118033,2.41946656771096,"Female","South Carolina"
"11","Injuries",0.222919546896733,0.379613605720444,0.541779293069315,0.383541283156801,-0.13643112313467,-0.0164174641454867,0.0906795717013337,-0.0185393501865397,0.390145259695995,0.50865343131404,0.629726038156259,0.507380460744797,0.0988662502682963,0.161370036465983,0.252160993991351,0.165073146463977,-1.92617596816128,-0.0212771225925224,1.52406134124711,-0.257415884651542,0.15909296733232,0.209908651205177,0.273341149448387,0.211141567003299,1.68371336838916,2.34688484638006,3.05280954226315,2.35527157657614,-0.249230529234709,0.259597781007797,0.74787340918279,0.259016024046376,1.952059517326,2.42194932491427,2.88442132118033,2.41946656771096,"Female","South Carolina"
"12","Non-communicable",0.011406461829351,0.149869024381028,0.284959591590345,0.150610126661501,0.00104492456795478,0.12292782180267,0.240902831171062,0.121277902922286,0.308794019102466,0.447132539046586,0.598573187927678,0.448074021534108,0.00512555612012296,0.0636067393600235,0.123444864520212,0.0643754696313416,-3.06412915416916,0.333253531435875,5.02104253364498,1.42740707386731,0.127675284105021,0.184158766373093,0.249764449756657,0.186070078496374,1.68371336838916,2.34688484638006,3.05280954226315,2.35527157657614,-0.249230529234709,0.259597781007797,0.74787340918279,0.259016024046376,1.952059517326,2.42194932491427,2.88442132118033,2.41946656771096,"Female","South Carolina"
