"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.290499663105414,0.0184470266066644,0.340330819683774,0.0170711792283547,-0.337390078699736,-0.0989613801481266,0.140051139952853,-0.0980661076323989,0.733573487962984,0.956983487182724,1.16498360042806,0.955146749116934,-3.06932048977271,0.191345199139466,5.09209490520277,0.885442502757892,-0.172771468786233,0.0902216846734464,0.281990972216207,0.0804404780666522,0.215759878195711,0.272411444087828,0.325388377855994,0.271638453014807,-0.336749015503019,0.226033159328415,0.773596712801328,0.22549999697759,-1.56863251422982,-1.11275425181543,-0.649735374676725,-1.10613660863257,3.08647255748473,3.51396762218786,3.98478419942628,3.52009678992767,"Male","Tennessee"
"2","Cancers",-0.728420328564629,-0.563176747482535,-0.376011045664054,-0.560204414979938,-0.210183704308654,-0.0428567431389399,0.139685929878495,-0.0395093266311008,0.248386127006156,0.439959213923867,0.64761600036227,0.442507325411277,-23.1030672974798,-1.35882651862725,28.2172594546684,-0.9208008382996,-0.157590724326171,0.038610999412648,0.190639119043723,0.0311894478687134,0.0735079281852695,0.125367212801778,0.177832059981682,0.12562065138698,-0.336749015503019,0.226033159328415,0.773596712801328,0.22549999697759,-1.56863251422982,-1.11275425181543,-0.649735374676725,-1.10613660863257,3.08647255748473,3.51396762218786,3.98478419942628,3.52009678992767,"Male","Tennessee"
"3","Cardiovascular",-0.590680340360418,-0.262269218444728,0.0699735082122626,-0.260589770378868,-0.142425901694078,0.119130635961679,0.379416500647188,0.117330008352289,0.27812832250215,0.529994757714637,0.787895864259446,0.531489947749447,-12.6838307804836,-0.466187840332676,12.9548419110367,-1.65940109558126,-0.489294575881537,-0.108729013062079,0.113270169729078,-0.127870162778842,0.0848889674426862,0.150256618600402,0.212520214107074,0.150538370043935,-0.336749015503019,0.226033159328415,0.773596712801328,0.22549999697759,-1.56863251422982,-1.11275425181543,-0.649735374676725,-1.10613660863257,3.08647255748473,3.51396762218786,3.98478419942628,3.52009678992767,"Male","Tennessee"
"4","Communicable",0.030649502422172,0.186433806055326,0.352730478752564,0.186683923234043,-0.661327450262807,-0.53279712527911,-0.409936339911666,-0.534208469675901,0.265686978990001,0.404490637013332,0.541102553075756,0.405716778478732,-6.70527173165667,0.453369873271265,6.97950839157303,0.0187407621788637,0.33635881504284,0.482357888551905,0.800084826795679,0.504280115473165,0.0778412402090075,0.115075362303233,0.152875555317661,0.115383628257812,-0.336749015503019,0.226033159328415,0.773596712801328,0.22549999697759,-1.56863251422982,-1.11275425181543,-0.649735374676725,-1.10613660863257,3.08647255748473,3.51396762218786,3.98478419942628,3.52009678992767,"Male","Tennessee"
"5","Injuries",0.488222419147263,0.796766848536527,1.12505035074393,0.801896019330077,-0.75333499734278,-0.516124696185581,-0.299708315132604,-0.51826070135249,0.919313588247899,1.12517590860437,1.37104197201101,1.12860802370873,-33.7527684888451,2.094057135448,26.737768569302,2.81751644210372,0.288195346859632,0.463950499948197,0.758261446746121,0.481794418716116,0.26554268345805,0.320221509428858,0.379457683837819,0.320943305735573,-0.336749015503019,0.226033159328415,0.773596712801328,0.22549999697759,-1.56863251422982,-1.11275425181543,-0.649735374676725,-1.10613660863257,3.08647255748473,3.51396762218786,3.98478419942628,3.52009678992767,"Male","Tennessee"
"6","Non-communicable",-0.0656131956954129,0.0383926492791531,0.146694718657166,0.0406430605439214,-0.122044726119105,-0.0329493386099164,0.0601976101279131,-0.0334220116929657,-0.062866902842505,0.0542362137908648,0.187675571825994,0.056627965462557,-3.34375599254847,0.0898233126394166,1.71237786826099,-0.141497773159608,-0.0581385570009748,0.0294820022767328,0.117307890857381,0.0301657026541952,-0.0182272824285034,0.0156427006023858,0.0523657740586189,0.0158755915608933,-0.336749015503019,0.226033159328415,0.773596712801328,0.22549999697759,-1.56863251422982,-1.11275425181543,-0.649735374676725,-1.10613660863257,3.08647255748473,3.51396762218786,3.98478419942628,3.52009678992767,"Male","Tennessee"
"7","All other causes",0.122904615747338,0.45803797068833,0.82393368225167,0.462696586277546,-0.159273503511633,0.0778372965559053,0.309635137849573,0.0773088653215987,0.74547666025061,0.97265568755921,1.19712481410197,0.971716930306714,0.0922264776703484,0.27080542643649,0.453322717576682,0.273182150912472,-1.0585422988345,0.207971426595136,1.6168243152613,0.0865236044518778,0.227916023826047,0.287634108643063,0.347830778969011,0.287874434588779,1.06918974984528,1.69463091436226,2.23588967801119,1.6858150613636,-0.0839354245887321,0.384857438477118,0.852124124183046,0.392483871882248,2.92197841214851,3.38905184409338,3.81757658071185,3.37840553640544,"Female","Tennessee"
"8","Cancers",-0.395937932778485,-0.215744633929599,-0.0372225229525102,-0.217686565252094,-0.19456878921181,-0.0053334082849531,0.172294865292991,-0.00708157136964526,0.0799510441251234,0.256485000092957,0.44092967954984,0.256316043409856,-0.303685365144974,-0.128368700810466,-0.0233080834032165,-0.13653790416703,-1.50888125975961,0.00221371834450586,1.06544981690025,-0.112186432547297,0.0241984683086057,0.0765527625212353,0.128958427259601,0.0754796543221704,1.06918974984528,1.69463091436226,2.23588967801119,1.6858150613636,-0.0839354245887321,0.384857438477118,0.852124124183046,0.392483871882248,2.92197841214851,3.38905184409338,3.81757658071185,3.37840553640544,"Female","Tennessee"
"9","Cardiovascular",0.328667949711129,0.726763736805564,1.10878985710042,0.730558872068634,0.0827907301144545,0.395568259974082,0.704420298531833,0.395685644185722,0.963806650630312,1.22046205632398,1.49839444395789,1.22171638327428,0.246710279026899,0.437951599893074,0.617258612904249,0.43309480438705,-1.23750810983455,0.955031561751078,4.54202122622035,1.20594810645015,0.296667207177862,0.362009118460983,0.424189119589319,0.361612641695885,1.06918974984528,1.69463091436226,2.23588967801119,1.6858150613636,-0.0839354245887321,0.384857438477118,0.852124124183046,0.392483871882248,2.92197841214851,3.38905184409338,3.81757658071185,3.37840553640544,"Female","Tennessee"
"10","Communicable",0.00670246811069765,0.141612111389348,0.297811138253602,0.144383435721211,-0.179774553648465,-0.0803159271873156,0.00975823941991068,-0.0811632999524893,0.0398040194846549,0.144882088690426,0.240208635912319,0.14384798309886,0.00339653372991885,0.0846011056097062,0.182855878736379,0.0869814431143252,-1.92644303920421,-0.185051645343794,1.12138634222683,-0.21476350744651,0.0115231524315851,0.042400025945469,0.0720541301519511,0.042564963377071,1.06918974984528,1.69463091436226,2.23588967801119,1.6858150613636,-0.0839354245887321,0.384857438477118,0.852124124183046,0.392483871882248,2.92197841214851,3.38905184409338,3.81757658071185,3.37840553640544,"Female","Tennessee"
