"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",0.153527870945343,0.376320477942153,0.62207146445067,0.379514549310933,-0.0820359558466125,0.0707320646685488,0.217280628647352,0.0726411548796391,0.180126543766647,0.328062945104458,0.480881271297464,0.325597739806605,0.133726055175144,0.299271485728294,0.465236181756995,0.297455512289429,-0.15864296012206,-0.0464122922404978,0.0464938550457474,-0.0501567416988198,0.0626159589347292,0.109601645452053,0.156647917912877,0.10896234061311,0.822513894884639,1.28030883749965,1.75518548276297,1.2839501661515,-1.88343150082045,-1.55109807542856,-1.2094027045583,-1.54797600527421,2.62368601462013,2.97366680926115,3.33148807910514,2.98037343905515,"Male","Texas"
"2","Cancers",-0.766939652573546,-0.633927745110147,-0.498061600050976,-0.632581665152066,-0.4687112473985,-0.317075448621417,-0.190545260330856,-0.320905911615235,0.457033068536591,0.59804396648417,0.744152629557732,0.599868299937715,-0.83944853944414,-0.493034665014336,-0.319122990411447,-0.514007581926696,0.127882577944148,0.205766499205646,0.304287023189822,0.208327635557796,0.152793285816977,0.20182544533024,0.246331476214096,0.201416914204929,0.822513894884639,1.28030883749965,1.75518548276297,1.2839501661515,-1.88343150082045,-1.55109807542856,-1.2094027045583,-1.54797600527421,2.62368601462013,2.97366680926115,3.33148807910514,2.98037343905515,"Male","Texas"
"3","Cardiovascular",-0.850371788156919,-0.625174661283627,-0.39690312930397,-0.623091243557021,-0.390491627033062,-0.204963794855413,-0.00592406985842627,-0.204831055973843,0.260014145834105,0.431730838500855,0.609493571608442,0.433642651730953,-0.93592339809525,-0.486141626693543,-0.258438426724349,-0.513083377236673,0.00436162590234919,0.133146739313019,0.243304526475726,0.13029223685454,0.0916739200194454,0.144788128756562,0.196119565820745,0.145152649652725,0.822513894884639,1.28030883749965,1.75518548276297,1.2839501661515,-1.88343150082045,-1.55109807542856,-1.2094027045583,-1.54797600527421,2.62368601462013,2.97366680926115,3.33148807910514,2.98037343905515,"Male","Texas"
"4","Communicable",0.268153605099611,0.401140995622873,0.531075927894022,0.400661288105859,-0.716234836020247,-0.590870091254784,-0.481055293730416,-0.591703430726974,0.37227091691195,0.484519292254925,0.603062279085699,0.483476128091031,0.2050169332567,0.310429365900853,0.486101975927099,0.320845641925213,0.298156944769206,0.382816083349367,0.497094524032124,0.386090588369956,0.125226084945718,0.161280579461513,0.201826105657128,0.162397617339781,0.822513894884639,1.28030883749965,1.75518548276297,1.2839501661515,-1.88343150082045,-1.55109807542856,-1.2094027045583,-1.54797600527421,2.62368601462013,2.97366680926115,3.33148807910514,2.98037343905515,"Male","Texas"
"5","Injuries",1.41316709288027,1.68323150033451,1.96303969680925,1.68587014955195,-0.587202125348655,-0.412993682028158,-0.212680748152673,-0.409770384726937,0.908070999467989,1.07139542050788,1.24253072870208,1.07174404772101,1.00924290554941,1.32094887448143,1.93423485223904,1.35056350720857,0.146529241972311,0.265931442720426,0.370415869042457,0.264853320507499,0.309587199789734,0.361055276332237,0.414350438198801,0.36014616320017,0.822513894884639,1.28030883749965,1.75518548276297,1.2839501661515,-1.88343150082045,-1.55109807542856,-1.2094027045583,-1.54797600527421,2.62368601462013,2.97366680926115,3.33148807910514,2.98037343905515,"Male","Texas"
"6","Non-communicable",-0.00604791787783984,0.0736288122310536,0.151548982890136,0.0735770878918403,-0.168032614050952,-0.0940944113398569,-0.0226442176545327,-0.0934063771108629,-0.0288759235706719,0.0669906976934537,0.164183350534961,0.0660445717678392,-0.00621190029629293,0.0568464165399128,0.126695924332335,0.0582262977401552,0.0146702117550144,0.0604995359757706,0.109247239793783,0.0605929604090296,-0.0102693246958841,0.0224960690061773,0.0538595709757575,0.0219243149892846,0.822513894884639,1.28030883749965,1.75518548276297,1.2839501661515,-1.88343150082045,-1.55109807542856,-1.2094027045583,-1.54797600527421,2.62368601462013,2.97366680926115,3.33148807910514,2.98037343905515,"Male","Texas"
"7","All other causes",0.27174709666829,0.52390010654301,0.749856235064954,0.521331756232028,0.0192449009345009,0.185494789403821,0.345012824453929,0.183689490676285,0.114944644677838,0.27650789463182,0.445260644856872,0.279401786517404,0.182350730111577,0.310291226461489,0.440001744676913,0.31106495467506,-1.23217847457728,-0.318808524830591,-0.0236156148834231,-0.398924983748146,0.0639471551922674,0.141262303180974,0.214176231095084,0.141239603463947,1.20109981200453,1.68207537248686,2.1487661669232,1.6845994825774,-0.919862732084505,-0.567414528466629,-0.235735658121031,-0.571423191134513,1.66071853745204,1.96594852450998,2.30185109540974,1.96671943500557,"Female","Texas"
"8","Cancers",-0.278458128631267,-0.133448726916305,0.00290740513257078,-0.134266279131099,-0.357010940660433,-0.215490812506312,-0.0903672044554509,-0.217941008898655,0.0800386084196565,0.226947635779756,0.362842513626175,0.224723422644638,-0.190928804911588,-0.0797152894412526,0.00153975783361248,-0.0833439450933264,0.1576689897644,0.385618962681672,0.848902741981179,0.418087010469386,0.0441456843022313,0.114725646393367,0.179656767360173,0.113715342589571,1.20109981200453,1.68207537248686,2.1487661669232,1.6845994825774,-0.919862732084505,-0.567414528466629,-0.235735658121031,-0.571423191134513,1.66071853745204,1.96594852450998,2.30185109540974,1.96671943500557,"Female","Texas"
"9","Cardiovascular",0.134170702800126,0.454758377935794,0.813140087598972,0.461019206121411,-0.314487827854009,-0.0792333988197949,0.1812665540135,-0.0735247001715286,0.641108405392272,0.841416174687381,1.03043225196357,0.840502715631612,0.10239886921545,0.273997784306177,0.414964688287121,0.268264336487774,-0.593791985441336,0.140057307882891,0.451484562516273,0.076847146931916,0.347971569277774,0.427868522492998,0.511862618359038,0.428035714127319,1.20109981200453,1.68207537248686,2.1487661669232,1.6845994825774,-0.919862732084505,-0.567414528466629,-0.235735658121031,-0.571423191134513,1.66071853745204,1.96594852450998,2.30185109540974,1.96671943500557,"Female","Texas"
"10","Communicable",0.128196586530331,0.24655141132906,0.375954557371993,0.247282819284936,-0.323761139414962,-0.254087217683502,-0.185917110668633,-0.254057802062777,-0.00623070836530143,0.0729979360475463,0.156388557987061,0.0735599788418551,0.086113249607815,0.145361948495613,0.227169185272569,0.148126156763926,0.260700191282878,0.440919161072008,1.05813245373048,0.500539823764134,-0.00295606039830526,0.0371041509566475,0.0793947612533045,0.0372947791594423,1.20109981200453,1.68207537248686,2.1487661669232,1.6845994825774,-0.919862732084505,-0.567414528466629,-0.235735658121031,-0.571423191134513,1.66071853745204,1.96594852450998,2.30185109540974,1.96671943500557,"Female","Texas"
