"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.434554687808534,0.379400341206583,1.41379120370983,0.405111046429887,-0.496619037543315,0.154426330196989,0.766263941313604,0.153066244841065,-0.0370279682970303,0.68220115772652,1.44138026405109,0.69781493976282,-2.08838389343822,0.486146151588481,5.13560434881031,-6.18067519157082,-4.82684557861871,0.411364859778381,6.81254335952762,0.570900875350354,-0.0221476054062335,0.289917110264861,0.544031480236292,0.283995315512956,-0.75337321262457,0.645739850769675,2.28901013507177,0.67689455988383,-0.719115026191228,0.232854743744287,1.26964876367062,0.231709831335383,1.07244524739206,2.40332086389102,3.74105397464036,2.40136352224763,"Male","West Virginia"
"2","Cancers",-0.368357709551768,-0.0939255732964062,0.177314869533675,-0.0929772024691752,-0.489663617604104,-0.174504213606734,0.131222095221827,-0.176006685640151,-0.520079380040046,-0.107160149262444,0.325360662690677,-0.103333122336775,-1.84937045352941,-0.0652297520143461,1.54385374778176,0.41542822582471,-6.53331792046157,-0.103866249715542,5.16076063053256,-0.394945558283798,-0.329218442912226,-0.0458589248403304,0.129798755662686,-0.0587088558175059,-0.75337321262457,0.645739850769675,2.28901013507177,0.67689455988383,-0.719115026191228,0.232854743744287,1.26964876367062,0.231709831335383,1.07244524739206,2.40332086389102,3.74105397464036,2.40136352224763,"Male","West Virginia"
"3","Cardiovascular",-0.416570197454967,0.248443885047851,0.868275659798021,0.240322785029676,-0.385949739023073,0.175753165081642,0.757305292746136,0.179169078823247,-0.318738500553057,0.255994971390343,0.885085747571749,0.262080591335445,-3.60730885911056,0.262782048227192,4.10096441844494,1.31448415182026,-6.10823952561603,0.375455832652868,6.70942661376585,0.71715933037826,-0.180460367223444,0.109435791733117,0.352525295331391,0.0978918526617343,-0.75337321262457,0.645739850769675,2.28901013507177,0.67689455988383,-0.719115026191228,0.232854743744287,1.26964876367062,0.231709831335383,1.07244524739206,2.40332086389102,3.74105397464036,2.40136352224763,"Male","West Virginia"
"4","Communicable",-0.259306600546024,0.11238831038233,0.743426121717131,0.13805749836387,-0.555630453446368,-0.156242485892262,0.12730567576977,-0.17140462814821,-0.0538176146255819,0.271600401995871,0.646023062838566,0.275124680527742,-1.96923265519285,0.139039125189687,2.36006176847297,1.19802384691867,-5.69059189772095,-0.0908797589402582,4.56916324223292,-0.509870526475608,-0.0252947919450827,0.113896665704743,0.342976266934092,0.120384148782065,-0.75337321262457,0.645739850769675,2.28901013507177,0.67689455988383,-0.719115026191228,0.232854743744287,1.26964876367062,0.231709831335383,1.07244524739206,2.40332086389102,3.74105397464036,2.40136352224763,"Male","West Virginia"
"5","Injuries",-0.659272370581303,0.0313432647905519,1.12226184518487,0.0797830694610925,-0.222092765402979,0.245639905257307,0.703346023080149,0.247215098329335,0.445384439748414,1.00562705933079,1.5808978813395,1.00531611726536,-3.16284578538321,0.189241191143144,3.76521322816738,3.29769633898992,-6.06299766661279,0.360551208733699,6.82473854809267,0.647241138972227,0.203770916576296,0.423379166660778,0.812504489875362,0.443678343051713,-0.75337321262457,0.645739850769675,2.28901013507177,0.67689455988383,-0.719115026191228,0.232854743744287,1.26964876367062,0.231709831335383,1.07244524739206,2.40332086389102,3.74105397464036,2.40136352224763,"Male","West Virginia"
"6","Non-communicable",-0.337482516177292,-0.0969088855527644,0.180442941818895,-0.0934026369315206,-0.218409614745504,0.000693103555719443,0.213970444709304,-0.000329276869902598,-0.0935336401442623,0.258021268947059,0.72045848176816,0.264360315693034,-2.05389228508691,-0.0721290024765793,1.62546751968327,0.955042628017276,-2.94739234355759,0.0272590298499175,3.19878864764179,-0.0304852599414355,-0.0481451126676239,0.109911323917589,0.299553293919966,0.112759195809037,-0.75337321262457,0.645739850769675,2.28901013507177,0.67689455988383,-0.719115026191228,0.232854743744287,1.26964876367062,0.231709831335383,1.07244524739206,2.40332086389102,3.74105397464036,2.40136352224763,"Male","West Virginia"
"7","All other causes",-0.685393907631207,0.0842653816267996,0.970658969395094,0.102541167937452,-0.0889815178088928,0.510608502848561,1.09673904819896,0.512066139255651,0.101295179297236,0.756439231709539,1.40930509284974,0.757948678334023,-2.73374771304666,0.139511494475439,3.54355556420685,0.163496836446498,-0.17209065238227,0.473194782637542,1.43553667812219,0.463451733990855,0.0681045546246723,0.40101595346434,0.869153528152198,0.421027257085374,-0.295195560420429,0.867340713917197,2.15954875786898,0.884422919883399,0.189948678578569,1.07974565066477,2.14731272160901,1.08069297349564,0.840320857843969,1.87328103060286,2.97395033309556,1.86606881962818,"Female","West Virginia"
"8","Cancers",-0.340613686552221,-0.0404099406668451,0.280871409509374,-0.0372327193028667,-0.22893606397425,0.087927674594973,0.374315184859754,0.0844884520516779,-0.563333573901947,-0.159863617228933,0.312325045718163,-0.153080464627977,-1.12094725766186,-0.028440329543135,1.57983706021231,0.0448034302307397,-0.460543550030138,0.0806582187701129,0.533726286071158,0.0765249421665773,-0.505570625670563,-0.0888136511041696,0.142022357858996,-0.108358405863993,-0.295195560420429,0.867340713917197,2.15954875786898,0.884422919883399,0.189948678578569,1.07974565066477,2.14731272160901,1.08069297349564,0.840320857843969,1.87328103060286,2.97395033309556,1.86606881962818,"Female","West Virginia"
"9","Cardiovascular",0.00739303277488304,0.768955205383443,1.59500997430432,0.776418521148905,-0.504980059315465,0.16054790269108,0.82372301496017,0.157619149723749,-0.121264203770819,0.539370860770165,1.2646509525761,0.541731480616449,-4.26557562992521,0.798286134729179,4.92525672717433,0.604978202815873,-1.44902887553155,0.144308223120041,0.752502629478263,0.12600972417531,-0.107908606916702,0.284922339860657,0.66140892805163,0.284572004487119,-0.295195560420429,0.867340713917197,2.15954875786898,0.884422919883399,0.189948678578569,1.07974565066477,2.14731272160901,1.08069297349564,0.840320857843969,1.87328103060286,2.97395033309556,1.86606881962818,"Female","West Virginia"
"10","Communicable",-0.362143315653232,-0.176599914363722,0.283376015489932,-0.142535983695016,-0.103891937837475,0.0507711007132184,0.176321027081332,0.0471768890552161,-0.229158463561803,-0.00131418645441739,0.195760573961299,-0.00503700382107913,-1.48759310695618,-0.154424091906029,2.49996434862524,-0.0198059147861526,-0.187115058667979,0.0447461229882093,0.275078528579025,0.0471734602686948,-0.155802702583686,-0.00069229876597577,0.106738427515022,-0.00780582768066286,-0.295195560420429,0.867340713917197,2.15954875786898,0.884422919883399,0.189948678578569,1.07974565066477,2.14731272160901,1.08069297349564,0.840320857843969,1.87328103060286,2.97395033309556,1.86606881962818,"Female","West Virginia"
