"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.506893622945722,-0.138185695109067,0.276398669161984,-0.130285950287021,-0.386668651497703,-0.113975379434758,0.19133113777344,-0.1158969476437,-0.0811665396096119,0.247585066198029,0.532129912584236,0.243401909649079,-0.696396843927558,0.136491440597095,0.728584719679394,0.116808769883395,-0.10114227567187,0.0531041156761791,0.167506459815815,0.049053643941559,-0.610420630596788,0.350395978795852,1.7079595571377,0.228912114166402,-1.9738328295581,-0.984572747371148,0.0713490672312286,-0.99782743927731,-2.92964684004183,-2.22395171164191,-1.53400177032482,-2.22632198998812,-0.0655969045581581,0.68673301501105,1.38331692809406,0.678289409553631,"Male","Wisconsin"
"2","Cancers",-0.754940576229634,-0.425550115127863,-0.0868623077318289,-0.428522077229066,-0.318697190803248,-0.0317134223195232,0.240520594402869,-0.0343677966315022,-0.435588989900306,-0.117045228950736,0.189705491666933,-0.122958449858367,-0.715233856056336,0.41600783907938,1.82910156509397,0.482044764375342,-0.132898214676862,0.01400641710143,0.141887524378775,0.0123821883395332,-2.5113845839941,-0.152606402034684,0.786495919788025,-0.11887133846659,-1.9738328295581,-0.984572747371148,0.0713490672312286,-0.99782743927731,-2.92964684004183,-2.22395171164191,-1.53400177032482,-2.22632198998812,-0.0655969045581581,0.68673301501105,1.38331692809406,0.678289409553631,"Male","Wisconsin"
"3","Cardiovascular",-1.62058889288329,-1.06623246772237,-0.500140426264641,-1.05830832925426,-0.998316591883014,-0.596619154062536,-0.19506981377812,-0.60009074472316,-0.955692482056882,-0.603558925491102,-0.269750174759365,-0.603194083644707,-1.82966957367501,1.02283030279144,3.44018229317053,1.09244067708508,0.106807404457451,0.267863687151909,0.416947455441917,0.267706633366766,-7.25563579344041,-0.828772418297444,2.81895631756882,-0.73648016166175,-1.9738328295581,-0.984572747371148,0.0713490672312286,-0.99782743927731,-2.92964684004183,-2.22395171164191,-1.53400177032482,-2.22632198998812,-0.0655969045581581,0.68673301501105,1.38331692809406,0.678289409553631,"Male","Wisconsin"
"4","Communicable",0.126087318265375,0.480726435276864,0.87447457553428,0.488050541082967,-0.4183829719548,-0.168249176920801,0.0505689334231517,-0.169837775319476,-0.0480882682151962,0.194713673455139,0.448920724498461,0.196723071165904,-2.86723531280833,-0.453786644587916,1.77614686285251,-0.515849567382595,-0.0244711213776833,0.0762800549668628,0.180111052908658,0.0749068942445081,-0.373051448571486,0.278804765460003,1.52752672450249,0.225032985601768,-1.9738328295581,-0.984572747371148,0.0713490672312286,-0.99782743927731,-2.92964684004183,-2.22395171164191,-1.53400177032482,-2.22632198998812,-0.0655969045581581,0.68673301501105,1.38331692809406,0.678289409553631,"Male","Wisconsin"
"5","Injuries",-0.232862796934736,0.226506053935011,0.751383009631942,0.234885899159182,-1.56127640460247,-1.1980884606591,-0.85182615977331,-1.20651072823348,0.698803853436192,1.07532613623966,1.45341910886766,1.07772649922217,-2.10191520083413,-0.210979360959366,1.38654367948573,-0.315267821510089,0.398668034441903,0.540304712267329,0.745758804070105,0.551434000166859,-3.04288348276252,1.52135059451928,10.340754206343,1.51095270543684,-1.9738328295581,-0.984572747371148,0.0713490672312286,-0.99782743927731,-2.92964684004183,-2.22395171164191,-1.53400177032482,-2.22632198998812,-0.0655969045581581,0.68673301501105,1.38331692809406,0.678289409553631,"Male","Wisconsin"
"6","Non-communicable",-0.29047565550856,-0.107373038878097,0.107856979315216,-0.103647522749114,-0.257709530745744,-0.103695231249495,0.0881836674035612,-0.0996179974368031,-0.338250855397515,-0.10764953992316,0.0936944232441454,-0.113409536980451,-0.19052084821632,0.104019422631811,0.55417529401032,0.139823177548872,-0.0410111487811302,0.0464122505588308,0.11903363778024,0.0445166399407742,-1.62565813959132,-0.150213771675461,0.69150568416145,-0.109546305076668,-1.9738328295581,-0.984572747371148,0.0713490672312286,-0.99782743927731,-2.92964684004183,-2.22395171164191,-1.53400177032482,-2.22632198998812,-0.0655969045581581,0.68673301501105,1.38331692809406,0.678289409553631,"Male","Wisconsin"
"7","All other causes",-0.541727638672462,-0.0763163972664801,0.435119654429146,-0.0715357484860573,-0.455366266687994,-0.10215656393837,0.203438943438827,-0.104893534805358,-0.404746648846088,-0.0269640586310224,0.328660888694256,-0.0286111146633059,-0.966184697323499,0.0749216587662082,0.622809576511855,0.017609895969556,-6.91256293347031,0.16868157355197,5.03522286640199,-1.95216616204345,-2.42563340918949,0.0809898728540445,1.37889564276877,0.0882834070765318,-2.17695601427834,-1.12684958253441,-0.0580451605125136,-1.12985230828455,-0.791926168913409,0.0254328525924477,0.748517453893318,0.0151166765254079,-1.31645955909451,-0.609708057987616,0.134613453471259,-0.609874661781834,"Female","Wisconsin"
"8","Cancers",-0.438338396245323,-0.114635719539393,0.248910817375235,-0.113257315389277,-0.461887932636055,-0.156272040826133,0.126437246068155,-0.154976257694868,-0.714288596725849,-0.443652441594143,-0.122607610341347,-0.436441439768319,-0.45182339600528,0.101977575458506,0.640125620241173,0.111852144734204,-7.50361553271718,0.0885205986276447,6.08035511865602,-4.89297503409536,-2.68433802696604,0.652491763635474,5.30959996880655,1.15749076578098,-2.17695601427834,-1.12684958253441,-0.0580451605125136,-1.12985230828455,-0.791926168913409,0.0254328525924477,0.748517453893318,0.0151166765254079,-1.31645955909451,-0.609708057987616,0.134613453471259,-0.609874661781834,"Female","Wisconsin"
"9","Cardiovascular",-1.53744581807525,-0.751819825086752,0.0899949664205162,-0.745075242137966,-0.40976381260776,0.159331317763068,0.662517120332849,0.152078590729825,-0.644674022596965,-0.234790935057776,0.216854098085849,-0.224350917018985,-0.1201560873192,0.658114280751592,1.55734482397766,0.745241340659044,-5.93295373476978,0.516942243848404,10.2166847010775,0.946331605436879,-1.12291192236391,0.384451243800417,2.30606206310699,0.277419709163262,-2.17695601427834,-1.12684958253441,-0.0580451605125136,-1.12985230828455,-0.791926168913409,0.0254328525924477,0.748517453893318,0.0151166765254079,-1.31645955909451,-0.609708057987616,0.134613453471259,-0.609874661781834,"Female","Wisconsin"
"10","Communicable",-0.122597390966246,0.069922415211095,0.295602030754663,0.0756784450749081,-0.106317863271841,0.0526496328837469,0.203062277274425,0.0539651100111767,-0.221516902389492,-0.0334478302482643,0.153174394119329,-0.0342132756073875,-0.749623728253908,-0.0593045417813617,0.164438745404569,-0.14846771080218,-2.97015471977038,0.0759683005933518,3.54342238951537,0.305732921363805,-0.742273282067681,0.0572111055938031,0.832880466891385,-0.102907437057147,-2.17695601427834,-1.12684958253441,-0.0580451605125136,-1.12985230828455,-0.791926168913409,0.0254328525924477,0.748517453893318,0.0151166765254079,-1.31645955909451,-0.609708057987616,0.134613453471259,-0.609874661781834,"Female","Wisconsin"
"11","Injuries",-0.395438326908683,-0.159897310753779,0.101219018907174,-0.15759451940784,-0.14090126167584,0.0193223774681246,0.182233422638686,0.0210950816963934,0.0253469288535732,0.211987718652081,0.404645970734177,0.214721764125707,-0.215799356318347,0.14179629813541,0.702450463857516,0.152530968446161,-2.3245133518634,0.0466415084640396,3.07996919665686,1.83620947816217,-3.9196980371358,-0.300256788401522,2.26262372903493,-0.711709073082136,-2.17695601427834,-1.12684958253441,-0.0580451605125136,-1.12985230828455,-0.791926168913409,0.0254328525924477,0.748517453893318,0.0151166765254079,-1.31645955909451,-0.609708057987616,0.134613453471259,-0.609874661781834,"Female","Wisconsin"
"12","Non-communicable",-0.362509999499522,-0.116473968686398,0.133735828783753,-0.118067927938313,-0.147626299364771,0.0464323240123766,0.253585767910391,0.0478476865882392,-0.360341592859733,-0.096449732104636,0.132761835776726,-0.100979678849543,-0.2283999847894,0.108082697000773,0.629502398860238,0.121233360993214,-4.13419792089899,0.0617223408982302,4.02827095739512,4.75686719117595,-1.23777996484561,0.152366840825202,1.25374046929061,0.291422628118512,-2.17695601427834,-1.12684958253441,-0.0580451605125136,-1.12985230828455,-0.791926168913409,0.0254328525924477,0.748517453893318,0.0151166765254079,-1.31645955909451,-0.609708057987616,0.134613453471259,-0.609874661781834,"Female","Wisconsin"
