"","state","sex","race","year.n","total_popn"
"1","Alabama","Female","Black",1969,2870874
"2","Alabama","Female","Black",1970,2885382
"3","Alabama","Female","Black",1971,2899536
"4","Alabama","Female","Black",1972,2922384
"5","Alabama","Female","Black",1973,2951898
"6","Alabama","Female","Black",1974,2978280
"7","Alabama","Female","Black",1975,3020196
"8","Alabama","Female","Black",1976,3063432
"9","Alabama","Female","Black",1977,3096000
"10","Alabama","Female","Black",1978,3132942
"11","Alabama","Female","Black",1979,3157464
"12","Alabama","Female","Black",1980,3200256
"13","Alabama","Female","Black",1981,3216696
"14","Alabama","Female","Black",1982,3222900
"15","Alabama","Female","Black",1983,3224610
"16","Alabama","Female","Black",1984,3232722
"17","Alabama","Female","Black",1985,3244602
"18","Alabama","Female","Black",1986,3255540
"19","Alabama","Female","Black",1987,3275460
"20","Alabama","Female","Black",1988,3285582
"21","Alabama","Female","Black",1989,3296256
"22","Alabama","Female","Black",1990,3320130
"23","Alabama","Female","Black",1991,3368886
"24","Alabama","Female","Black",1992,3427836
"25","Alabama","Female","Black",1993,3488496
"26","Alabama","Female","Black",1994,3543006
"27","Alabama","Female","Black",1995,3589746
"28","Alabama","Female","Black",1996,3625050
"29","Alabama","Female","Black",1997,3672714
"30","Alabama","Female","Black",1998,3711894
"31","Alabama","Female","Black",1999,3740850
"32","Alabama","Female","Black",2000,3764634
"33","Alabama","Female","Black",2001,3785406
"34","Alabama","Female","Black",2002,3800244
"35","Alabama","Female","Black",2003,3821256
"36","Alabama","Female","Black",2004,3851238
"37","Alabama","Female","Black",2005,3882792
"38","Alabama","Female","Black",2006,3945924
"39","Alabama","Female","Black",2007,3988986
"40","Alabama","Female","Black",2008,4038612
"41","Alabama","Female","Black",2009,4071516
"42","Alabama","Female","Black",2010,4104036
"43","Alabama","Female","Black",2011,4129860
"44","Alabama","Female","Black",2012,4156416
"45","Alabama","Female","Black",2013,4186980
"46","Alabama","Female","White",1969,7705488
"47","Alabama","Female","White",1970,7820436
"48","Alabama","Female","White",1971,7935384
"49","Alabama","Female","White",1972,8039706
"50","Alabama","Female","White",1973,8140512
"51","Alabama","Female","White",1974,8263860
"52","Alabama","Female","White",1975,8390244
"53","Alabama","Female","White",1976,8525412
"54","Alabama","Female","White",1977,8634120
"55","Alabama","Female","White",1978,8762292
"56","Alabama","Female","White",1979,8847654
"57","Alabama","Female","White",1980,8892528
"58","Alabama","Female","White",1981,8934042
"59","Alabama","Female","White",1982,8952954
"60","Alabama","Female","White",1983,8969154
"61","Alabama","Female","White",1984,9013080
"62","Alabama","Female","White",1985,9067332
"63","Alabama","Female","White",1986,9109896
"64","Alabama","Female","White",1987,9158400
"65","Alabama","Female","White",1988,9169794
"66","Alabama","Female","White",1989,9176424
"67","Alabama","Female","White",1990,9218376
"68","Alabama","Female","White",1991,9311622
"69","Alabama","Female","White",1992,9406836
"70","Alabama","Female","White",1993,9515136
"71","Alabama","Female","White",1994,9591408
"72","Alabama","Female","White",1995,9642288
"73","Alabama","Female","White",1996,9699660
"74","Alabama","Female","White",1997,9752286
"75","Alabama","Female","White",1998,9810294
"76","Alabama","Female","White",1999,9843990
"77","Alabama","Female","White",2000,9862566
"78","Alabama","Female","White",2001,9873246
"79","Alabama","Female","White",2002,9878670
"80","Alabama","Female","White",2003,9905340
"81","Alabama","Female","White",2004,9945234
"82","Alabama","Female","White",2005,10001262
"83","Alabama","Female","White",2006,10110300
"84","Alabama","Female","White",2007,10185108
"85","Alabama","Female","White",2008,10260732
"86","Alabama","Female","White",2009,10320690
"87","Alabama","Female","White",2010,10369560
"88","Alabama","Female","White",2011,10390368
"89","Alabama","Female","White",2012,10407552
"90","Alabama","Female","White",2013,10419702
"91","Alabama","Male","Black",1969,2529648
"92","Alabama","Male","Black",1970,2541186
"93","Alabama","Male","Black",1971,2552394
"94","Alabama","Male","Black",1972,2572056
"95","Alabama","Male","Black",1973,2592792
"96","Alabama","Male","Black",1974,2607930
"97","Alabama","Male","Black",1975,2638416
"98","Alabama","Male","Black",1976,2671176
"99","Alabama","Male","Black",1977,2693766
"100","Alabama","Male","Black",1978,2717454
"101","Alabama","Male","Black",1979,2733882
"102","Alabama","Male","Black",1980,2774682
"103","Alabama","Male","Black",1981,2783136
"104","Alabama","Male","Black",1982,2780304
"105","Alabama","Male","Black",1983,2780520
"106","Alabama","Male","Black",1984,2782656
"107","Alabama","Male","Black",1985,2786568
"108","Alabama","Male","Black",1986,2792322
"109","Alabama","Male","Black",1987,2805270
"110","Alabama","Male","Black",1988,2809686
"111","Alabama","Male","Black",1989,2813358
"112","Alabama","Male","Black",1990,2825058
"113","Alabama","Male","Black",1991,2872794
"114","Alabama","Male","Black",1992,2935926
"115","Alabama","Male","Black",1993,3000378
"116","Alabama","Male","Black",1994,3054552
"117","Alabama","Male","Black",1995,3094452
"118","Alabama","Male","Black",1996,3125508
"119","Alabama","Male","Black",1997,3168006
"120","Alabama","Male","Black",1998,3201594
"121","Alabama","Male","Black",1999,3235188
"122","Alabama","Male","Black",2000,3259068
"123","Alabama","Male","Black",2001,3279468
"124","Alabama","Male","Black",2002,3295302
"125","Alabama","Male","Black",2003,3319842
"126","Alabama","Male","Black",2004,3343914
"127","Alabama","Male","Black",2005,3377328
"128","Alabama","Male","Black",2006,3437280
"129","Alabama","Male","Black",2007,3474216
"130","Alabama","Male","Black",2008,3516450
"131","Alabama","Male","Black",2009,3555966
"132","Alabama","Male","Black",2010,3587484
"133","Alabama","Male","Black",2011,3605778
"134","Alabama","Male","Black",2012,3629652
"135","Alabama","Male","Black",2013,3661782
"136","Alabama","Male","White",1969,7334658
"137","Alabama","Male","White",1970,7445316
"138","Alabama","Male","White",1971,7555974
"139","Alabama","Male","White",1972,7658544
"140","Alabama","Male","White",1973,7745334
"141","Alabama","Male","White",1974,7855728
"142","Alabama","Male","White",1975,7965720
"143","Alabama","Male","White",1976,8085972
"144","Alabama","Male","White",1977,8187450
"145","Alabama","Male","White",1978,8298552
"146","Alabama","Male","White",1979,8376114
"147","Alabama","Male","White",1980,8419632
"148","Alabama","Male","White",1981,8453490
"149","Alabama","Male","White",1982,8460672
"150","Alabama","Male","White",1983,8484078
"151","Alabama","Male","White",1984,8524578
"152","Alabama","Male","White",1985,8566458
"153","Alabama","Male","White",1986,8608638
"154","Alabama","Male","White",1987,8657364
"155","Alabama","Male","White",1988,8670288
"156","Alabama","Male","White",1989,8674068
"157","Alabama","Male","White",1990,8708208
"158","Alabama","Male","White",1991,8801052
"159","Alabama","Male","White",1992,8903244
"160","Alabama","Male","White",1993,9015558
"161","Alabama","Male","White",1994,9094926
"162","Alabama","Male","White",1995,9162270
