"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",4,1,0,0,"All other causes","White","Male","California",1969,"Pacific","West","CA",118.920160354509,121.726926873065,124.600038655176,121.726926873065
"2",4,1,0,0,"Cancers","White","Male","California",1969,"Pacific","West","CA",239.462004587787,242.938433600564,246.735268389351,242.938433600564
"3",4,1,0,0,"Cardiovascular","White","Male","California",1969,"Pacific","West","CA",834.906580228479,842.753443644875,851.315513849431,842.753443644875
"4",4,1,0,0,"Communicable","White","Male","California",1969,"Pacific","West","CA",57.5068148971192,59.6309672417526,62.019899581871,59.6309672417526
"5",4,1,0,0,"Injuries","White","Male","California",1969,"Pacific","West","CA",126.341326489234,128.647090548343,130.982857514638,128.647090548343
"6",4,1,0,0,"Non-communicable","White","Male","California",1969,"Pacific","West","CA",111.225347518101,113.577334767541,116.010826863337,113.577334767541
"7",4,1,0,1,"All other causes","White","Female","California",1969,"Pacific","West","CA",85.5603257081037,87.3032396990055,88.9857820809932,87.3032396990055
"8",4,1,0,1,"Cancers","White","Female","California",1969,"Pacific","West","CA",159.596771601669,161.922470302225,164.046822319466,161.922470302225
"9",4,1,0,1,"Cardiovascular","White","Female","California",1969,"Pacific","West","CA",544.684150327928,550.564052717257,556.278608122515,550.564052717257
"10",4,1,0,1,"Communicable","White","Female","California",1969,"Pacific","West","CA",34.0631325405503,35.424328367724,36.7617926589579,35.424328367724
"11",4,1,0,1,"Injuries","White","Female","California",1969,"Pacific","West","CA",59.9188719269328,61.4557812650993,62.9361517696033,61.4557812650993
"12",4,1,0,1,"Non-communicable","White","Female","California",1969,"Pacific","West","CA",51.7096656846831,53.0635849763847,54.3788370029738,53.0635849763847
"13",4,1,1,0,"All other causes","Black","Male","California",1969,"Pacific","West","CA",160.785351975517,169.49512367008,178.960283682587,169.49512367008
"14",4,1,1,0,"Cancers","Black","Male","California",1969,"Pacific","West","CA",290.245521761704,304.25892547955,317.919635701953,304.25892547955
"15",4,1,1,0,"Cardiovascular","Black","Male","California",1969,"Pacific","West","CA",743.681438969334,772.142248213875,799.524989052682,772.142248213875
"16",4,1,1,0,"Communicable","Black","Male","California",1969,"Pacific","West","CA",66.4610935093234,74.6330198577907,83.537025563962,74.6330198577907
"17",4,1,1,0,"Injuries","Black","Male","California",1969,"Pacific","West","CA",193.124758730043,201.955917156511,211.632772094571,201.955917156511
"18",4,1,1,0,"Non-communicable","Black","Male","California",1969,"Pacific","West","CA",122.260373957852,129.849752663351,138.120456857433,129.849752663351
"19",4,1,1,1,"All other causes","Black","Female","California",1969,"Pacific","West","CA",118.494369641369,124.574172809332,130.956442231761,124.574172809332
"20",4,1,1,1,"Cancers","Black","Female","California",1969,"Pacific","West","CA",170.402807915701,177.916983791848,184.958158190477,177.916983791848
"21",4,1,1,1,"Cardiovascular","Black","Female","California",1969,"Pacific","West","CA",590.964151462939,613.189537512057,637.260023102033,613.189537512057
"22",4,1,1,1,"Communicable","Black","Female","California",1969,"Pacific","West","CA",38.8945001585932,43.7124262058216,49.010257053796,43.7124262058216
"23",4,1,1,1,"Injuries","Black","Female","California",1969,"Pacific","West","CA",58.5947215739675,62.8177105340221,67.1617489321624,62.8177105340221
"24",4,1,1,1,"Non-communicable","Black","Female","California",1969,"Pacific","West","CA",78.8519968459194,84.2766427925574,89.6814133139368,84.2766427925574
"25",4,2,0,0,"All other causes","White","Male","California",1970,"Pacific","West","CA",113.506147438332,115.80658102889,118.244975012451,115.80658102889
"26",4,2,0,0,"Cancers","White","Male","California",1970,"Pacific","West","CA",240.294557871265,243.342535578942,246.532372676953,243.342535578942
"27",4,2,0,0,"Cardiovascular","White","Male","California",1970,"Pacific","West","CA",810.858446111056,819.480735639387,827.072096398454,819.480735639387
"28",4,2,0,0,"Communicable","White","Male","California",1970,"Pacific","West","CA",50.830016852239,52.9458438441955,55.0131226395421,52.9458438441955
"29",4,2,0,0,"Injuries","White","Male","California",1970,"Pacific","West","CA",123.761537153527,125.926384654755,127.944680398269,125.926384654755
"30",4,2,0,0,"Non-communicable","White","Male","California",1970,"Pacific","West","CA",112.123614038406,114.226712610021,116.181426919991,114.226712610021
"31",4,2,0,1,"All other causes","White","Female","California",1970,"Pacific","West","CA",83.265490747996,84.7629847687618,86.2312821023779,84.7629847687618
"32",4,2,0,1,"Cancers","White","Female","California",1970,"Pacific","West","CA",161.672389127435,163.702638376899,165.836541200156,163.702638376899
"33",4,2,0,1,"Cardiovascular","White","Female","California",1970,"Pacific","West","CA",527.129930810131,532.577830866414,537.937084194977,532.577830866414
"34",4,2,0,1,"Communicable","White","Female","California",1970,"Pacific","West","CA",30.2971152718028,31.4810459535664,32.5754755353401,31.4810459535664
"35",4,2,0,1,"Injuries","White","Female","California",1970,"Pacific","West","CA",58.7371216921742,59.9443712833188,61.1825115219531,59.9443712833188
"36",4,2,0,1,"Non-communicable","White","Female","California",1970,"Pacific","West","CA",50.9715268463055,52.1605676711977,53.3490382822212,52.1605676711977
"37",4,2,1,0,"All other causes","Black","Male","California",1970,"Pacific","West","CA",161.117444063011,168.195385418118,176.556883554286,168.195385418118
"38",4,2,1,0,"Cancers","Black","Male","California",1970,"Pacific","West","CA",293.766013450286,305.838769950242,317.629390850129,305.838769950242
"39",4,2,1,0,"Cardiovascular","Black","Male","California",1970,"Pacific","West","CA",744.748610868283,768.446679526499,793.630805360961,768.446679526499
"40",4,2,1,0,"Communicable","Black","Male","California",1970,"Pacific","West","CA",62.9049257348738,69.411649852657,77.1332391416518,69.411649852657
"41",4,2,1,0,"Injuries","Black","Male","California",1970,"Pacific","West","CA",187.228511330803,195.245158855546,203.383989070417,195.245158855546
"42",4,2,1,0,"Non-communicable","Black","Male","California",1970,"Pacific","West","CA",124.884082058368,131.704742700194,139.001652612337,131.704742700194
"43",4,2,1,1,"All other causes","Black","Female","California",1970,"Pacific","West","CA",117.400526757056,122.694196039596,128.280612155858,122.694196039596
"44",4,2,1,1,"Cancers","Black","Female","California",1970,"Pacific","West","CA",172.144339740437,178.098721976014,184.701694209303,178.098721976014
"45",4,2,1,1,"Cardiovascular","Black","Female","California",1970,"Pacific","West","CA",586.441448490972,605.600074360761,624.540926308116,605.600074360761
"46",4,2,1,1,"Communicable","Black","Female","California",1970,"Pacific","West","CA",36.4496398211033,40.5929917319427,45.3531538988485,40.5929917319427
"47",4,2,1,1,"Injuries","Black","Female","California",1970,"Pacific","West","CA",59.2410271696532,63.0109870200254,66.7102030895153,63.0109870200254
"48",4,2,1,1,"Non-communicable","Black","Female","California",1970,"Pacific","West","CA",78.464795931226,83.5835681336059,88.0971739695972,83.5835681336059
"49",4,3,0,0,"All other causes","White","Male","California",1971,"Pacific","West","CA",108.620362252761,110.798473667792,113.094292509758,110.798473667792
"50",4,3,0,0,"Cancers","White","Male","California",1971,"Pacific","West","CA",241.774863397629,244.811556153239,248.114843482997,244.811556153239
"51",4,3,0,0,"Cardiovascular","White","Male","California",1971,"Pacific","West","CA",808.301648336419,816.47663148404,824.729708118503,816.47663148404
"52",4,3,0,0,"Communicable","White","Male","California",1971,"Pacific","West","CA",50.7906033506444,52.8358683314671,55.0224181647144,52.8358683314671
