"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",6,1,0,0,"All other causes","White","Male","Connecticut",1969,"New England","Northeast","CT",123.260368969271,128.868409735613,134.426452166304,128.958656740261
"2",6,1,0,0,"Cancers","White","Male","Connecticut",1969,"New England","Northeast","CT",259.217348494005,267.12275488047,274.980095455031,267.108536646999
"3",6,1,0,0,"Cardiovascular","White","Male","Connecticut",1969,"New England","Northeast","CT",810.878264171676,829.760298261172,848.95146229787,829.642777708417
"4",6,1,0,0,"Communicable","White","Male","Connecticut",1969,"New England","Northeast","CT",65.6333732025169,70.8290998685956,77.0479901177853,70.9629609880959
"5",6,1,0,0,"Injuries","White","Male","Connecticut",1969,"New England","Northeast","CT",73.8390333019649,77.1281329506649,80.7649642953286,77.1357513389636
"6",6,1,0,0,"Non-communicable","White","Male","Connecticut",1969,"New England","Northeast","CT",93.0614098031322,97.1029416834353,101.612031633377,97.1376859914279
"7",6,1,0,1,"All other causes","White","Female","Connecticut",1969,"New England","Northeast","CT",82.7765144357211,86.1112852970491,89.9383918898932,86.1823155670114
"8",6,1,0,1,"Cancers","White","Female","Connecticut",1969,"New England","Northeast","CT",162.502225163386,166.596753769196,171.261092246431,166.718072788955
"9",6,1,0,1,"Cardiovascular","White","Female","Connecticut",1969,"New England","Northeast","CT",542.813133155068,553.931956310808,568.193403544593,554.393288179007
"10",6,1,0,1,"Communicable","White","Female","Connecticut",1969,"New England","Northeast","CT",40.4151889411024,43.5068790822272,46.9554858236054,43.5784488007766
"11",6,1,0,1,"Injuries","White","Female","Connecticut",1969,"New England","Northeast","CT",31.4345832096476,33.2850001587919,35.2327285926146,33.2996573970804
"12",6,1,0,1,"Non-communicable","White","Female","Connecticut",1969,"New England","Northeast","CT",46.3446077354444,48.7677473956701,51.1935345463263,48.7537698715133
"13",6,1,1,0,"All other causes","Black","Male","Connecticut",1969,"New England","Northeast","CT",197.699425216077,227.396053550492,261.958271693856,227.901032995206
"14",6,1,1,0,"Cancers","Black","Male","Connecticut",1969,"New England","Northeast","CT",314.785797970511,357.557085446297,402.235555527144,358.16371868007
"15",6,1,1,0,"Cardiovascular","Black","Male","Connecticut",1969,"New England","Northeast","CT",713.458119419311,782.326913282074,854.60147286594,783.200128731368
"16",6,1,1,0,"Communicable","Black","Male","Connecticut",1969,"New England","Northeast","CT",76.1744655567956,103.822107111432,142.440761388173,105.0267693811
"17",6,1,1,0,"Injuries","Black","Male","Connecticut",1969,"New England","Northeast","CT",123.741941327911,143.102998819125,165.007668102132,143.187789065392
"18",6,1,1,0,"Non-communicable","Black","Male","Connecticut",1969,"New England","Northeast","CT",92.9160422782547,110.140815648799,135.060358263956,111.265832456351
"19",6,1,1,1,"All other causes","Black","Female","Connecticut",1969,"New England","Northeast","CT",120.672187378351,136.775035440819,157.336279589043,137.376789708114
"20",6,1,1,1,"Cancers","Black","Female","Connecticut",1969,"New England","Northeast","CT",166.106879073367,184.185208749032,207.808751270971,184.973577592489
"21",6,1,1,1,"Cardiovascular","Black","Female","Connecticut",1969,"New England","Northeast","CT",552.960298918774,606.063492621847,669.536192374967,607.247324082896
"22",6,1,1,1,"Communicable","Black","Female","Connecticut",1969,"New England","Northeast","CT",51.4147958369613,70.142433846025,102.11038918861,71.8302856695242
"23",6,1,1,1,"Injuries","Black","Female","Connecticut",1969,"New England","Northeast","CT",35.3981065180888,42.5238579343259,54.1677227787953,43.097778096002
"24",6,1,1,1,"Non-communicable","Black","Female","Connecticut",1969,"New England","Northeast","CT",69.0484396460593,82.4094375200985,99.1634057957408,82.8206709228654
"25",6,2,0,0,"All other causes","White","Male","Connecticut",1970,"New England","Northeast","CT",121.755504676128,126.072903474522,130.913690772165,126.143466023287
"26",6,2,0,0,"Cancers","White","Male","Connecticut",1970,"New England","Northeast","CT",258.449507866584,264.881129333058,271.975743012837,264.895736916664
"27",6,2,0,0,"Cardiovascular","White","Male","Connecticut",1970,"New England","Northeast","CT",803.82785567899,821.811404524366,838.628647762021,821.423851805331
"28",6,2,0,0,"Communicable","White","Male","Connecticut",1970,"New England","Northeast","CT",61.4557356894708,65.6850235849105,70.8394215308999,65.7734308415265
"29",6,2,0,0,"Injuries","White","Male","Connecticut",1970,"New England","Northeast","CT",73.7973257036713,76.717345276998,79.5654363959068,76.6730778625891
"30",6,2,0,0,"Non-communicable","White","Male","Connecticut",1970,"New England","Northeast","CT",93.5281430756562,97.2010066121033,101.099944257041,97.2392714733834
"31",6,2,0,1,"All other causes","White","Female","Connecticut",1970,"New England","Northeast","CT",80.3857361108798,83.3061566565048,86.1071874262328,83.3101616366563
"32",6,2,0,1,"Cancers","White","Female","Connecticut",1970,"New England","Northeast","CT",162.744780277858,166.561578350441,170.745351491271,166.563829854368
"33",6,2,0,1,"Cardiovascular","White","Female","Connecticut",1970,"New England","Northeast","CT",525.186198088902,536.718660305344,548.451190857337,536.77647715292
"34",6,2,0,1,"Communicable","White","Female","Connecticut",1970,"New England","Northeast","CT",36.885916457795,39.1355249532634,41.8697720183006,39.164880834797
"35",6,2,0,1,"Injuries","White","Female","Connecticut",1970,"New England","Northeast","CT",31.3272172621429,32.7572180861518,34.5408301337934,32.8015684421029
"36",6,2,0,1,"Non-communicable","White","Female","Connecticut",1970,"New England","Northeast","CT",45.5527090911477,47.5906959056957,49.6855698262041,47.6339135143631
"37",6,2,1,0,"All other causes","Black","Male","Connecticut",1970,"New England","Northeast","CT",199.214790767151,226.898812215869,258.620585165755,227.404917075963
"38",6,2,1,0,"Cancers","Black","Male","Connecticut",1970,"New England","Northeast","CT",319.795130117052,359.77082498491,402.964657758928,360.038078340187
"39",6,2,1,0,"Cardiovascular","Black","Male","Connecticut",1970,"New England","Northeast","CT",699.590889931557,764.479261528502,829.324825117747,765.355002561644
