"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",10,1,0,0,"All other causes","White","Male","Georgia",1969,"South Atlantic","South","GA",154.068427149391,160.476099494128,166.864111822088,160.448026284278
"2",10,1,0,0,"Cancers","White","Male","Georgia",1969,"South Atlantic","South","GA",225.73061454255,232.605301054882,239.934478292351,232.681664101392
"3",10,1,0,0,"Cardiovascular","White","Male","Georgia",1969,"South Atlantic","South","GA",963.949212896608,985.030231679218,1006.34667823589,985.194400357478
"4",10,1,0,0,"Communicable","White","Male","Georgia",1969,"South Atlantic","South","GA",73.1728869182374,79.2330135075263,85.2034011429565,79.2073458076569
"5",10,1,0,0,"Injuries","White","Male","Georgia",1969,"South Atlantic","South","GA",148.257575387962,153.476488721118,158.923713071906,153.488899621047
"6",10,1,0,0,"Non-communicable","White","Male","Georgia",1969,"South Atlantic","South","GA",104.361863898774,108.870890156046,113.668087053702,108.87686584534
"7",10,1,0,1,"All other causes","White","Female","Georgia",1969,"South Atlantic","South","GA",99.5141647605771,103.487464015969,107.546632091215,103.484274534292
"8",10,1,0,1,"Cancers","White","Female","Georgia",1969,"South Atlantic","South","GA",133.92837128822,137.746477728442,141.651283875526,137.741569426375
"9",10,1,0,1,"Cardiovascular","White","Female","Georgia",1969,"South Atlantic","South","GA",561.738011694585,574.210265159576,588.112532210559,574.422728053722
"10",10,1,0,1,"Communicable","White","Female","Georgia",1969,"South Atlantic","South","GA",44.4108019562306,47.4987722298801,50.86676170421,47.551081489074
"11",10,1,0,1,"Injuries","White","Female","Georgia",1969,"South Atlantic","South","GA",50.6321496424657,52.870401616183,55.0482048414926,52.8710968952898
"12",10,1,0,1,"Non-communicable","White","Female","Georgia",1969,"South Atlantic","South","GA",42.1387728244709,44.4833535805492,47.0905392104632,44.4973766373279
"13",10,1,1,0,"All other causes","Black","Male","Georgia",1969,"South Atlantic","South","GA",246.63365995434,257.873667211474,269.778863681077,258.046974302383
"14",10,1,1,0,"Cancers","Black","Male","Georgia",1969,"South Atlantic","South","GA",237.038838986608,248.714620015325,261.146444723694,248.793334606523
"15",10,1,1,0,"Cardiovascular","Black","Male","Georgia",1969,"South Atlantic","South","GA",972.042995967928,1001.52936683742,1030.97898988452,1001.49552931377
"16",10,1,1,0,"Communicable","Black","Male","Georgia",1969,"South Atlantic","South","GA",109.068028463842,117.726210355748,126.278020710693,117.640607214483
"17",10,1,1,0,"Injuries","Black","Male","Georgia",1969,"South Atlantic","South","GA",253.320221540331,266.017830655814,279.063685965636,266.172003999792
"18",10,1,1,0,"Non-communicable","Black","Male","Georgia",1969,"South Atlantic","South","GA",93.0261231646028,99.5674899658279,106.167637416649,99.5940415689082
"19",10,1,1,1,"All other causes","Black","Female","Georgia",1969,"South Atlantic","South","GA",165.137468636151,172.724080439479,180.789658927617,172.800449303261
"20",10,1,1,1,"Cancers","Black","Female","Georgia",1969,"South Atlantic","South","GA",144.251220559946,150.751834600438,158.115448674204,150.890227507456
"21",10,1,1,1,"Cardiovascular","Black","Female","Georgia",1969,"South Atlantic","South","GA",699.559338545098,721.823678416617,745.24649916045,721.979045074486
