"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",16,1,0,0,"All other causes","White","Male","Kansas",1969,"West North Central","Midwest","KS",126.789258505169,131.805441582095,137.555507497028,131.888735774078
"2",16,1,0,0,"Cancers","White","Male","Kansas",1969,"West North Central","Midwest","KS",214.358315897972,221.149060131606,227.996883226752,221.176917696393
"3",16,1,0,0,"Cardiovascular","White","Male","Kansas",1969,"West North Central","Midwest","KS",811.538913725455,830.846955738526,850.102820419097,830.755669137625
"4",16,1,0,0,"Communicable","White","Male","Kansas",1969,"West North Central","Midwest","KS",52.9347397038045,57.2890504828125,61.8981922248565,57.3702938769708
"5",16,1,0,0,"Injuries","White","Male","Kansas",1969,"West North Central","Midwest","KS",112.530035959836,117.043182635946,121.915072010702,117.064193842157
"6",16,1,0,0,"Non-communicable","White","Male","Kansas",1969,"West North Central","Midwest","KS",95.6845637322144,100.339409853231,105.420093236703,100.429435730282
"7",16,1,0,1,"All other causes","White","Female","Kansas",1969,"West North Central","Midwest","KS",89.9263640493877,93.9591712143692,98.3032817075919,94.0022764318038
"8",16,1,0,1,"Cancers","White","Female","Kansas",1969,"West North Central","Midwest","KS",141.553799201267,146.022803904689,150.374693775777,146.052923064327
"9",16,1,0,1,"Cardiovascular","White","Female","Kansas",1969,"West North Central","Midwest","KS",513.741725285478,526.010482335397,538.57074407105,525.852456951883
"10",16,1,0,1,"Communicable","White","Female","Kansas",1969,"West North Central","Midwest","KS",34.9671009397312,37.7684166533071,40.9202444681024,37.8115496529783
"11",16,1,0,1,"Injuries","White","Female","Kansas",1969,"West North Central","Midwest","KS",44.5187757738688,46.8754294427828,49.4716651393594,46.9148725861002
"12",16,1,0,1,"Non-communicable","White","Female","Kansas",1969,"West North Central","Midwest","KS",41.1298280544931,43.6580491015989,46.330374490803,43.6994487465333
"13",16,1,1,0,"All other causes","Black","Male","Kansas",1969,"West North Central","Midwest","KS",184.812118483311,208.856477859814,237.804529791792,209.507833708973
"14",16,1,1,0,"Cancers","Black","Male","Kansas",1969,"West North Central","Midwest","KS",288.992222468993,316.066263607426,347.182853925509,316.538589678276
"15",16,1,1,0,"Cardiovascular","Black","Male","Kansas",1969,"West North Central","Midwest","KS",820.034990200673,883.323871461185,960.471934631875,884.047896757377
"16",16,1,1,0,"Communicable","Black","Male","Kansas",1969,"West North Central","Midwest","KS",69.698029552848,96.4252011290012,129.269133780865,96.9807473073228
"17",16,1,1,0,"Injuries","Black","Male","Kansas",1969,"West North Central","Midwest","KS",160.929132421405,187.557363730066,220.122689421206,188.161596832798
"18",16,1,1,0,"Non-communicable","Black","Male","Kansas",1969,"West North Central","Midwest","KS",99.9776197158511,123.574081356762,147.58470228735,123.742420947526
"19",16,1,1,1,"All other causes","Black","Female","Kansas",1969,"West North Central","Midwest","KS",131.784145329525,148.383350196243,168.751074101701,148.78046750465
"20",16,1,1,1,"Cancers","Black","Female","Kansas",1969,"West North Central","Midwest","KS",164.16142150807,182.93397743066,198.96560107232,182.556115403324
"21",16,1,1,1,"Cardiovascular","Black","Female","Kansas",1969,"West North Central","Midwest","KS",597.004470812748,652.938854539688,709.080636505392,652.394602766254
"22",16,1,1,1,"Communicable","Black","Female","Kansas",1969,"West North Central","Midwest","KS",42.727255351924,54.0945530777544,75.8710607207191,55.4981637302758
"23",16,1,1,1,"Injuries","Black","Female","Kansas",1969,"West North Central","Midwest","KS",47.9739612183483,58.2879723316909,72.8704318699179,58.7790506700721
"24",16,1,1,1,"Non-communicable","Black","Female","Kansas",1969,"West North Central","Midwest","KS",75.1318111066265,92.3901716124008,112.298554542094,92.5830834399147
"25",16,2,0,0,"All other causes","White","Male","Kansas",1970,"West North Central","Midwest","KS",125.306629707982,129.587620710448,134.350346795838,129.549084640279
"26",16,2,0,0,"Cancers","White","Male","Kansas",1970,"West North Central","Midwest","KS",216.705385776997,222.258493645827,228.381613146788,222.313662513433
"27",16,2,0,0,"Cardiovascular","White","Male","Kansas",1970,"West North Central","Midwest","KS",783.879531127784,800.656533886417,817.881198181992,800.510641903598
"28",16,2,0,0,"Communicable","White","Male","Kansas",1970,"West North Central","Midwest","KS",49.0027633754798,52.7683143088036,56.9263469694053,52.8196153500394
"29",16,2,0,0,"Injuries","White","Male","Kansas",1970,"West North Central","Midwest","KS",110.742635323818,114.707906117272,118.691192609793,114.690676476645
"30",16,2,0,0,"Non-communicable","White","Male","Kansas",1970,"West North Central","Midwest","KS",95.4977341723217,99.4687296489866,103.284424877592,99.4563651522261
"31",16,2,0,1,"All other causes","White","Female","Kansas",1970,"West North Central","Midwest","KS",89.0979514227371,92.9854026603041,96.715162695404,92.9242636992815
"32",16,2,0,1,"Cancers","White","Female","Kansas",1970,"West North Central","Midwest","KS",141.881815716194,145.401850296318,149.546537077362,145.516026735958
"33",16,2,0,1,"Cardiovascular","White","Female","Kansas",1970,"West North Central","Midwest","KS",488.058536251692,499.454020882673,510.087341883088,499.220445673498
"34",16,2,0,1,"Communicable","White","Female","Kansas",1970,"West North Central","Midwest","KS",31.6444840563711,33.8980885748629,36.366223574489,33.9555477146711
"35",16,2,0,1,"Injuries","White","Female","Kansas",1970,"West North Central","Midwest","KS",44.0589290764678,46.1973390276856,48.4708431466985,46.2134896953472
"36",16,2,0,1,"Non-communicable","White","Female","Kansas",1970,"West North Central","Midwest","KS",41.1691769390065,43.4235177449005,45.6438954944627,43.4270876998866
"37",16,2,1,0,"All other causes","Black","Male","Kansas",1970,"West North Central","Midwest","KS",185.584731481258,207.630797533492,234.671406691006,208.499750437352
"38",16,2,1,0,"Cancers","Black","Male","Kansas",1970,"West North Central","Midwest","KS",291.069243387643,315.539350280991,343.144819178607,315.980298224053
"39",16,2,1,0,"Cardiovascular","Black","Male","Kansas",1970,"West North Central","Midwest","KS",789.221181178855,841.99834643573,900.556658395348,842.694262204513
"40",16,2,1,0,"Communicable","Black","Male","Kansas",1970,"West North Central","Midwest","KS",70.0756691205484,92.9386681700514,120.549149793394,93.6360141036842
"41",16,2,1,0,"Injuries","Black","Male","Kansas",1970,"West North Central","Midwest","KS",162.542023058572,186.664189272552,215.018834864556,187.147344915362
