"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",18,1,0,0,"All other causes","White","Male","Louisiana",1969,"West South Central","South","LA",138.657296892532,144.945562275281,151.487460782255,144.912012223477
"2",18,1,0,0,"Cancers","White","Male","Louisiana",1969,"West South Central","South","LA",259.494107352225,267.62543839935,275.205311521895,267.546951407275
"3",18,1,0,0,"Cardiovascular","White","Male","Louisiana",1969,"West South Central","South","LA",945.821301586264,969.509505578833,991.482814593361,969.463493717579
"4",18,1,0,0,"Communicable","White","Male","Louisiana",1969,"West South Central","South","LA",55.6081752471333,61.1832828502718,67.2917954925992,61.192889860651
"5",18,1,0,0,"Injuries","White","Male","Louisiana",1969,"West South Central","South","LA",135.560733563471,140.646721727027,145.750416942092,140.603446243886
"6",18,1,0,0,"Non-communicable","White","Male","Louisiana",1969,"West South Central","South","LA",101.81002040666,106.718940110466,111.643120258371,106.742043417614
"7",18,1,0,1,"All other causes","White","Female","Louisiana",1969,"West South Central","South","LA",98.8936850367507,103.20942926089,107.995791970919,103.309622912553
"8",18,1,0,1,"Cancers","White","Female","Louisiana",1969,"West South Central","South","LA",148.669012124992,153.365968324222,158.34063027879,153.372693660694
"9",18,1,0,1,"Cardiovascular","White","Female","Louisiana",1969,"West South Central","South","LA",581.119302823931,596.980900831972,612.136712190643,597.047303178338
"10",18,1,0,1,"Communicable","White","Female","Louisiana",1969,"West South Central","South","LA",35.1581240445075,37.9804915764555,41.4410186061136,38.0825504611688
"11",18,1,0,1,"Injuries","White","Female","Louisiana",1969,"West South Central","South","LA",46.1607341265524,48.9845327365685,51.9085877332357,48.9997188332156
"12",18,1,0,1,"Non-communicable","White","Female","Louisiana",1969,"West South Central","South","LA",53.2218538907799,56.1242058321695,59.1670244708715,56.1488015506941
"13",18,1,1,0,"All other causes","Black","Male","Louisiana",1969,"West South Central","South","LA",191.71154197462,200.091510475027,209.635341550569,200.183207398252
"14",18,1,1,0,"Cancers","Black","Male","Louisiana",1969,"West South Central","South","LA",279.150717104549,291.423472171376,305.217141394128,291.735985278353
"15",18,1,1,0,"Cardiovascular","Black","Male","Louisiana",1969,"West South Central","South","LA",968.829252088512,1000.66009955106,1032.48509705176,1000.97209372701
"16",18,1,1,0,"Communicable","Black","Male","Louisiana",1969,"West South Central","South","LA",87.500382648164,94.873628747352,103.131054617388,94.9857060663345
"17",18,1,1,0,"Injuries","Black","Male","Louisiana",1969,"West South Central","South","LA",214.848087413486,225.178350209233,237.502233488568,225.395613199472
"18",18,1,1,0,"Non-communicable","Black","Male","Louisiana",1969,"West South Central","South","LA",104.503610293961,111.332406330148,117.987850483644,111.288338447861
"19",18,1,1,1,"All other causes","Black","Female","Louisiana",1969,"West South Central","South","LA",139.287697911737,145.291263094726,152.283921032609,145.405060471658
"20",18,1,1,1,"Cancers","Black","Female","Louisiana",1969,"West South Central","South","LA",172.295821149183,179.403853322522,186.698400745084,179.245179967719
"21",18,1,1,1,"Cardiovascular","Black","Female","Louisiana",1969,"West South Central","South","LA",764.242224681504,788.145990619528,813.79067757228,788.607781106837
"22",18,1,1,1,"Communicable","Black","Female","Louisiana",1969,"West South Central","South","LA",49.9122118234751,54.3462312037744,59.4164755718134,54.4693416808752
"23",18,1,1,1,"Injuries","Black","Female","Louisiana",1969,"West South Central","South","LA",54.4471352738162,57.8536500595911,61.8727649613923,57.9316473963355
"24",18,1,1,1,"Non-communicable","Black","Female","Louisiana",1969,"West South Central","South","LA",96.9247461170732,103.054221875801,110.045110668963,103.140530176934
"25",18,2,0,0,"All other causes","White","Male","Louisiana",1970,"West South Central","South","LA",137.207198732198,142.63442346867,147.908298782907,142.589576623588
"26",18,2,0,0,"Cancers","White","Male","Louisiana",1970,"West South Central","South","LA",259.999491584197,267.664180923922,274.178654941547,267.390234124626
"27",18,2,0,0,"Cardiovascular","White","Male","Louisiana",1970,"West South Central","South","LA",927.230660675866,947.98133323963,966.929022986768,947.757949443895
"28",18,2,0,0,"Communicable","White","Male","Louisiana",1970,"West South Central","South","LA",57.8321311103134,62.3930318202105,67.3230753628165,62.4917485899721
"29",18,2,0,0,"Injuries","White","Male","Louisiana",1970,"West South Central","South","LA",133.369271384711,137.69143927151,142.062373921576,137.665215186419
"30",18,2,0,0,"Non-communicable","White","Male","Louisiana",1970,"West South Central","South","LA",102.887583849423,106.871654465299,111.025371814029,106.891442370051
"31",18,2,0,1,"All other causes","White","Female","Louisiana",1970,"West South Central","South","LA",97.9379708737828,101.454246231456,105.298683804398,101.523712666912
"32",18,2,0,1,"Cancers","White","Female","Louisiana",1970,"West South Central","South","LA",149.658493467347,153.785254804451,157.782665026872,153.70642589174
"33",18,2,0,1,"Cardiovascular","White","Female","Louisiana",1970,"West South Central","South","LA",567.55718083512,580.440397679524,593.441439866853,580.351692553058
"34",18,2,0,1,"Communicable","White","Female","Louisiana",1970,"West South Central","South","LA",33.4200558577756,35.7730244775329,38.2903701565911,35.7743981805385
"35",18,2,0,1,"Injuries","White","Female","Louisiana",1970,"West South Central","South","LA",45.1683997482498,47.5326421645431,50.0137311681945,47.5456983326915
"36",18,2,0,1,"Non-communicable","White","Female","Louisiana",1970,"West South Central","South","LA",53.835229349228,56.2772502902706,59.0463541265081,56.3288880170037
"37",18,2,1,0,"All other causes","Black","Male","Louisiana",1970,"West South Central","South","LA",190.486086164524,197.816393140477,206.745275537942,197.883257876313
"38",18,2,1,0,"Cancers","Black","Male","Louisiana",1970,"West South Central","South","LA",278.256023147894,288.86949181811,299.933139118204,289.06457695149
"39",18,2,1,0,"Cardiovascular","Black","Male","Louisiana",1970,"West South Central","South","LA",950.808918814745,975.286250366209,1001.23769997063,975.203806312144
"40",18,2,1,0,"Communicable","Black","Male","Louisiana",1970,"West South Central","South","LA",83.8652185992235,90.0724659656862,97.0366682728162,90.2305341845582
"41",18,2,1,0,"Injuries","Black","Male","Louisiana",1970,"West South Central","South","LA",218.93755005608,228.756726937689,239.237448756781,228.82220076871
"42",18,2,1,0,"Non-communicable","Black","Male","Louisiana",1970,"West South Central","South","LA",106.852728826528,112.743484677015,118.934989432245,112.781052684375
"43",18,2,1,1,"All other causes","Black","Female","Louisiana",1970,"West South Central","South","LA",137.031305502112,142.61472781347,148.603838862923,142.633378589356
"44",18,2,1,1,"Cancers","Black","Female","Louisiana",1970,"West South Central","South","LA",171.428709052574,178.130561128249,184.467947204712,178.183177636231
"45",18,2,1,1,"Cardiovascular","Black","Female","Louisiana",1970,"West South Central","South","LA",739.341606178987,758.244257691368,779.929097781512,758.942404091388
"46",18,2,1,1,"Communicable","Black","Female","Louisiana",1970,"West South Central","South","LA",47.0382623515188,50.9870313385879,55.0086780228748,51.0188350365385
"47",18,2,1,1,"Injuries","Black","Female","Louisiana",1970,"West South Central","South","LA",54.2964286806931,57.2992063279782,60.6175564776337,57.3260343661497
"48",18,2,1,1,"Non-communicable","Black","Female","Louisiana",1970,"West South Central","South","LA",95.3480464491819,100.639385550362,106.46338349375,100.677669381621
"49",18,3,0,0,"All other causes","White","Male","Louisiana",1971,"West South Central","South","LA",136.127915362195,141.420111717128,146.578815599933,141.361445898071
"50",18,3,0,0,"Cancers","White","Male","Louisiana",1971,"West South Central","South","LA",262.820889003473,269.280540953079,276.319821800565,269.313986627148
"51",18,3,0,0,"Cardiovascular","White","Male","Louisiana",1971,"West South Central","South","LA",894.287328908452,914.958233922671,934.933649860363,914.569255099429
"52",18,3,0,0,"Communicable","White","Male","Louisiana",1971,"West South Central","South","LA",59.043756764594,64.170833622672,69.2321407463502,64.1621498290229
"53",18,3,0,0,"Injuries","White","Male","Louisiana",1971,"West South Central","South","LA",129.207714565147,133.314657011496,137.193347220939,133.253659555736
"54",18,3,0,0,"Non-communicable","White","Male","Louisiana",1971,"West South Central","South","LA",104.851617920033,108.996580999171,113.003798348983,108.950921423706
"55",18,3,0,1,"All other causes","White","Female","Louisiana",1971,"West South Central","South","LA",94.2950372328052,97.8078412961743,101.680201136799,97.9366430799857
"56",18,3,0,1,"Cancers","White","Female","Louisiana",1971,"West South Central","South","LA",149.71796939464,153.828123360429,157.627170969545,153.735508758827
"57",18,3,0,1,"Cardiovascular","White","Female","Louisiana",1971,"West South Central","South","LA",556.0986045552,569.832495478668,582.906796021414,569.800902729739
"58",18,3,0,1,"Communicable","White","Female","Louisiana",1971,"West South Central","South","LA",32.2909811577507,34.2841445997725,36.7147845028534,34.2872091519784
"59",18,3,0,1,"Injuries","White","Female","Louisiana",1971,"West South Central","South","LA",45.258050911729,47.1597076715727,49.4446542420707,47.1705582797045
"60",18,3,0,1,"Non-communicable","White","Female","Louisiana",1971,"West South Central","South","LA",54.3972557003296,56.7798486680732,59.3515125704265,56.7877258242231
"61",18,3,1,0,"All other causes","Black","Male","Louisiana",1971,"West South Central","South","LA",184.224338593704,191.558536858749,199.261370045569,191.57730938396
"62",18,3,1,0,"Cancers","Black","Male","Louisiana",1971,"West South Central","South","LA",278.87905785377,289.388365082444,299.893720612916,289.42581759193
"63",18,3,1,0,"Cardiovascular","Black","Male","Louisiana",1971,"West South Central","South","LA",920.909094500282,944.52000342131,969.324944429934,944.741626166491
"64",18,3,1,0,"Communicable","Black","Male","Louisiana",1971,"West South Central","South","LA",77.1210445433011,82.9900146127558,88.6262246920053,82.9203267929483
"65",18,3,1,0,"Injuries","Black","Male","Louisiana",1971,"West South Central","South","LA",217.324290988583,225.963961061608,236.057143213308,226.242070896822
"66",18,3,1,0,"Non-communicable","Black","Male","Louisiana",1971,"West South Central","South","LA",108.68795691032,114.372593717934,120.198468765144,114.255523471305
"67",18,3,1,1,"All other causes","Black","Female","Louisiana",1971,"West South Central","South","LA",134.383612751867,139.661277656262,145.656960683491,139.781555112924
"68",18,3,1,1,"Cancers","Black","Female","Louisiana",1971,"West South Central","South","LA",170.839730537572,176.730383708915,183.029720606858,176.721870603879
"69",18,3,1,1,"Cardiovascular","Black","Female","Louisiana",1971,"West South Central","South","LA",713.443756822282,734.038175752655,754.226554924851,733.883996666863
"70",18,3,1,1,"Communicable","Black","Female","Louisiana",1971,"West South Central","South","LA",43.7824317247972,47.0494523955711,51.0109920083844,47.1743955044389
"71",18,3,1,1,"Injuries","Black","Female","Louisiana",1971,"West South Central","South","LA",53.5559647190737,56.51078336102,60.1002507975691,56.560840425923
"72",18,3,1,1,"Non-communicable","Black","Female","Louisiana",1971,"West South Central","South","LA",94.2308410061303,98.8893024746055,104.258390348353,98.9940643988802
"73",18,4,0,0,"All other causes","White","Male","Louisiana",1972,"West South Central","South","LA",136.279843552396,141.422387817904,146.795532576696,141.44688008916
"74",18,4,0,0,"Cancers","White","Male","Louisiana",1972,"West South Central","South","LA",265.579287819539,271.63162695397,278.273172619902,271.660934993171
"75",18,4,0,0,"Cardiovascular","White","Male","Louisiana",1972,"West South Central","South","LA",891.598773416265,910.517966071296,928.550796186719,910.545345604878
"76",18,4,0,0,"Communicable","White","Male","Louisiana",1972,"West South Central","South","LA",61.3749136830892,66.6894114955564,72.3274908767703,66.7058892075044
"77",18,4,0,0,"Injuries","White","Male","Louisiana",1972,"West South Central","South","LA",128.170059629059,132.01205380354,136.018518423307,132.036785440162
"78",18,4,0,0,"Non-communicable","White","Male","Louisiana",1972,"West South Central","South","LA",105.703951610381,109.574810907238,113.909061648054,109.585503150353
"79",18,4,0,1,"All other causes","White","Female","Louisiana",1972,"West South Central","South","LA",93.7230229058105,97.0291686003871,100.529937101522,97.0666572201617
"80",18,4,0,1,"Cancers","White","Female","Louisiana",1972,"West South Central","South","LA",149.65560367955,153.436428647387,157.282300635658,153.473479506612
"81",18,4,0,1,"Cardiovascular","White","Female","Louisiana",1972,"West South Central","South","LA",553.719960803454,566.257713289122,578.552825713303,566.356035371621
"82",18,4,0,1,"Communicable","White","Female","Louisiana",1972,"West South Central","South","LA",32.8256820801247,34.8641458421398,37.1612009048033,34.9600323247425
"83",18,4,0,1,"Injuries","White","Female","Louisiana",1972,"West South Central","South","LA",45.0584291696775,47.0518543815768,49.3254562879167,47.0903312736098
"84",18,4,0,1,"Non-communicable","White","Female","Louisiana",1972,"West South Central","South","LA",54.3766995577909,56.6832030792119,59.2047438391088,56.742381714332
"85",18,4,1,0,"All other causes","Black","Male","Louisiana",1972,"West South Central","South","LA",182.741780878164,188.886470461331,195.871465059637,188.993975691988
"86",18,4,1,0,"Cancers","Black","Male","Louisiana",1972,"West South Central","South","LA",282.662959782441,293.523838643722,303.390504669434,293.468314502892
"87",18,4,1,0,"Cardiovascular","Black","Male","Louisiana",1972,"West South Central","South","LA",911.552876092961,935.618350599053,961.104708042578,935.910234268219
"88",18,4,1,0,"Communicable","Black","Male","Louisiana",1972,"West South Central","South","LA",76.775465476925,82.4893856300435,89.0171198082092,82.6287937871375
"89",18,4,1,0,"Injuries","Black","Male","Louisiana",1972,"West South Central","South","LA",217.899964159404,227.222579364657,236.502640906073,227.22064770202
"90",18,4,1,0,"Non-communicable","Black","Male","Louisiana",1972,"West South Central","South","LA",108.912970740729,114.243106761126,119.921078319538,114.30222391899
"91",18,4,1,1,"All other causes","Black","Female","Louisiana",1972,"West South Central","South","LA",133.432322613056,138.532834656117,144.470968139288,138.66510763296
"92",18,4,1,1,"Cancers","Black","Female","Louisiana",1972,"West South Central","South","LA",170.494355439039,176.515051322587,182.824668379486,176.609811500292
"93",18,4,1,1,"Cardiovascular","Black","Female","Louisiana",1972,"West South Central","South","LA",700.077530819292,718.665276614299,737.350705568026,718.769102449624
"94",18,4,1,1,"Communicable","Black","Female","Louisiana",1972,"West South Central","South","LA",41.7482606080192,44.9850844145978,48.49874578975,45.0354294435953
"95",18,4,1,1,"Injuries","Black","Female","Louisiana",1972,"West South Central","South","LA",52.5659748647592,55.2525022048721,58.4794219161902,55.3045214854152
"96",18,4,1,1,"Non-communicable","Black","Female","Louisiana",1972,"West South Central","South","LA",94.0849665873345,98.791138808908,104.195870049929,98.8798250072847
"97",18,5,0,0,"All other causes","White","Male","Louisiana",1973,"West South Central","South","LA",134.136328959391,139.555475528666,144.64205302707,139.544994934448
"98",18,5,0,0,"Cancers","White","Male","Louisiana",1973,"West South Central","South","LA",266.339623414913,272.893303971017,279.498764910188,272.980227813543
"99",18,5,0,0,"Cardiovascular","White","Male","Louisiana",1973,"West South Central","South","LA",887.734924762346,906.234101874365,926.973179963329,906.593659511048
"100",18,5,0,0,"Communicable","White","Male","Louisiana",1973,"West South Central","South","LA",54.9939754651053,59.5066879547692,64.6071256087978,59.5797464573578
"101",18,5,0,0,"Injuries","White","Male","Louisiana",1973,"West South Central","South","LA",128.365382970442,132.122367577834,136.048967480397,132.131250862655
"102",18,5,0,0,"Non-communicable","White","Male","Louisiana",1973,"West South Central","South","LA",105.970391516334,109.945368278628,113.716905149087,109.90293971892
"103",18,5,0,1,"All other causes","White","Female","Louisiana",1973,"West South Central","South","LA",92.8365695879357,96.3187074254654,100.072166738149,96.4538688992967
"104",18,5,0,1,"Cancers","White","Female","Louisiana",1973,"West South Central","South","LA",149.163074538137,152.972471388141,156.727214657136,152.95655863465
"105",18,5,0,1,"Cardiovascular","White","Female","Louisiana",1973,"West South Central","South","LA",555.788117171775,567.832433568443,581.312840587281,567.973185495434
"106",18,5,0,1,"Communicable","White","Female","Louisiana",1973,"West South Central","South","LA",32.6876070155302,34.791636078374,37.3349631533169,34.8321741930042
"107",18,5,0,1,"Injuries","White","Female","Louisiana",1973,"West South Central","South","LA",44.4165332770994,46.2785114731053,48.3700937064358,46.3245009618129
"108",18,5,0,1,"Non-communicable","White","Female","Louisiana",1973,"West South Central","South","LA",53.0132522177731,55.2739297874363,57.3974454124482,55.2320044305327
"109",18,5,1,0,"All other causes","Black","Male","Louisiana",1973,"West South Central","South","LA",180.121987543649,187.416600131703,194.462869550429,187.383388318614
"110",18,5,1,0,"Cancers","Black","Male","Louisiana",1973,"West South Central","South","LA",289.589974389403,299.855149723872,310.169590113611,299.885306923734
"111",18,5,1,0,"Cardiovascular","Black","Male","Louisiana",1973,"West South Central","South","LA",895.726097272684,919.824802154834,942.653598080513,919.236452128489
"112",18,5,1,0,"Communicable","Black","Male","Louisiana",1973,"West South Central","South","LA",75.6623409555214,80.8887055610491,86.5058949240678,80.9836910591142
"113",18,5,1,0,"Injuries","Black","Male","Louisiana",1973,"West South Central","South","LA",217.798216275001,226.800249713098,236.482144474506,226.99727229686
"114",18,5,1,0,"Non-communicable","Black","Male","Louisiana",1973,"West South Central","South","LA",108.734756391227,114.183808002456,119.571947076889,114.119997749605
"115",18,5,1,1,"All other causes","Black","Female","Louisiana",1973,"West South Central","South","LA",131.743660872354,136.765564347423,142.149853938718,136.869856745802
"116",18,5,1,1,"Cancers","Black","Female","Louisiana",1973,"West South Central","South","LA",169.346991062866,175.100893401775,180.83219264489,175.178443603262
"117",18,5,1,1,"Cardiovascular","Black","Female","Louisiana",1973,"West South Central","South","LA",684.871138991368,703.916106234271,722.785607724888,704.084491907839
