"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",20,1,0,0,"All other causes","White","Male","Maryland",1969,"South Atlantic","South","MD",133.469669850143,138.93079171096,145.256864143688,139.114956588676
"2",20,1,0,0,"Cancers","White","Male","Maryland",1969,"South Atlantic","South","MD",269.245504072982,277.440756349662,285.847270145057,277.45678236649
"3",20,1,0,0,"Cardiovascular","White","Male","Maryland",1969,"South Atlantic","South","MD",907.974997926609,928.934591051579,951.269329368609,928.812754929607
"4",20,1,0,0,"Communicable","White","Male","Maryland",1969,"South Atlantic","South","MD",55.9798451621215,60.5160467431174,66.07595316309,60.6410955817633
"5",20,1,0,0,"Injuries","White","Male","Maryland",1969,"South Atlantic","South","MD",99.8042976134806,103.679599807759,108.001138730963,103.766499955773
"6",20,1,0,0,"Non-communicable","White","Male","Maryland",1969,"South Atlantic","South","MD",107.955686294252,113.03050093724,118.410372983928,113.130163783886
"7",20,1,0,1,"All other causes","White","Female","Maryland",1969,"South Atlantic","South","MD",88.2552076781222,91.8501814347279,95.7039397792179,91.8661469165708
"8",20,1,0,1,"Cancers","White","Female","Maryland",1969,"South Atlantic","South","MD",167.255895598876,171.88000447287,177.009375171684,171.912842164839
"9",20,1,0,1,"Cardiovascular","White","Female","Maryland",1969,"South Atlantic","South","MD",598.770092015356,613.459881283201,627.34102817281,613.252075075425
"10",20,1,0,1,"Communicable","White","Female","Maryland",1969,"South Atlantic","South","MD",30.4253765749296,32.6434145694961,35.3422013432805,32.7262736931533
"11",20,1,0,1,"Injuries","White","Female","Maryland",1969,"South Atlantic","South","MD",36.048538860641,38.0440596603411,40.1578918663248,38.0580060314279
"12",20,1,0,1,"Non-communicable","White","Female","Maryland",1969,"South Atlantic","South","MD",56.7096399155363,59.6165589253608,62.7828668229715,59.6823614108721
"13",20,1,1,0,"All other causes","Black","Male","Maryland",1969,"South Atlantic","South","MD",231.909205814479,246.029795541103,261.003412085226,245.737792194364
"14",20,1,1,0,"Cancers","Black","Male","Maryland",1969,"South Atlantic","South","MD",329.955893035544,349.07333399452,368.86824239831,348.832434530406
"15",20,1,1,0,"Cardiovascular","Black","Male","Maryland",1969,"South Atlantic","South","MD",874.197734001945,916.927051353141,960.451169110272,918.012196716839
"16",20,1,1,0,"Communicable","Black","Male","Maryland",1969,"South Atlantic","South","MD",101.481358154927,113.895964933361,129.897924478308,114.388753192848
"17",20,1,1,0,"Injuries","Black","Male","Maryland",1969,"South Atlantic","South","MD",176.468632186408,187.688076856832,200.006917538363,188.115080708712
"18",20,1,1,0,"Non-communicable","Black","Male","Maryland",1969,"South Atlantic","South","MD",144.451751907991,156.690146522937,169.806415301466,156.889942217152
"19",20,1,1,1,"All other causes","Black","Female","Maryland",1969,"South Atlantic","South","MD",144.74052893106,153.871709624281,163.72840424048,153.941969480181
"20",20,1,1,1,"Cancers","Black","Female","Maryland",1969,"South Atlantic","South","MD",189.864564844988,199.897240162408,211.159107078552,200.012943310513
"21",20,1,1,1,"Cardiovascular","Black","Female","Maryland",1969,"South Atlantic","South","MD",673.827619755414,704.863931981689,738.89873805951,705.270651755709
