"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",25,1,0,0,"All other causes","White","Male","Missouri",1969,"West North Central","Midwest","MO",177.964372815607,183.194910646452,188.637113972067,183.194910646452
"2",25,1,0,0,"Cancers","White","Male","Missouri",1969,"West North Central","Midwest","MO",234.694122714248,240.131303329704,245.666705120298,240.131303329704
"3",25,1,0,0,"Cardiovascular","White","Male","Missouri",1969,"West North Central","Midwest","MO",865.755284292295,880.451112084458,894.749950673669,880.451112084458
"4",25,1,0,0,"Communicable","White","Male","Missouri",1969,"West North Central","Midwest","MO",68.8287681833088,72.8461917472464,77.3746286356135,72.8461917472464
"5",25,1,0,0,"Injuries","White","Male","Missouri",1969,"West North Central","Midwest","MO",119.518705907121,123.049917797568,126.776812517042,123.049917797568
"6",25,1,0,0,"Non-communicable","White","Male","Missouri",1969,"West North Central","Midwest","MO",91.3416192759997,94.5435961465205,97.8773013126571,94.5435961465205
"7",25,1,0,1,"All other causes","White","Female","Missouri",1969,"West North Central","Midwest","MO",110.038285780426,113.603015672129,117.216853725444,113.603015672129
"8",25,1,0,1,"Cancers","White","Female","Missouri",1969,"West North Central","Midwest","MO",152.307066778771,155.967613898686,159.589699940198,155.967613898686
"9",25,1,0,1,"Cardiovascular","White","Female","Missouri",1969,"West North Central","Midwest","MO",568.83340873618,578.278551237216,588.201263243946,578.278551237216
"10",25,1,0,1,"Communicable","White","Female","Missouri",1969,"West North Central","Midwest","MO",40.1181718951049,42.367013797939,44.8702348880202,42.367013797939
"11",25,1,0,1,"Injuries","White","Female","Missouri",1969,"West North Central","Midwest","MO",46.7954345091911,48.7816464094595,50.7959077996982,48.7816464094595
"12",25,1,0,1,"Non-communicable","White","Female","Missouri",1969,"West North Central","Midwest","MO",45.0746961202206,47.0225521264305,49.259085849939,47.0225521264305
"13",25,1,1,0,"All other causes","Black","Male","Missouri",1969,"West North Central","Midwest","MO",320.843160950719,340.884036902143,360.518475644444,340.884036902143
"14",25,1,1,0,"Cancers","Black","Male","Missouri",1969,"West North Central","Midwest","MO",298.607166310456,315.952397918846,334.394630000152,315.952397918846
"15",25,1,1,0,"Cardiovascular","Black","Male","Missouri",1969,"West North Central","Midwest","MO",816.869829379846,851.130745170703,887.779927538456,851.130745170703
"16",25,1,1,0,"Communicable","Black","Male","Missouri",1969,"West North Central","Midwest","MO",92.8490378339862,105.673479261433,120.775653344164,105.673479261433
"17",25,1,1,0,"Injuries","Black","Male","Missouri",1969,"West North Central","Midwest","MO",234.535471388208,249.772075352124,267.297966717293,249.772075352124
"18",25,1,1,0,"Non-communicable","Black","Male","Missouri",1969,"West North Central","Midwest","MO",124.617387978046,135.070039318541,146.060591767648,135.070039318541
"19",25,1,1,1,"All other causes","Black","Female","Missouri",1969,"West North Central","Midwest","MO",211.530140009411,226.201620378716,241.654164326926,226.201620378716
"20",25,1,1,1,"Cancers","Black","Female","Missouri",1969,"West North Central","Midwest","MO",178.976211554253,188.582688890447,199.919592881231,188.582688890447
"21",25,1,1,1,"Cardiovascular","Black","Female","Missouri",1969,"West North Central","Midwest","MO",657.638001706985,688.327173882184,723.50104764571,688.327173882184
"22",25,1,1,1,"Communicable","Black","Female","Missouri",1969,"West North Central","Midwest","MO",46.7320113792174,53.6007411845586,61.5317137927357,53.6007411845586
"23",25,1,1,1,"Injuries","Black","Female","Missouri",1969,"West North Central","Midwest","MO",54.9329650393431,60.595047596191,67.4744304209062,60.595047596191
"24",25,1,1,1,"Non-communicable","Black","Female","Missouri",1969,"West North Central","Midwest","MO",85.3172691922953,93.5361613056532,101.938419773103,93.5361613056532
"25",25,2,0,0,"All other causes","White","Male","Missouri",1970,"West North Central","Midwest","MO",173.692230131278,178.537483594809,183.28856185434,178.537483594809
