"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",28,1,0,0,"All other causes","White","Male","Nevada",1969,"Mountain","West","NV",150.62101011508,162.992927246537,176.638996118541,162.992927246537
"2",28,1,0,0,"Cancers","White","Male","Nevada",1969,"Mountain","West","NV",241.928523867809,257.858732712496,273.54854214579,257.858732712496
"3",28,1,0,0,"Cardiovascular","White","Male","Nevada",1969,"Mountain","West","NV",813.802687946732,855.100960231528,899.411067986735,855.100960231528
"4",28,1,0,0,"Communicable","White","Male","Nevada",1969,"Mountain","West","NV",38.0798770311676,48.4719231975513,60.6356760301504,48.4719231975513
"5",28,1,0,0,"Injuries","White","Male","Nevada",1969,"Mountain","West","NV",152.672551417789,161.753196866088,172.909988917506,161.753196866088
"6",28,1,0,0,"Non-communicable","White","Male","Nevada",1969,"Mountain","West","NV",125.79980216298,137.015709099223,148.163369833267,137.015709099223
"7",28,1,0,1,"All other causes","White","Female","Nevada",1969,"Mountain","West","NV",90.3236815253523,98.350681374344,107.991403665588,98.350681374344
"8",28,1,0,1,"Cancers","White","Female","Nevada",1969,"Mountain","West","NV",158.307578125563,167.593513371862,178.485557535953,167.593513371862
"9",28,1,0,1,"Cardiovascular","White","Female","Nevada",1969,"Mountain","West","NV",521.188958156017,555.655145249054,592.403460175669,555.655145249054
"10",28,1,0,1,"Communicable","White","Female","Nevada",1969,"Mountain","West","NV",30.3047021172515,35.9008887097868,43.540799053319,35.9008887097868
"11",28,1,0,1,"Injuries","White","Female","Nevada",1969,"Mountain","West","NV",57.2612464288397,63.2414453541697,70.4322577705337,63.2414453541697
"12",28,1,0,1,"Non-communicable","White","Female","Nevada",1969,"Mountain","West","NV",61.2474721592185,68.0999069284884,75.3529543888466,68.0999069284884
"13",28,1,1,0,"All other causes","Black","Male","Nevada",1969,"Mountain","West","NV",170.277179375407,205.449320562565,258.806762557777,205.449320562565
"14",28,1,1,0,"Cancers","Black","Male","Nevada",1969,"Mountain","West","NV",259.808235954292,330.559526164615,412.378188465248,330.559526164615
"15",28,1,1,0,"Cardiovascular","Black","Male","Nevada",1969,"Mountain","West","NV",589.85674583254,727.891714771155,906.752530191697,727.891714771155
"16",28,1,1,0,"Communicable","Black","Male","Nevada",1969,"Mountain","West","NV",54.5915959210666,81.8663172677943,124.512946217265,81.8663172677943
"17",28,1,1,0,"Injuries","Black","Male","Nevada",1969,"Mountain","West","NV",180.672922886403,229.156501459532,289.254512062704,229.156501459532
"18",28,1,1,0,"Non-communicable","Black","Male","Nevada",1969,"Mountain","West","NV",111.089557421057,144.512626075427,183.374525156563,144.512626075427
"19",28,1,1,1,"All other causes","Black","Female","Nevada",1969,"Mountain","West","NV",112.542058113348,144.14259060606,186.518032588687,144.14259060606
"20",28,1,1,1,"Cancers","Black","Female","Nevada",1969,"Mountain","West","NV",164.165872901369,192.946034279599,232.285339889025,192.946034279599
"21",28,1,1,1,"Cardiovascular","Black","Female","Nevada",1969,"Mountain","West","NV",421.647936663915,578.254278515874,737.658043925994,578.254278515874
"22",28,1,1,1,"Communicable","Black","Female","Nevada",1969,"Mountain","West","NV",32.0054241419422,49.0863767019185,68.5402029658198,49.0863767019185
"23",28,1,1,1,"Injuries","Black","Female","Nevada",1969,"Mountain","West","NV",48.848255953382,60.471849316571,75.713395279429,60.471849316571
"24",28,1,1,1,"Non-communicable","Black","Female","Nevada",1969,"Mountain","West","NV",91.4475290872039,121.810198164753,168.636132496557,121.810198164753
"25",28,2,0,0,"All other causes","White","Male","Nevada",1970,"Mountain","West","NV",149.643885802925,160.756762726731,172.115582434829,160.756762726731
"26",28,2,0,0,"Cancers","White","Male","Nevada",1970,"Mountain","West","NV",243.236749100716,256.766875293903,271.352979796016,256.766875293903
"27",28,2,0,0,"Cardiovascular","White","Male","Nevada",1970,"Mountain","West","NV",810.447188414465,846.892824944069,882.76407952645,846.892824944069
"28",28,2,0,0,"Communicable","White","Male","Nevada",1970,"Mountain","West","NV",38.337229795784,47.4342453116434,58.2385414338939,47.4342453116434
"29",28,2,0,0,"Injuries","White","Male","Nevada",1970,"Mountain","West","NV",152.225253867167,160.610774490387,170.989826262884,160.610774490387
"30",28,2,0,0,"Non-communicable","White","Male","Nevada",1970,"Mountain","West","NV",126.731398242921,136.4680200473,146.473264597367,136.4680200473
"31",28,2,0,1,"All other causes","White","Female","Nevada",1970,"Mountain","West","NV",90.7098174271464,98.187189134425,106.408067981619,98.187189134425
"32",28,2,0,1,"Cancers","White","Female","Nevada",1970,"Mountain","West","NV",158.984881414967,167.192675209959,176.962305840165,167.192675209959
"33",28,2,0,1,"Cardiovascular","White","Female","Nevada",1970,"Mountain","West","NV",525.553695047948,552.523777201999,584.470211294488,552.523777201999
"34",28,2,0,1,"Communicable","White","Female","Nevada",1970,"Mountain","West","NV",29.960817754187,34.8850641896609,41.4610362181016,34.8850641896609
"35",28,2,0,1,"Injuries","White","Female","Nevada",1970,"Mountain","West","NV",56.9978606635861,62.2048985034311,69.3531778404586,62.2048985034311
"36",28,2,0,1,"Non-communicable","White","Female","Nevada",1970,"Mountain","West","NV",62.0340140909309,67.945793125706,74.8716778555323,67.945793125706
"37",28,2,1,0,"All other causes","Black","Male","Nevada",1970,"Mountain","West","NV",174.036822065069,204.961757409121,260.771573924739,204.961757409121
"38",28,2,1,0,"Cancers","Black","Male","Nevada",1970,"Mountain","West","NV",262.059655890008,329.491178877623,414.278176250366,329.491178877623
"39",28,2,1,0,"Cardiovascular","Black","Male","Nevada",1970,"Mountain","West","NV",589.63511426721,725.989399474956,893.642306547321,725.989399474956
"40",28,2,1,0,"Communicable","Black","Male","Nevada",1970,"Mountain","West","NV",54.2170896109533,80.0569750895601,119.811982641774,80.0569750895601
