"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",31,1,0,0,"All other causes","White","Male","New Mexico",1969,"Mountain","West","NM",189.051561665905,201.776785893745,214.814508095376,201.908197182108
"2",31,1,0,0,"Cancers","White","Male","New Mexico",1969,"Mountain","West","NM",194.674639335857,203.401783076488,213.936349260164,203.587353593549
"3",31,1,0,0,"Cardiovascular","White","Male","New Mexico",1969,"Mountain","West","NM",664.719860387392,695.166135520986,725.476406004753,695.327319113468
"4",31,1,0,0,"Communicable","White","Male","New Mexico",1969,"Mountain","West","NM",72.6807355231671,82.3890947984733,94.0809605026611,82.6560051278256
"5",31,1,0,0,"Injuries","White","Male","New Mexico",1969,"Mountain","West","NM",170.593829704565,178.992039516254,188.217407360186,179.018708036897
"6",31,1,0,0,"Non-communicable","White","Male","New Mexico",1969,"Mountain","West","NM",117.928882902073,125.362399418453,133.433334936423,125.312382884182
"7",31,1,0,1,"All other causes","White","Female","New Mexico",1969,"Mountain","West","NM",122.159684796749,130.091499104604,138.673622955479,130.180639006
"8",31,1,0,1,"Cancers","White","Female","New Mexico",1969,"Mountain","West","NM",142.207569103367,149.310185023401,156.398417472545,149.358277798531
"9",31,1,0,1,"Cardiovascular","White","Female","New Mexico",1969,"Mountain","West","NM",451.55368207547,475.642643591561,500.743243593251,476.149296558529
"10",31,1,0,1,"Communicable","White","Female","New Mexico",1969,"Mountain","West","NM",43.2442808406177,48.7195585223796,54.744273108516,48.8205349540219
"11",31,1,0,1,"Injuries","White","Female","New Mexico",1969,"Mountain","West","NM",59.5427299115663,64.1159495975747,69.6003112262543,64.2143097717724
"12",31,1,0,1,"Non-communicable","White","Female","New Mexico",1969,"Mountain","West","NM",56.4844776985824,60.8268954981195,66.0396542326092,60.9651393832385
"13",31,1,1,0,"All other causes","Black","Male","New Mexico",1969,"Mountain","West","NM",209.000258493644,263.423975868668,349.275091566544,267.026098065705
"14",31,1,1,0,"Cancers","Black","Male","New Mexico",1969,"Mountain","West","NM",238.684622487116,307.442242593137,410.030853275936,313.399922792413
"15",31,1,1,0,"Cardiovascular","Black","Male","New Mexico",1969,"Mountain","West","NM",457.967752850812,610.698915806908,864.406234018797,621.828170582589
"16",31,1,1,0,"Communicable","Black","Male","New Mexico",1969,"Mountain","West","NM",61.5111331301612,92.781629180335,165.223041851592,98.7812988548339
"17",31,1,1,0,"Injuries","Black","Male","New Mexico",1969,"Mountain","West","NM",149.065259104111,194.277603808065,249.320724040905,194.219413431511
"18",31,1,1,0,"Non-communicable","Black","Male","New Mexico",1969,"Mountain","West","NM",96.4415119774126,132.95189946778,183.045141746671,135.019434324828
"19",31,1,1,1,"All other causes","Black","Female","New Mexico",1969,"Mountain","West","NM",128.642151346378,175.133354796424,230.274370722748,175.635826359529
"20",31,1,1,1,"Cancers","Black","Female","New Mexico",1969,"Mountain","West","NM",136.424180321181,169.954552951334,213.373789202979,171.384050220759
"21",31,1,1,1,"Cardiovascular","Black","Female","New Mexico",1969,"Mountain","West","NM",357.840570287087,503.561272863703,711.372033844632,514.084098316283
"22",31,1,1,1,"Communicable","Black","Female","New Mexico",1969,"Mountain","West","NM",29.8877308597218,48.9267638088061,103.647028917971,54.1972701715584
"23",31,1,1,1,"Injuries","Black","Female","New Mexico",1969,"Mountain","West","NM",48.6661737059084,68.1457718240474,102.117646163297,69.8284115601647
"24",31,1,1,1,"Non-communicable","Black","Female","New Mexico",1969,"Mountain","West","NM",100.439578096766,130.238892856753,178.131315897105,133.379096816553
"25",31,2,0,0,"All other causes","White","Male","New Mexico",1970,"Mountain","West","NM",186.421739546659,196.943084170312,207.140652047716,196.859805693203
"26",31,2,0,0,"Cancers","White","Male","New Mexico",1970,"Mountain","West","NM",196.194427822554,204.40462494902,213.190677648121,204.478377692379
"27",31,2,0,0,"Cardiovascular","White","Male","New Mexico",1970,"Mountain","West","NM",671.6043517736,696.876946147276,723.68928440891,696.798005843496
"28",31,2,0,0,"Communicable","White","Male","New Mexico",1970,"Mountain","West","NM",72.0350503150003,80.4385382938083,89.9761185421856,80.5368818354803
"29",31,2,0,0,"Injuries","White","Male","New Mexico",1970,"Mountain","West","NM",168.160699360911,175.69260927497,182.975319341697,175.593471561473
"30",31,2,0,0,"Non-communicable","White","Male","New Mexico",1970,"Mountain","West","NM",118.093495023325,125.256433578559,132.467987839368,125.232566944741
"31",31,2,0,1,"All other causes","White","Female","New Mexico",1970,"Mountain","West","NM",120.960189517557,128.263893291542,135.247250449218,128.218822363679
"32",31,2,0,1,"Cancers","White","Female","New Mexico",1970,"Mountain","West","NM",143.254821381113,149.243557881753,155.493153319535,149.185873606861
"33",31,2,0,1,"Cardiovascular","White","Female","New Mexico",1970,"Mountain","West","NM",440.206686373009,460.019664267497,479.317744093632,459.731162049151
"34",31,2,0,1,"Communicable","White","Female","New Mexico",1970,"Mountain","West","NM",43.6375995569987,48.2968328342288,53.4056320451709,48.2835514601611
"35",31,2,0,1,"Injuries","White","Female","New Mexico",1970,"Mountain","West","NM",58.7195531589932,63.1889051681848,67.9201515083715,63.2381919275422
"36",31,2,0,1,"Non-communicable","White","Female","New Mexico",1970,"Mountain","West","NM",56.3725732085222,60.5499632753182,64.9910722824502,60.5677485362906
"37",31,2,1,0,"All other causes","Black","Male","New Mexico",1970,"Mountain","West","NM",213.587050358536,262.251433690442,339.021251769331,266.779571124783
"38",31,2,1,0,"Cancers","Black","Male","New Mexico",1970,"Mountain","West","NM",238.361885578876,305.019973152979,404.34940189931,311.940680113443
"39",31,2,1,0,"Cardiovascular","Black","Male","New Mexico",1970,"Mountain","West","NM",460.463256424247,604.153822535393,837.235164037758,615.393087464886
"40",31,2,1,0,"Communicable","Black","Male","New Mexico",1970,"Mountain","West","NM",60.7821839374992,88.9270169493247,147.905829484497,93.5181512097289
"41",31,2,1,0,"Injuries","Black","Male","New Mexico",1970,"Mountain","West","NM",149.435944474106,190.014584903959,239.670858029587,190.700383776855
"42",31,2,1,0,"Non-communicable","Black","Male","New Mexico",1970,"Mountain","West","NM",96.6159181866288,131.676824003339,177.608390007753,132.969655359226
"43",31,2,1,1,"All other causes","Black","Female","New Mexico",1970,"Mountain","West","NM",127.238999834694,171.664266608881,219.568672699387,171.817475362959
"44",31,2,1,1,"Cancers","Black","Female","New Mexico",1970,"Mountain","West","NM",136.448737873064,168.136361640398,210.579129516059,169.959648446306
"45",31,2,1,1,"Cardiovascular","Black","Female","New Mexico",1970,"Mountain","West","NM",358.675331556724,497.000250991303,688.386599252166,502.913384880793
"46",31,2,1,1,"Communicable","Black","Female","New Mexico",1970,"Mountain","West","NM",29.4306795524258,47.6895342159348,94.1589745306957,51.1900100658202
"47",31,2,1,1,"Injuries","Black","Female","New Mexico",1970,"Mountain","West","NM",48.6511962363562,67.1695704157946,98.9464888991673,68.4298491317767
"48",31,2,1,1,"Non-communicable","Black","Female","New Mexico",1970,"Mountain","West","NM",99.5700103198238,129.255757918802,172.737193744643,130.971668408456
"49",31,3,0,0,"All other causes","White","Male","New Mexico",1971,"Mountain","West","NM",188.182182440017,197.344153911123,207.729543908074,197.532427652853
"50",31,3,0,0,"Cancers","White","Male","New Mexico",1971,"Mountain","West","NM",198.084007074217,205.919754251872,214.799324504112,206.062915809968
"51",31,3,0,0,"Cardiovascular","White","Male","New Mexico",1971,"Mountain","West","NM",661.337028168917,683.743436929365,707.680355026436,683.904338886179
"52",31,3,0,0,"Communicable","White","Male","New Mexico",1971,"Mountain","West","NM",75.3292429074233,83.520936609477,93.0825469962797,83.739309091217
"53",31,3,0,0,"Injuries","White","Male","New Mexico",1971,"Mountain","West","NM",164.612409225335,171.418194046777,178.48086155034,171.487206794116
"54",31,3,0,0,"Non-communicable","White","Male","New Mexico",1971,"Mountain","West","NM",117.752745808363,123.868106281358,130.521547591315,123.915887505885
"55",31,3,0,1,"All other causes","White","Female","New Mexico",1971,"Mountain","West","NM",121.816011466002,128.114877713382,134.369579886683,128.079808215912
"56",31,3,0,1,"Cancers","White","Female","New Mexico",1971,"Mountain","West","NM",143.835540674266,148.962441488257,154.763662023323,149.079652065484
"57",31,3,0,1,"Cardiovascular","White","Female","New Mexico",1971,"Mountain","West","NM",425.339716788698,442.261477980838,461.588683567559,442.655907990867
"58",31,3,0,1,"Communicable","White","Female","New Mexico",1971,"Mountain","West","NM",42.7801168430601,46.9400994199309,52.0020033088446,46.9735504371008
"59",31,3,0,1,"Injuries","White","Female","New Mexico",1971,"Mountain","West","NM",57.7951830517601,61.4998925997876,65.8519947579597,61.5471809598191
"60",31,3,0,1,"Non-communicable","White","Female","New Mexico",1971,"Mountain","West","NM",56.5641755080553,60.36608524323,64.4167604712933,60.426484485167
"61",31,3,1,0,"All other causes","Black","Male","New Mexico",1971,"Mountain","West","NM",211.30155464196,255.070381010485,321.508647790923,258.86986272628
