"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",32,1,0,0,"All other causes","White","Male","New York",1969,"Mid-Atlantic","Northeast","NY",136.961712476163,139.798505548087,142.840427512163,139.842963444721
"2",32,1,0,0,"Cancers","White","Male","New York",1969,"Mid-Atlantic","Northeast","NY",263.576178314364,266.996491780335,271.062673724887,267.100460990212
"3",32,1,0,0,"Cardiovascular","White","Male","New York",1969,"Mid-Atlantic","Northeast","NY",909.000450078273,917.627149597567,926.177881814563,917.641041183198
"4",32,1,0,0,"Communicable","White","Male","New York",1969,"Mid-Atlantic","Northeast","NY",77.1980499653815,79.7905220332289,82.4588716006384,79.8102160443213
"5",32,1,0,0,"Injuries","White","Male","New York",1969,"Mid-Atlantic","Northeast","NY",78.2254273979347,80.0575704964136,81.8120398480062,80.0732671397707
"6",32,1,0,0,"Non-communicable","White","Male","New York",1969,"Mid-Atlantic","Northeast","NY",108.526441152254,111.123495856224,113.618688579647,111.100842100746
"7",32,1,0,1,"All other causes","White","Female","New York",1969,"Mid-Atlantic","Northeast","NY",93.2566618718069,95.1316238580151,97.0257083369966,95.1242780721873
"8",32,1,0,1,"Cancers","White","Female","New York",1969,"Mid-Atlantic","Northeast","NY",178.54392435021,180.871934422342,183.243516487447,180.831702446853
"9",32,1,0,1,"Cardiovascular","White","Female","New York",1969,"Mid-Atlantic","Northeast","NY",625.84920468123,632.088342981962,638.398164111959,632.098331311925
"10",32,1,0,1,"Communicable","White","Female","New York",1969,"Mid-Atlantic","Northeast","NY",51.2745493018831,52.8993416826505,54.68618979846,52.9269494044371
"11",32,1,0,1,"Injuries","White","Female","New York",1969,"Mid-Atlantic","Northeast","NY",33.630138860344,34.7762350085732,35.9183953512065,34.7981183834056
"12",32,1,0,1,"Non-communicable","White","Female","New York",1969,"Mid-Atlantic","Northeast","NY",52.2209658297335,53.5546308720805,54.9594950766081,53.5670782255398
"13",32,1,1,0,"All other causes","Black","Male","New York",1969,"Mid-Atlantic","Northeast","NY",296.403418560459,307.595670058618,319.867454499378,307.66392528959
"14",32,1,1,0,"Cancers","Black","Male","New York",1969,"Mid-Atlantic","Northeast","NY",324.546552093832,336.824311263606,351.881034072088,337.072533849355
"15",32,1,1,0,"Cardiovascular","Black","Male","New York",1969,"Mid-Atlantic","Northeast","NY",802.90657246014,830.05874793357,857.903771950645,830.628968545774
"16",32,1,1,0,"Communicable","Black","Male","New York",1969,"Mid-Atlantic","Northeast","NY",134.305993099467,145.972562957464,158.526865331549,145.971855582579
"17",32,1,1,0,"Injuries","Black","Male","New York",1969,"Mid-Atlantic","Northeast","NY",135.729423569832,142.584763292032,150.445001974313,142.736531141782
"18",32,1,1,0,"Non-communicable","Black","Male","New York",1969,"Mid-Atlantic","Northeast","NY",192.325054662876,203.02668017614,213.516579917787,203.01066317028
"19",32,1,1,1,"All other causes","Black","Female","New York",1969,"Mid-Atlantic","Northeast","NY",168.556978262633,175.579474520796,182.742318691778,175.592627820349
"20",32,1,1,1,"Cancers","Black","Female","New York",1969,"Mid-Atlantic","Northeast","NY",181.855718344261,187.935052723022,194.764764805655,188.038492506805
"21",32,1,1,1,"Cardiovascular","Black","Female","New York",1969,"Mid-Atlantic","Northeast","NY",617.000571191621,637.083534627819,657.597743223688,637.149027946929
"22",32,1,1,1,"Communicable","Black","Female","New York",1969,"Mid-Atlantic","Northeast","NY",76.1743957553701,83.247631347053,90.8439782504378,83.4068402284944
"23",32,1,1,1,"Injuries","Black","Female","New York",1969,"Mid-Atlantic","Northeast","NY",38.0487006265466,40.9632575474955,44.0752740217008,40.9925467642625
"24",32,1,1,1,"Non-communicable","Black","Female","New York",1969,"Mid-Atlantic","Northeast","NY",107.431072450443,113.216013113763,118.925843920684,113.177007319985
"25",32,2,0,0,"All other causes","White","Male","New York",1970,"Mid-Atlantic","Northeast","NY",137.787677288729,140.566927066199,143.316419227472,140.553198231208
"26",32,2,0,0,"Cancers","White","Male","New York",1970,"Mid-Atlantic","Northeast","NY",265.43053263599,268.51260197641,272.246779653377,268.593370327957
"27",32,2,0,0,"Cardiovascular","White","Male","New York",1970,"Mid-Atlantic","Northeast","NY",889.12463318944,897.672651221402,905.584235857591,897.586869540613
"28",32,2,0,0,"Communicable","White","Male","New York",1970,"Mid-Atlantic","Northeast","NY",74.2240132556702,76.6235535598783,79.1382912207094,76.5778042394898
"29",32,2,0,0,"Injuries","White","Male","New York",1970,"Mid-Atlantic","Northeast","NY",78.3456803245067,80.1298428589302,81.9979848220542,80.1464414161264
"30",32,2,0,0,"Non-communicable","White","Male","New York",1970,"Mid-Atlantic","Northeast","NY",109.121370364427,111.289268253907,113.530740965132,111.307037908438
"31",32,2,0,1,"All other causes","White","Female","New York",1970,"Mid-Atlantic","Northeast","NY",92.7610340645292,94.5882842268896,96.2943329503613,94.554665550498
"32",32,2,0,1,"Cancers","White","Female","New York",1970,"Mid-Atlantic","Northeast","NY",179.751077116653,181.958187523035,184.115920065583,181.947422154424
"33",32,2,0,1,"Cardiovascular","White","Female","New York",1970,"Mid-Atlantic","Northeast","NY",602.163548351898,607.350608428429,613.037790374521,607.455927134958
"34",32,2,0,1,"Communicable","White","Female","New York",1970,"Mid-Atlantic","Northeast","NY",45.9680449581802,47.5107461085096,48.9939640031922,47.490421900938
"35",32,2,0,1,"Injuries","White","Female","New York",1970,"Mid-Atlantic","Northeast","NY",33.190644528685,34.1102609323193,35.0184734285744,34.116860340817
"36",32,2,0,1,"Non-communicable","White","Female","New York",1970,"Mid-Atlantic","Northeast","NY",51.9413261555266,53.1640572236549,54.4245044082674,53.1758529195393
"37",32,2,1,0,"All other causes","Black","Male","New York",1970,"Mid-Atlantic","Northeast","NY",286.942316471385,297.049199814088,308.587860946904,297.262826647048
"38",32,2,1,0,"Cancers","Black","Male","New York",1970,"Mid-Atlantic","Northeast","NY",326.701270934331,337.510625722942,349.762005360777,337.536764944188
"39",32,2,1,0,"Cardiovascular","Black","Male","New York",1970,"Mid-Atlantic","Northeast","NY",793.619359829074,816.226267487836,841.708995300503,816.71958496264
"40",32,2,1,0,"Communicable","Black","Male","New York",1970,"Mid-Atlantic","Northeast","NY",131.083855751474,140.848074247553,150.847896926871,141.156026789386
"41",32,2,1,0,"Injuries","Black","Male","New York",1970,"Mid-Atlantic","Northeast","NY",145.254461863791,151.742802381901,158.267571898011,151.778449377015
"42",32,2,1,0,"Non-communicable","Black","Male","New York",1970,"Mid-Atlantic","Northeast","NY",191.592415318308,199.789684072929,209.331462628845,199.867098534897
"43",32,2,1,1,"All other causes","Black","Female","New York",1970,"Mid-Atlantic","Northeast","NY",170.660313348458,177.29575139776,183.768113635028,177.297230079839
"44",32,2,1,1,"Cancers","Black","Female","New York",1970,"Mid-Atlantic","Northeast","NY",184.106031608675,189.574703651845,195.473741040478,189.637905877985
"45",32,2,1,1,"Cardiovascular","Black","Female","New York",1970,"Mid-Atlantic","Northeast","NY",610.534373281506,627.519290828841,644.755301182185,627.373173718233
"46",32,2,1,1,"Communicable","Black","Female","New York",1970,"Mid-Atlantic","Northeast","NY",72.6377488539088,78.5505682990764,84.9929149508876,78.5681753568262
"47",32,2,1,1,"Injuries","Black","Female","New York",1970,"Mid-Atlantic","Northeast","NY",38.9603501281875,41.3410560303427,43.914892444733,41.3256199321043
"48",32,2,1,1,"Non-communicable","Black","Female","New York",1970,"Mid-Atlantic","Northeast","NY",105.632074756245,110.583234614382,115.449412018459,110.629386844807
"49",32,3,0,0,"All other causes","White","Male","New York",1971,"Mid-Atlantic","Northeast","NY",134.123356577363,136.895693335456,139.558498637246,136.855013523841
"50",32,3,0,0,"Cancers","White","Male","New York",1971,"Mid-Atlantic","Northeast","NY",268.549817700575,271.793184126872,275.233128504359,271.853744450685
"51",32,3,0,0,"Cardiovascular","White","Male","New York",1971,"Mid-Atlantic","Northeast","NY",885.574065141732,894.070529946154,902.19437789167,893.977027573211
"52",32,3,0,0,"Communicable","White","Male","New York",1971,"Mid-Atlantic","Northeast","NY",69.9081813732867,72.2111895341602,74.8222656620099,72.2739810177854
"53",32,3,0,0,"Injuries","White","Male","New York",1971,"Mid-Atlantic","Northeast","NY",78.9120264843134,80.5836355820755,82.2888705260322,80.5665995761956
"54",32,3,0,0,"Non-communicable","White","Male","New York",1971,"Mid-Atlantic","Northeast","NY",108.47253641942,110.533036529999,112.888723504818,110.569535577796
