"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",36,1,0,0,"All other causes","White","Male","Oklahoma",1969,"West South Central","South","OK",152.196483816869,158.580635778953,164.941712512019,158.505895811911
"2",36,1,0,0,"Cancers","White","Male","Oklahoma",1969,"West South Central","South","OK",227.341786108005,233.478647804693,240.387918268724,233.571483995341
"3",36,1,0,0,"Cardiovascular","White","Male","Oklahoma",1969,"West South Central","South","OK",860.155362068573,878.473013966672,896.409473112041,878.275355554015
"4",36,1,0,0,"Communicable","White","Male","Oklahoma",1969,"West South Central","South","OK",55.2246978787361,59.7233736887297,64.9229983740871,59.7514435567871
"5",36,1,0,0,"Injuries","White","Male","Oklahoma",1969,"West South Central","South","OK",121.111543701404,125.648481230794,130.220239354852,125.677094123485
"6",36,1,0,0,"Non-communicable","White","Male","Oklahoma",1969,"West South Central","South","OK",96.505973528006,100.375900844517,104.986828246437,100.477395495549
"7",36,1,0,1,"All other causes","White","Female","Oklahoma",1969,"West South Central","South","OK",102.708093121445,107.153825599005,111.606848382856,107.123105429372
"8",36,1,0,1,"Cancers","White","Female","Oklahoma",1969,"West South Central","South","OK",146.17528355335,150.269247591241,154.713712111378,150.280985193407
"9",36,1,0,1,"Cardiovascular","White","Female","Oklahoma",1969,"West South Central","South","OK",519.099337969233,530.801364404273,543.521218406616,531.042159772459
"10",36,1,0,1,"Communicable","White","Female","Oklahoma",1969,"West South Central","South","OK",34.518834585096,37.2063329088819,39.9382695228976,37.2058204631193
"11",36,1,0,1,"Injuries","White","Female","Oklahoma",1969,"West South Central","South","OK",46.413196070267,48.9123612445554,51.6647681963883,48.9442756657177
"12",36,1,0,1,"Non-communicable","White","Female","Oklahoma",1969,"West South Central","South","OK",43.6323888759901,46.3468806176227,49.2041981664412,46.3438602975564
"13",36,1,1,0,"All other causes","Black","Male","Oklahoma",1969,"West South Central","South","OK",208.570380670218,230.515653016888,255.41867662219,230.869605093732
"14",36,1,1,0,"Cancers","Black","Male","Oklahoma",1969,"West South Central","South","OK",259.99711583039,280.780223565735,302.782411156287,281.088866112451
"15",36,1,1,0,"Cardiovascular","Black","Male","Oklahoma",1969,"West South Central","South","OK",797.227238020055,844.693742256978,897.197367318862,845.785477333235
"16",36,1,1,0,"Communicable","Black","Male","Oklahoma",1969,"West South Central","South","OK",60.5231388067759,76.2146308907032,93.4730248441597,76.3010587515742
"17",36,1,1,0,"Injuries","Black","Male","Oklahoma",1969,"West South Central","South","OK",195.797054799634,217.849375688374,245.486762493488,218.45713676378
"18",36,1,1,0,"Non-communicable","Black","Male","Oklahoma",1969,"West South Central","South","OK",103.741172931184,120.022866592565,140.079342306789,120.513951788007
"19",36,1,1,1,"All other causes","Black","Female","Oklahoma",1969,"West South Central","South","OK",126.691550829744,141.86828299239,155.769192656522,141.65945492307
"20",36,1,1,1,"Cancers","Black","Female","Oklahoma",1969,"West South Central","South","OK",156.865318323555,170.7565791651,186.22092664569,170.975860160023
"21",36,1,1,1,"Cardiovascular","Black","Female","Oklahoma",1969,"West South Central","South","OK",561.318380365212,595.956427501113,633.552042906061,595.811066587357
"22",36,1,1,1,"Communicable","Black","Female","Oklahoma",1969,"West South Central","South","OK",35.0779005099541,43.3371165967459,51.8238267506181,43.4190609668635
"23",36,1,1,1,"Injuries","Black","Female","Oklahoma",1969,"West South Central","South","OK",41.5518597605973,50.7985540461007,59.5911139180622,50.5646894703925
"24",36,1,1,1,"Non-communicable","Black","Female","Oklahoma",1969,"West South Central","South","OK",70.2701998349378,82.2909093324229,96.832575184522,82.7598962733651
"25",36,2,0,0,"All other causes","White","Male","Oklahoma",1970,"West South Central","South","OK",151.201698762989,156.247648761945,161.507232664728,156.387956133376
"26",36,2,0,0,"Cancers","White","Male","Oklahoma",1970,"West South Central","South","OK",230.415248417779,235.879117208775,241.856450223774,235.886491531845
"27",36,2,0,0,"Cardiovascular","White","Male","Oklahoma",1970,"West South Central","South","OK",859.944159538535,875.756857069022,893.625388774283,875.785394773681
"28",36,2,0,0,"Communicable","White","Male","Oklahoma",1970,"West South Central","South","OK",55.0135966879989,59.2605807582518,63.6014166940323,59.3923830158276
"29",36,2,0,0,"Injuries","White","Male","Oklahoma",1970,"West South Central","South","OK",121.933330520858,125.768669018152,129.975552519372,125.862271767598
"30",36,2,0,0,"Non-communicable","White","Male","Oklahoma",1970,"West South Central","South","OK",95.7593028285679,99.3903674786721,103.059928321568,99.3482114524816
"31",36,2,0,1,"All other causes","White","Female","Oklahoma",1970,"West South Central","South","OK",100.871332954025,104.482063865028,108.339394384805,104.551734138282
"32",36,2,0,1,"Cancers","White","Female","Oklahoma",1970,"West South Central","South","OK",146.360547682437,149.769953597216,153.340176977741,149.799777922744
"33",36,2,0,1,"Cardiovascular","White","Female","Oklahoma",1970,"West South Central","South","OK",508.378796035888,519.150534525357,529.149193392662,519.164895550669
"34",36,2,0,1,"Communicable","White","Female","Oklahoma",1970,"West South Central","South","OK",34.2845736910001,36.3876001832891,38.6534751843518,36.3983441167
"35",36,2,0,1,"Injuries","White","Female","Oklahoma",1970,"West South Central","South","OK",46.1659884755137,48.3372661151689,50.4401692390877,48.3161992103144
"36",36,2,0,1,"Non-communicable","White","Female","Oklahoma",1970,"West South Central","South","OK",43.5552799091104,45.934150387328,48.0563089838237,45.8866904004665
"37",36,2,1,0,"All other causes","Black","Male","Oklahoma",1970,"West South Central","South","OK",208.914350939737,228.498117519579,251.534626996178,229.050618750239
"38",36,2,1,0,"Cancers","Black","Male","Oklahoma",1970,"West South Central","South","OK",262.977013192669,281.476787985513,301.673747654746,281.742179177245
"39",36,2,1,0,"Cardiovascular","Black","Male","Oklahoma",1970,"West South Central","South","OK",794.203113694098,834.094892721298,875.680698991762,834.831043544969
"40",36,2,1,0,"Communicable","Black","Male","Oklahoma",1970,"West South Central","South","OK",60.1151428818622,74.2123099936613,90.8807039846937,74.5285296245041
"41",36,2,1,0,"Injuries","Black","Male","Oklahoma",1970,"West South Central","South","OK",191.116655441595,210.944904264641,232.531852016179,211.274651509874
"42",36,2,1,0,"Non-communicable","Black","Male","Oklahoma",1970,"West South Central","South","OK",104.406889553818,119.515514752219,137.110716477298,119.74622391171
"43",36,2,1,1,"All other causes","Black","Female","Oklahoma",1970,"West South Central","South","OK",126.802565615009,141.183887634638,154.892575458689,140.978727912269
"44",36,2,1,1,"Cancers","Black","Female","Oklahoma",1970,"West South Central","South","OK",158.850508848662,171.344628802432,185.0850331428,171.777536239273
"45",36,2,1,1,"Cardiovascular","Black","Female","Oklahoma",1970,"West South Central","South","OK",565.016561246874,594.129207381275,626.871459055185,594.326620487521
"46",36,2,1,1,"Communicable","Black","Female","Oklahoma",1970,"West South Central","South","OK",35.2013937631385,42.9371441146287,50.7775734041847,43.05194010133
"47",36,2,1,1,"Injuries","Black","Female","Oklahoma",1970,"West South Central","South","OK",41.7339625714751,50.3829479114812,58.695559138493,50.1839527123471
"48",36,2,1,1,"Non-communicable","Black","Female","Oklahoma",1970,"West South Central","South","OK",70.3491238814065,81.4923112931788,95.1289170719426,81.7293189174932
"49",36,3,0,0,"All other causes","White","Male","Oklahoma",1971,"West South Central","South","OK",144.715331196623,149.369032642853,154.127209416436,149.383763868863
"50",36,3,0,0,"Cancers","White","Male","Oklahoma",1971,"West South Central","South","OK",231.469264321623,236.732605960041,242.348231540871,236.828216426256
"51",36,3,0,0,"Cardiovascular","White","Male","Oklahoma",1971,"West South Central","South","OK",829.427692498001,845.275795455555,861.923974234088,845.440408555643
"52",36,3,0,0,"Communicable","White","Male","Oklahoma",1971,"West South Central","South","OK",55.0754950440868,59.1470319636044,63.6089090597761,59.2235531251157
"53",36,3,0,0,"Injuries","White","Male","Oklahoma",1971,"West South Central","South","OK",121.333739391526,125.145576450918,128.878490035346,125.162444053101
"54",36,3,0,0,"Non-communicable","White","Male","Oklahoma",1971,"West South Central","South","OK",95.06168849377,98.5622403829044,101.902437917882,98.5317758291406
"55",36,3,0,1,"All other causes","White","Female","Oklahoma",1971,"West South Central","South","OK",96.6367936796748,100.071059187796,103.326665073977,100.083403737493
"56",36,3,0,1,"Cancers","White","Female","Oklahoma",1971,"West South Central","South","OK",145.669407004247,148.972017795976,152.307138949665,148.933919227745
"57",36,3,0,1,"Cardiovascular","White","Female","Oklahoma",1971,"West South Central","South","OK",497.478339015847,507.645505269732,517.58859040483,507.505863235649
"58",36,3,0,1,"Communicable","White","Female","Oklahoma",1971,"West South Central","South","OK",32.7541705567882,34.8680856830527,37.1464197152276,34.8896961448216
"59",36,3,0,1,"Injuries","White","Female","Oklahoma",1971,"West South Central","South","OK",45.7224296297828,47.709301557844,49.64551553227,47.7077118848494
"60",36,3,0,1,"Non-communicable","White","Female","Oklahoma",1971,"West South Central","South","OK",42.7786120797246,44.8794673176806,46.861707792081,44.8731491202842
"61",36,3,1,0,"All other causes","Black","Male","Oklahoma",1971,"West South Central","South","OK",202.177936554887,220.151201904487,241.161547209885,220.436332231705
"62",36,3,1,0,"Cancers","Black","Male","Oklahoma",1971,"West South Central","South","OK",265.595772956908,283.106486127705,300.341728910208,282.970563773398
"63",36,3,1,0,"Cardiovascular","Black","Male","Oklahoma",1971,"West South Central","South","OK",787.186378561945,827.61307128675,864.328237385843,826.588498603619
"64",36,3,1,0,"Communicable","Black","Male","Oklahoma",1971,"West South Central","South","OK",58.8170009828011,72.8323422358565,87.5182000581129,73.0546206267149
"65",36,3,1,0,"Injuries","Black","Male","Oklahoma",1971,"West South Central","South","OK",189.680845864756,207.17903521028,227.36113289889,207.440531856062
"66",36,3,1,0,"Non-communicable","Black","Male","Oklahoma",1971,"West South Central","South","OK",104.174564675198,119.0588832515,133.093196394738,118.996084569787
