"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",38,1,0,0,"All other causes","White","Male","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",169.178037098726,172.634225386402,176.280689831297,172.678540284059
"2",38,1,0,0,"Cancers","White","Male","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",249.758956355833,254.118374191993,258.333487819532,254.116789461979
"3",38,1,0,0,"Cardiovascular","White","Male","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",962.599321738874,973.378418926735,984.270150207417,973.295796536941
"4",38,1,0,0,"Communicable","White","Male","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",62.6838830594522,65.1259019682019,67.8951367704911,65.2148976000443
"5",38,1,0,0,"Injuries","White","Male","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",90.8606234033202,93.0582563252337,95.4880249990259,93.1027430359256
"6",38,1,0,0,"Non-communicable","White","Male","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",97.5166047499217,99.9420042410426,102.376275011616,99.960866719117
"7",38,1,0,1,"All other causes","White","Female","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",95.5521364299297,97.705089631609,99.9731968155427,97.6965640119002
"8",38,1,0,1,"Cancers","White","Female","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",168.41760121571,171.16020699373,173.891490445061,171.175729794497
"9",38,1,0,1,"Cardiovascular","White","Female","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",648.331917193001,655.485435947847,663.298509731454,655.522644032967
"10",38,1,0,1,"Communicable","White","Female","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",35.9339637568317,37.5198765402264,39.0784790854251,37.5454105705189
"11",38,1,0,1,"Injuries","White","Female","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",37.0950462664543,38.3228664656622,39.6057979024335,38.3363304938208
"12",38,1,0,1,"Non-communicable","White","Female","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",53.7393381813429,55.3315613140896,56.8228113126556,55.2983614074334
"13",38,1,1,0,"All other causes","Black","Male","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",423.064218188642,441.034908046471,461.085034932696,441.246570866647
"14",38,1,1,0,"Cancers","Black","Male","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",331.296426840759,346.244662703188,361.22478090831,346.385855478662
"15",38,1,1,0,"Cardiovascular","Black","Male","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",792.760010070814,822.446102683913,853.120146451796,822.247415886359
"16",38,1,1,0,"Communicable","Black","Male","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",107.047614962938,117.734446685541,129.535867756763,117.740765593626
"17",38,1,1,0,"Injuries","Black","Male","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",182.998034879345,193.249961722897,203.70589721466,193.172979714252
"18",38,1,1,0,"Non-communicable","Black","Male","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",130.527786285589,139.36080639531,147.614012628767,139.170534304253
"19",38,1,1,1,"All other causes","Black","Female","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",254.66580949785,266.479812590064,279.599165071934,266.627102958565
"20",38,1,1,1,"Cancers","Black","Female","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",190.618592758697,199.256048476874,207.650367475171,199.153918595733
"21",38,1,1,1,"Cardiovascular","Black","Female","Pennsylvania",1969,"Mid-Atlantic","Northeast","PA",627.758425640368,652.826988022522,680.352514388225,652.816069276606
