"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",48,1,0,0,"All other causes","White","Male","West Virginia",1969,"South Atlantic","South","WV",177.772754267885,185.556109815048,193.553474010836,185.612642419411
"2",48,1,0,0,"Cancers","White","Male","West Virginia",1969,"South Atlantic","South","WV",231.550872109822,239.52594741971,247.210088864493,239.431631605378
"3",48,1,0,0,"Cardiovascular","White","Male","West Virginia",1969,"South Atlantic","South","WV",915.224765810268,937.130288948466,960.875141701388,937.331462221084
"4",48,1,0,0,"Communicable","White","Male","West Virginia",1969,"South Atlantic","South","WV",75.7406019215772,81.4742472299317,87.601373272349,81.5378685402763
"5",48,1,0,0,"Injuries","White","Male","West Virginia",1969,"South Atlantic","South","WV",134.021075322191,140.048206828792,146.017246531797,140.062599223225
"6",48,1,0,0,"Non-communicable","White","Male","West Virginia",1969,"South Atlantic","South","WV",97.5219074826401,102.414947033094,107.121954633197,102.340464556998
"7",48,1,0,1,"All other causes","White","Female","West Virginia",1969,"South Atlantic","South","WV",111.824308797411,117.846626386667,123.795500384074,117.917106142319
"8",48,1,0,1,"Cancers","White","Female","West Virginia",1969,"South Atlantic","South","WV",151.859624987033,157.476679319041,162.656684319966,157.452502590328
"9",48,1,0,1,"Cardiovascular","White","Female","West Virginia",1969,"South Atlantic","South","WV",628.03710377182,645.01157864193,661.554108697778,644.8867840032
"10",48,1,0,1,"Communicable","White","Female","West Virginia",1969,"South Atlantic","South","WV",45.1168407972355,48.8774834007135,53.0243237342317,48.8971011169831
"11",48,1,0,1,"Injuries","White","Female","West Virginia",1969,"South Atlantic","South","WV",42.9880175129698,45.945334512763,48.9329386967784,45.958775866969
"12",48,1,0,1,"Non-communicable","White","Female","West Virginia",1969,"South Atlantic","South","WV",48.2610939454139,51.2436954566736,54.4599581250458,51.2520915118476
"13",48,1,1,0,"All other causes","Black","Male","West Virginia",1969,"South Atlantic","South","WV",321.698227797396,364.649682590012,421.380164774559,366.160070136906
"14",48,1,1,0,"Cancers","Black","Male","West Virginia",1969,"South Atlantic","South","WV",288.113801646547,316.53650461761,351.24629129268,317.364348915464
"15",48,1,1,0,"Cardiovascular","Black","Male","West Virginia",1969,"South Atlantic","South","WV",1026.70016196901,1102.69558411047,1187.6263888158,1104.80502082721
"16",48,1,1,0,"Communicable","Black","Male","West Virginia",1969,"South Atlantic","South","WV",82.4700385395914,110.927181997989,147.299623174465,111.573690787642
"17",48,1,1,0,"Injuries","Black","Male","West Virginia",1969,"South Atlantic","South","WV",160.109388783505,190.82311742622,243.936810496495,193.436837902706
"18",48,1,1,0,"Non-communicable","Black","Male","West Virginia",1969,"South Atlantic","South","WV",127.264892140867,155.689206020749,182.774169963721,155.553819286117
"19",48,1,1,1,"All other causes","Black","Female","West Virginia",1969,"South Atlantic","South","WV",152.687309855957,177.735771707784,208.529856871359,178.386283816014
"20",48,1,1,1,"Cancers","Black","Female","West Virginia",1969,"South Atlantic","South","WV",160.705791925816,179.977285180481,200.89115750082,180.272458525599
"21",48,1,1,1,"Cardiovascular","Black","Female","West Virginia",1969,"South Atlantic","South","WV",697.489824377154,762.572552797936,835.990276829651,763.432478705069
"22",48,1,1,1,"Communicable","Black","Female","West Virginia",1969,"South Atlantic","South","WV",41.5741998634333,53.9177426582122,76.4643994447204,55.3870163825042
"23",48,1,1,1,"Injuries","Black","Female","West Virginia",1969,"South Atlantic","South","WV",41.121916171157,50.3624776775921,64.0562161858692,51.0029298504072
"24",48,1,1,1,"Non-communicable","Black","Female","West Virginia",1969,"South Atlantic","South","WV",97.5469855898795,118.196534504928,145.836773473428,119.530662888616
"25",48,2,0,0,"All other causes","White","Male","West Virginia",1970,"South Atlantic","South","WV",176.836035439139,183.190233227609,190.144686621831,183.228613070054
"26",48,2,0,0,"Cancers","White","Male","West Virginia",1970,"South Atlantic","South","WV",233.89239052051,240.300419019611,246.962258670297,240.247733712847
"27",48,2,0,0,"Cardiovascular","White","Male","West Virginia",1970,"South Atlantic","South","WV",921.41190986915,940.26942202807,961.555474090885,940.457897461784
"28",48,2,0,0,"Communicable","White","Male","West Virginia",1970,"South Atlantic","South","WV",73.4947765230289,78.1445761087927,83.5659034346504,78.2278278441775
"29",48,2,0,0,"Injuries","White","Male","West Virginia",1970,"South Atlantic","South","WV",134.010054621466,139.148946659604,144.617051051084,139.162427520877
"30",48,2,0,0,"Non-communicable","White","Male","West Virginia",1970,"South Atlantic","South","WV",97.9399837857256,102.262804693929,106.357194960131,102.259290132087
"31",48,2,0,1,"All other causes","White","Female","West Virginia",1970,"South Atlantic","South","WV",111.316142856369,116.034650883051,120.977119349166,116.040559484678
"32",48,2,0,1,"Cancers","White","Female","West Virginia",1970,"South Atlantic","South","WV",152.721020079921,157.530329120121,162.182578508453,157.510887636472
"33",48,2,0,1,"Cardiovascular","White","Female","West Virginia",1970,"South Atlantic","South","WV",606.537384730554,622.127261581056,637.040749429658,621.869684013888
"34",48,2,0,1,"Communicable","White","Female","West Virginia",1970,"South Atlantic","South","WV",43.1659676936426,46.2457440307207,49.667924762615,46.3098556275487
"35",48,2,0,1,"Injuries","White","Female","West Virginia",1970,"South Atlantic","South","WV",42.6847716013927,45.3287680526236,47.8802544311321,45.3101287469982
"36",48,2,0,1,"Non-communicable","White","Female","West Virginia",1970,"South Atlantic","South","WV",48.7613875294574,51.4880233187318,54.4035507480455,51.4681793248409
"37",48,2,1,0,"All other causes","Black","Male","West Virginia",1970,"South Atlantic","South","WV",319.206606746475,359.484626035697,407.900698457725,360.211950298246
"38",48,2,1,0,"Cancers","Black","Male","West Virginia",1970,"South Atlantic","South","WV",292.053582329667,316.524403292558,349.649911759719,318.096121578361
"39",48,2,1,0,"Cardiovascular","Black","Male","West Virginia",1970,"South Atlantic","South","WV",1018.01823450204,1088.47458040844,1162.54579255142,1088.80419616055
"40",48,2,1,0,"Communicable","Black","Male","West Virginia",1970,"South Atlantic","South","WV",81.4847918217423,107.113942863984,141.269722097818,108.352250556246
"41",48,2,1,0,"Injuries","Black","Male","West Virginia",1970,"South Atlantic","South","WV",161.785832248244,189.889791976509,239.98200988547,192.223270123126
"42",48,2,1,0,"Non-communicable","Black","Male","West Virginia",1970,"South Atlantic","South","WV",128.86650474879,155.863542813527,182.175146656823,155.407549556872
"43",48,2,1,1,"All other causes","Black","Female","West Virginia",1970,"South Atlantic","South","WV",153.692045543552,175.457938850834,204.650819084741,176.333660861295
"44",48,2,1,1,"Cancers","Black","Female","West Virginia",1970,"South Atlantic","South","WV",160.681623430453,179.584169622481,198.80976942592,179.889942052612
"45",48,2,1,1,"Cardiovascular","Black","Female","West Virginia",1970,"South Atlantic","South","WV",697.542307269445,753.201591437979,818.09264290979,754.897792899437
"46",48,2,1,1,"Communicable","Black","Female","West Virginia",1970,"South Atlantic","South","WV",41.1750399745455,53.3744091709989,74.7118287052768,54.52601793365
"47",48,2,1,1,"Injuries","Black","Female","West Virginia",1970,"South Atlantic","South","WV",41.1988618580289,49.7516265965824,61.5685385835813,50.3584915001348
"48",48,2,1,1,"Non-communicable","Black","Female","West Virginia",1970,"South Atlantic","South","WV",96.8460001926334,116.120202389634,140.624534750292,117.133939849592
"49",48,3,0,0,"All other causes","White","Male","West Virginia",1971,"South Atlantic","South","WV",174.495480496454,181.04561844954,187.581737631721,181.092298780022
"50",48,3,0,0,"Cancers","White","Male","West Virginia",1971,"South Atlantic","South","WV",235.2943731323,241.590087481999,247.815333083938,241.491145546132
"51",48,3,0,0,"Cardiovascular","White","Male","West Virginia",1971,"South Atlantic","South","WV",914.74465578658,933.575522089774,953.3341077847,933.771977316681
