"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","Census_Division","Census_Region","stabbrs","rate.per.100k_lcl","rate.per.100k_med","rate.per.100k_ucl","rate.per.100k_mean"
"1",49,1,0,0,"All other causes","White","Male","Wisconsin",1969,"East North Central","Midwest","WI",118.787469006871,122.754348489364,127.065295408871,122.762659810857
"2",49,1,0,0,"Cancers","White","Male","Wisconsin",1969,"East North Central","Midwest","WI",224.139744473397,229.818817205205,236.204822318818,229.99684573574
"3",49,1,0,0,"Cardiovascular","White","Male","Wisconsin",1969,"East North Central","Midwest","WI",862.263370534587,876.567749810515,891.621262900937,876.676030349853
"4",49,1,0,0,"Communicable","White","Male","Wisconsin",1969,"East North Central","Midwest","WI",51.3696329606268,54.7728290760926,58.5041914494279,54.8274579091289
"5",49,1,0,0,"Injuries","White","Male","Wisconsin",1969,"East North Central","Midwest","WI",98.8326508887202,102.254923942399,106.085410023722,102.285980547156
"6",49,1,0,0,"Non-communicable","White","Male","Wisconsin",1969,"East North Central","Midwest","WI",87.4363074534771,90.7305035200608,93.8629648045291,90.7094358515717
"7",49,1,0,1,"All other causes","White","Female","Wisconsin",1969,"East North Central","Midwest","WI",85.6514922308809,88.8976096796968,92.1099340375491,88.8882504726333
"8",49,1,0,1,"Cancers","White","Female","Wisconsin",1969,"East North Central","Midwest","WI",159.311852874219,163.287367483269,166.884324804766,163.333377987779
"9",49,1,0,1,"Cardiovascular","White","Female","Wisconsin",1969,"East North Central","Midwest","WI",549.681566640423,560.334102420142,571.283683911662,560.390014092918
"10",49,1,0,1,"Communicable","White","Female","Wisconsin",1969,"East North Central","Midwest","WI",29.0967109483984,30.9501384495751,33.0426964697281,31.0262510370597
"11",49,1,0,1,"Injuries","White","Female","Wisconsin",1969,"East North Central","Midwest","WI",40.3396858425194,42.1854039372477,44.3668917574014,42.2154868448244
"12",49,1,0,1,"Non-communicable","White","Female","Wisconsin",1969,"East North Central","Midwest","WI",44.1803191948944,46.3783176195299,48.7728743238815,46.3854583849103
"13",49,1,1,0,"All other causes","Black","Male","Wisconsin",1969,"East North Central","Midwest","WI",159.121206930582,187.114278885471,215.694013170277,187.05254993478
"14",49,1,1,0,"Cancers","Black","Male","Wisconsin",1969,"East North Central","Midwest","WI",306.654657462836,341.300354002474,378.642720248481,341.926076266041
"15",49,1,1,0,"Cardiovascular","Black","Male","Wisconsin",1969,"East North Central","Midwest","WI",616.573084294743,680.206047799497,743.733395053811,679.742945766756
"16",49,1,1,0,"Communicable","Black","Male","Wisconsin",1969,"East North Central","Midwest","WI",89.8706023355067,124.947307450841,181.889677801285,128.329831485865
"17",49,1,1,0,"Injuries","Black","Male","Wisconsin",1969,"East North Central","Midwest","WI",125.173989407596,144.681691030618,171.799536216319,145.701320534368
"18",49,1,1,0,"Non-communicable","Black","Male","Wisconsin",1969,"East North Central","Midwest","WI",90.57300142823,114.501766990717,138.631797047235,114.759239576634
