"state.n" "year.n" "sex.n" "COD" "rate.difference_LCL" "rate.difference_med" "rate.difference_UCL" "Census_Division" "Census_Region" "stabbrs" "sex" "state" "year"
"1" 20 1 0 "All other causes" 91.67191908137 106.414335756128 123.256873943352 "South Atlantic" "South" "MD" "Male" "Maryland" 1969
"2" 20 1 0 "Cancers" 52.3144670047636 72.439385080807 91.3374754769203 "South Atlantic" "South" "MD" "Male" "Maryland" 1969
"3" 20 1 0 "Cardiovascular" -57.7575383810199 -14.2876389472559 31.0562540530972 "South Atlantic" "South" "MD" "Male" "Maryland" 1969
"4" 20 1 0 "Communicable" 39.4806579608221 53.8961224733883 68.9263379983535 "South Atlantic" "South" "MD" "Male" "Maryland" 1969
"5" 20 1 0 "Injuries" 71.6519159804703 83.4778658294429 95.9545181918454 "South Atlantic" "South" "MD" "Male" "Maryland" 1969
"6" 20 1 0 "Non-communicable" 31.415100651228 43.4690959937876 58.1096549662267 "South Atlantic" "South" "MD" "Male" "Maryland" 1969
"7" 20 1 1 "All other causes" 51.2380526313917 61.838185544969 72.3415006953803 "South Atlantic" "South" "MD" "Female" "Maryland" 1969
"8" 20 1 1 "Cancers" 16.4438851370982 27.3160770680862 38.6813633300222 "South Atlantic" "South" "MD" "Female" "Maryland" 1969
"9" 20 1 1 "Cardiovascular" 56.1263734874526 91.3736136023179 126.349777450369 "South Atlantic" "South" "MD" "Female" "Maryland" 1969
"10" 20 1 1 "Communicable" 7.91343593217403 15.2470551928239 22.9347703259628 "South Atlantic" "South" "MD" "Female" "Maryland" 1969
"11" 20 1 1 "Injuries" 5.36771952236505 10.9508267008737 17.296861699271 "South Atlantic" "South" "MD" "Female" "Maryland" 1969
"12" 20 1 1 "Non-communicable" 52.9445183111646 61.9917711033238 73.2170966200492 "South Atlantic" "South" "MD" "Female" "Maryland" 1969
"13" 20 2 0 "All other causes" 92.7055007802625 107.818206081161 121.089518619279 "South Atlantic" "South" "MD" "Male" "Maryland" 1970
