"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",9,1,0,"All other causes",161.604161260384,177.370509386835,194.331639695532,177.37369771692,"South Atlantic","South","FL","Male","Florida",1969
"2",9,1,0,"Cancers",44.6577672713192,59.2221972525165,74.1699677503683,59.3929231375827,"South Atlantic","South","FL","Male","Florida",1969
"3",9,1,0,"Cardiovascular",27.6003105805504,58.1719061080745,90.8599254131715,58.4738593372556,"South Atlantic","South","FL","Male","Florida",1969
"4",9,1,0,"Communicable",67.2775300335239,79.278921321592,91.3570776685833,79.4018444016297,"South Atlantic","South","FL","Male","Florida",1969
"5",9,1,0,"Injuries",132.262618906431,146.498821762521,159.398436006707,146.193462131294,"South Atlantic","South","FL","Male","Florida",1969
"6",9,1,0,"Non-communicable",14.3382601309087,22.265220671833,30.9339505065609,22.3558949018837,"South Atlantic","South","FL","Male","Florida",1969
"7",9,1,1,"All other causes",103.751120335101,113.944326736068,124.58866718662,114.018054628775,"South Atlantic","South","FL","Female","Florida",1969
"8",9,1,1,"Cancers",0.336187714896154,9.48089050478188,18.0226127273224,9.38705819782942,"South Atlantic","South","FL","Female","Florida",1969
"9",9,1,1,"Cardiovascular",139.935134822644,165.446369254742,194.861343077705,166.052607888687,"South Atlantic","South","FL","Female","Florida",1969
"10",9,1,1,"Communicable",28.2245865640377,34.2578194878451,41.6193338495413,34.4921564597553,"South Atlantic","South","FL","Female","Florida",1969
"11",9,1,1,"Injuries",15.5409286213482,20.653290184242,26.3676443221315,20.6423449653188,"South Atlantic","South","FL","Female","Florida",1969
"12",9,1,1,"Non-communicable",48.6018613850067,55.6735861618037,62.49060670903,55.5992972551039,"South Atlantic","South","FL","Female","Florida",1969
"13",9,2,0,"All other causes",156.40165384691,168.822863309198,181.409881445371,168.808237823106,"South Atlantic","South","FL","Male","Florida",1970
"14",9,2,0,"Cancers",50.9197429936052,63.5714286963012,75.6230054807613,63.6009620552835,"South Atlantic","South","FL","Male","Florida",1970
"15",9,2,0,"Cardiovascular",56.3102736681775,84.1920378347198,113.054812277513,84.4053480227809,"South Atlantic","South","FL","Male","Florida",1970
"16",9,2,0,"Communicable",68.1323988618751,77.7852981112583,88.8431472501402,78.0116964754511,"South Atlantic","South","FL","Male","Florida",1970
"17",9,2,0,"Injuries",140.404335696691,152.742152090856,164.566349552271,152.695060836086,"South Atlantic","South","FL","Male","Florida",1970
"18",9,2,0,"Non-communicable",16.3263314727815,23.5831772520222,30.6556151778056,23.6780442865981,"South Atlantic","South","FL","Male","Florida",1970
"19",9,2,1,"All other causes",102.104846765638,110.542143686449,119.355233316803,110.597409743289,"South Atlantic","South","FL","Female","Florida",1970
"20",9,2,1,"Cancers",3.01219332350573,10.8146356815603,18.1656609851062,10.7288794633368,"South Atlantic","South","FL","Female","Florida",1970
"21",9,2,1,"Cardiovascular",154.797549971875,178.16040118341,202.259057045167,178.335083416161,"South Atlantic","South","FL","Female","Florida",1970
"22",9,2,1,"Communicable",26.9066962462962,32.8551309815706,38.8183626792216,32.8374210810812,"South Atlantic","South","FL","Female","Florida",1970
