"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",13,1,0,"All other causes",71.376104794708,81.7202085297068,93.357682350392,81.8246238446888,"East North Central","Midwest","IL","Male","Illinois",1969
"2",13,1,0,"Cancers",61.0440994028958,76.2239583618992,89.8017002389764,75.8415517397687,"East North Central","Midwest","IL","Male","Illinois",1969
"3",13,1,0,"Cardiovascular",57.6141546173924,94.0322141384399,130.721087674477,94.3878290145919,"East North Central","Midwest","IL","Male","Illinois",1969
"4",13,1,0,"Communicable",53.034997910657,63.2941670845206,74.5378976801845,63.3861460640441,"East North Central","Midwest","IL","Male","Illinois",1969
"5",13,1,0,"Injuries",103.115759223083,112.348493020786,122.43913964718,112.40734830472,"East North Central","Midwest","IL","Male","Illinois",1969
"6",13,1,0,"Non-communicable",23.165152604168,30.0489593768467,38.5544403150708,30.4138926183794,"East North Central","Midwest","IL","Male","Illinois",1969
"7",13,1,1,"All other causes",45.7862671167451,52.2047618432315,59.1404211612497,52.2663638487144,"East North Central","Midwest","IL","Female","Illinois",1969
"8",13,1,1,"Cancers",25.4635697145544,33.7532553974994,42.7828844379755,34.0005792696026,"East North Central","Midwest","IL","Female","Illinois",1969
"9",13,1,1,"Cardiovascular",123.00389679621,151.740303294246,179.527515579845,151.355067412565,"East North Central","Midwest","IL","Female","Illinois",1969
"10",13,1,1,"Communicable",20.321732819062,25.7091386725991,31.5901844934689,25.8194829979667,"East North Central","Midwest","IL","Female","Illinois",1969
"11",13,1,1,"Injuries",6.97294249342004,10.3513956137503,14.5078317646981,10.4199443530157,"East North Central","Midwest","IL","Female","Illinois",1969
"12",13,1,1,"Non-communicable",33.3533085960041,38.6688056002386,44.096379769355,38.6735936019475,"East North Central","Midwest","IL","Female","Illinois",1969
"13",13,2,0,"All other causes",76.4800043596997,86.7982142722265,96.7729399616554,86.8825103311401,"East North Central","Midwest","IL","Male","Illinois",1970
"14",13,2,0,"Cancers",59.1315800641438,72.676344887045,84.7215526774972,72.5684392045209,"East North Central","Midwest","IL","Male","Illinois",1970
"15",13,2,0,"Cardiovascular",52.5464849499471,87.849552775541,122.51689721202,87.4880009234333,"East North Central","Midwest","IL","Male","Illinois",1970
"16",13,2,0,"Communicable",47.4668384265204,57.0430204882086,66.4657647114056,57.039607589435,"East North Central","Midwest","IL","Male","Illinois",1970
"17",13,2,0,"Injuries",106.256421406603,115.136875611537,123.307288643586,115.082715528603,"East North Central","Midwest","IL","Male","Illinois",1970
"18",13,2,0,"Non-communicable",23.7573714704742,30.483757080792,37.8479804444748,30.5189100512618,"East North Central","Midwest","IL","Male","Illinois",1970
"19",13,2,1,"All other causes",49.7928341733916,55.9106555808763,62.296971443764,55.9376288990558,"East North Central","Midwest","IL","Female","Illinois",1970
"20",13,2,1,"Cancers",24.0090979110111,31.2138487080373,38.3607202331039,31.1986359116993,"East North Central","Midwest","IL","Female","Illinois",1970
"21",13,2,1,"Cardiovascular",155.860874821449,183.100174807974,209.244336544085,182.793898995657,"East North Central","Midwest","IL","Female","Illinois",1970
"22",13,2,1,"Communicable",20.4781153945669,25.0679873856607,29.8842360236488,25.1217488597566,"East North Central","Midwest","IL","Female","Illinois",1970
"23",13,2,1,"Injuries",7.34170727375953,10.3306527158097,13.834783004661,10.3748539452079,"East North Central","Midwest","IL","Female","Illinois",1970
"24",13,2,1,"Non-communicable",32.3250565527995,37.2982827022564,41.9647365073047,37.3078613139739,"East North Central","Midwest","IL","Female","Illinois",1970
"25",13,3,0,"All other causes",80.022554671534,89.0184710531011,99.271232903384,89.2530800407773,"East North Central","Midwest","IL","Male","Illinois",1971
"26",13,3,0,"Cancers",56.6468669104127,68.7547537009047,80.9336481276593,68.7328363441355,"East North Central","Midwest","IL","Male","Illinois",1971
"27",13,3,0,"Cardiovascular",37.9401180344235,71.0378030351807,104.417419318858,71.1116826209688,"East North Central","Midwest","IL","Male","Illinois",1971
