"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",15,1,0,"All other causes",40.956434829316,71.8273542216567,112.690378723733,72.9263250965212,"West North Central","Midwest","IA","Male","Iowa",1969
"2",15,1,0,"Cancers",42.2253512683303,111.767834848632,208.715114182102,115.360486890914,"West North Central","Midwest","IA","Male","Iowa",1969
"3",15,1,0,"Cardiovascular",-12.0023676941493,130.498513933587,292.933462728382,133.33770455079,"West North Central","Midwest","IA","Male","Iowa",1969
"4",15,1,0,"Communicable",13.9828907975779,48.3230047038031,112.561387059054,52.3282115989674,"West North Central","Midwest","IA","Male","Iowa",1969
"5",15,1,0,"Injuries",55.5393154138895,99.8003628340839,168.768315414756,103.580389134467,"West North Central","Midwest","IA","Male","Iowa",1969
"6",15,1,0,"Non-communicable",11.8931322692778,36.1221356388531,73.1440633548198,37.9583685069973,"West North Central","Midwest","IA","Male","Iowa",1969
"7",15,1,1,"All other causes",40.6683490497332,67.9892056944159,106.863559858495,69.4321231851412,"West North Central","Midwest","IA","Female","Iowa",1969
"8",15,1,1,"Cancers",16.0904414808623,56.7983931837566,140.094636761296,62.5262126283951,"West North Central","Midwest","IA","Female","Iowa",1969
"9",15,1,1,"Cardiovascular",73.1484871438015,164.388841561732,288.273649194788,167.284503604996,"West North Central","Midwest","IA","Female","Iowa",1969
"10",15,1,1,"Communicable",3.50248451134431,18.7351021670823,41.9580385436537,19.5512629921041,"West North Central","Midwest","IA","Female","Iowa",1969
"11",15,1,1,"Injuries",-6.75459035336138,1.99704187750038,13.7085698051806,2.51375154904643,"West North Central","Midwest","IA","Female","Iowa",1969
"12",15,1,1,"Non-communicable",42.0782780589417,66.0160983432374,98.4927418690874,67.0818980191777,"West North Central","Midwest","IA","Female","Iowa",1969
"13",15,2,0,"All other causes",42.0308000199059,70.2287070974495,108.770969131075,71.8285373407083,"West North Central","Midwest","IA","Male","Iowa",1970
"14",15,2,0,"Cancers",41.4854266556594,109.239789774229,201.599841806325,113.234793677007,"West North Central","Midwest","IA","Male","Iowa",1970
"15",15,2,0,"Cardiovascular",-22.2448617832982,97.0675691967414,239.84600259993,97.2818783569757,"West North Central","Midwest","IA","Male","Iowa",1970
"16",15,2,0,"Communicable",14.3073101844532,45.5819365216592,100.415758724214,49.3116551971808,"West North Central","Midwest","IA","Male","Iowa",1970
