"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",30,1,0,"All other causes",88.2716900750165,103.365307604987,118.396104765602,103.527289742073,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1969
"2",30,1,0,"Cancers",45.0022100684794,65.9999880494127,85.3111679423595,65.5587864150736,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1969
"3",30,1,0,"Cardiovascular",-16.1741004195374,29.9288086509874,78.7168942050882,30.5633287268653,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1969
"4",30,1,0,"Communicable",34.9271729517584,47.2757835298259,61.7472353087628,47.636023292972,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1969
"5",30,1,0,"Injuries",86.0376150924982,97.4070607398168,108.663176669726,97.3537317988522,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1969
"6",30,1,0,"Non-communicable",28.0424907521447,39.7239668598111,50.9379211456706,39.556741789718,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1969
"7",30,1,1,"All other causes",49.88208433084,58.224218938465,66.8576046145833,58.3419468895305,"Mid-Atlantic","Northeast","NJ","Female","New Jersey",1969
"8",30,1,1,"Cancers",6.2477455562252,16.7578092632881,27.9918216327165,16.8513734960219,"Mid-Atlantic","Northeast","NJ","Female","New Jersey",1969
"9",30,1,1,"Cardiovascular",52.7012933744068,86.5273455426043,122.270245439565,87.1327771789972,"Mid-Atlantic","Northeast","NJ","Female","New Jersey",1969
"10",30,1,1,"Communicable",6.53697512780892,13.6087336418986,21.6730552211708,13.7829146468514,"Mid-Atlantic","Northeast","NJ","Female","New Jersey",1969
"11",30,1,1,"Injuries",5.65085959506323,10.6185058777158,16.4978458295969,10.7847083008166,"Mid-Atlantic","Northeast","NJ","Female","New Jersey",1969
"12",30,1,1,"Non-communicable",35.0414984267659,42.3848418119278,50.3222244688622,42.3598462585415,"Mid-Atlantic","Northeast","NJ","Female","New Jersey",1969
"13",30,2,0,"All other causes",88.9316205425751,101.18308741296,114.267843681801,101.355994781759,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1970
"14",30,2,0,"Cancers",43.4926554715189,62.1261584986775,81.3867429189268,62.0461021464561,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1970
"15",30,2,0,"Cardiovascular",-28.2795645038772,7.84600166993704,48.4843886663744,8.11479670350591,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1970
"16",30,2,0,"Communicable",42.1163987700052,52.2748175439897,65.3052501014334,52.8266866625066,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1970
"17",30,2,0,"Injuries",87.5271258669404,97.4173435268098,106.833139906741,97.4434510824029,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1970
"18",30,2,0,"Non-communicable",29.3033216489708,39.9822994795424,50.0710529791621,39.9652072310206,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1970
"19",30,2,1,"All other causes",49.1485056495956,56.9769941576823,65.2005264210854,56.9863139417342,"Mid-Atlantic","Northeast","NJ","Female","New Jersey",1970
"20",30,2,1,"Cancers",6.80820919190901,16.5353179034554,26.3762134495984,16.6327499095303,"Mid-Atlantic","Northeast","NJ","Female","New Jersey",1970
"21",30,2,1,"Cardiovascular",58.9995443685828,91.7757777458958,122.051404763601,91.6279155438848,"Mid-Atlantic","Northeast","NJ","Female","New Jersey",1970
"22",30,2,1,"Communicable",9.99066115993569,16.1535973180083,23.301668849605,16.3375149179111,"Mid-Atlantic","Northeast","NJ","Female","New Jersey",1970
"23",30,2,1,"Injuries",7.03020868754634,11.6701154029535,16.7970309236939,11.746712236106,"Mid-Atlantic","Northeast","NJ","Female","New Jersey",1970
"24",30,2,1,"Non-communicable",37.3444554600551,43.7686306017555,50.5192378509442,43.8086412784113,"Mid-Atlantic","Northeast","NJ","Female","New Jersey",1970
"25",30,3,0,"All other causes",88.1331525522674,99.8409449127981,112.064118138693,100.127133983861,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1971
"26",30,3,0,"Cancers",45.3049116228516,62.6152646356348,81.0104833841621,62.4712181289228,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1971
"27",30,3,0,"Cardiovascular",-44.1364936019232,-6.99277314520708,30.1124845833364,-7.16368020055179,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1971
"28",30,3,0,"Communicable",40.7911269285538,51.3261099891566,63.1833655293231,51.5510092283471,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1971
"29",30,3,0,"Injuries",87.4177284106276,96.327717678138,106.252993658316,96.395416507128,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1971
"30",30,3,0,"Non-communicable",30.9276567352795,40.275151564766,49.7183476467088,40.1984148842084,"Mid-Atlantic","Northeast","NJ","Male","New Jersey",1971
"31",30,3,1,"All other causes",47.6325674316457,54.8526976999418,62.4998384834243,54.9710900576704,"Mid-Atlantic","Northeast","NJ","Female","New Jersey",1971
