"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",40,1,0,"All other causes",67.3396438628915,81.808712552913,98.2202326547842,82.1154329850833,"South Atlantic","South","SC","Male","South Carolina",1969
"2",40,1,0,"Cancers",-15.2532610919657,1.87442185636633,17.7944855010571,1.87240701027124,"South Atlantic","South","SC","Male","South Carolina",1969
"3",40,1,0,"Cardiovascular",-52.6192162934951,-3.72654163751929,44.8938080841725,-4.15384961402162,"South Atlantic","South","SC","Male","South Carolina",1969
"4",40,1,0,"Communicable",27.0370880031877,39.2917484696363,52.1955880440515,39.3230178981466,"South Atlantic","South","SC","Male","South Carolina",1969
"5",40,1,0,"Injuries",108.19219451654,122.034394306539,137.591220765158,122.221240930185,"South Atlantic","South","SC","Male","South Carolina",1969
"6",40,1,0,"Non-communicable",-18.8314209779352,-9.63755418364662,-0.218717126486735,-9.5799105309321,"South Atlantic","South","SC","Male","South Carolina",1969
"7",40,1,1,"All other causes",57.1800376021903,67.1591774201598,77.3733742588731,67.1659528219119,"South Atlantic","South","SC","Female","South Carolina",1969
"8",40,1,1,"Cancers",-7.36898647762475,1.24554097325752,10.4126555124493,1.28399034944306,"South Atlantic","South","SC","Female","South Carolina",1969
"9",40,1,1,"Cardiovascular",99.6725169527665,133.807314783504,172.266005119261,134.548987530065,"South Atlantic","South","SC","Female","South Carolina",1969
"10",40,1,1,"Communicable",16.787610617691,23.2083080380542,31.6734407939255,23.3856558786917,"South Atlantic","South","SC","Female","South Carolina",1969
"11",40,1,1,"Injuries",6.33957036387044,11.691337566557,17.7226217938844,11.8036202610539,"South Atlantic","South","SC","Female","South Carolina",1969
"12",40,1,1,"Non-communicable",34.3244596239764,41.7644311437572,49.5525195451629,41.6595673106658,"South Atlantic","South","SC","Female","South Carolina",1969
"13",40,2,0,"All other causes",72.5316535116339,85.8338398915102,99.2715085805991,85.5847260474106,"South Atlantic","South","SC","Male","South Carolina",1970
"14",40,2,0,"Cancers",-12.5982454885158,1.42318492907033,15.8455953417458,1.6335616935033,"South Atlantic","South","SC","Male","South Carolina",1970
"15",40,2,0,"Cardiovascular",-26.5870713984024,14.9188084923196,57.1006596533448,15.1445826134026,"South Atlantic","South","SC","Male","South Carolina",1970
"16",40,2,0,"Communicable",23.9441062387536,33.9518475944315,44.8357892398385,34.0024233305976,"South Atlantic","South","SC","Male","South Carolina",1970
"17",40,2,0,"Injuries",108.395650368835,121.40497430719,133.837979041868,121.147885502065,"South Atlantic","South","SC","Male","South Carolina",1970
"18",40,2,0,"Non-communicable",-16.2807993464414,-8.07943048774457,0.746336686923579,-7.9319176470464,"South Atlantic","South","SC","Male","South Carolina",1970
"19",40,2,1,"All other causes",61.5043218301831,70.7632220724436,80.229933674344,70.6541449491618,"South Atlantic","South","SC","Female","South Carolina",1970
"20",40,2,1,"Cancers",-5.55828482542112,2.16049437940278,10.4335870164382,2.20419072202326,"South Atlantic","South","SC","Female","South Carolina",1970
"21",40,2,1,"Cardiovascular",80.8949551564752,110.443449050562,139.551330212092,110.293598011337,"South Atlantic","South","SC","Female","South Carolina",1970
"22",40,2,1,"Communicable",14.1331211051091,20.4692460237578,26.6662939801233,20.4393346671256,"South Atlantic","South","SC","Female","South Carolina",1970
"23",40,2,1,"Injuries",6.11668034986409,11.3756804014634,16.9169716934643,11.350161546713,"South Atlantic","South","SC","Female","South Carolina",1970
"24",40,2,1,"Non-communicable",34.3707201924104,41.3050339604674,47.7059047477899,41.3207032012038,"South Atlantic","South","SC","Female","South Carolina",1970
"25",40,3,0,"All other causes",78.2049204961152,90.7939403036115,103.161039336073,90.7554333259005,"South Atlantic","South","SC","Male","South Carolina",1971
