"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",46,1,0,"All other causes",90.0504524920243,103.370626792066,117.204857350392,103.228694969349,"South Atlantic","South","VA","Male","Virginia",1969
"2",46,1,0,"Cancers",68.3429410838337,84.4119403306533,101.283150469111,84.3584915439862,"South Atlantic","South","VA","Male","Virginia",1969
"3",46,1,0,"Cardiovascular",37.7026067048742,78.7135333023979,120.111682501239,78.8211753511019,"South Atlantic","South","VA","Male","Virginia",1969
"4",46,1,0,"Communicable",35.4815196413536,48.732502962782,61.914880689286,48.7561438001658,"South Atlantic","South","VA","Male","Virginia",1969
"5",46,1,0,"Injuries",77.2870079393973,89.4790773434134,101.963447156807,89.6732155996284,"South Atlantic","South","VA","Male","Virginia",1969
"6",46,1,0,"Non-communicable",3.22615491916454,11.3339223036118,20.0103562655086,11.3953410560976,"South Atlantic","South","VA","Male","Virginia",1969
"7",46,1,1,"All other causes",56.8166384144623,66.5307731539646,77.2408592536339,66.7413389095215,"South Atlantic","South","VA","Female","Virginia",1969
"8",46,1,1,"Cancers",20.7401345855792,29.1343257444999,38.9285911341391,29.183243826818,"South Atlantic","South","VA","Female","Virginia",1969
"9",46,1,1,"Cardiovascular",149.294450674311,181.489642335686,212.841543189023,181.332237530866,"South Atlantic","South","VA","Female","Virginia",1969
"10",46,1,1,"Communicable",11.5869868721736,17.8201000881069,24.685301320622,17.8295333944432,"South Atlantic","South","VA","Female","Virginia",1969
"11",46,1,1,"Injuries",5.19079918774663,10.644743706013,16.4340031495202,10.6726528174417,"South Atlantic","South","VA","Female","Virginia",1969
"12",46,1,1,"Non-communicable",33.0019637399676,39.8284184895439,46.5916009507548,39.737829657747,"South Atlantic","South","VA","Female","Virginia",1969
"13",46,2,0,"All other causes",90.5789304506693,101.684860886609,113.951378323058,101.930949461468,"South Atlantic","South","VA","Male","Virginia",1970
"14",46,2,0,"Cancers",67.011081309424,80.4749514442872,95.3312911570321,80.8466993232592,"South Atlantic","South","VA","Male","Virginia",1970
"15",46,2,0,"Cardiovascular",22.0919339352328,56.8386534801591,90.0476766893986,56.8148218327654,"South Atlantic","South","VA","Male","Virginia",1970
"16",46,2,0,"Communicable",39.8620018619617,50.2652534002095,61.1557492736381,50.3272704267481,"South Atlantic","South","VA","Male","Virginia",1970
"17",46,2,0,"Injuries",81.5107827657976,91.8324862590998,102.885967868656,91.8587738721995,"South Atlantic","South","VA","Male","Virginia",1970
"18",46,2,0,"Non-communicable",2.87808748246976,10.589208971374,18.9865784646896,10.7113282900001,"South Atlantic","South","VA","Male","Virginia",1970
"19",46,2,1,"All other causes",59.8451302029746,68.5470723023202,77.0387710005696,68.442467327593,"South Atlantic","South","VA","Female","Virginia",1970
"20",46,2,1,"Cancers",19.1460955726805,26.3804238965269,34.5327891620955,26.5287247801219,"South Atlantic","South","VA","Female","Virginia",1970
"21",46,2,1,"Cardiovascular",148.153919871102,174.301265105928,201.712613083136,174.732639490839,"South Atlantic","South","VA","Female","Virginia",1970
"22",46,2,1,"Communicable",12.2375648414042,17.4161945837381,23.4619801597917,17.5352254152639,"South Atlantic","South","VA","Female","Virginia",1970
"23",46,2,1,"Injuries",6.05701168722268,10.5889544756574,15.5076117369991,10.6397219860137,"South Atlantic","South","VA","Female","Virginia",1970
"24",46,2,1,"Non-communicable",33.3349389567453,38.4647408927162,44.2532221319282,38.5251709023326,"South Atlantic","South","VA","Female","Virginia",1970
"25",46,3,0,"All other causes",85.1192216141017,96.1391639947012,107.876219105499,96.1901595020198,"South Atlantic","South","VA","Male","Virginia",1971
"26",46,3,0,"Cancers",66.7396075716132,80.0780187900848,94.5273589855066,80.2553289112623,"South Atlantic","South","VA","Male","Virginia",1971
"27",46,3,0,"Cardiovascular",-12.5017967992459,20.5560987244725,54.260331157233,21.1825137412882,"South Atlantic","South","VA","Male","Virginia",1971
"28",46,3,0,"Communicable",28.905111789093,38.5831143522216,48.9772139770323,38.8049186078522,"South Atlantic","South","VA","Male","Virginia",1971
"29",46,3,0,"Injuries",76.9599319723672,86.2371173217538,97.2297670936444,86.4318547306161,"South Atlantic","South","VA","Male","Virginia",1971
"30",46,3,0,"Non-communicable",3.4238916701453,9.8972247805104,17.4950894499006,10.0828982663649,"South Atlantic","South","VA","Male","Virginia",1971
"31",46,3,1,"All other causes",57.825659382567,65.1764383590748,73.1160391879079,65.288916191294,"South Atlantic","South","VA","Female","Virginia",1971
"32",46,3,1,"Cancers",20.4593034978419,27.0586087446967,35.1167871244435,27.3422109209272,"South Atlantic","South","VA","Female","Virginia",1971
"33",46,3,1,"Cardiovascular",127.705196110906,153.982719697054,178.731644912613,154.027970460726,"South Atlantic","South","VA","Female","Virginia",1971
"34",46,3,1,"Communicable",11.0708603389355,15.9883526556261,21.1981858480788,16.0566690576465,"South Atlantic","South","VA","Female","Virginia",1971
"35",46,3,1,"Injuries",6.43999522613544,10.5694488448325,14.9276292545093,10.6818473770219,"South Atlantic","South","VA","Female","Virginia",1971
"36",46,3,1,"Non-communicable",33.8241000638251,39.0565822494706,44.2589037820169,38.979484660596,"South Atlantic","South","VA","Female","Virginia",1971
"37",46,4,0,"All other causes",78.8462007462135,89.0682165068621,99.9837793632488,89.1476688451405,"South Atlantic","South","VA","Male","Virginia",1972
