"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",8,1,0,"All other causes",88.897617928846,121.749647201725,154.006557702941,122.039815304648,"South Atlantic","South",NA,"Male","Washington DC",1969
"2",8,1,0,"Cancers",134.775359671145,163.641152509225,194.044177927011,163.476744582202,"South Atlantic","South",NA,"Male","Washington DC",1969
"3",8,1,0,"Cardiovascular",-48.8771237893068,22.9078548285767,86.5070461815168,22.129634466933,"South Atlantic","South",NA,"Male","Washington DC",1969
"4",8,1,0,"Communicable",28.5410850610809,54.0316818497427,80.1879557503672,53.7531488894949,"South Atlantic","South",NA,"Male","Washington DC",1969
"5",8,1,0,"Injuries",78.9438723989226,99.5689841813033,119.295136528668,99.8139513964312,"South Atlantic","South",NA,"Male","Washington DC",1969
"6",8,1,0,"Non-communicable",54.3314454863599,75.6677729249698,97.1087427204549,75.8913217679373,"South Atlantic","South",NA,"Male","Washington DC",1969
"7",8,1,1,"All other causes",61.8817256314561,79.8650333544756,95.1361289627333,79.5596005565125,"South Atlantic","South",NA,"Female","Washington DC",1969
"8",8,1,1,"Cancers",21.9973498952912,37.4824512742936,53.8186263380195,37.5083697915562,"South Atlantic","South",NA,"Female","Washington DC",1969
"9",8,1,1,"Cardiovascular",112.816365272561,159.474844498927,206.908300894148,159.402590992827,"South Atlantic","South",NA,"Female","Washington DC",1969
"10",8,1,1,"Communicable",8.87568539736718,23.1017057272106,35.9723751953481,22.670263721888,"South Atlantic","South",NA,"Female","Washington DC",1969
"11",8,1,1,"Injuries",-13.2188835077249,-0.0409822088445893,10.2920760804628,-0.463045022607933,"South Atlantic","South",NA,"Female","Washington DC",1969
"12",8,1,1,"Non-communicable",54.0686733891031,68.5673108916986,84.0859780684866,68.7019085394584,"South Atlantic","South",NA,"Female","Washington DC",1969
"13",8,2,0,"All other causes",94.8374070040755,120.188162254013,146.567238278091,120.82785840029,"South Atlantic","South",NA,"Male","Washington DC",1970
"14",8,2,0,"Cancers",137.226096475715,164.980316516793,191.107156584825,164.889414373428,"South Atlantic","South",NA,"Male","Washington DC",1970
"15",8,2,0,"Cardiovascular",-47.7232656528457,6.06675167632841,67.0922786814711,6.74323292448191,"South Atlantic","South",NA,"Male","Washington DC",1970
"16",8,2,0,"Communicable",25.917496305689,51.0013108436913,74.9139817162224,50.9197098701841,"South Atlantic","South",NA,"Male","Washington DC",1970
"17",8,2,0,"Injuries",82.7188869934252,100.830836289114,119.187477059077,100.987199463831,"South Atlantic","South",NA,"Male","Washington DC",1970
"18",8,2,0,"Non-communicable",52.5021648003924,72.6620565631012,93.1787730869582,72.6956086509714,"South Atlantic","South",NA,"Male","Washington DC",1970
"19",8,2,1,"All other causes",63.1993562163708,78.714294310558,94.3631686396203,78.6093346950524,"South Atlantic","South",NA,"Female","Washington DC",1970
"20",8,2,1,"Cancers",21.4585028718001,35.8650094487049,50.7068409067842,35.8350261188537,"South Atlantic","South",NA,"Female","Washington DC",1970
"21",8,2,1,"Cardiovascular",120.294392026454,161.252170188354,201.3742859762,160.897006221584,"South Atlantic","South",NA,"Female","Washington DC",1970
"22",8,2,1,"Communicable",11.7080043429582,23.1769999462026,34.2958154696084,23.1558584836812,"South Atlantic","South",NA,"Female","Washington DC",1970
"23",8,2,1,"Injuries",-10.4750391023739,0.555977497650296,10.9279939060089,0.573393086764737,"South Atlantic","South",NA,"Female","Washington DC",1970
"24",8,2,1,"Non-communicable",53.254664168788,66.4448449902541,79.6001112321552,66.2758697315869,"South Atlantic","South",NA,"Female","Washington DC",1970
"25",8,3,0,"All other causes",95.4215221345585,117.826290138092,141.151681199283,118.199010158328,"South Atlantic","South",NA,"Male","Washington DC",1971
"26",8,3,0,"Cancers",142.717508979124,168.622213438792,192.859686127696,167.972572872168,"South Atlantic","South",NA,"Male","Washington DC",1971
"27",8,3,0,"Cardiovascular",-33.5431333645186,18.0278270839653,70.8712719287699,17.5644489316041,"South Atlantic","South",NA,"Male","Washington DC",1971
"28",8,3,0,"Communicable",36.6591274692556,57.5635823267943,80.50245780878,57.7017968079746,"South Atlantic","South",NA,"Male","Washington DC",1971
"29",8,3,0,"Injuries",87.8000005012883,105.969667731958,123.69180952684,105.622159165672,"South Atlantic","South",NA,"Male","Washington DC",1971
"30",8,3,0,"Non-communicable",58.3842299173692,78.5154516784033,98.1434784323374,78.5181892321937,"South Atlantic","South",NA,"Male","Washington DC",1971
"31",8,3,1,"All other causes",66.5613772261015,80.1565519943741,94.68203559056,80.1712112625641,"South Atlantic","South",NA,"Female","Washington DC",1971
"32",8,3,1,"Cancers",20.0073953034345,34.4533378487237,48.825207787567,34.4982828237486,"South Atlantic","South",NA,"Female","Washington DC",1971
"33",8,3,1,"Cardiovascular",132.778887540776,172.509492402349,213.695955913009,172.835926450488,"South Atlantic","South",NA,"Female","Washington DC",1971
"34",8,3,1,"Communicable",11.9808872246971,22.8764003769894,32.6364935957926,22.8573000100886,"South Atlantic","South",NA,"Female","Washington DC",1971
"35",8,3,1,"Injuries",-9.40974478468554,1.14476842395306,10.8038148169544,1.00720516549996,"South Atlantic","South",NA,"Female","Washington DC",1971
"36",8,3,1,"Non-communicable",54.6239634131801,67.4989814751324,79.9289849510203,67.4006721987909,"South Atlantic","South",NA,"Female","Washington DC",1971
"37",8,4,0,"All other causes",95.562613459458,116.970050631477,141.497870541536,117.367123037642,"South Atlantic","South",NA,"Male","Washington DC",1972
"38",8,4,0,"Cancers",149.28736319224,174.679391650683,199.61222887017,174.218041152046,"South Atlantic","South",NA,"Male","Washington DC",1972
"39",8,4,0,"Cardiovascular",-6.2288637972387,44.8912384168689,95.385000812685,44.1218840009257,"South Atlantic","South",NA,"Male","Washington DC",1972
"40",8,4,0,"Communicable",31.9411834646042,53.5760209668749,76.5698496109741,53.8060757798514,"South Atlantic","South",NA,"Male","Washington DC",1972
"41",8,4,0,"Injuries",89.2768740305413,106.225001317882,121.94565912097,105.879085184079,"South Atlantic","South",NA,"Male","Washington DC",1972
"42",8,4,0,"Non-communicable",65.3076561662405,83.6857005234703,102.493720681578,83.7745884835069,"South Atlantic","South",NA,"Male","Washington DC",1972
"43",8,4,1,"All other causes",67.4337292805814,80.2455756526241,93.1498445762592,80.2572451257339,"South Atlantic","South",NA,"Female","Washington DC",1972
"44",8,4,1,"Cancers",17.9313348214576,31.9626809241222,46.7305406789406,31.9476548700924,"South Atlantic","South",NA,"Female","Washington DC",1972
"45",8,4,1,"Cardiovascular",123.413123262586,158.124382800011,193.106657013188,157.94175784726,"South Atlantic","South",NA,"Female","Washington DC",1972
"46",8,4,1,"Communicable",10.5296526301304,21.2823776223674,30.6545174293356,21.3350659646814,"South Atlantic","South",NA,"Female","Washington DC",1972
