"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",47,1,0,"All other causes",18.6886365487124,43.2664832158985,81.9986719604278,44.7680787106787,"Pacific","West","WA","Male","Washington",1969
"2",47,1,0,"Cancers",1.36833411396436,43.8532714911815,94.2587341185964,44.2363784069036,"Pacific","West","WA","Male","Washington",1969
"3",47,1,0,"Cardiovascular",-226.74562065141,-130.877468524018,-21.5109063874541,-128.709187800662,"Pacific","West","WA","Male","Washington",1969
"4",47,1,0,"Communicable",8.38459696229946,45.787620952013,107.021494142377,48.3424481525661,"Pacific","West","WA","Male","Washington",1969
"5",47,1,0,"Injuries",43.9548367845878,73.7248538623348,110.351844279968,74.9386571010276,"Pacific","West","WA","Male","Washington",1969
"6",47,1,0,"Non-communicable",11.9573041682147,42.0134363849589,73.455107699228,42.6501980589614,"Pacific","West","WA","Male","Washington",1969
"7",47,1,1,"All other causes",29.9431618677241,50.6811644271835,79.3349428036483,51.85800910843,"Pacific","West","WA","Female","Washington",1969
"8",47,1,1,"Cancers",9.56783997629979,44.1149382919688,88.9347143931244,45.2109071924437,"Pacific","West","WA","Female","Washington",1969
"9",47,1,1,"Cardiovascular",-122.873382039596,-52.9903321658319,34.5899767128191,-50.7082132609349,"Pacific","West","WA","Female","Washington",1969
"10",47,1,1,"Communicable",-8.5319696047417,2.94735980038457,16.8216286511278,2.92247120717003,"Pacific","West","WA","Female","Washington",1969
"11",47,1,1,"Injuries",8.45109077405743,27.7852484491016,60.4911701974624,29.8688786512174,"Pacific","West","WA","Female","Washington",1969
"12",47,1,1,"Non-communicable",28.7976020508489,50.7979658280675,76.0521951776867,51.0656038154419,"Pacific","West","WA","Female","Washington",1969
"13",47,2,0,"All other causes",19.1138288876324,42.4463967105677,78.4043145539883,44.0630534025365,"Pacific","West","WA","Male","Washington",1970
"14",47,2,0,"Cancers",4.51375599330278,41.749447086306,88.4349931734343,43.4041148243357,"Pacific","West","WA","Male","Washington",1970
"15",47,2,0,"Cardiovascular",-196.690429890941,-105.318255922115,-6.08419886045934,-105.479957085132,"Pacific","West","WA","Male","Washington",1970
"16",47,2,0,"Communicable",18.498042368897,52.1467318574133,104.328945234326,54.0426955887691,"Pacific","West","WA","Male","Washington",1970
