"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","rate.difference_mean","Census_Division","Census_Region","stabbrs","sex","state","year"
"1",48,1,0,"All other causes",136.63705783999,179.131861643343,235.88271452785,180.547427717495,"South Atlantic","South","WV","Male","West Virginia",1969
"2",48,1,0,"Cancers",47.0533964260325,76.5388246900303,113.425238434958,77.9327173100863,"South Atlantic","South","WV","Male","West Virginia",1969
"3",48,1,0,"Cardiovascular",87.0553612549742,166.669891961336,253.246706284703,167.473558606127,"South Atlantic","South","WV","Male","West Virginia",1969
"4",48,1,0,"Communicable",-0.552027330748952,28.892044582815,67.0405791106919,30.035822247366,"South Atlantic","South","WV","Male","West Virginia",1969
"5",48,1,0,"Injuries",19.2080245337372,50.9752467368413,103.874056543556,53.3742386794814,"South Atlantic","South","WV","Male","West Virginia",1969
"6",48,1,0,"Non-communicable",24.8617674999281,53.8010588357252,81.4217537503542,53.2133547291184,"South Atlantic","South","WV","Male","West Virginia",1969
"7",48,1,1,"All other causes",34.0436547518381,59.5386369331456,92.0502393342687,60.4691776736952,"South Atlantic","South","WV","Female","West Virginia",1969
"8",48,1,1,"Cancers",2.28266791159126,22.4184825769184,43.8362880787344,22.8199559352717,"South Atlantic","South","WV","Female","West Virginia",1969
"9",48,1,1,"Cardiovascular",52.2045265259133,118.330853332768,193.588751724727,118.545694701869,"South Atlantic","South","WV","Female","West Virginia",1969
"10",48,1,1,"Communicable",-8.16850966583288,5.09180813485028,26.9373261951297,6.48991526552115,"South Atlantic","South","WV","Female","West Virginia",1969
"11",48,1,1,"Injuries",-5.50750462105563,4.3209440171487,18.2554138487344,5.04415398343828,"South Atlantic","South","WV","Female","West Virginia",1969
"12",48,1,1,"Non-communicable",46.2835337114333,66.8517962930983,94.154340068969,68.2785713767682,"South Atlantic","South","WV","Female","West Virginia",1969
"13",48,2,0,"All other causes",136.163691034685,176.258839095902,223.954763046605,176.983337228192,"South Atlantic","South","WV","Male","West Virginia",1970
"14",48,2,0,"Cancers",50.36027551994,76.701159299568,111.750478920508,77.8483878655146,"South Atlantic","South","WV","Male","West Virginia",1970
"15",48,2,0,"Cardiovascular",75.9947739834473,147.667914177377,228.989605639149,148.34629869877,"South Atlantic","South","WV","Male","West Virginia",1970
"16",48,2,0,"Communicable",2.93273210317961,28.7773132297521,64.5057978960265,30.1244227120681,"South Atlantic","South","WV","Male","West Virginia",1970
"17",48,2,0,"Injuries",22.5789997365251,50.8246908681144,100.635546459912,53.0608426022493,"South Atlantic","South","WV","Male","West Virginia",1970
"18",48,2,0,"Non-communicable",26.0012460146201,53.4693860540329,80.8896331577131,53.1482594247848,"South Atlantic","South","WV","Male","West Virginia",1970
"19",48,2,1,"All other causes",35.9887591441722,59.2859932318892,89.5296611409707,60.2931013766174,"South Atlantic","South","WV","Female","West Virginia",1970
"20",48,2,1,"Cancers",2.46117510409034,22.1779557033395,42.4505070918549,22.3790544161393,"South Atlantic","South","WV","Female","West Virginia",1970
"21",48,2,1,"Cardiovascular",74.9774654676781,131.475669425994,197.886232075477,133.028108885549,"South Atlantic","South","WV","Female","West Virginia",1970
"22",48,2,1,"Communicable",-5.965218238164,6.97941220225651,29.0958546123706,8.21616230610139,"South Atlantic","South","WV","Female","West Virginia",1970
"23",48,2,1,"Injuries",-4.92875296296946,4.61250233321359,16.4777259676645,5.0483627531366,"South Atlantic","South","WV","Female","West Virginia",1970
"24",48,2,1,"Non-communicable",45.3781522675712,64.9548354272507,89.1435908467166,65.6657605247512,"South Atlantic","South","WV","Female","West Virginia",1970
"25",48,3,0,"All other causes",133.268357046835,171.328125975772,216.566698662986,172.307314887942,"South Atlantic","South","WV","Male","West Virginia",1971
"26",48,3,0,"Cancers",52.5774730418319,77.3007830455909,109.988157966411,78.4904549991601,"South Atlantic","South","WV","Male","West Virginia",1971
"27",48,3,0,"Cardiovascular",55.5830420016525,126.519146094177,195.765674977394,127.920008342742,"South Atlantic","South","WV","Male","West Virginia",1971
"28",48,3,0,"Communicable",7.39872722287458,31.047677248141,59.9634056600781,31.9348118670302,"South Atlantic","South","WV","Male","West Virginia",1971
"29",48,3,0,"Injuries",26.5658210466269,54.2771410924577,102.795485526734,56.3860238012605,"South Atlantic","South","WV","Male","West Virginia",1971
"30",48,3,0,"Non-communicable",24.1931359104258,53.2114272404,78.1339513081167,52.5892783606372,"South Atlantic","South","WV","Male","West Virginia",1971
"31",48,3,1,"All other causes",39.4062062410719,62.0717390811719,88.5140754319166,62.6278111182371,"South Atlantic","South","WV","Female","West Virginia",1971
"32",48,3,1,"Cancers",3.93022743169746,23.3541840821294,41.7587888259464,23.4195311410107,"South Atlantic","South","WV","Female","West Virginia",1971
"33",48,3,1,"Cardiovascular",66.7283678912047,119.856387691573,178.36629040774,119.674970099661,"South Atlantic","South","WV","Female","West Virginia",1971
"34",48,3,1,"Communicable",-4.07191473922719,8.50114755486868,26.2906865267984,9.37457461482392,"South Atlantic","South","WV","Female","West Virginia",1971
"35",48,3,1,"Injuries",-3.1096254299085,5.4928190540835,17.4587371355076,6.06421474742758,"South Atlantic","South","WV","Female","West Virginia",1971
"36",48,3,1,"Non-communicable",45.1539514328982,62.9103001311198,87.4377199528755,63.7429438146079,"South Atlantic","South","WV","Female","West Virginia",1971
