"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.81258062242241,-0.097378017865089,0.871841300007247,-0.0661430010327026,-0.0719648011136797,0.396764545567286,0.858158469638172,0.393776719094346,0.365818017060833,0.76526919841679,1.18039916045599,0.767915313951734,-4.02970615489738,0.19707526075512,5.76096488585689,0.763560646193645,-11.1143283708353,0.598525544327439,6.87858823884534,1.43278181395378,0.213324021312031,0.413492756264021,0.724917305698519,0.429976335465108,-1.16542925610836,0.238168706018272,1.72879169833149,0.233887724529798,-0.767514224357441,0.245526512697871,1.17338489015677,0.225479619110836,0.93820299835968,1.8601236311962,2.88724057649419,1.86677440919448,"Male","Arizona"
"2","Cancers",-0.599604716122416,-0.199709136459051,0.234097678509285,-0.196292541028854,-0.512646150497568,-0.0799551219122465,0.282458541384631,-0.0891325031465983,0.0814872681848256,0.504664379062899,0.91864514423361,0.503946395835216,-5.00858602530797,-0.0117381189213892,4.89846221192439,-0.176197125315433,-3.36283085803126,0.0393803459177771,4.24970769398544,-0.292977216267482,0.0480550203659172,0.269364795441611,0.548153407263675,0.277374027703287,-1.16542925610836,0.238168706018272,1.72879169833149,0.233887724529798,-0.767514224357441,0.245526512697871,1.17338489015677,0.225479619110836,0.93820299835968,1.8601236311962,2.88724057649419,1.86677440919448,"Male","Arizona"
"3","Cardiovascular",-1.22466051213373,-0.578855558945127,0.0929277700029938,-0.568228256783648,-0.916308268510768,-0.356228941155419,0.174051555472494,-0.357696454997477,-0.432205052171368,0.0657508511979685,0.542788026190788,0.0673248849117693,-15.0156304713216,-0.15506726383205,9.52805263588278,-1.03591445638996,-8.22757897703118,-0.151576158017771,13.6146343114286,-0.503827351375371,-0.320209862429551,0.0352746300890992,0.272767922450013,0.0167557445129173,-1.16542925610836,0.238168706018272,1.72879169833149,0.233887724529798,-0.767514224357441,0.245526512697871,1.17338489015677,0.225479619110836,0.93820299835968,1.8601236311962,2.88724057649419,1.86677440919448,"Male","Arizona"
"4","Communicable",-0.40409044580313,-0.127784192346393,0.290988808418711,-0.108555296162113,0.257390625761768,0.465787927576382,0.652972301465751,0.462854099336796,-0.626886185344354,-0.407383848204302,-0.120615858399269,-0.399682906031711,-3.31772591316215,-0.00518296828430092,2.72926627092349,-0.0752917987447741,-13.6858985169999,0.636426894785476,10.5862528192999,1.27930747878645,-0.520893370467149,-0.219050422961936,-0.0557673383473318,-0.238260282236626,-1.16542925610836,0.238168706018272,1.72879169833149,0.233887724529798,-0.767514224357441,0.245526512697871,1.17338489015677,0.225479619110836,0.93820299835968,1.8601236311962,2.88724057649419,1.86677440919448,"Male","Arizona"
"5","Injuries",0.429301884409458,1.39528561821449,2.40894843745901,1.4181437865369,-0.611125950551804,-0.0969276177528299,0.4517281014184,-0.0863712439019103,0.601222247548646,1.07248477918779,1.51450250367426,1.06986882159059,-22.0907223313307,1.36022405239644,26.7648060022349,1.87629004337635,-6.69124054966404,0.160120174487745,4.80746065869547,-0.907189306101598,0.325357721599613,0.580325490323544,0.994805431360694,0.604701800143096,-1.16542925610836,0.238168706018272,1.72879169833149,0.233887724529798,-0.767514224357441,0.245526512697871,1.17338489015677,0.225479619110836,0.93820299835968,1.8601236311962,2.88724057649419,1.86677440919448,"Male","Arizona"
"6","Non-communicable",-0.501562573267788,-0.248974653642888,0.0458654909010229,-0.245036966999782,-0.336792150921203,-0.0970012676946643,0.150820702279254,-0.0979509972743206,-0.475587224521749,-0.134719614890232,0.156960108528244,-0.142598101063115,-5.94184507992573,-0.115515030376434,4.43991489816758,-0.352447309119827,-3.37262473382808,-0.0617786507386778,3.63447133997308,-0.00809541899578071,-0.339744901515706,-0.071339168180844,0.073683933535711,-0.0905476255877821,-1.16542925610836,0.238168706018272,1.72879169833149,0.233887724529798,-0.767514224357441,0.245526512697871,1.17338489015677,0.225479619110836,0.93820299835968,1.8601236311962,2.88724057649419,1.86677440919448,"Male","Arizona"
"7","All other causes",-0.877974215493516,-0.160400842835349,0.779773528238153,-0.133430852107248,-0.120027018355224,0.34072336785294,0.857759086903873,0.348938508433552,-0.0804427225430333,0.428591570789847,0.895259266406872,0.424268556794472,-1.87062512681099,0.183007038738291,4.5435896040863,0.460705372238138,-9.90716327669561,0.510495030517046,7.32066112040153,-1.58443059622483,-3.4016331958253,0.593801989946006,3.75507099633269,-2.59588693744125,-2.75348372190159,-0.967089808418024,0.674088389481317,-1.01050165498158,-0.843376525392539,0.193259283630695,1.23430323113253,0.194872064301634,-0.306653902496346,0.627773847431308,1.62924361047897,0.63267351648247,"Female","Arizona"
"8","Cancers",-0.173887737425298,0.197260718441964,0.594751594561292,0.199357197115588,-0.227581986143131,0.090356847438091,0.495246638924978,0.097117485084582,-0.711759032782173,-0.381464980635016,0.0129934258365348,-0.37482920400201,-2.083611614269,-0.126554196862504,2.56954874563194,0.0676564490986132,-3.65952614537914,0.128910703518107,3.8226553417096,0.361743366106738,-5.62923176943911,-0.47557031091312,6.28110060668375,4.09854895039724,-2.75348372190159,-0.967089808418024,0.674088389481317,-1.01050165498158,-0.843376525392539,0.193259283630695,1.23430323113253,0.194872064301634,-0.306653902496346,0.627773847431308,1.62924361047897,0.63267351648247,"Female","Arizona"
"9","Cardiovascular",-2.61485510950436,-1.37061045046116,-0.139611662263312,-1.3637491865393,-1.01937551013665,-0.296019756104236,0.440558978408988,-0.291673994417946,-0.0686220227911344,0.521181385128423,1.14236218159805,0.528067299210601,-7.12609798601378,1.16522328220379,7.5698667734561,0.624647644119734,-10.3948100305809,0.19466920010614,15.9189102772834,1.62118686192667,-3.94707742026496,0.718070204275212,4.4085795656603,-2.25514992933382,-2.75348372190159,-0.967089808418024,0.674088389481317,-1.01050165498158,-0.843376525392539,0.193259283630695,1.23430323113253,0.194872064301634,-0.306653902496346,0.627773847431308,1.62924361047897,0.63267351648247,"Female","Arizona"
"10","Communicable",-0.27059093878499,0.00842006193524407,0.458311710852793,0.0314038787533111,-0.0853578378218907,0.118672855419965,0.32840169230214,0.115823379014193,-0.407354125732375,-0.201341874795562,-0.0181200394750165,-0.202354603738708,-1.32063593812634,0.00740660151979017,1.03509880258782,-0.00695519011371146,-3.71825144362684,0.127173499450673,3.34604505755138,-0.123138670606305,-2.77539565289554,-0.244962401266044,3.81399315202429,1.29757207610115,-2.75348372190159,-0.967089808418024,0.674088389481317,-1.01050165498158,-0.843376525392539,0.193259283630695,1.23430323113253,0.194872064301634,-0.306653902496346,0.627773847431308,1.62924361047897,0.63267351648247,"Female","Arizona"
"11","Injuries",-0.308743430496844,0.039129055166354,0.609930215368283,0.0740077292237346,-0.365916918988814,-0.10850229523346,0.130714678468431,-0.108326026125498,0.109868782024464,0.357573277318508,0.683467911729029,0.369515802193363,-2.45817186982527,-0.0150564128757911,1.10804234107273,-0.0736182001827838,-4.05251520523697,-0.0347699579268772,4.46985621055018,0.410780183818866,-4.83233114167416,0.47323225308444,3.95293628828262,-0.839901256328513,-2.75348372190159,-0.967089808418024,0.674088389481317,-1.01050165498158,-0.843376525392539,0.193259283630695,1.23430323113253,0.194872064301634,-0.306653902496346,0.627773847431308,1.62924361047897,0.63267351648247,"Female","Arizona"
"12","Non-communicable",-0.158183804702172,0.176696170292244,0.574005373039317,0.181909578572333,-0.260634207988396,0.0329187674954989,0.355883906752283,0.0329927123127508,-0.484979912858866,-0.121129370306356,0.248185137780415,-0.111994333975248,-2.61155267653257,-0.118524777831292,1.74673646754099,-0.0724360751599895,-2.80224201313826,0.0964563522457841,3.2606836216031,0.313858854978867,-2.47098033991425,-0.106499554052029,2.88710588307067,1.2948170966052,-2.75348372190159,-0.967089808418024,0.674088389481317,-1.01050165498158,-0.843376525392539,0.193259283630695,1.23430323113253,0.194872064301634,-0.306653902496346,0.627773847431308,1.62924361047897,0.63267351648247,"Female","Arizona"
