"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.198217593345954,0.0287856466851693,0.24590525761228,0.0269704096846748,-0.0404432626109218,0.121332445686877,0.304688625551916,0.124010937433726,0.323120291923289,0.480928825003077,0.638124294847102,0.4818194189945,-0.66194149057929,-0.042344438879573,0.273834335994336,-0.102577291733692,-0.207793812386724,-0.0758918874273531,0.0223392587515614,-0.0782368235295257,0.109790098926175,0.154232120665,0.204251254329729,0.154236019032179,-1.09652112891594,-0.673597254572162,-0.241055997472153,-0.669483795299832,-1.98883000573571,-1.64858305551311,-1.30414118245276,-1.6496268166374,2.78559142524219,3.11240642814451,3.47028343787679,3.12086629062695,"Male","California"
"2","Cancers",-0.678519208844687,-0.533184865036556,-0.396203447443651,-0.532868308264959,-0.08714714231241,0.0521577480293949,0.189344455595924,0.0516562999164302,0.222246236280039,0.349771193348113,0.488793473743019,0.349869629048186,0.482049755989755,0.792934646261008,2.16242242723737,0.950398585730346,-0.118874929169683,-0.031636091969068,0.0494896521693476,-0.0327678616951798,0.0725678375434363,0.111809241867491,0.155924307744713,0.112107340996218,-1.09652112891594,-0.673597254572162,-0.241055997472153,-0.669483795299832,-1.98883000573571,-1.64858305551311,-1.30414118245276,-1.6496268166374,2.78559142524219,3.11240642814451,3.47028343787679,3.12086629062695,"Male","California"
"3","Cardiovascular",-1.25566722451105,-1.01708909354404,-0.779738257538958,-1.01319136096313,-0.644640186313748,-0.467971716005629,-0.281545799936483,-0.467299155215805,0.0791443156432009,0.260023498263648,0.442624266456027,0.258997326939717,0.982606520199343,1.50397916543349,3.75744875006136,1.79080424003581,0.179977346056687,0.286549300309312,0.377805676166895,0.283754677994523,0.0270282878899952,0.0838328271956314,0.135024581252157,0.0824733962629678,-1.09652112891594,-0.673597254572162,-0.241055997472153,-0.669483795299832,-1.98883000573571,-1.64858305551311,-1.30414118245276,-1.6496268166374,2.78559142524219,3.11240642814451,3.47028343787679,3.12086629062695,"Male","California"
"4","Communicable",0.176614871139114,0.289295431182588,0.41162611820749,0.290574402251739,-0.904776280968594,-0.784766823745899,-0.665600379009519,-0.784327516763412,0.638998310160269,0.759935490529446,0.893081786816802,0.761376983399738,-1.41316649164074,-0.429583583346553,-0.190264449802084,-0.554842128397651,0.38660078996816,0.477341550852509,0.590978980995811,0.47957131118074,0.205631505822637,0.243980519028633,0.286847251070943,0.244389283160422,-1.09652112891594,-0.673597254572162,-0.241055997472153,-0.669483795299832,-1.98883000573571,-1.64858305551311,-1.30414118245276,-1.6496268166374,2.78559142524219,3.11240642814451,3.47028343787679,3.12086629062695,"Male","California"
"5","Injuries",0.326203834489225,0.556943339594127,0.776786757895048,0.556062695143171,-0.797070875192048,-0.602416224031895,-0.413436108347545,-0.604231202168972,1.09582883264392,1.27107631635607,1.44864223460061,1.27191594578436,-2.98067316693954,-0.83561905312321,-0.309916029001466,-1.06893492722481,0.269791475687455,0.366583373740375,0.478373244771408,0.367092823762614,0.354135567674985,0.407126200507648,0.462834674311737,0.408054857649069,-1.09652112891594,-0.673597254572162,-0.241055997472153,-0.669483795299832,-1.98883000573571,-1.64858305551311,-1.30414118245276,-1.6496268166374,2.78559142524219,3.11240642814451,3.47028343787679,3.12086629062695,"Male","California"
"6","Non-communicable",-0.0945412845171941,0.00399691692163806,0.0944960559614109,0.00296836684867328,-0.0480896691776703,0.030191949204067,0.111095389955056,0.030563820160633,-0.0976539701154713,-0.00240771909037638,0.0965381416744144,-0.00311301353955228,-0.21490905607841,-0.00651281908677724,0.153723068017826,-0.0148484784100013,-0.0740671333506999,-0.0184540612016469,0.0269983332807987,-0.0194141277131717,-0.0322902142155647,-0.000745151884612098,0.0296627182275096,-0.00126089710085662,-1.09652112891594,-0.673597254572162,-0.241055997472153,-0.669483795299832,-1.98883000573571,-1.64858305551311,-1.30414118245276,-1.6496268166374,2.78559142524219,3.11240642814451,3.47028343787679,3.12086629062695,"Male","California"
"7","All other causes",-0.152662736588539,0.0690471680709097,0.28095654004413,0.0673491120336041,0.0672596216643357,0.235271218729844,0.389906739130353,0.233867128032502,0.280482832066749,0.426596721507449,0.569697414300011,0.426880166459803,-6.34648278031229,0.153303804479589,9.87711406773094,0.183906329463129,-1.31787982762338,-0.386266139220309,-0.0838241729883196,-0.463610923004491,0.18327248626496,0.26556691662092,0.348699184460017,0.265569195615996,-0.511702884376979,-0.0630092677459047,0.383859833628788,-0.0572890169362277,-0.972044528603357,-0.594343801856878,-0.253620236870734,-0.602474704465848,1.27744372241888,1.60877199642288,1.95242731484725,1.6121544702931,"Female","California"
"8","Cancers",-0.341324067515475,-0.194615842820664,-0.0638254450169108,-0.19821928162514,-0.233854265868919,-0.0941572346608947,0.0284030392567702,-0.0964269579604356,-0.271062265918002,-0.131971936047518,0.00461040411982948,-0.132350393175076,-16.280857933869,0.570255162887573,10.2117484591259,-0.697380709125463,-0.0592531776267488,0.161455918373861,0.421063005698547,0.165316632579214,-0.186213535882097,-0.0808843971239963,0.00293792994851794,-0.0850453040548091,-0.511702884376979,-0.0630092677459047,0.383859833628788,-0.0572890169362277,-0.972044528603357,-0.594343801856878,-0.253620236870734,-0.602474704465848,1.27744372241888,1.60877199642288,1.95242731484725,1.6121544702931,"Female","California"
"9","Cardiovascular",-0.667650364466365,-0.355944527503365,-0.0326525415430862,-0.356990375515415,-0.755066636884165,-0.514642381872242,-0.294425681134936,-0.520278536205342,0.634253492659644,0.82667190795317,1.04720687467151,0.829226735886336,-31.1261458465629,1.32795154542149,18.4291206858401,0.970389206310443,0.578285230381257,0.870732965591765,1.50646102930141,0.911763955213536,0.416560317278093,0.514123417569097,0.624984526357259,0.515833293305279,-0.511702884376979,-0.0630092677459047,0.383859833628788,-0.0572890169362277,-0.972044528603357,-0.594343801856878,-0.253620236870734,-0.602474704465848,1.27744372241888,1.60877199642288,1.95242731484725,1.6121544702931,"Female","California"
"10","Communicable",0.181841264227989,0.292412270501846,0.406091644082369,0.291383504901069,-0.312231489226776,-0.237679625462146,-0.15517410051813,-0.237667802673537,0.0528314137871089,0.14065901357017,0.22373096871415,0.139309608166536,-15.2696920443147,-0.750598286620537,28.0394455749772,0.63510407560802,0.231289121506996,0.392887813835833,0.909047180031535,0.43554550802456,0.0338512904486961,0.0869596121437773,0.13661954462801,0.0865600124309905,-0.511702884376979,-0.0630092677459047,0.383859833628788,-0.0572890169362277,-0.972044528603357,-0.594343801856878,-0.253620236870734,-0.602474704465848,1.27744372241888,1.60877199642288,1.95242731484725,1.6121544702931,"Female","California"
