"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.358102670639303,0.301015524557668,1.19486355601998,0.333726973407211,-0.644188717989774,-0.212466434250809,0.261227105353161,-0.206329711918182,0.267213295082337,0.703968106491862,1.19366337252066,0.715515953652803,-6.13553555319098,0.186434018878925,7.94572828469627,0.774245775796047,-2.78599948998246,0.346214774571029,3.06094051297921,0.290555717146145,0.234017506313829,0.499678758895019,1.09803409181429,0.594713023302048,-1.34896055241346,-0.0739685641904217,1.31657761558908,-0.0689473092903162,-1.42779380595631,-0.543408406586078,0.317121501439791,-0.545599884367509,0.537312936881266,1.41663935072893,2.37868523284325,1.43615819556023,"Male","Colorado"
"2","Cancers",-0.7161641054922,-0.239886169736152,0.230353982291668,-0.243112292928778,-0.129778886618022,0.233171976995187,0.606412845531188,0.240153201327747,-0.435559276848726,-0.0303163088929804,0.366917791746647,-0.0292610240276675,-5.43769662597007,0.137943268250339,4.35929030682358,-0.336680273479475,-6.13849491804395,-0.295563873287004,6.3073772182672,-0.0485993463134908,-0.493874460350213,-0.0212996639541442,0.244195649419394,-0.1672111889728,-1.34896055241346,-0.0739685641904217,1.31657761558908,-0.0689473092903162,-1.42779380595631,-0.543408406586078,0.317121501439791,-0.545599884367509,0.537312936881266,1.41663935072893,2.37868523284325,1.43615819556023,"Male","Colorado"
"3","Cardiovascular",-1.09663461586165,-0.413336432625061,0.346286592330531,-0.402917435172345,-0.897690402494173,-0.420705542340163,0.0606831570965987,-0.413966559443487,-0.416584843510407,0.0542177069466568,0.543300869411614,0.0590313449059588,-8.71186555458254,0.36664764290853,9.12245960921303,0.325343947249868,-4.30863311819026,0.629160962471903,5.23280019212473,0.405872270754854,-0.557835186403143,0.0384690154739514,0.336325375425963,-0.05125392805164,-1.34896055241346,-0.0739685641904217,1.31657761558908,-0.0689473092903162,-1.42779380595631,-0.543408406586078,0.317121501439791,-0.545599884367509,0.537312936881266,1.41663935072893,2.37868523284325,1.43615819556023,"Male","Colorado"
"4","Communicable",-0.428974258486984,-0.00953790335667903,0.591623401143548,0.0117513080128766,-0.231559428431567,0.144306927019161,0.45369047367302,0.134440057018903,-0.198836667222569,0.150086327003655,0.505742727526399,0.148113251399184,-3.6795482712774,0.0973633257260652,4.1655150756372,0.14998200385508,-2.75326097775524,-0.171040497542976,3.23103678144695,-0.212463210663788,-0.212386554669597,0.107428461330114,0.375368693567235,0.111242715353643,-1.34896055241346,-0.0739685641904217,1.31657761558908,-0.0689473092903162,-1.42779380595631,-0.543408406586078,0.317121501439791,-0.545599884367509,0.537312936881266,1.41663935072893,2.37868523284325,1.43615819556023,"Male","Colorado"
"5","Injuries",-0.449323670596667,0.0750421814154034,0.622368847257413,0.0835965215662853,-0.616418240197524,-0.266005317720882,0.0480158560343779,-0.275048567849428,0.302185646772109,0.638093931379729,1.01976092764007,0.643681167198978,-4.6294134108591,0.148081123425411,4.07480044020108,0.00475230567206395,-4.47352531311017,0.404833343143362,4.19263684127756,0.417961929559307,0.216679389260652,0.45237446684599,1.05081327382161,0.609088411139981,-1.34896055241346,-0.0739685641904217,1.31657761558908,-0.0689473092903162,-1.42779380595631,-0.543408406586078,0.317121501439791,-0.545599884367509,0.537312936881266,1.41663935072893,2.37868523284325,1.43615819556023,"Male","Colorado"
"6","Non-communicable",-0.15897330690658,0.121639715199535,0.569890092674168,0.148007615824435,-0.247260905570842,-0.032323514018817,0.252198685534239,-0.0248483035030619,-0.399419390573667,-0.0980905121605357,0.195806213305637,-0.10092249756903,-3.53769664111778,0.00885688847965852,4.82652179266202,0.0823562409064161,-1.22114711698786,0.0597276775485605,2.19597548802286,0.146672639516973,-0.474300672426774,-0.0697833049264518,0.145040224199592,-0.0965790327712312,-1.34896055241346,-0.0739685641904217,1.31657761558908,-0.0689473092903162,-1.42779380595631,-0.543408406586078,0.317121501439791,-0.545599884367509,0.537312936881266,1.41663935072893,2.37868523284325,1.43615819556023,"Male","Colorado"
"7","All other causes",-0.828865097182858,-0.211018765598031,0.615317567902489,-0.183014288615895,-0.409550373502382,0.0413335708452115,0.537089092939042,0.0511146107237497,0.235723894076109,0.693588092775487,1.20292628213409,0.697839121941409,-6.47856312877711,0.0499771163890294,6.55384201918049,-1.20986758830491,-4.54013002587399,0.169808965668194,5.07254803807538,-2.63899730836329,0.162083041147132,0.468968439608341,1.00793457227579,0.491697127137797,-0.931879114091085,0.379087747202487,1.77843082783506,0.387500308914598,-1.21535553997558,-0.238077530332724,0.815594877691,-0.22418460234409,0.592348084606816,1.51274958592038,2.50689036232542,1.50260539558423,"Female","Colorado"
"8","Cancers",-0.371077515094959,0.0676992584348527,0.56315821607549,0.074181624655491,-0.412240333346513,-0.00902591686607573,0.362479621551889,-0.0114281492313965,-0.37007657955986,0.00477529900557477,0.410681817692765,0.00594388552536518,-3.68283660119434,0.123650492734124,3.74398322758697,-0.0925691095939768,-3.8766003012992,0.106974278501703,3.41314854562498,-1.2225597435986,-0.405608042703256,0.00414520521929669,0.256142938656492,-0.0130000998211333,-0.931879114091085,0.379087747202487,1.77843082783506,0.387500308914598,-1.21535553997558,-0.238077530332724,0.815594877691,-0.22418460234409,0.592348084606816,1.51274958592038,2.50689036232542,1.50260539558423,"Female","Colorado"
"9","Cardiovascular",-0.683822742406843,0.208782957116445,1.20550041751598,0.215588502023642,-1.0475871954684,-0.385115141318102,0.296972825006455,-0.386026471213526,-0.181554789259206,0.38660934026506,0.955148612748595,0.385013494030794,-6.88565081188247,0.478119232128074,5.93926321897769,0.583844424750949,-7.16555309168486,0.760137628838644,7.39956147115241,7.92472966925592,-0.217109630992936,0.2567804505487,0.597586701996177,0.239012270705683,-0.931879114091085,0.379087747202487,1.77843082783506,0.387500308914598,-1.21535553997558,-0.238077530332724,0.815594877691,-0.22418460234409,0.592348084606816,1.51274958592038,2.50689036232542,1.50260539558423,"Female","Colorado"
"10","Communicable",-0.162204239594977,0.0582251281518027,0.387875063742917,0.0721399712706793,-0.212370947211666,-0.0187551468450998,0.160688953757944,-0.0212081738765688,-0.231312599702383,-0.0127706901233598,0.231323527541661,-0.0107820900240341,-2.57593363549366,0.0736735236231101,3.44799213615538,0.275236353752052,-1.46492472860832,0.0456723643098974,2.21753206473449,0.742147394676024,-0.230507532772567,-0.00809598013144992,0.166533878945419,-0.0165129512927202,-0.931879114091085,0.379087747202487,1.77843082783506,0.387500308914598,-1.21535553997558,-0.238077530332724,0.815594877691,-0.22418460234409,0.592348084606816,1.51274958592038,2.50689036232542,1.50260539558423,"Female","Colorado"
"11","Injuries",-0.203431405200177,0.125583970540937,0.65540420730251,0.153430324820832,-0.194709149690547,0.0370298077893124,0.267331245185081,0.0352566361852057,0.158027763127449,0.393896049499756,0.68986407870696,0.400982795499544,-3.75756820082279,0.169483674440905,4.4753977163347,1.45208506070961,-2.52275683977366,-0.00444929404152447,1.88673754108566,-1.36096609888303,0.103822038833751,0.265928278067415,0.698344803171859,0.290139729515401,-0.931879114091085,0.379087747202487,1.77843082783506,0.387500308914598,-1.21535553997558,-0.238077530332724,0.815594877691,-0.22418460234409,0.592348084606816,1.51274958592038,2.50689036232542,1.50260539558423,"Female","Colorado"
"12","Non-communicable",-0.230483326315259,0.0491799582446665,0.35149459371456,0.0551741747598499,-0.136918050055461,0.10049379617147,0.378701647311464,0.108106945068446,-0.30062104735873,0.0278186869893569,0.364467983966334,0.0236081886111519,-2.41859362516439,0.0646917510054786,2.13391073035092,-0.00872914131371896,-3.96051545552694,-0.0354084422793252,4.06041883262454,-2.44435391308702,-0.322945407809725,0.0185383808038843,0.245810711544956,0.00866392375497275,-0.931879114091085,0.379087747202487,1.77843082783506,0.387500308914598,-1.21535553997558,-0.238077530332724,0.815594877691,-0.22418460234409,0.592348084606816,1.51274958592038,2.50689036232542,1.50260539558423,"Female","Colorado"
