"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.530928158536274,0.101084065291576,0.766936133920543,0.106539797405899,0.357689305939287,0.796981950468655,1.21814438863922,0.795324397128984,0.798503178441363,1.17014672327228,1.60181427235939,1.18438649909464,-8.44477291162437,0.0330154073145545,8.98535067918613,-1.37330851162783,-1.02068340279434,-0.432305344305294,-0.162082703293,-0.468451858690322,0.134081862134447,0.187725034989137,0.243927398806979,0.188185720108292,-1.44816337672909,-0.391443933335731,0.630475354170174,-0.394529295507073,-2.64271638063488,-1.86827963179117,-1.07203795221516,-1.86013846056567,5.40617557548829,6.29850606857442,7.11639161291657,6.28735011475534,"Male","Connecticut"
"2","Cancers",-0.728895707080721,-0.384250050236346,-0.0360045022861319,-0.387054858877911,-0.219503358779431,0.0731899327330904,0.371484431101051,0.0737780228269791,0.341695270445871,0.654235401135016,0.975262109855771,0.656789281060441,-7.03570077411636,0.580376293350741,9.76820039058988,1.24326770591935,-0.264779506377053,-0.0397777787246537,0.108704584761708,-0.0489216623403246,0.054219128903699,0.104497447110572,0.149937960289822,0.104250971340008,-1.44816337672909,-0.391443933335731,0.630475354170174,-0.394529295507073,-2.64271638063488,-1.86827963179117,-1.07203795221516,-1.86013846056567,5.40617557548829,6.29850606857442,7.11639161291657,6.28735011475534,"Male","Connecticut"
"3","Cardiovascular",-1.22633040282834,-0.681286274753656,-0.129168646176425,-0.675734628784042,-0.57435338000932,-0.171157653984064,0.248921966089579,-0.166548000396434,0.504112420763561,0.898367261893064,1.31359432578536,0.90102456524543,-14.027614491347,1.09991196183483,18.420388641411,4.84302739692301,-0.175042498961145,0.0921935771849659,0.282743966163279,0.0812716490851585,0.0851103161852028,0.142760310003507,0.201403356895959,0.142859767261905,-1.44816337672909,-0.391443933335731,0.630475354170174,-0.394529295507073,-2.64271638063488,-1.86827963179117,-1.07203795221516,-1.86013846056567,5.40617557548829,6.29850606857442,7.11639161291657,6.28735011475534,"Male","Connecticut"
"4","Communicable",-0.334073092696931,0.00875356624522533,0.432374077017322,0.0185591898871113,-2.42017517284415,-2.01169261031519,-1.63071277364548,-2.01814035226122,1.93421890083675,2.32848417403471,2.71616455549813,2.32835381955532,-4.21004946210964,0.0597116173480879,4.62482373342186,0.0545373387850994,0.778699881787733,1.08086879076831,1.79463854400959,1.13576120613918,0.30754360337696,0.370626549404891,0.439212097450598,0.371298701492033,-1.44816337672909,-0.391443933335731,0.630475354170174,-0.394529295507073,-2.64271638063488,-1.86827963179117,-1.07203795221516,-1.86013846056567,5.40617557548829,6.29850606857442,7.11639161291657,6.28735011475534,"Male","Connecticut"
"5","Injuries",0.183984172090324,0.604692476351713,1.07746049843604,0.608563558667333,-0.811908884671004,-0.502372490801511,-0.192929792228475,-0.504261859346139,0.856045298706711,1.18274141829384,1.50371965703719,1.18444813812999,-19.130756543653,-0.786998395249034,15.9301897423072,-3.77819256922314,0.11138522952997,0.268787383803437,0.473602931613049,0.279028289898936,0.13968436920373,0.188468842342707,0.238532052657563,0.188595030292495,-1.44816337672909,-0.391443933335731,0.630475354170174,-0.394529295507073,-2.64271638063488,-1.86827963179117,-1.07203795221516,-1.86013846056567,5.40617557548829,6.29850606857442,7.11639161291657,6.28735011475534,"Male","Connecticut"
"6","Non-communicable",-0.253927786483441,-0.0668477611734797,0.130232704354951,-0.0654023538054628,-0.188076415234419,-0.0402933527034023,0.117510282179161,-0.0402906685178448,-0.15916231449188,0.0284740748378762,0.247491962346853,0.0323478116695185,-2.4487014996157,0.0925504807579318,2.11214133619381,0.0106686392235132,-0.0698250214545294,0.0216676274662326,0.103676546444452,0.0213123759073756,-0.0264510062260605,0.00459056667868849,0.0377429357563468,0.0048098095052669,-1.44816337672909,-0.391443933335731,0.630475354170174,-0.394529295507073,-2.64271638063488,-1.86827963179117,-1.07203795221516,-1.86013846056567,5.40617557548829,6.29850606857442,7.11639161291657,6.28735011475534,"Male","Connecticut"
"7","All other causes",-0.314197659253992,0.187881854791356,0.787238834416828,0.20431665873363,-0.00132505063834103,0.403654796749155,0.746074443695553,0.396991125273764,0.38289293283556,0.797553349682802,1.18722624577121,0.797151267517176,-1.23961786904903,0.214418810731762,1.91604926920744,0.341679869562963,-11.0901101499325,-0.349508464602092,18.549547468558,1.89089208487123,0.159343534863855,0.283191118580022,0.41602813094501,0.283601287806455,-0.137907617739732,0.87956402145728,2.03494095744483,0.893888080920048,-0.972729930501057,-0.119924728130008,0.701205029325921,-0.12449541512772,1.96943006803116,2.82064422978235,3.6928274426895,2.82369119477545,"Female","Connecticut"
"8","Cancers",-0.215886410581804,0.0614844952407055,0.337874539841305,0.0609666603126869,-0.260577861762885,-0.0106625051419862,0.249157620440722,-0.00885772209787959,-0.284203900334135,-0.00767839102803033,0.285144972984158,-0.00598078161546357,-0.941768853362918,0.06603707225366,1.08762348955515,0.0116491504627878,-2.38516068983765,0.120125495971332,2.7935444526448,0.338303442801629,-0.117888529894132,-0.00265915417894422,0.0954078241270948,-0.00522323938845425,-0.137907617739732,0.87956402145728,2.03494095744483,0.893888080920048,-0.972729930501057,-0.119924728130008,0.701205029325921,-0.12449541512772,1.96943006803116,2.82064422978235,3.6928274426895,2.82369119477545,"Female","Connecticut"
"9","Cardiovascular",-0.563687877419492,0.199945633779328,0.963922886926437,0.194667773021479,-0.713840651204172,-0.105820495814349,0.480833065598166,-0.103155862326572,0.321596714713889,0.86493735380342,1.3515151337037,0.854930069097463,-2.12613143783949,0.240023313311483,2.10892180151851,0.0558307331406942,-5.17928541303177,0.502813411372485,6.50634726806727,0.737264191432779,0.134516432810832,0.303789359239345,0.432849810600055,0.300569857007938,-0.137907617739732,0.87956402145728,2.03494095744483,0.893888080920048,-0.972729930501057,-0.119924728130008,0.701205029325921,-0.12449541512772,1.96943006803116,2.82064422978235,3.6928274426895,2.82369119477545,"Female","Connecticut"
"10","Communicable",0.00381474573967411,0.362079615339704,0.845470460326077,0.368812155788768,-0.779531205632825,-0.502487402312777,-0.204077464702416,-0.499807751197538,0.445381893091658,0.72853438493985,1.02631282795119,0.729205191551572,-1.694628546375,0.371206817720235,2.57619387281327,0.548957160438064,-23.8547152986803,0.794757680118368,12.6923730529035,-2.07036279805236,0.166360843834289,0.259976919423576,0.380197852860743,0.261642052151016,-0.137907617739732,0.87956402145728,2.03494095744483,0.893888080920048,-0.972729930501057,-0.119924728130008,0.701205029325921,-0.12449541512772,1.96943006803116,2.82064422978235,3.6928274426895,2.82369119477545,"Female","Connecticut"
