"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",0.102612563352193,0.373720115929753,0.641842047754781,0.37130010456763,-0.187291564980459,0.0416171319698391,0.277663137301452,0.0413552386925358,0.645965245129031,0.875967920771526,1.11026650745304,0.875543268807425,0.0827086640980847,0.272156878038143,0.447612729070609,0.265750277106527,-0.11192666493316,-0.0151022851538712,0.0662434522935699,-0.0173164000485062,0.165762595866361,0.217335886377477,0.266452689893039,0.216258030598999,0.925903404625424,1.38081817587984,1.8727748107111,1.39128006630827,-3.057842618373,-2.68603994772193,-2.25051351457415,-2.67896556105636,3.66157378825208,4.0364523144047,4.48161947273957,4.04487601703117,"Male","Illinois"
"2","Cancers",-0.761305369472446,-0.630911711388706,-0.502339322381397,-0.630029761386228,-0.175633912469572,-0.0450606614738416,0.0851713812915963,-0.0446333202016799,0.221894039730168,0.368530918087491,0.520983475801534,0.368480157204551,-0.740025867724546,-0.453203059899263,-0.296432449148055,-0.468931658814172,-0.0332482728863942,0.0169056431468891,0.0628350793391182,0.0161672002980217,0.0560749281312946,0.0915985932087084,0.126053509497763,0.0910702649825682,0.925903404625424,1.38081817587984,1.8727748107111,1.39128006630827,-3.057842618373,-2.68603994772193,-2.25051351457415,-2.67896556105636,3.66157378825208,4.0364523144047,4.48161947273957,4.04487601703117,"Male","Illinois"
"3","Cardiovascular",0.30721311145754,0.588252290180904,0.84774570837567,0.584465952953734,-0.589962154843075,-0.360595658460337,-0.151020094220285,-0.362467796019543,-0.203783860953858,0.000306836732862248,0.21058455378762,0.00198809978184524,0.252622719166195,0.424001711414692,0.599331333333044,0.42328147147072,0.0612498772918047,0.1335157571806,0.20539827590585,0.134435302428517,-0.0531342474650331,7.79900708849858e-05,0.0509255050382345,-9.86816334899661e-05,0.925903404625424,1.38081817587984,1.8727748107111,1.39128006630827,-3.057842618373,-2.68603994772193,-2.25051351457415,-2.67896556105636,3.66157378825208,4.0364523144047,4.48161947273957,4.04487601703117,"Male","Illinois"
"4","Communicable",0.36696616960852,0.492085049699767,0.62232114422954,0.494146934613685,-1.22818360652964,-1.10376800040908,-0.974751342083629,-1.10484877815686,1.03291824829183,1.16935285395868,1.30292876731488,1.17025638481368,0.242162330695668,0.355794358961415,0.527880627748174,0.364180913047296,0.352074777324162,0.410411474953207,0.492608870590212,0.414514882362602,0.255301359713762,0.288288479461671,0.330808837263086,0.289877454538505,0.925903404625424,1.38081817587984,1.8727748107111,1.39128006630827,-3.057842618373,-2.68603994772193,-2.25051351457415,-2.67896556105636,3.66157378825208,4.0364523144047,4.48161947273957,4.04487601703117,"Male","Illinois"
"5","Injuries",0.465581577467936,0.706009931434461,0.935995128700478,0.703236903099169,-1.2994923840577,-1.08808683641365,-0.877965179626953,-1.08960953105534,1.22635924138009,1.43726312440078,1.66348712685091,1.43653497437131,0.349656592680343,0.505940848995443,0.729864979141602,0.514152425486064,0.337609504115953,0.408290639336078,0.487454111628354,0.407807268260256,0.307133974549705,0.355179458000057,0.403726876096525,0.355431238262782,0.925903404625424,1.38081817587984,1.8727748107111,1.39128006630827,-3.057842618373,-2.68603994772193,-2.25051351457415,-2.67896556105636,3.66157378825208,4.0364523144047,4.48161947273957,4.04487601703117,"Male","Illinois"
"6","Non-communicable",-0.21453615774103,-0.132036244265505,-0.0437551472781474,-0.131840067539723,-0.204766314639841,-0.118624936515069,-0.036786661473594,-0.118761374315466,0.0825164689316791,0.192468605994483,0.295058324021451,0.192073132052361,-0.192235129213996,-0.0950078279693923,-0.0304150364084316,-0.0984334282964341,0.0139243684683739,0.0443954716154753,0.0755643217917574,0.0443917466991098,0.0206443698262646,0.0473369884529059,0.0752536564457716,0.0474616932506354,0.925903404625424,1.38081817587984,1.8727748107111,1.39128006630827,-3.057842618373,-2.68603994772193,-2.25051351457415,-2.67896556105636,3.66157378825208,4.0364523144047,4.48161947273957,4.04487601703117,"Male","Illinois"
"7","All other causes",0.0284711872611982,0.272727266849862,0.524119490843694,0.274841273397097,-0.135590893315585,0.0495902499676539,0.239466236136704,0.0483079968567692,0.567387745037877,0.757718956181416,0.972869024111253,0.759260545288982,0.017852968844615,0.164463751596826,0.286936477283409,0.160480827404884,-0.500492433225814,-0.0637683104128981,0.159208006065294,-0.0861763804850449,0.240064516476681,0.309573725058741,0.38454954027807,0.308754191323786,1.23185359874205,1.69341040602196,2.19663585802221,1.68841727659153,-1.1564549299735,-0.791929506910766,-0.403106099444869,-0.789234993232983,2.08278553671704,2.46682601106371,2.81938740630978,2.46083688347847,"Female","Illinois"
"8","Cancers",-0.284579058436112,-0.139832763702913,0.000826564703835255,-0.138462237326732,-0.345672545346461,-0.198052380844324,-0.0574833086867637,-0.199098546786927,-0.0657092134962747,0.0866420937310136,0.243818601539372,0.088823302829328,-0.200321569803727,-0.0822925587350026,0.000478865563862633,-0.0861406543311728,0.077397150975293,0.249678313600823,0.500463041306527,0.26278780275553,-0.0281889886270702,0.0356503451560064,0.0939753867632697,0.0354211469275979,1.23185359874205,1.69341040602196,2.19663585802221,1.68841727659153,-1.1564549299735,-0.791929506910766,-0.403106099444869,-0.789234993232983,2.08278553671704,2.46682601106371,2.81938740630978,2.46083688347847,"Female","Illinois"
"9","Cardiovascular",0.765885745385797,1.08163901979956,1.42841298793353,1.0854054847764,-0.294588317965174,-0.0306938457205914,0.230017811968191,-0.0262910873619051,0.319587675499174,0.54953581101109,0.775865106641441,0.552332266203367,0.508064182666881,0.642904533911178,0.816287403328994,0.646193796164208,-0.497709364237886,0.038596936052306,0.292171332768304,-0.00483490065591336,0.141199336802608,0.224519667346149,0.299169579996507,0.223614097247451,1.23185359874205,1.69341040602196,2.19663585802221,1.68841727659153,-1.1564549299735,-0.791929506910766,-0.403106099444869,-0.789234993232983,2.08278553671704,2.46682601106371,2.81938740630978,2.46083688347847,"Female","Illinois"
"10","Communicable",0.280420325591631,0.381030318198523,0.500732954279049,0.383129297786873,-0.418252538173238,-0.333642216831878,-0.260600529866645,-0.334883775826707,0.195159193491902,0.288295758280585,0.382121245017715,0.288898227126152,0.154853855794,0.228345639149107,0.323656992669142,0.23080755974732,0.279122536967585,0.424525338908914,0.809793270116128,0.455491014023401,0.0806365186196915,0.11674797406549,0.157867982059268,0.117765843383424,1.23185359874205,1.69341040602196,2.19663585802221,1.68841727659153,-1.1564549299735,-0.791929506910766,-0.403106099444869,-0.789234993232983,2.08278553671704,2.46682601106371,2.81938740630978,2.46083688347847,"Female","Illinois"
