"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.968088100310656,-0.304958147494918,0.58330733535605,-0.281175998308002,-0.536130476622937,0.0746997370280827,0.583910569468979,0.058448900286686,0.197563001900893,0.73058756129564,1.38658892824323,0.747183631782872,-3.30714376910824,-0.148208509325838,4.14080859834998,0.213271617990715,-4.92228797541441,0.0633324549839869,4.67074319302516,1.27249750454538,0.105962881834738,0.416677660588373,1.35213054270234,0.732604033744831,-0.76073176929613,1.10930269417747,3.04602952486356,1.11858324564559,-1.56029025335934,-0.302923827642064,0.99036996146007,-0.313742581518971,0.396095698064238,1.77587104528435,3.41806140245073,1.81253353816377,"Male","Iowa"
"2","Cancers",-0.611413732400159,-0.146207264892464,0.383155550819817,-0.132045553319017,-0.754728229764637,-0.240027028932727,0.277249603338937,-0.227498636171794,-0.556283622614848,0.0294832570349059,0.828425813928899,0.0568638882739635,-2.14203356358422,-0.0676829542551207,1.73589690456143,-0.0664683928408356,-6.37662387838331,0.262467523526225,3.77909696347287,-1.02568228888403,-0.642314620058656,0.0192991534163127,0.411555853161743,-0.258325086538304,-0.76073176929613,1.10930269417747,3.04602952486356,1.11858324564559,-1.56029025335934,-0.302923827642064,0.99036996146007,-0.313742581518971,0.396095698064238,1.77587104528435,3.41806140245073,1.81253353816377,"Male","Iowa"
"3","Cardiovascular",-0.619029140978733,0.520161215718569,1.74446653674269,0.555392162031395,-1.20791349681547,-0.38046525017895,0.563918602020819,-0.373254577486511,-0.476466585810321,0.355660804849254,1.25073449672781,0.357547522723515,-3.1879091707674,0.445426769217397,3.86931065972754,0.458862306598486,-9.13893867180603,0.574065201499973,5.78629891534189,-1.08497561440961,-0.643198655142207,0.197231313024143,0.638208984351626,0.144121725666257,-0.76073176929613,1.10930269417747,3.04602952486356,1.11858324564559,-1.56029025335934,-0.302923827642064,0.99036996146007,-0.313742581518971,0.396095698064238,1.77587104528435,3.41806140245073,1.81253353816377,"Male","Iowa"
"4","Communicable",-0.0782951800528124,0.300057296568631,1.1376529615124,0.368585819575678,-0.345606330133678,-0.0277559915077035,0.18868689431119,-0.040043801725772,-0.513521554905012,-0.147885974471266,0.271359827416122,-0.143376361003224,-2.16950288943497,0.202182653475637,3.22564899584109,-0.0725057751581668,-2.2591657552984,0.0405272998386469,1.92963580641725,-0.155831740318983,-0.586713459810952,-0.0783121980878873,0.154739252727988,-0.296084157418277,-0.76073176929613,1.10930269417747,3.04602952486356,1.11858324564559,-1.56029025335934,-0.302923827642064,0.99036996146007,-0.313742581518971,0.396095698064238,1.77587104528435,3.41806140245073,1.81253353816377,"Male","Iowa"
"5","Injuries",-0.463628358233738,0.539439174423708,2.09985728366207,0.619952039193082,-0.308757310636985,0.30693456790571,0.943780827672247,0.316557279267506,0.105472942049979,0.728036966966382,1.4008522797393,0.734216181976034,-3.35951548737332,0.481082493342051,3.01754391798091,0.418720049843101,-6.25814769951326,-0.092793153916067,10.1701523323198,2.33016755118287,0.0635640097889876,0.399647960861606,1.41024266411367,0.710850287233893,-0.76073176929613,1.10930269417747,3.04602952486356,1.11858324564559,-1.56029025335934,-0.302923827642064,0.99036996146007,-0.313742581518971,0.396095698064238,1.77587104528435,3.41806140245073,1.81253353816377,"Male","Iowa"
"6","Non-communicable",-0.251719890253004,-0.0260180875227026,0.345887031277058,-0.0121252235275464,-0.277206511288346,-0.0479268066934464,0.156022773849034,-0.0479517456890866,-0.408008234427181,0.0668556608875596,0.442134378449084,0.0600986744106108,-0.642251757254606,-0.0107762924681693,0.941416603490071,0.0481201935666993,-3.16565021130633,0.0430196121415234,1.42238699430346,-0.336175412115633,-0.355600150648375,0.0376479875162212,0.309163181719605,-0.0331668026884008,-0.76073176929613,1.10930269417747,3.04602952486356,1.11858324564559,-1.56029025335934,-0.302923827642064,0.99036996146007,-0.313742581518971,0.396095698064238,1.77587104528435,3.41806140245073,1.81253353816377,"Male","Iowa"
"7","All other causes",-0.994968262473724,-0.288838641466749,0.585571464083255,-0.264305963364638,-0.473723009187902,0.081260447020465,0.616098110585802,0.0830124321141876,-0.193603517773566,0.486492950753137,1.07157017358836,0.472047587716485,-6.87918316581932,0.304340832595629,5.30301200924072,-0.194840613234632,-5.16073064954636,0.211329034661326,6.66722949990367,-0.855588021427198,-2.26095671000514,0.42540075036459,3.8692038762188,0.330672424443984,-1.68543136679679,-0.213835752479016,1.28467921448914,-0.18641427241518,-0.948895194813499,0.26163975028378,1.36765186632376,0.250025027075676,-0.495576540838253,0.972306026821009,2.35522115250404,0.968264284929129,"Female","Iowa"
"8","Cancers",-0.729179859219633,-0.0240525556319578,0.735878124191619,-0.00723163372722695,-0.684127924726012,0.0841711549255247,0.726382425698316,0.0558215201240233,-0.571986013697127,0.130098739880847,1.0175051034496,0.146801286197199,-4.7407375441533,0.19826678904634,5.46123966062145,0.353324982216408,-5.26861868012643,0.256805414150046,6.14950268076838,1.60730202033991,-2.37145658713972,0.160553226634861,2.11574881964662,0.71789987627942,-1.68543136679679,-0.213835752479016,1.28467921448914,-0.18641427241518,-0.948895194813499,0.26163975028378,1.36765186632376,0.250025027075676,-0.495576540838253,0.972306026821009,2.35522115250404,0.968264284929129,"Female","Iowa"
"9","Cardiovascular",-0.956835273138825,0.0465318484255945,1.10406186920726,0.0556543087451882,-0.709596855534105,0.100833913702532,0.934976965078812,0.102301200018045,-0.718933626727366,0.194795379273852,0.970597795182133,0.184936160309561,-6.15321517398038,0.397161484409859,6.93939346431699,0.310307232094282,-4.96717776376869,0.427917023416932,6.52019094757339,0.568254601362819,-2.61240842771875,0.214655427669622,3.31605039994049,-0.220496476637279,-1.68543136679679,-0.213835752479016,1.28467921448914,-0.18641427241518,-0.948895194813499,0.26163975028378,1.36765186632376,0.250025027075676,-0.495576540838253,0.972306026821009,2.35522115250404,0.968264284929129,"Female","Iowa"
"10","Communicable",-0.205821803765994,0.124395826846196,0.759807929257894,0.17265289038045,-0.197464886282174,0.0569593041699408,0.310315978649827,0.0553742794477408,-0.43483487689254,-0.103394814042881,0.175763720959126,-0.110590805467678,-3.51721598442877,0.0257875448637284,4.19802382293627,0.358639978235316,-1.87817027416431,0.0577876891252137,2.29800651677448,-0.28827206322863,-1.62757887180265,-0.0768661905052112,1.35492782192398,-0.178957845074996,-1.68543136679679,-0.213835752479016,1.28467921448914,-0.18641427241518,-0.948895194813499,0.26163975028378,1.36765186632376,0.250025027075676,-0.495576540838253,0.972306026821009,2.35522115250404,0.968264284929129,"Female","Iowa"
"11","Injuries",-0.310579663299082,-0.12887181322406,0.157005157597222,-0.11103152725848,-0.135554729533109,-0.00949058507286647,0.157081010970045,-0.00255040506764208,-0.109736376844711,0.0840053242907493,0.286404664790647,0.0840567133748741,-1.69439958067445,0.0844926490873819,2.2366618559314,0.0888067858596171,-1.73263931479649,0.0195777563195555,1.56871718805738,0.016059456726959,-0.582704749894346,0.074273447724485,0.917642911864722,-0.238654853034884,-1.68543136679679,-0.213835752479016,1.28467921448914,-0.18641427241518,-0.948895194813499,0.26163975028378,1.36765186632376,0.250025027075676,-0.495576540838253,0.972306026821009,2.35522115250404,0.968264284929129,"Female","Iowa"
"12","Non-communicable",-0.362417036961339,-0.0527605222369871,0.473962358914351,-0.0321523471904734,-0.421078036826791,-0.0410483072664999,0.281792895387543,-0.0439339995606794,-0.347124422411294,0.192515221264387,0.766862315122252,0.191013342798688,-2.62545992643118,0.0282141141706715,3.11312580984975,0.0837616348290098,-3.01393480291383,0.0272122340803579,3.68662496442558,-0.0477559937738583,-1.29872190495714,0.195626791494174,2.192114579473,0.589536874023755,-1.68543136679679,-0.213835752479016,1.28467921448914,-0.18641427241518,-0.948895194813499,0.26163975028378,1.36765186632376,0.250025027075676,-0.495576540838253,0.972306026821009,2.35522115250404,0.968264284929129,"Female","Iowa"
