"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.147099441471252,0.0947382279482391,0.367369560428155,0.0959725384874206,-0.162086223797868,0.0173977269500717,0.197657301060426,0.0188263719045194,0.251346919423687,0.446251430383224,0.650419561517374,0.448038988225172,-2.0039008127705,0.255919235726965,3.04572848420372,0.411693497147652,-0.136237789090213,-0.0106337982716669,0.0910468277590032,-0.0146580619106123,0.101894980103244,0.174647656344173,0.243049585143538,0.174551590908936,-0.132134774167916,0.342412824067537,0.809394856475356,0.343692734103912,-2.05769248172756,-1.6481151991487,-1.21555475849142,-1.65657179131951,2.09210931559364,2.55377666394696,3.02580547572658,2.56593116040497,"Male","Louisiana"
"2","Cancers",-0.56003328447435,-0.421293483886831,-0.272656210981719,-0.420785909502438,-0.476552856355777,-0.326576336817307,-0.175546734698059,-0.324893358535699,0.0558907710167193,0.228074479494939,0.411329244048307,0.229188933480901,-11.3651510463791,-1.05227400597836,10.5846898617355,0.235391706345148,0.109266539248174,0.196668801647012,0.285414626352071,0.197401405529842,0.0223859541750157,0.0889173920973264,0.155948225157441,0.0887991498981923,-0.132134774167916,0.342412824067537,0.809394856475356,0.343692734103912,-2.05769248172756,-1.6481151991487,-1.21555475849142,-1.65657179131951,2.09210931559364,2.55377666394696,3.02580547572658,2.56593116040497,"Male","Louisiana"
"3","Cardiovascular",-0.785426887999384,-0.528765675680227,-0.276222827791105,-0.527400180255753,-0.215363382580051,0.013310464981382,0.220020015190288,0.008552779261042,0.0907326135880477,0.308124205215617,0.53252443049257,0.311170578179492,-14.145357284096,-1.27307940564817,16.7708439044378,0.335632451879829,-0.149502125088736,-0.00810886016275153,0.119892130327865,-0.00961283217140609,0.0382475341774834,0.121272449922906,0.196924383108166,0.120359000605159,-0.132134774167916,0.342412824067537,0.809394856475356,0.343692734103912,-2.05769248172756,-1.6481151991487,-1.21555475849142,-1.65657179131951,2.09210931559364,2.55377666394696,3.02580547572658,2.56593116040497,"Male","Louisiana"
"4","Communicable",0.360226823754002,0.508493013396284,0.660531842086026,0.511336783592697,-0.370952045249628,-0.251826923085394,-0.140885141542825,-0.251804969886713,-0.064471972222113,0.0750060711216449,0.211472611718417,0.0763870787437446,-11.6687762866146,1.28501274198366,12.690419636498,-0.164937211807081,0.0831933609392685,0.152459869340827,0.2265008347576,0.153344526154685,-0.0256486035560226,0.0290250531368795,0.0795313515513794,0.0294700094353705,-0.132134774167916,0.342412824067537,0.809394856475356,0.343692734103912,-2.05769248172756,-1.6481151991487,-1.21555475849142,-1.65657179131951,2.09210931559364,2.55377666394696,3.02580547572658,2.56593116040497,"Male","Louisiana"
"5","Injuries",0.485640080170736,0.777509867866267,1.07793455076046,0.779271458751039,-1.23440302244533,-0.981038510430329,-0.73813917846045,-0.983792976663746,1.23786333354116,1.49359955711336,1.74222538225937,1.49404088964767,-16.41030918442,2.04571534962445,14.4140802719895,0.0727190760648864,0.466070130078698,0.59637527695803,0.755485005687996,0.598550180351491,0.491164362952268,0.583886380382626,0.684885151062558,0.584459842451291,-0.132134774167916,0.342412824067537,0.809394856475356,0.343692734103912,-2.05769248172756,-1.6481151991487,-1.21555475849142,-1.65657179131951,2.09210931559364,2.55377666394696,3.02580547572658,2.56593116040497,"Male","Louisiana"
"6","Non-communicable",-0.182442869904387,-0.0946685830340969,-0.00517585458540025,-0.0947019569690541,-0.207025058709447,-0.122435059222184,-0.036838290883158,-0.123459637398912,-0.104512050750706,0.00796357296650621,0.119006543741127,0.00710469212799193,-2.37633784390215,-0.23762592485106,2.50371215560484,0.109500480369566,0.0236293946916421,0.0735183107297481,0.128883764201667,0.0749747820460002,-0.0427660547422016,0.00312499015961649,0.0463417535621801,0.00236040670105081,-0.132134774167916,0.342412824067537,0.809394856475356,0.343692734103912,-2.05769248172756,-1.6481151991487,-1.21555475849142,-1.65657179131951,2.09210931559364,2.55377666394696,3.02580547572658,2.56593116040497,"Male","Louisiana"
"7","All other causes",0.078131105809406,0.334219246391387,0.601996811169526,0.337532036445399,-0.103370546033664,0.0991160723714464,0.289010848371322,0.0976556297179433,0.329773750578107,0.550751630167581,0.760201721524778,0.546183366431836,0.0375019395037294,0.147411998299338,0.249060576570119,0.14698862304643,-10.7424634949108,0.393453274683783,7.63015477122372,-0.346336742720784,0.169387195243423,0.252783919831277,0.339663300009533,0.2522664534343,1.80320148674997,2.27026691933938,2.75473594288141,2.27525092768973,-0.327380621814259,0.0679351780368651,0.459448338541231,0.0696069873169498,1.7630047809741,2.15931596369413,2.58153696114342,2.162411048718,"Female","Louisiana"
"8","Cancers",-0.101745548224652,0.0508605586496797,0.202225513008685,0.0501204126168108,-0.263846840997926,-0.116751044463392,0.0325280386478816,-0.117780473568934,-0.149542158214008,0.0123896134860069,0.169213812343046,0.00986153133656155,-0.0497486453666376,0.0224569127492196,0.0872576556518607,0.0209514999937428,-8.9361115275461,-0.204583571954328,10.5745247342273,0.566547785177828,-0.0764454963580227,0.00515373787314797,0.072670377830739,0.00311261672539202,1.80320148674997,2.27026691933938,2.75473594288141,2.27525092768973,-0.327380621814259,0.0679351780368651,0.459448338541231,0.0696069873169498,1.7630047809741,2.15931596369413,2.58153696114342,2.162411048718,"Female","Louisiana"
"9","Cardiovascular",0.572058906536401,0.911551488672875,1.22251063596804,0.905573721472399,0.0794759906851837,0.353831734701518,0.644191149178962,0.354266689627551,0.526355350336192,0.757006785323791,1.00535134940344,0.761160739123151,0.275124275786839,0.398569885123286,0.507305234571787,0.397549527249493,-22.98795215769,1.42893799119153,18.9030094633191,-1.34703530419118,0.258546070436323,0.350747178165706,0.44545321451658,0.352231239302556,1.80320148674997,2.27026691933938,2.75473594288141,2.27525092768973,-0.327380621814259,0.0679351780368651,0.459448338541231,0.0696069873169498,1.7630047809741,2.15931596369413,2.58153696114342,2.162411048718,"Female","Louisiana"
"10","Communicable",0.342967056176472,0.475326968434403,0.612303586996857,0.475591409751392,-0.211616944312028,-0.133048430158127,-0.0475756432839343,-0.132075538243028,-0.103349429013376,-0.00129073870788812,0.0938914474507221,-0.00310558428999501,0.147398994336756,0.208958205306482,0.28153755848804,0.210632610795007,-8.12101873132551,-0.361374541169133,11.899492503822,0.998916845133204,-0.0502976343296467,-0.000542758465484617,0.0423090101432967,-0.00198241647002771,1.80320148674997,2.27026691933938,2.75473594288141,2.27525092768973,-0.327380621814259,0.0679351780368651,0.459448338541231,0.0696069873169498,1.7630047809741,2.15931596369413,2.58153696114342,2.162411048718,"Female","Louisiana"
