"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.509859713404181,-0.00456383840044838,0.573577790306999,0.000214248111800946,0.0995537810308723,0.442042323634092,0.757713986354558,0.433508522746591,0.72020577987797,1.05062246463098,1.39838252514196,1.05140087648467,-0.294872134450027,-0.00170357662032663,0.201911430710606,-0.0127655165836217,-1.92375545838439,-0.436651152532959,-0.0615688638301769,-0.609183126711704,0.153165847934669,0.21589657738779,0.277064323894946,0.215374907783638,1.36177275157904,2.43062751486758,3.49839542192591,2.4401568392611,-1.78706423779427,-1.01635368329246,-0.258636240385046,-1.0172519132065,4.01010047691696,4.87421077638361,5.75092672571739,4.88711737947715,"Male","Massachusetts"
"2","Cancers",-0.290347555353978,-0.0256816531079117,0.261347200290378,-0.0252510218681326,-0.327188971831792,-0.0572758949160275,0.215037891653973,-0.0524771337793827,0.297684661739296,0.604550470999428,0.908729835683799,0.60212198715275,-0.161654401357851,-0.0100949313490374,0.103131707786353,-0.0153412502887452,-0.414100006881253,0.0536576260520773,0.413544372704708,0.0341372812163886,0.0646624681967684,0.123335044303546,0.181251782928626,0.122992237127032,1.36177275157904,2.43062751486758,3.49839542192591,2.4401568392611,-1.78706423779427,-1.01635368329246,-0.258636240385046,-1.0172519132065,4.01010047691696,4.87421077638361,5.75092672571739,4.88711737947715,"Male","Massachusetts"
"3","Cardiovascular",-0.236685512887439,0.281675628565936,0.838606189363946,0.282923294046433,-0.860440047008748,-0.423014439550586,-0.00249161602443158,-0.424146650308371,0.287260508026748,0.719114268992744,1.12028526270279,0.714447064334013,-0.13987845667017,0.115500293406546,0.309515317808585,0.107213847914473,-0.0129044344243493,0.413846319491093,1.04004801898525,0.417130770600826,0.0649353102618988,0.147165137515594,0.213927533460708,0.144985069841524,1.36177275157904,2.43062751486758,3.49839542192591,2.4401568392611,-1.78706423779427,-1.01635368329246,-0.258636240385046,-1.0172519132065,4.01010047691696,4.87421077638361,5.75092672571739,4.88711737947715,"Male","Massachusetts"
"4","Communicable",-0.0344404548426489,0.366812517726519,0.820151414406857,0.365515935318275,-1.09733098723632,-0.773040971981024,-0.448832967378443,-0.767222671803163,0.92187814957927,1.23346726991154,1.53949381680382,1.22998402390778,-0.0176829648883089,0.149638704911948,0.321869036688401,0.149158631304051,0.40479303425532,0.755286641700729,2.25108368443324,0.92089120265451,0.192593328032656,0.250954962459601,0.313041831629498,0.252490576736275,1.36177275157904,2.43062751486758,3.49839542192591,2.4401568392611,-1.78706423779427,-1.01635368329246,-0.258636240385046,-1.0172519132065,4.01010047691696,4.87421077638361,5.75092672571739,4.88711737947715,"Male","Massachusetts"
"5","Injuries",1.0735791266361,1.52937674919051,2.04172540205689,1.54233674755753,-0.648020620439305,-0.358842134770563,-0.0676494740887094,-0.357527148461154,0.761149163860052,1.06178305129917,1.34354750946512,1.05874576388027,0.429181328736723,0.637291572320027,1.02251009127607,0.656338029220242,0.0666072965065778,0.344564195430781,1.04705024412889,0.434240542431168,0.163159849901784,0.216850251581335,0.279787769915165,0.217428225116093,1.36177275157904,2.43062751486758,3.49839542192591,2.4401568392611,-1.78706423779427,-1.01635368329246,-0.258636240385046,-1.0172519132065,4.01010047691696,4.87421077638361,5.75092672571739,4.88711737947715,"Male","Massachusetts"
"6","Non-communicable",0.00193301748199912,0.267411698411371,0.580776044571356,0.274417636095197,-0.0353712787296314,0.149133485405422,0.340659798719277,0.150613168398982,0.0177111709361796,0.230664455190289,0.448649490347389,0.230417663717665,0.000814693225819098,0.111038725003684,0.249569295303242,0.115396258433601,-0.70941839447916,-0.149654137580898,0.0364235937340406,-0.197216670191188,0.00377111005254725,0.046911763653297,0.0876494943510842,0.0467289833954378,1.36177275157904,2.43062751486758,3.49839542192591,2.4401568392611,-1.78706423779427,-1.01635368329246,-0.258636240385046,-1.0172519132065,4.01010047691696,4.87421077638361,5.75092672571739,4.88711737947715,"Male","Massachusetts"
"7","All other causes",-0.475781812843907,-0.0230197781767858,0.491056527186786,-0.014156482007198,0.126204297501555,0.423453592674005,0.731071258562132,0.425022194203127,0.979671743894048,1.31410551838904,1.64945985539401,1.31272689122673,-0.687824136826657,-0.0170364051197823,0.362488076122741,-0.0585810857779838,-13.460558883982,0.794002675598436,13.4746948063741,-14.3275323955001,0.280500929056238,0.354922900556638,0.458695882673453,0.359429957749661,0.355970017098104,1.31109328537188,2.3482509779975,1.33133368652059,-0.483054658011208,0.235048320592352,1.05026967752066,0.254262030689332,2.8823567793061,3.69281044181108,4.44082294071285,3.67276629062814,"Female","Massachusetts"
"8","Cancers",0.0190134660234641,0.29268434160546,0.602891992752558,0.298110738254305,-0.511426492444701,-0.22343639429042,0.019604185654445,-0.229752708147179,-0.0465280562111432,0.253456598785208,0.553719451129587,0.254590283877274,0.0104394417270628,0.221109506491624,0.729742197549504,0.260267048170769,-8.27864077789102,-0.293499310762279,9.82205597646199,8.4570353602886,-0.0140312945044989,0.0683339689066869,0.141533144972141,0.0681367031771898,0.355970017098104,1.31109328537188,2.3482509779975,1.33133368652059,-0.483054658011208,0.235048320592352,1.05026967752066,0.254262030689332,2.8823567793061,3.69281044181108,4.44082294071285,3.67276629062814,"Female","Massachusetts"
"9","Cardiovascular",-0.189810243185591,0.465073016938317,1.12014846726449,0.463273663705137,-0.506839566151256,0.00515357828210855,0.491581441793048,-0.00171593009203027,0.179218672569705,0.594619053979551,1.04621374522458,0.603412208072245,-0.266009408831263,0.342520795538303,0.781175116986225,0.31744411839806,-5.33606349534521,0.319715845059914,7.08665069718049,11.3484700874509,0.054352712670967,0.161941849484527,0.263519478334807,0.161649302154057,0.355970017098104,1.31109328537188,2.3482509779975,1.33133368652059,-0.483054658011208,0.235048320592352,1.05026967752066,0.254262030689332,2.8823567793061,3.69281044181108,4.44082294071285,3.67276629062814,"Female","Massachusetts"
"10","Communicable",-0.0807701741541935,0.259824059988321,0.683873926474193,0.26869566040474,-0.322446848552849,-0.0703391846090193,0.198556064601359,-0.0673004625185016,0.39746150673056,0.612077702128826,0.855008091971022,0.616598279146337,-0.0704461684696672,0.200091254053604,0.734812100481609,0.229801780509817,-3.96273262614938,-0.0174284014698153,5.66903133780634,0.509223734385548,0.11234013632801,0.168534877573046,0.235409838500213,0.168614039972759,0.355970017098104,1.31109328537188,2.3482509779975,1.33133368652059,-0.483054658011208,0.235048320592352,1.05026967752066,0.254262030689332,2.8823567793061,3.69281044181108,4.44082294071285,3.67276629062814,"Female","Massachusetts"
