"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.323832323553234,-0.0192029353353709,0.302823249538968,-0.0139865603571402,0.114784691055325,0.348969811996023,0.596956990920417,0.349731131315545,0.780810498063463,1.02748514285608,1.26169642735232,1.02537598863205,-3.06790496546501,0.160936769270299,3.53718517205886,0.00119227738166072,-0.413529245642266,-0.198796974747105,-0.0544765538483613,-0.208891390239629,0.271324248129541,0.341435531316898,0.41429637648045,0.342418309364127,-0.783290244646403,-0.33437110840933,0.221967791249151,-0.309105584275455,-2.15484885312474,-1.73742046076573,-1.33140618294635,-1.74337500244791,2.56254350547586,3.0042012193442,3.44507831955257,2.9986643552841,"Male","Michigan"
"2","Cancers",-0.577739955346077,-0.421593303438043,-0.280657818238747,-0.424859141381385,-0.248898893375807,-0.108049464513046,0.0222559181995816,-0.111173562526022,0.0697372509446594,0.219624677223472,0.370679259255441,0.22224909762594,-8.27896244222523,1.0309575132856,11.5848023739528,2.67833814366408,-0.0138463136681401,0.0634142909240771,0.139690459776344,0.0633388266450531,0.0236941116711505,0.0739112009694192,0.123174141341482,0.0739630132457808,-0.783290244646403,-0.33437110840933,0.221967791249151,-0.309105584275455,-2.15484885312474,-1.73742046076573,-1.33140618294635,-1.74337500244791,2.56254350547586,3.0042012193442,3.44507831955257,2.9986643552841,"Male","Michigan"
"3","Cardiovascular",-0.742097515059839,-0.512198515840185,-0.282640824356951,-0.512803440293345,-0.932903281833384,-0.720083187654453,-0.512410262731198,-0.724015615458114,-0.568007953121329,-0.352823978622741,-0.140338666857717,-0.351522317484108,-8.19417089863615,1.29575373084329,15.7526788120698,3.24577535978946,0.307121689781837,0.415555730011104,0.549947831675749,0.418443114139685,-0.205767641030597,-0.116293708963817,-0.0428638750304979,-0.119151418087412,-0.783290244646403,-0.33437110840933,0.221967791249151,-0.309105584275455,-2.15484885312474,-1.73742046076573,-1.33140618294635,-1.74337500244791,2.56254350547586,3.0042012193442,3.44507831955257,2.9986643552841,"Male","Michigan"
"4","Communicable",0.179302927836918,0.308238396727149,0.437094815517527,0.307383861424287,-0.988299078058008,-0.862344529169244,-0.730398886855022,-0.86256924657591,0.586645025794316,0.721304254430781,0.866382486217487,0.720773283745526,-11.6618854593023,-0.715931970702907,6.43889552295823,-2.3423915127084,0.396423501670553,0.496627223617678,0.655785304290066,0.501363549330376,0.193969100518515,0.240032457491932,0.293829649332889,0.241189396002757,-0.783290244646403,-0.33437110840933,0.221967791249151,-0.309105584275455,-2.15484885312474,-1.73742046076573,-1.33140618294635,-1.74337500244791,2.56254350547586,3.0042012193442,3.44507831955257,2.9986643552841,"Male","Michigan"
"5","Injuries",0.0726676481404603,0.34168624722095,0.618343390174686,0.345619115204512,-0.712890598061708,-0.477095866474286,-0.243206385327464,-0.478420069578013,0.843640377723195,1.08012299071307,1.32289430048082,1.08173084758499,-10.7794790437652,-0.772438179615772,8.76518128689499,-2.5579901136197,0.153014998596632,0.274270252447603,0.392785184330701,0.274936039997478,0.290992554557664,0.361030917961361,0.436990413360404,0.36132553361709,-0.783290244646403,-0.33437110840933,0.221967791249151,-0.309105584275455,-2.15484885312474,-1.73742046076573,-1.33140618294635,-1.74337500244791,2.56254350547586,3.0042012193442,3.44507831955257,2.9986643552841,"Male","Michigan"
"6","Non-communicable",-0.131799140618039,-0.0141666608688115,0.110207078354693,-0.0104594188723837,-0.0177475259147989,0.0835170988484947,0.184750066129046,0.0830723603746103,0.194270602526467,0.299570631205657,0.42183479762039,0.300057455179694,-1.27759021370555,0.0490505805129894,1.56260379533038,-0.0249241545071055,-0.121960817305579,-0.0465652786434359,0.00945998912149278,-0.0491901398729623,0.0653554608347,0.100361167045482,0.138814084039201,0.100255165857657,-0.783290244646403,-0.33437110840933,0.221967791249151,-0.309105584275455,-2.15484885312474,-1.73742046076573,-1.33140618294635,-1.74337500244791,2.56254350547586,3.0042012193442,3.44507831955257,2.9986643552841,"Male","Michigan"
"7","All other causes",-0.0752276228875789,0.195113893920274,0.457269321071257,0.193295440212333,-0.200435453656199,0.0321142441727572,0.229704701176504,0.0252227278500157,0.687768356273206,0.899571843503223,1.11278924275773,0.895815734110618,-0.895807056789534,0.428184482985758,2.51259439046696,3.64643024610836,-0.799233776086426,-0.0507626426644063,0.264236981836884,-0.100639414021144,0.367776637050331,0.467912117249877,0.572987206187011,0.468802041683109,-0.107238028606065,0.439678343152822,0.976241199413372,0.435336788333664,-1.01951862188232,-0.597757860977524,-0.203655341727301,-0.599365701166512,1.50712362954242,1.9333593364921,2.32810904558643,1.91989662442846,"Female","Michigan"
"8","Cancers",-0.277851221685897,-0.112449660999337,0.043212007858651,-0.114519653694968,-0.270861626636266,-0.129283748018915,0.0261450373425989,-0.127183195397283,-0.231842659282349,-0.0714313351578673,0.0859264509689459,-0.0749369657624739,-2.61120431688051,-0.223044920122577,1.37837085850884,-8.79350503954942,-0.0679688191138769,0.208792061737903,0.591287088174441,0.222611513323869,-0.141607375035078,-0.0366762438672738,0.041350026210692,-0.0415307000576723,-0.107238028606065,0.439678343152822,0.976241199413372,0.435336788333664,-1.01951862188232,-0.597757860977524,-0.203655341727301,-0.599365701166512,1.50712362954242,1.9333593364921,2.32810904558643,1.91989662442846,"Female","Michigan"
"9","Cardiovascular",-0.383024984377376,-0.0438016934286388,0.353493826751258,-0.0288680678022152,-0.616659031060897,-0.335457723387376,-0.080632388467438,-0.340203468595015,0.0578608220469259,0.271823378569142,0.492060982074369,0.271592715739157,-4.16947528447267,-0.0463051711023734,2.21114154935721,-3.66500190757781,0.224031315771053,0.559865519587841,1.11397468375112,0.591272854392841,0.033896623586701,0.141821672100077,0.23362282997631,0.139323374160035,-0.107238028606065,0.439678343152822,0.976241199413372,0.435336788333664,-1.01951862188232,-0.597757860977524,-0.203655341727301,-0.599365701166512,1.50712362954242,1.9333593364921,2.32810904558643,1.91989662442846,"Female","Michigan"
"10","Communicable",-0.0188275530785966,0.0881960853472289,0.212362144271689,0.0914096568944912,-0.253843408504424,-0.170754306673446,-0.0831891853532722,-0.169950653327498,0.0859208059726198,0.174208826790056,0.270590154927526,0.176164128858577,-0.588076214507952,0.192002090128046,1.57491613633142,4.08187943827075,0.129696871550476,0.28385213398908,0.750852672941002,0.327284682007631,0.0461501036961372,0.091496774390713,0.143494304340197,0.0922172083549965,-0.107238028606065,0.439678343152822,0.976241199413372,0.435336788333664,-1.01951862188232,-0.597757860977524,-0.203655341727301,-0.599365701166512,1.50712362954242,1.9333593364921,2.32810904558643,1.91989662442846,"Female","Michigan"
"11","Injuries",-0.128334185326893,-0.00561810713139205,0.125305291625689,-0.0043854468033065,-0.120881174137244,-0.0224322131147926,0.0704390284877244,-0.023583316169635,0.135778414783996,0.247930280682867,0.363237994580349,0.24828495422325,-0.807848488619165,-0.00385904965175629,0.877910210114993,-3.6339139741888,-0.173501440961192,0.0396822922641233,0.219418617344227,0.0400668228150901,0.0731582199421139,0.12891149514095,0.19317952695205,0.129996272583125,-0.107238028606065,0.439678343152822,0.976241199413372,0.435336788333664,-1.01951862188232,-0.597757860977524,-0.203655341727301,-0.599365701166512,1.50712362954242,1.9333593364921,2.32810904558643,1.91989662442846,"Female","Michigan"
"12","Non-communicable",0.177154104365828,0.297722269704014,0.43255584382115,0.29840485952733,-0.0605360333519085,0.0345170626945886,0.133112230008227,0.0363322044729032,0.279933207704254,0.404059091004705,0.526839584270268,0.402976057259331,-2.24264834444064,0.656542410293562,4.97925709313646,9.36411123693692,-0.369549360026704,-0.0567535579150881,0.0932047664327235,-0.0805964585182867,0.150820770776329,0.210486533889698,0.279627464317995,0.211191803276406,-0.107238028606065,0.439678343152822,0.976241199413372,0.435336788333664,-1.01951862188232,-0.597757860977524,-0.203655341727301,-0.599365701166512,1.50712362954242,1.9333593364921,2.32810904558643,1.91989662442846,"Female","Michigan"
