"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.997642321381783,-0.268382158220148,0.509558680573761,-0.262562198098675,-0.249099928765896,0.303048520305571,0.858602479492475,0.306714110826317,0.723684847692849,1.25651039229988,1.81475072360577,1.25899583823762,-0.928811938577521,0.18335223063572,1.62440191624558,-0.116727955644327,-2.41998659039794,-0.234030672250071,0.294890838845964,-0.476204527219392,0.207947029713955,0.341789262231995,0.507144399356279,0.344445513144041,-3.01371074151514,-1.55727314482639,0.184323477255654,-1.52144462743828,-2.35823448585774,-1.24153280875439,-0.138864754965711,-1.23149802299379,2.58074957526843,3.6573566598554,5.00208772443382,3.69846123274244,"Male","Minnesota"
"2","Cancers",-0.804513649998887,-0.197952562762943,0.524623911759829,-0.176617638558831,-0.81422878083282,-0.295461869525665,0.241856942599351,-0.292131181044516,0.30685528806395,0.849300722553962,1.4111766942784,0.849963239088777,-1.51391035906309,0.122993474843556,0.975762734344274,0.865161979825041,-0.385526383780835,0.238269060664154,1.07830438659801,0.303507446459236,0.0915792320055671,0.229544238231506,0.378857852450146,0.23061464939352,-3.01371074151514,-1.55727314482639,0.184323477255654,-1.52144462743828,-2.35823448585774,-1.24153280875439,-0.138864754965711,-1.23149802299379,2.58074957526843,3.6573566598554,5.00208772443382,3.69846123274244,"Male","Minnesota"
"3","Cardiovascular",-1.73232560715439,-0.696602037324335,0.5519691553506,-0.683195184806694,-1.56794937100089,-0.832478569067841,-0.150673023303147,-0.827052030929244,-0.244916700490685,0.389985109877583,1.0543351060186,0.392034662433402,-1.03778759754446,0.459174607810261,1.68568148269213,-0.487306248128086,0.128712897342779,0.683636614216733,2.34919935907443,0.781346016894162,-0.0872847938438457,0.106706749156237,0.249379581737789,0.0991518314240603,-3.01371074151514,-1.55727314482639,0.184323477255654,-1.52144462743828,-2.35823448585774,-1.24153280875439,-0.138864754965711,-1.23149802299379,2.58074957526843,3.6573566598554,5.00208772443382,3.69846123274244,"Male","Minnesota"
"4","Communicable",-0.389773938936393,-0.0976478464007609,0.230395362787809,-0.0935927067500391,-0.547146434264877,-0.195434673370827,0.082033274292268,-0.210199779668034,-0.147880872707468,0.204473385804031,0.559528333536113,0.209453397324207,-0.518493693743559,0.0599905028081002,0.587124401553436,-0.025651933713737,-0.128017318552175,0.159578335278967,0.859841572982906,0.230302423973166,-0.0413790609744928,0.0552703815984026,0.14668531072436,0.0557926469290401,-3.01371074151514,-1.55727314482639,0.184323477255654,-1.52144462743828,-2.35823448585774,-1.24153280875439,-0.138864754965711,-1.23149802299379,2.58074957526843,3.6573566598554,5.00208772443382,3.69846123274244,"Male","Minnesota"
"5","Injuries",-0.839111933632633,-0.239290703818063,0.493647506089132,-0.222246495131235,-0.576942975276888,-0.145880819991904,0.319457664987222,-0.143527807884358,0.509525307831181,0.906246192228961,1.30158292537277,0.910093177237465,-0.702310107972302,0.151306510085881,1.732676345515,0.606737100764216,-0.520753095812007,0.120652944944186,0.60184709739797,0.0986040141627416,0.143082316917173,0.246997543802278,0.370608337484186,0.250661864025601,-3.01371074151514,-1.55727314482639,0.184323477255654,-1.52144462743828,-2.35823448585774,-1.24153280875439,-0.138864754965711,-1.23149802299379,2.58074957526843,3.6573566598554,5.00208772443382,3.69846123274244,"Male","Minnesota"
"6","Non-communicable",-0.272827255278156,-0.0834749280911707,0.115746908772515,-0.0832304040928009,-0.300161185764228,-0.0566770521853706,0.115213825307273,-0.0653013342939596,-0.223266016055351,0.0737445093656688,0.402397316917558,0.0779209184209709,-0.260072599691284,0.0509171981999218,0.52522406090976,0.157787056896893,-0.15137362909189,0.0466282599437116,0.38794077381712,0.0624446257300871,-0.0677681060261426,0.0201412656429118,0.107123858287985,0.0193334950837375,-3.01371074151514,-1.55727314482639,0.184323477255654,-1.52144462743828,-2.35823448585774,-1.24153280875439,-0.138864754965711,-1.23149802299379,2.58074957526843,3.6573566598554,5.00208772443382,3.69846123274244,"Male","Minnesota"
"7","All other causes",-0.828309231192136,-0.175825366538894,0.58771394258846,-0.160735362705937,-0.301010919945731,0.186553931680745,0.664360687774243,0.183820936445176,0.00312949780826457,0.626880170450658,1.18971030921258,0.617115752967096,-1.82199279863823,0.139477295372743,2.12776421368913,0.600719123853353,-2.0221504937915,0.176141948891341,1.46315639642639,-0.0492410612855706,-0.0418738428485596,0.404180754024157,1.49806108495886,0.524362033927766,-2.97696243071874,-1.13699837261296,0.817580604978198,-1.13968759238414,-0.2774308940031,0.920614390581112,2.26045775209086,0.933226809095964,0.199236493202578,1.4837678904173,2.83950146067408,1.49144264842615,"Female","Minnesota"
"8","Cancers",-0.507373462328343,0.154219671373984,0.902945866332459,0.165905210838225,-0.38362003109806,0.22271921989564,0.822722634404026,0.221040140645736,-0.419082746496076,0.0912412250959066,0.745541541929101,0.106774691952422,-2.59562926257439,-0.0726189421265006,2.50270383873286,-0.548654701237877,-1.39011448230892,0.237357734505612,2.0317064680056,0.364663029385121,-0.734570817650446,0.0699798677379732,0.509803480817097,-0.0179757345659721,-2.97696243071874,-1.13699837261296,0.817580604978198,-1.13968759238414,-0.2774308940031,0.920614390581112,2.26045775209086,0.933226809095964,0.199236493202578,1.4837678904173,2.83950146067408,1.49144264842615,"Female","Minnesota"
"9","Cardiovascular",-2.55230105432387,-1.05722057184304,0.563768809138227,-1.03989671553959,-0.554637333554715,0.357996359919215,1.26187594583939,0.349312287892932,-0.649056571799101,0.164129301921924,0.993252610789651,0.168579731402295,-2.08300748993755,0.825682527154542,4.6550825466922,0.979504428692899,-2.14908676153212,0.40604796649497,2.62528081882005,0.204327510248053,-1.49518731956916,0.113471684983349,0.652661939003037,-0.0491474349943504,-2.97696243071874,-1.13699837261296,0.817580604978198,-1.13968759238414,-0.2774308940031,0.920614390581112,2.26045775209086,0.933226809095964,0.199236493202578,1.4837678904173,2.83950146067408,1.49144264842615,"Female","Minnesota"
"10","Communicable",-0.227047371923188,0.0482971927719257,0.419723714038285,0.0655655992271925,-0.222307307834875,0.042070825860393,0.311041708087245,0.0385195839842632,-0.304012727590136,-0.0190398881923349,0.26919657153413,-0.0200747864353279,-0.942013038552403,-0.0242279139574125,1.04827214825932,-0.107246569336538,-0.847300250399315,0.0430792137067119,0.904986756264423,0.124570539108744,-0.481530004438529,-0.00970170057306443,0.21401704517693,-0.10197617030104,-2.97696243071874,-1.13699837261296,0.817580604978198,-1.13968759238414,-0.2774308940031,0.920614390581112,2.26045775209086,0.933226809095964,0.199236493202578,1.4837678904173,2.83950146067408,1.49144264842615,"Female","Minnesota"
"11","Injuries",-0.386361559034468,-0.143864848602219,0.137353203763772,-0.13829781907252,-0.0726905421944296,0.0899542362390337,0.293765791480235,0.0962540638297931,0.0842080721875728,0.28781800990726,0.481390503395579,0.287528043409965,-1.09336941702873,0.0957482844705187,1.04212148955115,0.14546784998418,-0.54109601265055,0.0815532561097169,1.04208186664667,0.260082655056262,0.0431696246362351,0.194588241599417,0.826426902005527,0.307703778447331,-2.97696243071874,-1.13699837261296,0.817580604978198,-1.13968759238414,-0.2774308940031,0.920614390581112,2.26045775209086,0.933226809095964,0.199236493202578,1.4837678904173,2.83950146067408,1.49144264842615,"Female","Minnesota"
"12","Non-communicable",-0.353857681127387,-0.0439613066833893,0.337356528557828,-0.0322285051315058,-0.31472804403106,0.0499871252571762,0.342864529277578,0.0442797962980634,-0.111481211037386,0.331878030222178,0.769122790270607,0.3315192151297,-1.07136036302249,0.0267193595991934,0.768187716460688,-0.0697901319560169,-0.824441432901787,0.0634583649264832,1.39251634116988,0.0955973274873917,-0.155297813588029,0.216295591731542,0.998706904426379,0.337033527486266,-2.97696243071874,-1.13699837261296,0.817580604978198,-1.13968759238414,-0.2774308940031,0.920614390581112,2.26045775209086,0.933226809095964,0.199236493202578,1.4837678904173,2.83950146067408,1.49144264842615,"Female","Minnesota"
