"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",0.793130701948654,1.19641477938798,1.63715531582237,1.19757282719628,-0.184632054337775,0.101552323239091,0.371855031599661,0.105325850990715,0.570647764437794,0.835093172513584,1.08722865390255,0.834908298376361,0.593625502399224,0.88447523436407,1.4971113369365,0.920685937627191,-0.327453708231346,-0.0693192538658021,0.104263907760343,-0.0805953732348663,0.160925817393081,0.223495588989991,0.29190167565823,0.224499746565859,0.657352309327761,1.34942987310834,2.03287725083949,1.36269015347925,-2.07150956313698,-1.52279138120837,-0.987962115481753,-1.52302223776635,3.16723299607396,3.72948440407645,4.31331319856584,3.72360089088794,"Male","Missouri"
"2","Cancers",-0.759798530639554,-0.557894321988189,-0.359008397342675,-0.555849842376064,-0.192827963375329,0.00992173615717684,0.220571722212171,0.00980785593350644,0.261696743456049,0.492438572426797,0.718170400112325,0.487861219971374,-0.949589082975952,-0.40936543932457,-0.210219427456017,-0.446005677896425,-0.179141403025767,-0.00722722300792201,0.12542657021476,-0.0102635393056441,0.0723902331285042,0.131399737371131,0.192466805785849,0.131007111094145,0.657352309327761,1.34942987310834,2.03287725083949,1.36269015347925,-2.07150956313698,-1.52279138120837,-0.987962115481753,-1.52302223776635,3.16723299607396,3.72948440407645,4.31331319856584,3.72360089088794,"Male","Missouri"
"3","Cardiovascular",-0.687738497094824,-0.404148366627087,-0.108729805891637,-0.409096058686116,-0.439588339504503,-0.193539815412913,0.0510869990692305,-0.194613164739438,-0.177008413750527,0.0977802582336809,0.380043045783978,0.0947025672752282,-0.844078322585476,-0.29445404455554,-0.0669547941805223,-0.338293033815925,-0.0407445646194819,0.127532742380005,0.27912731721636,0.126374213819619,-0.0507002359039548,0.0261738202402326,0.0952534242279616,0.024216656942131,0.657352309327761,1.34942987310834,2.03287725083949,1.36269015347925,-2.07150956313698,-1.52279138120837,-0.987962115481753,-1.52302223776635,3.16723299607396,3.72948440407645,4.31331319856584,3.72360089088794,"Male","Missouri"
"4","Communicable",0.0689548991084054,0.25729681219004,0.463148982774624,0.260618063321878,-0.672081424333119,-0.488414359520219,-0.328084590583709,-0.491154966195884,0.40582312322315,0.57041395288469,0.759829571070567,0.570305796136062,0.0551893490111708,0.188565346425088,0.444172835406308,0.201796791982202,0.206902170430706,0.323628587857825,0.518787633449668,0.331407924800936,0.108951748804905,0.152755709730491,0.209685478423254,0.153748838688847,0.657352309327761,1.34942987310834,2.03287725083949,1.36269015347925,-2.07150956313698,-1.52279138120837,-0.987962115481753,-1.52302223776635,3.16723299607396,3.72948440407645,4.31331319856584,3.72360089088794,"Male","Missouri"
"5","Injuries",0.358495172290524,0.766611314894262,1.17806985571043,0.766626139025288,-1.32801686432508,-0.955968571030842,-0.605249007441498,-0.963228485557775,1.28360084347388,1.62406229142781,1.98091309614209,1.62975802006218,0.307470583208657,0.563925822999545,0.989011279514593,0.583102405871907,0.429623908315555,0.634670606581429,0.909855769420124,0.641848041612582,0.359286777382255,0.436400801768245,0.51927566537223,0.438248688304733,0.657352309327761,1.34942987310834,2.03287725083949,1.36269015347925,-2.07150956313698,-1.52279138120837,-0.987962115481753,-1.52302223776635,3.16723299607396,3.72948440407645,4.31331319856584,3.72360089088794,"Male","Missouri"
"6","Non-communicable",-0.0131643144686404,0.101721343788377,0.226488198920159,0.102819024997986,-0.091268597715888,0.0116604562623277,0.112809745650775,0.0108406718025273,-0.0320003043177465,0.104468946822654,0.248280909626779,0.106064989066735,-0.0108155595636937,0.0736210345651755,0.204024411014877,0.0787135762310507,-0.0865637272106616,-0.0075548274060523,0.0602790931969358,-0.00877126769262628,-0.00906238632752784,0.02834129825736,0.0650407499425795,0.0282789584042852,0.657352309327761,1.34942987310834,2.03287725083949,1.36269015347925,-2.07150956313698,-1.52279138120837,-0.987962115481753,-1.52302223776635,3.16723299607396,3.72948440407645,4.31331319856584,3.72360089088794,"Male","Missouri"
"7","All other causes",0.385871170276465,0.813135518606535,1.20989060837895,0.809356573851066,-0.0624316998871455,0.206417622717815,0.478723401160657,0.204334872269512,0.395259168806225,0.667721553642319,0.920580631289373,0.666024826522073,0.24912806881733,0.445657230869931,0.649545343818978,0.446057156751611,-10.8394666553791,0.599830738569086,11.7226307996052,-1.48456342834106,0.167862863530912,0.258926411041103,0.343576039056065,0.257240112280897,1.20983871940661,1.82452455137825,2.41856900381967,1.82470086190396,-0.422124504685651,0.06522781708953,0.572533341687607,0.0651818730642739,2.08264631043464,2.58559658990917,3.09661165737653,2.58740107489488,"Female","Missouri"
"8","Cancers",-0.517136829582433,-0.321166289062511,-0.128021284697594,-0.322053017101097,-0.18964436817753,-0.00252973699126247,0.186648468124924,-0.00366966714191045,-0.000223917706996332,0.21929343768025,0.435401849950337,0.217995566686684,-0.359560896902771,-0.177075997095224,-0.0631055064019337,-0.185045869155716,-4.36321365332759,0.124387420846286,4.51724757714691,2.23491037060992,-0.000103523715823062,0.0829184678788183,0.164171119377424,0.083275666747819,1.20983871940661,1.82452455137825,2.41856900381967,1.82470086190396,-0.422124504685651,0.06522781708953,0.572533341687607,0.0651818730642739,2.08264631043464,2.58559658990917,3.09661165737653,2.58740107489488,"Female","Missouri"
"9","Cardiovascular",0.31726306949527,0.731241067331311,1.14952503819127,0.729196786224884,-0.483806466700093,-0.159482768574737,0.184390347742656,-0.159985280335428,0.613325412948001,0.917099985595042,1.19999367751153,0.914555228585728,0.209819553614967,0.402191918135727,0.597920050253354,0.399678949867868,-12.9511487814432,0.127285318218008,10.7989415006247,3.1388189488579,0.258172462790987,0.353448337084941,0.457180702758461,0.353739937999826,1.20983871940661,1.82452455137825,2.41856900381967,1.82470086190396,-0.422124504685651,0.06522781708953,0.572533341687607,0.0651818730642739,2.08264631043464,2.58559658990917,3.09661165737653,2.58740107489488,"Female","Missouri"
"10","Communicable",0.0814726838047626,0.231777982634339,0.430249415581412,0.23978049825774,-0.152204287002793,-0.0340341310763925,0.0683872211543303,-0.0349622953148283,0.124534508965107,0.239588476931286,0.356788879648201,0.239360540975658,0.0441452697183245,0.130604282536896,0.251311659954862,0.133952374581143,-3.63272121039242,-0.00619261936903153,3.55307849191161,0.899121588344056,0.0480182966970319,0.093182614121978,0.140935147597073,0.0930375613870879,1.20983871940661,1.82452455137825,2.41856900381967,1.82470086190396,-0.422124504685651,0.06522781708953,0.572533341687607,0.0651818730642739,2.08264631043464,2.58559658990917,3.09661165737653,2.58740107489488,"Female","Missouri"
