"","Cause.of.death","Cx_era1_diff_lcl","Cx_era1_diff_med","Cx_era1_diff_ucl","Cx_era1_diff_mean","Cx_era2_diff_lcl","Cx_era2_diff_med","Cx_era2_diff_ucl","Cx_era2_diff_mean","Cx_era3_diff_lcl","Cx_era3_diff_med","Cx_era3_diff_ucl","Cx_era3_diff_mean","Cx_p_era1_diff_lcl","Cx_p_era1_diff_med","Cx_p_era1_diff_ucl","Cx_p_era1_diff_mean","Cx_p_era2_diff_lcl","Cx_p_era2_diff_med","Cx_p_era2_diff_ucl","Cx_p_era2_diff_mean","Cx_p_era3_diff_lcl","Cx_p_era3_diff_med","Cx_p_era3_diff_ucl","Cx_p_era3_diff_mean","tot_Cx_era1_diff_lcl","tot_Cx_era1_diff_med","tot_Cx_era1_diff_ucl","tot_Cx_era1_diff_mean","tot_Cx_era2_diff_lcl","tot_Cx_era2_diff_med","tot_Cx_era2_diff_ucl","tot_Cx_era2_diff_mean","tot_Cx_era3_diff_lcl","tot_Cx_era3_diff_med","tot_Cx_era3_diff_ucl","tot_Cx_era3_diff_mean","sex","state"
"1","All other causes",-0.196548795152508,0.684416174340824,1.63484305201576,0.692146846496018,-0.96667228768688,-0.34591733713814,0.243239993766735,-0.350976289827984,-0.129724912503578,0.550496944580898,1.32971456336895,0.557171086952955,-12.7122951981342,0.660074214237283,17.8959358261606,10.7615949998583,-0.803555053418029,0.348705213870479,2.2034664216974,0.401655716964491,-0.633613325647606,0.441882127967184,2.12611608786558,0.613386412442535,-1.24537038774492,0.295653415203275,1.93353191551649,0.330223638443493,-2.06830162275694,-0.957267031415067,0.188758002240359,-0.964479826627982,-0.116675298022199,1.17073286576776,2.68761405987292,1.20396799304108,"Male","Nebraska"
"2","Cancers",-0.736812666526356,-0.128150328527355,0.530633448975558,-0.128835810686615,-0.604279200171357,-0.0429995278826464,0.530523390933437,-0.0472865610775684,-0.389641171246552,0.211809552436496,0.823895799915767,0.2189972287709,-9.45116013808139,0.00168202747861586,6.28773767478474,0.344900780966405,-1.4339590925082,0.0647567240587326,1.19727309704402,-0.150170318299989,-0.822040627675749,0.186765951216351,1.19971554160824,-0.437481040641134,-1.24537038774492,0.295653415203275,1.93353191551649,0.330223638443493,-2.06830162275694,-0.957267031415067,0.188758002240359,-0.964479826627982,-0.116675298022199,1.17073286576776,2.68761405987292,1.20396799304108,"Male","Nebraska"
"3","Cardiovascular",-1.15774277816586,-0.284152491689253,0.685813992647973,-0.279739552581508,-1.3430200041862,-0.605098451709366,0.0742009273022417,-0.61661621465354,-0.541504738336493,0.147627201350918,0.897784290139779,0.152380582342041,-12.8681512099331,0.102607219971729,8.83360742151821,-11.890605407373,-1.31987043617064,0.601452045775995,3.74612283590831,0.65115972352977,-1.30780769409856,0.12752453292656,1.28993034521026,0.325308345073424,-1.24537038774492,0.295653415203275,1.93353191551649,0.330223638443493,-2.06830162275694,-0.957267031415067,0.188758002240359,-0.964479826627982,-0.116675298022199,1.17073286576776,2.68761405987292,1.20396799304108,"Male","Nebraska"
"4","Communicable",-0.222072126722468,0.126071770695068,0.692533117148295,0.142442120469631,-0.382628719306765,-0.0380948152264978,0.237209160959547,-0.0470030482194868,-0.212985606484849,0.150467404505314,0.502553532156934,0.150881466426574,-6.31855663408558,0.0867772472434598,3.50078246174275,-1.53731969714702,-0.777333225799402,0.0459003706030421,0.847764360078278,0.112240890241904,-0.534914355688797,0.119375946130123,1.01434809200771,0.227133742377722,-1.24537038774492,0.295653415203275,1.93353191551649,0.330223638443493,-2.06830162275694,-0.957267031415067,0.188758002240359,-0.964479826627982,-0.116675298022199,1.17073286576776,2.68761405987292,1.20396799304108,"Male","Nebraska"
"5","Injuries",-0.769973592716678,-0.164572684491009,0.632331405628652,-0.134955436795703,-0.371702543375806,0.140314062432035,0.634984839344688,0.142019519852874,-0.47888187132978,0.10281078298718,0.633254083899799,0.0932947892034805,-8.7315551050239,0.109375636049159,7.93635709156964,1.35019483952275,-2.19010451382845,-0.11941987710153,2.00645442925857,-0.071426996947136,-0.893361189442754,0.0994399593504798,1.01200206910522,0.190496324714404,-1.24537038774492,0.295653415203275,1.93353191551649,0.330223638443493,-2.06830162275694,-0.957267031415067,0.188758002240359,-0.964479826627982,-0.116675298022199,1.17073286576776,2.68761405987292,1.20396799304108,"Male","Nebraska"
"6","Non-communicable",-0.316417413750612,0.0166502845133189,0.501530729215321,0.0391654715416691,-0.371204962551924,-0.0389653115495033,0.238034108827873,-0.0446172327022764,-0.438638210709946,0.0326104907590652,0.454293306533115,0.0312428393451283,-3.03623299874673,0.0552717643943421,4.16921445263155,1.97123448417255,-0.936460478254512,0.0377933209607493,0.761598538215464,0.0565409845109601,-0.880149184329727,0.0328296968260302,0.708810691645022,0.0811562160330478,-1.24537038774492,0.295653415203275,1.93353191551649,0.330223638443493,-2.06830162275694,-0.957267031415067,0.188758002240359,-0.964479826627982,-0.116675298022199,1.17073286576776,2.68761405987292,1.20396799304108,"Male","Nebraska"
"7","All other causes",0.246207814607368,1.20634139286463,2.27279978519698,1.21865098962148,-0.426514304194283,0.183283030790331,0.82987026683452,0.191185671195024,-0.00924874786754486,0.676720825010221,1.45389132627255,0.689724360256161,0.0379142276713031,0.772010658715218,3.30734457571417,0.87577901827342,-7.98503799317651,0.248864624915129,6.92050938781064,2.20359308169804,-0.0190770834904411,0.390645410115065,1.00457873419478,0.316704847016306,0.0482936266460038,1.53921069490613,3.04030434690469,1.52139007094677,-1.02453609196155,0.100731140124542,1.38848897322531,0.112242949618341,0.504960050548185,1.75755416171198,2.98519067812471,1.77570932067677,"Female","Nebraska"
"8","Cancers",-0.423163121302504,0.0627884590994719,0.712387037932158,0.0874494278768231,-0.425513985632462,-0.00934958994695062,0.467697169603348,-0.00360525697917629,-0.594108537188609,-0.0757638924152804,0.548106072410168,-0.0622704869001001,-0.584088277596784,0.0468777498684346,0.750553384154332,0.0792080612619076,-4.67233329683056,0.122272355736656,5.48696408949138,-1.74623871824352,-0.624145770451376,-0.0416338879670065,0.34603201428923,0.111006504071729,0.0482936266460038,1.53921069490613,3.04030434690469,1.52139007094677,-1.02453609196155,0.100731140124542,1.38848897322531,0.112242949618341,0.504960050548185,1.75755416171198,2.98519067812471,1.77570932067677,"Female","Nebraska"
"9","Cardiovascular",-0.692222579347993,0.369382709355554,1.56200764062581,0.389992318090455,-1.12263016989107,-0.223857958428193,0.639853652029422,-0.227940918516027,0.0461106551382002,0.943290769368325,1.79729563596042,0.936528825580788,-1.75301683229721,0.245835552517106,1.11927947206416,0.422541342790859,-7.8991110350163,0.425339200979803,10.0044043500304,-4.3870679152762,0.0488222103844958,0.528639965250912,1.25138530357933,0.495107255078067,0.0482936266460038,1.53921069490613,3.04030434690469,1.52139007094677,-1.02453609196155,0.100731140124542,1.38848897322531,0.112242949618341,0.504960050548185,1.75755416171198,2.98519067812471,1.77570932067677,"Female","Nebraska"
"10","Communicable",-0.24481740968287,0.0498960331954542,0.485949285313774,0.0663157775979078,-0.202475049450884,0.0231829598752094,0.212307510613398,0.0160992294421063,-0.406043291162448,-0.0969046777468734,0.231928742551393,-0.0886357267978137,-0.325902842447939,0.032801541223907,0.563825912306363,0.0344875009253448,-1.84103380505358,0.0358611966804319,2.80933728845358,1.46550322091466,-0.370823941318236,-0.055076440751665,0.14669745895462,-0.0216601965772504,0.0482936266460038,1.53921069490613,3.04030434690469,1.52139007094677,-1.02453609196155,0.100731140124542,1.38848897322531,0.112242949618341,0.504960050548185,1.75755416171198,2.98519067812471,1.77570932067677,"Female","Nebraska"
